BillID,Major,MajorText,Description,ExampleSet
93-HR-5679,16,"Space, Science, Technology, and Communications",A bill to amend the Communication Act of 1934 to establish orderly procedures for the consideration of applications for renewal of broadcast licenses.,1
101-HR-4574,13,Community Development and Housing Issues,"To amend the Stewart B. McKinney Homeless Assistance Act to reauthorize provisions relating to the provision of education to homeless children and homeless youths, to establish a program of grants to State and local education agencies for the provision of support services to such children and youths, and for other purposes.",2
89-S-1658,19,Government Operations,A bill relating to the appointment of the Architect of the Capitol,3
101-HR-1729,12,Social Welfare,"To amend Federal laws to grant the same rights and privileges afforded to blind individuals who depend on seeing-eye dogs to other disabled individuals who depend on guide, hearing, or service dogs, or other animals, to assist them.",1
94-HR-10593,10,Transportation,A bill to amend the Interstate Commerce Act to prohibit the amount which any common carrier by motor vehicle charges any shipper for the transportation of the household goods of such shipper from exceeding by more than 10 percent the estimate provided by such carrier for the transportation of such household goods.,2
90-HR-7542,6,Education,"To increase educational opportunities throughout the Nation by providing grants for the construction of elementary and secondary schools and supplemental educational centers, and for other purposes",3
101-HR-2248,9,Immigration,To provide reimbursement to States and political subdivisions for expenses associated with the provision of certain public assistance to aliens.,1
95-HR-14400,18,International Affairs and Foreign Aid,"A bill to create, subject to the provisions of the District of Columbia Nonprofit Corporation Act, a corporation body to contribute to solving the world hunger problem by providing food to foreign nations and to allow the designation of contributions for that body on Federal tax forms.",2
87-S-3398,4,Agriculture,A bill to make price support available to producers of durum wheat who were unable to plant an acreage of durum wheat for 1962 equal to the acreage required under the 1982 durum wheat program.,3
89-HR-11912,17,Foreign Trade,To amend the Tariff Act of 1930 to increase the exemption from duty in the case of gifts sent by members of the Armed Forces of the United States,1
87-HR-4347,15,Defense,To provide for the establishment of a national cemetery on Fort Douglas Military Reservation in the State of Utah,2
111-HR-2869,8,Energy,"To require the Commodity Futures Trading Commission to take certain actions to prevent the manipulation of energy markets, and for other purposes.",3
109-HR-1961,5,Labor and Employment,To amend the Internal Revenue Code of 1986 to expand pension coverage and savings opportunities and to provide other pension reforms.,1
113-HR-4244,3,Health,"To amend the Internal Revenue Code of 1986 to modify the small employer health insurance credit, and for other purposes.",2
110-S-2047,14,"Banking, Finance, and Domestic Commerce",A bill to require enhanced disclosures to consumers purchasing flood insurance and for other purposes.,3
