"regression","V","coef_name","coef","se","t","lci","uci"
"10k_V_Yhuman","Senate","3",0.326788218793829,0.0175709244686671,18.5982370692314,0.292349839660168,0.36122659792749
"10k_V_Yhuman","Senate","14",0.317880794701987,0.0189528332609658,16.772204468061,0.280733924105501,0.355027665298473
"10k_V_Yhuman","Senate","15",0.281443298969072,0.0144434332477633,19.4859002109251,0.253134689990348,0.309751907947797
"10k_V_Yhuman","Senate","19",0.27781926811053,0.012244587778285,22.6891483111604,0.253820317059552,0.301818219161508
"10k_V_Yhuman","Senate","20",0.406167400881057,0.014581995037967,27.8540350496296,0.3775872157839,0.434747585978215
"10k_V_Yhuman","Senate","Other",0.312655086848635,0.00640657978685099,48.8021841998027,0.300098421202324,0.325211752494945
"10k_V_Yhuman","Democrat","3",0.656381486676017,0.0177910672532251,36.8938792335254,0.621511635613165,0.691251337738868
"10k_V_Yhuman","Democrat","14",0.612582781456954,0.0198282191493005,30.894493188944,0.573720186046757,0.65144537686715
"10k_V_Yhuman","Democrat","15",0.593814432989691,0.0157736455904862,37.6459854878346,0.562898655727439,0.624730210251943
"10k_V_Yhuman","Democrat","19",0.604929051530993,0.0133637950746445,45.266262177182,0.578736494487916,0.63112160857407
"10k_V_Yhuman","Democrat","20",0.58590308370044,0.0146250138748458,40.0617113060083,0.557238583232344,0.614567584168537
"10k_V_Yhuman","Democrat","Other",0.601450658522616,0.00676623657683342,88.8899836257415,0.588189078521145,0.614712238524087
"10k_V_Yhuman","DW1","3",-0.111309175789643,0.01483192781127,-7.5047004816909,-0.14037922012103,-0.0822391314582554
"10k_V_Yhuman","DW1","14",-0.0797399646954144,0.0158166344437753,-5.04152542558105,-0.11073999856185,-0.048739930828979
"10k_V_Yhuman","DW1","15",-0.0184735685055452,0.010925673560954,-1.69084023996156,-0.0398874951918566,0.00294035818076616
"10k_V_Yhuman","DW1","19",-0.0580561902511259,0.0100466760180586,-5.77864660378934,-0.077747313410863,-0.0383650670913889
"10k_V_Yhuman","DW1","20",-0.0337818226839274,0.010868369956923,-3.10826948455218,-0.0550834363701537,-0.0124802089977012
"10k_V_Yhuman","DW1","Other",-0.069155439746236,0.00520491556328795,-13.2865632314985,-0.0793568867928524,-0.0589539926996196
