BillID,Year,Major,MajorText,Party,PassH,PassS,Description,DW1,Chamber,Postal
88-S-1173,1963,20,Public Lands and Water Management,Democrat,0,0,A bill to change the name of Short Mountain lock and dam and reservoir in the State of Oklahoma to Robert S. Kerr lock and dam and reservoir.,-0.243,Senate,OK
92-S-3392,1972,16,"Space, Science, Technology, and Communications",Democrat,0,0,A bill to amend the National Science Foundation Act of 1950 so as to provide for a program relating to earthquakes,-0.441,Senate,CA
83-HR-3888,1953,2,"Civil Rights, Minority Issues, and Civil Liberties",Democrat,0,0,To protect the right to political participation,-0.658,House,NY
91-HR-6953,1969,19,Government Operations,Republican,0,0,"To abolish the Commission on Executive, Legislative, sand Judicial Salaries established by section 225 of the Federal Salary Act of 1967, and far other purposes",0.25,House,NY
92-S-2956,1971,15,Defense,Republican,1,1,A bill to make rules governing the use of the Armed Forces of the United States in the absence of a declaration of war by the Congress,-0.319,Senate,NY
113-HR-1855,2013,15,Defense,Democrat,0,0,"To require the Secretary of Defense to establish a process to determine whether individuals claiming certain service in the Philippines during World War II are eligible for certain benefits despite not being on the Missouri List, and for other purposes.",-0.341,House,HI
90-S-2512,1967,19,Government Operations,Democrat,0,0,"A bill to provide financial assistance to candidates for President and Vice President and candidates for the Senate and House of Representatives to assist in defraying their election campaign expenses, and to repeal the Presidential Election Campaign Fund",-0.44,Senate,MT
90-HR-17650,1968,20,Public Lands and Water Management,Democrat,0,0,To declare that certain federally owned lands are held by the United States in trust for the Indians of the Pueblo of Laguna,-0.117,House,NM
80-S-29,1947,15,Defense,Democrat,0,0,A bill to authorize payment of claims based on loss of or damage to property deposited by alien enemies,-0.00021533801515431653,Senate,NV
96-S-2794,1980,8,Energy,Democrat,0,0,A bill to amend the Internal Revenue Code of 1954 to provide a tax credit to home builders for the construction of residences incorporating certain solar energy utilization characteristics.,-0.411,Senate,CO
85-HR-5834,1957,1,Macroeconomics,Democrat,0,0,"To amend section 1402 of the Internal Revenue Code of 1954, and for other purposes.",-0.141,House,MN
92-S-4072,1972,20,Public Lands and Water Management,Democrat,0,0,"A bill designating the part established pursuant to the act of April 35, 1947 (61 Stat. 52), as the Theodore Roosevelt National Park",-0.351,Senate,ND
