"W","V","statistic_name","Mean","Median","SD","CI05","CI95","Sample Average"
"DW1","Health","coef",-0.0907577358708333,-0.094917890385,0.00989726693127695,-0.1019103854685,-0.076180267936,-0.062383069878747
"DW1","Banking, Finance & Domestic Commerce","coef",-0.0433548764454167,-0.04338727946,0.0127834379864142,-0.05638064937,-0.0271891520145,-0.062383069878747
"DW1","Defense","coef",-0.01536587809,-0.01577993213,0.00423145599560826,-0.022862820296,-0.009187288365,-0.062383069878747
"DW1","Government Operations","coef",-0.046665743835,-0.048375082365,0.0109392031140038,-0.0663918671575,-0.0328229518585,-0.062383069878747
"DW1","Public Lands & Water Management","coef",-0.0235908318395833,-0.024173511335,0.00729523765722468,-0.0331609480175,-0.009030338412,-0.062383069878747
"Democrat","Health","coef",0.636051667699583,0.64190977387,0.0135600999576831,0.614016629504,0.6510341374455,0.604
"Democrat","Banking, Finance & Domestic Commerce","coef",0.581572605942917,0.58168517021,0.0118206912953706,0.5671335066675,0.5970054807395,0.604
"Democrat","Defense","coef",0.58560084273875,0.58571099415,0.00771039552326871,0.5761325744095,0.5975591055075,0.604
"Democrat","Government Operations","coef",0.60067675051125,0.5976342557,0.0096181962727167,0.587743205183,0.62017579186,0.604
"Democrat","Public Lands & Water Management","coef",0.587616497292083,0.587204520005,0.0057601270439143,0.5794421457085,0.598911695115,0.604
"Senate","Health","coef",0.334410040206667,0.33090335587,0.0149463701464259,0.318909396987,0.3635834425435,0.3169
"Senate","Banking, Finance & Domestic Commerce","coef",0.304454077580833,0.30499399729,0.00806729765239633,0.2929677957955,0.3137174781215,0.3169
"Senate","Defense","coef",0.29470583500625,0.29515441761,0.00843803108334047,0.279548830185,0.307619777907,0.3169
"Senate","Government Operations","coef",0.29014081100125,0.29086410484,0.00660542346450643,0.2796960735155,0.3009760083855,0.3169
"Senate","Public Lands & Water Management","coef",0.390669201145833,0.39034341858,0.00668118276549877,0.3833007934735,0.4039836365845,0.3169
