date,permno,headline,company_name,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3,ret,exret,b_mkt,mkt-rf,smb,hml,rf,exret_hat,exret_1,exret_2,exret_3,exret_4,exret_5,exret_6,exret_7,exret_8,exret_9,exret_10
2019-07-31,87432.0,Agilent Shares Unaffected As Hearing FDA Approved Co.'s PD-L1 IHC 22C3 PharmDx Assay For Expanded Use,AGILENT TECHNOLOGIES INC,-0.28814950492233,-2.0746326557441503,-5.503540158014459,-0.31263495329767,0.9352539748773699,0.42949611453677006,-1.0549,0.1449,0.9558,-1.09,0.12,0.61,0.009,-0.02207799999999982,0.2029,-0.7467,-0.3283,1.3767,0.1025,0.2531,-0.4793,-1.7757,-0.0579,-0.3339
2019-07-16,87432.0,Bank of America Downgrades Agilent Technologies to Neutral,AGILENT TECHNOLOGIES INC,-0.51465420983731,-0.08577202636462,0.28592509136868,-1.5352386049926199,-1.65876060840588,-3.84353226325558,-0.8505,-0.6053,0.962,-0.32,0.35,0.1,0.009,-0.55166,-0.0525,0.4966,-1.3088,0.2757,0.78,-1.0024,1.0684,-1.4307,1.4833,-0.1155
2019-07-15,87432.0,"Barclays Downgrades Agilent Technologies to Equal-Weight, Lowers Price Target to $78",AGILENT TECHNOLOGIES INC,-0.85046924650669,-2.0694636634655,-0.25513855912565003,-0.12544792843982,-2.3442840114169,-2.4506406042717197,-1.5352,-1.7432,0.961,-0.04,-0.35,-1.07,0.009,-1.5057599999999998,-0.6053,-0.0525,0.4966,-1.3088,0.2757,0.78,-1.0024,1.0684,-1.4307,1.4833
2019-07-11,87432.0,Agilent Will Acquire BioTek Instruments In $1.16B Deal,AGILENT TECHNOLOGIES INC,-0.12544792843982,-2.2442161341718303,-2.6345126812213597,-0.10890974663196999,-0.63650273259222,-3.14191055442721,-2.2216,-2.254,0.9614,0.19,-0.79,0.04,0.009,-2.413266,-0.5677,-1.7432,-0.6053,-0.0525,0.4966,-1.3088,0.2757,0.78,-1.0024,1.0684
2019-07-11,87432.0,Agilent To Purchase BioTek Instruments For $1.165B,AGILENT TECHNOLOGIES INC,-0.12544792843982,-2.2442161341718303,-2.6345126812213597,-0.10890974663196999,-0.63650273259222,-3.14191055442721,-2.2216,-2.254,0.9614,0.19,-0.79,0.04,0.009,-2.413266,-0.5677,-1.7432,-0.6053,-0.0525,0.4966,-1.3088,0.2757,0.78,-1.0024,1.0684
2019-07-29,14145.0,"JP Morgan Initiates Coverage On Applied Optoelectronics with Neutral Rating, Announces $11 Price Target",APPLIED OPTOELECTRONICS INC,2.15517040342092,5.60345348051256,5.064658291146809,1.4161231927573599,-1.99999567330018,-6.9199646013373695e-09,-0.3222,0.7276,1.4741,-0.32,-0.34,-0.46,0.009,0.14051200000000003,0.2816,6.9283,1.6523,2.0106,2.744,2.1757,0.7012,4.0156,-1.2562,-6.3637
2019-07-11,89217.0,"CORRECTION: Goldman Sachs Initiates Coverage On Advance Auto Parts with Sell Rating, Announces $151 Price Target; A Prior Headline Indicated A $115 Price Target, This Was Incorrect",ADVANCE AUTO PARTS INC,1.46523043513298,1.03013667168108,-4.00537121257394,0.59806602075695,-1.11259231358334,-2.60864313789292,-0.0895,0.0063,0.6129,0.19,-0.79,0.04,0.009,-0.214951,1.0292,0.4667,1.8637,-2.0258,0.0067,-0.4386,1.2872,-1.2613,-0.1692,-4.7816
2019-07-11,89217.0,"Goldman Sachs Initiates Coverage On Advance Auto Parts with Sell Rating, Announces $151 Price Target",ADVANCE AUTO PARTS INC,1.46523043513298,1.03013667168108,-4.00537121257394,0.59806602075695,-1.11259231358334,-2.60864313789292,-0.0895,0.0063,0.6129,0.19,-0.79,0.04,0.009,-0.214951,1.0292,0.4667,1.8637,-2.0258,0.0067,-0.4386,1.2872,-1.2613,-0.1692,-4.7816
2019-07-25,75278.0,"AllianceBernstein Holding Q2 EPS $0.56 Misses $0.58 Estimate, Sales $714.566M Beat $709.54M Estimate",ALLIANCEBERNSTEIN HOLDING L P,1.9191209226846602,0.78820967399095,-2.1379166192119903,-0.6664470769464901,-0.26764783299702,-1.35671697114305,-2.1134,-1.2637,1.0839,-0.63,-0.66,-0.12,0.009,-1.4395429999999998,1.1071,-0.0801,0.6952,1.6099,0.0971,0.507,-2.5823,3.1967,0.0119,-2.0375
2019-07-09,75278.0,"Citigroup Maintains Buy on AllianceBernstein Holding, Raises Price Target to $37",ALLIANCEBERNSTEIN HOLDING L P,0.9640987962484301,2.32713024760453,-0.23271175320217002,0.0,-0.29703022446483,1.27388250796367,-0.4303,-0.2592,1.1028,0.18,-0.15,-0.43,0.009,-0.637804,0.8364,1.0117,-1.6845,0.8619,1.2582,0.194,-0.2518,-0.9873,-0.928,-0.9103
2019-07-26,13721.0,From AbbVie Q2 Earnings Conference Call: Raises FY19 Sales Growth Guidance From ~1% To ~2%,ABBVIE INC,-0.8559648878872299,-3.55667582429477,-3.2172375761957,-1.18588116019964,-1.57980164046196,-1.9705828500266,1.6502,0.9855,0.8406,0.82,0.39,-0.19,0.009,0.951908,-0.7817,0.6628,0.2484,-0.9685,-0.0182,2.4222,-2.0103,-0.7507,-0.0976,0.6782
2019-07-26,13721.0,Abbvie CEO Says Co Remains 'Well Positioned' To Deliver Double-Digit Earnings Growth In 2019,ABBVIE INC,-0.8559648878872299,-3.55667582429477,-3.2172375761957,-1.18588116019964,-1.57980164046196,-1.9705828500266,1.6502,0.9855,0.8406,0.82,0.39,-0.19,0.009,0.951908,-0.7817,0.6628,0.2484,-0.9685,-0.0182,2.4222,-2.0103,-0.7507,-0.0976,0.6782
2019-07-26,13721.0,AbbVie shares are trading higher after the company reported better-than-expected Q2 EPS and sales results. The company also raised its FY19 EPS guidance above analyst estimates.,ABBVIE INC,-0.8559648878872299,-3.55667582429477,-3.2172375761957,-1.18588116019964,-1.57980164046196,-1.9705828500266,1.6502,0.9855,0.8406,0.82,0.39,-0.19,0.009,0.951908,-0.7817,0.6628,0.2484,-0.9685,-0.0182,2.4222,-2.0103,-0.7507,-0.0976,0.6782
2019-07-26,13721.0,UPDATE: AbbVie Raises FY19 Adj EPS Guidance From $8.73-$8.83 To $8.82-$8.92 vs $8.82 Estimate,ABBVIE INC,-0.8559648878872299,-3.55667582429477,-3.2172375761957,-1.18588116019964,-1.57980164046196,-1.9705828500266,1.6502,0.9855,0.8406,0.82,0.39,-0.19,0.009,0.951908,-0.7817,0.6628,0.2484,-0.9685,-0.0182,2.4222,-2.0103,-0.7507,-0.0976,0.6782
2019-07-26,13721.0,AbbVie Raises FY19 Guidance,ABBVIE INC,-0.8559648878872299,-3.55667582429477,-3.2172375761957,-1.18588116019964,-1.57980164046196,-1.9705828500266,1.6502,0.9855,0.8406,0.82,0.39,-0.19,0.009,0.951908,-0.7817,0.6628,0.2484,-0.9685,-0.0182,2.4222,-2.0103,-0.7507,-0.0976,0.6782
2019-07-26,13721.0,"AbbVie Q2 Adj. EPS $2.26 Beats $2.2 Estimate, Sales $8.255B Beat $8.1B Estimate",ABBVIE INC,-0.8559648878872299,-3.55667582429477,-3.2172375761957,-1.18588116019964,-1.57980164046196,-1.9705828500266,1.6502,0.9855,0.8406,0.82,0.39,-0.19,0.009,0.951908,-0.7817,0.6628,0.2484,-0.9685,-0.0182,2.4222,-2.0103,-0.7507,-0.0976,0.6782
2019-07-15,13721.0,AbbVie Acquires Mavupharma; Terms Not Disclosed,ABBVIE INC,-1.57961156219244,-3.23039242089785,-4.39731963548408,0.1544089987874,-0.41870575675025,0.15440901093626,-0.0142,-0.399,0.8617,-0.04,-0.35,-1.07,0.009,0.011268,-1.1702,-0.8906,-0.5107,1.1756,-1.2732,-0.8238,-0.5601,-0.8651,0.9855,-0.7817
2019-07-09,13721.0,"CytomX Therapeutics Announces Second Target Selection And Program Initiation With AbbVie Under Ongoing, Multi-Program Strategic Oncology Collaboration",ABBVIE INC,0.57552452199161,-1.44167027277298,-3.4795307763605896,-2.42498517036438,-4.989324794079019,-4.05496690493926,0.0281,-0.3064,0.8778,0.18,-0.15,-0.43,0.009,-0.138904,0.0677,-1.0298,-0.1563,-0.399,-1.1702,-0.8906,-0.5107,1.1756,-1.2732,-0.8238
2019-07-29,85254.0,Ambev shares are trading higher on seemingly no company-specific news.,AMBEV SA,-1.48148005828261,-5.740739640327909,-9.62962928257814,1.55038619413971,10.78223597660004,9.39456841211727,3.0534,3.4743,0.7118,-0.32,-0.34,-0.46,0.009,3.272176,-1.6351,-0.3697,1.7495,-0.385,-0.7292,0.3967,1.3619,-3.4416,-0.42,-2.406
2019-07-26,85254.0,JP Morgan Upgrades Ambev to Neutral,AMBEV SA,3.05344145745039,9.453171578854835e-09,-3.62594644500107,9.09090563654899,7.72442381753368,8.17609813365227,1.5504,1.0237,0.7183,0.82,0.39,-0.19,0.009,0.9523940000000001,3.4743,-1.6351,-0.3697,1.7495,-0.385,-0.7292,0.3967,1.3619,-3.4416,-0.42
2019-07-25,85254.0,Ambev SA shares are trading higher after the company reported better-than-expected Q2 EPS and sales results.,AMBEV SA,1.55038619413971,2.51938214887255,-1.16278965432724,-1.25260837376117,-0.8385735708754101,-1.45833678962685,9.0909,9.6454,0.7184,-0.63,-0.66,-0.12,0.009,9.534491999999998,1.0237,3.4743,-1.6351,-0.3697,1.7495,-0.385,-0.7292,0.3967,1.3619,-3.4416
2019-07-25,85254.0,"Ambev SA Earlier Reported Q2 EPS R$0.05 Beats R$0.04 Est., Sales R$3.279B Beat R$3.090B Estimate.",AMBEV SA,1.55038619413971,2.51938214887255,-1.16278965432724,-1.25260837376117,-0.8385735708754101,-1.45833678962685,9.0909,9.6454,0.7184,-0.63,-0.66,-0.12,0.009,9.534491999999998,1.0237,3.4743,-1.6351,-0.3697,1.7495,-0.385,-0.7292,0.3967,1.3619,-3.4416
2019-07-26,89327.0,"Asbury Automotive Group Q2 Adj. EPS $2.38 Beats $2.26 Estimate, Sales $1.804B Beat $1.8B Estimate",ASBURY AUTOMOTIVE GROUP INC,5.6089349091053,2.97207133572015,3.41899188399381,-0.79575730487704,3.5533014852367804,6.2374296700655005,-0.2897,-1.2308,0.8475,0.82,0.39,-0.19,0.009,-0.9936499999999999,6.4479,-3.2166,-0.4752,1.4334,1.6858,1.4161,1.3968,-0.8021,-0.3834,0.6566
