custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num
0,AGILENT TECHNOLOGIES INC,Agilent Collaborates On Study Of Performance-Enhancing Spinach Extract,1,positive,0.9,0.8,,121,11,2.0
1,ACADIA PHARMACEUTICALS,"Stifel Nicolaus Maintains Hold on ACADIA Pharmaceuticals, Raises Price Target to $28",1,neutral,0.8,0.2,,131,11,1.0
2,ANALOG DEVICES INC,Analog Devices Option Alert: Sep 13 $110 Calls Sweep (45) near the Ask: 1133 @ $0.851 vs 13 OI; Ref=$106.04,1,neutral,0.7,0.5,,142,11,1.0
3,ADAMIS PHARMACEUTICALS CORP,Adamis Pharmaceuticals Announces Completion Of Pharmacokinetic Studies Comparing Naloxone To Generic Comparator,1,neutral,0.8,0.2,,135,11,1.0
4,AMERICAN EAGLE OUTFITTERS INC NE,A Preview Of American Eagle Outfitters Q2 Earnings,1,neutral,0.8,0.2,,127,11,1.0
5,PROSHARES TRUST II,Jon Najarian Sees Unusual Options Activity In Roku And AGQ,1,neutral,0.7,0.5,,119,11,1.0
6,ALIGN TECHNOLOGY INC,SmileDirectClub Aims To Raise About $1.2B With IPO,1,negative,0.8,0.7,,117,11,0.0
7,ALIMERA SCIENCES INC,Alimera Sciences Launches ILUVIEN In Germany For Non-Infectious Uveitis Indication,1,positive,0.9,0.8,,127,11,2.0
8,ALNYLAM PHARMACEUTICALS INC,"Cantor Fitzgerald On Alnylam Pharmaceuticals Also Notes 'If the ORION-9 and ORION-10 readouts expected this month also look clean, we think that overall ALNY shares may move 10-20% cumulatively based on these updates",1,positive,0.9,0.8,,167,11,2.0
9,ALNYLAM PHARMACEUTICALS INC,"Cantor Fitzgerald Reiterates Overweight, $138 Tgt On Alnylam Pharma As Firm Notes Co's Partner Medicines Co. Presented ORION-11 Ph3 Data For Inclisiran And Firm Thinks 'the detailed ORION-11 data is supportive of ALNY platform efficacy and safety'",1,positive,0.9,0.8,,177,11,2.0
10,ALNYLAM PHARMACEUTICALS INC,"Piper Jaffray Maintains Overweight on Alnylam Pharmaceuticals, Raises Price Target to $145",1,positive,0.9,0.8,,136,11,2.0
11,AMERICAN TOWER CORP NEW,"American Tower shares are trading higher after the company signed a new multiyear agreement with AT&T. The deal is ""essential"" for executing AT&T's 5G network.",1,positive,0.9,0.8,,141,11,2.0
12,AMERICAN TOWER CORP NEW,AT&T And American Tower Sign New Multiyear Agreement,1,positive,0.9,0.8,,117,11,2.0
13,ABERCROMBIE & FITCH CO,"Morgan Stanley Maintains Underweight on Abercrombie & Fitch, Lowers Price Target to $14",1,negative,0.9,0.8,,136,11,0.0
14,ARDELYX INC,Why Are Shares Of Ardelyx Ripping Higher?,1,positive,0.9,0.8,,113,11,2.0
15,ARDELYX INC,Ardelyx shares are trading higher after the company's pivotal phase 3 AMPLIFY study of tenapanor in combination with phosphate binders in patients with chronic kidney disease met primary and all key secondary endpoints.,1,positive,0.9,0.8,,146,11,2.0
16,ARDELYX INC,Ardelyx Shares To Resume Trade At 8:30 a.m. EDT,1,neutral,0.8,0.2,,120,11,1.0
17,ARDELYX INC,Ardelyx Reports AMPLIFY Pivotal Phase  Study Of Tenapanor In Combination With Phosphate Binders In Patients With Chronic Kidney Disease Met Primary And All Key Secondary Endpoints,1,positive,0.9,0.8,,143,11,2.0
18,BANK OF AMERICA CORP,3 Ways To Double Your Money,1,neutral,0.8,0.5,,111,11,1.0
19,BIG LOTS INC,"UPDATE: Barclays Maintains Equal-Weight On Big Lots, Lowers Target To $25 As Firm Notes Despite Co's Various Initiatives 'BIG hasn't proven it can ""comp the comp,"" which leads to limited valuation upside'",1,negative,0.8,0.7,,146,11,0.0
20,BIG LOTS INC,"Barclays Maintains Equal-Weight on Big Lots, Lowers Price Target to $25",1,negative,0.8,0.7,,120,11,0.0
21,BIOLINERX LTD,BioLineRx Successfully Completes Dose-Escalation Part Of Phase 1/2a Clinical Study For AGI-134 Immunotherapy For Treatment Of Solid Tumors,1,positive,0.9,0.8,,140,11,2.0
22,BRISTOL MYERS SQUIBB CO,"Bank of America Maintains Neutral on Bristol-Myers Squibb, Raises Price Target to $49",1,neutral,0.8,0.5,,132,11,1.0
23,BOSTON SCIENTIFIC CORP,"Barclays Reinstates Overweight on Boston Scientific, Announces $48 Price Target",1,positive,0.9,0.8,,127,11,2.0
24,BURLINGTON STORES INC,This Analyst Said Burlington Delivered Quality Showing In A Challenging Quarter,1,positive,0.9,0.7,,119,11,2.0
25,BURLINGTON STORES INC,"Wedbush Maintains Neutral on Burlington Stores, Raises Price Target to $200",1,neutral,0.8,0.2,,121,11,1.0
