custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num
0,AGILENT TECHNOLOGIES INC,Agilent Collaborates On Study Of Performance-Enhancing Spinach Extract,1,uncertain,0.7,0.1,,123,661,1.0
1,ADVANCE AUTO PARTS INC,Advance Auto Parts shares are trading higher. Not currently seeing any news to justify price action.,1,uncertain,0.6,0.2,,124,469,1.0
2,ADVANCE AUTO PARTS INC,"Citigroup Upgrades Advance Auto Parts to Buy, Raises Price Target to $188",1,,,,,123,402,
3,ADVANCE AUTO PARTS INC,"Advance Auto Parts shares trading higher with other stocks in auto retail space. A Morgan Stanley analyst suggested recent pullback in Advance Auto Parts shares presented ""a good buying opportunity.""",1,,,,,140,402,
4,ABBVIE INC,Abbvie Inc Co And Allergan Are Cooperating Fully With FTC And Continue To Expect To Close Transaction In Early 2020,1,increase,0.8,0.4,,128,404,2.0
5,ABBVIE INC,AbbVie shares are trading higher after Citigroup upgraded the stock from Neutral to Buy.,1,increase,0.8,0.4,,119,340,2.0
6,ABBVIE INC,Citigroup Upgrades AbbVie to Buy,1,increase,0.8,0.4,,111,276,2.0
7,ABBVIE INC,UPDATE: UBS On AbbVie Also Notes 'Post '23 we estimate stable cash flows driven by ABBV's 5 key growth assets & AGN Aesthetics franchise. NEWCO cash flows are immediately tangible via a sustainable & growing dividend',1,increase,0.8,0.4,,151,212,2.0
8,ABBVIE INC,"UPDATE: UBS Upgrades AbbVie To Buy, Lowers Target To $79 As Firm Notes Co's 'acquisition of AGN leads to a NEWCO generating $20B+ of annual free cash flow growing to a highly compelling, 9% FCF yield in '23E (year of Humira's US patent expiry)'",1,increase,0.8,0.6,,171,340,2.0
9,ABBVIE INC,AbbVie shares are trading higher after UBS upgraded the stock from Neutral to Buy.,1,increase,0.8,0.6,,118,468,2.0
10,ABBVIE INC,"UBS Upgrades AbbVie to Buy, Lowers Price Target to $79",1,increase,0.7,0.3,,119,468,2.0
11,ABBVIE INC,Idera Pharmaceuticals Announces Immuno-Oncology Clinical Research Collaboration With AbbVie,1,increase,0.6,0.1,,117,596,2.0
