custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num
0,AGILENT TECHNOLOGIES INC,Agilent Companion Diagnostic Receives Expanded FDA Approval For PD-L1 IHC 22C3 PharmDx,1,positive,0.9,0.9,,125,853,2.0
1,AGILENT TECHNOLOGIES INC,"Piper Jaffray Initiates Coverage On Agilent Technologies with Overweight Rating, Announces $83 Price Target",1,positive,0.8,0.6,,126,660,2.0
2,APPLIED OPTOELECTRONICS INC,"Applied Optoelectronics shares are trading higher after Rosenblatt upgraded the stock from Sell to Neutral, and announced a $10 per share price target.",1,positive,0.8,0.6,,137,660,2.0
3,APPLIED OPTOELECTRONICS INC,"Rosenblatt Upgrades Applied Optoelectronics to Neutral, Announces $10 Price Target",1,neutral,0.8,0.0,,126,978,1.0
4,ALLIANCEBERNSTEIN HOLDING L P,"Goldman Sachs Upgrades AllianceBernstein Holding to Buy, Raises Price Target to $35",1,positive,0.9,0.8,,130,596,2.0
5,ABBVIE INC,AbbVie Shares Tick Higher Over Last Few Mins. Following Mention Of Unusual Option Activity By Jon Najarian On CNBC's 'Fast Money: Halftime Report',1,positive,0.7,0.3,,130,788,2.0
6,ABBVIE INC,"AbbVie shares are trading higher, rebounding after dipping on Monday following the announcement that the company will acquire Allergan for $60 billion. SVB Leerink upgraded the stock from Market Perform to Outperform.",1,positive,0.9,0.8,,139,596,2.0
7,ABBVIE INC,SVB Leerink Upgrades AbbVie to Outperform,1,positive,0.8,0.6,,109,660,2.0
8,ABBVIE INC,AbbVie Receives Positive Recommendation From INESSS For The Combination VENCLEXTA With Rituximab As A Treatment For Patients With Chronic Lymphocytic Leukemia,1,positive,0.9,0.8,,133,532,2.0
9,ABBVIE INC,AbbVie CEO Says Feels Comfortable With Risk Related To Allergan's Opioid Exposure,1,positive,0.7,0.3,,116,1364,2.0
10,ABBVIE INC,Abbvie CEO Says Believes It Is Highly Unlikely There Will Be A Botox Biosimilar For A Long Time,1,positive,0.8,0.8,,121,1236,2.0
11,ABBVIE INC,AbbVie Says Allergan Deal Mitigates Impact Of 2023 US Humira Loss Of Exclusivity,1,positive,0.9,0.8,,119,916,2.0
12,ABBVIE INC,AbbVie shares are trading lower after the company announced it will acquire Allergan for $188.24/share.,1,negative,0.7,0.7,,119,1108,0.0
13,ABBVIE INC,AbbVie To Acquire Allergan For $188.24/Share In Cash And Stock,1,positive,0.8,0.8,,115,852,2.0
14,ABBVIE INC,"UPDATE: AbbVie Would Pay $188/Share In Cash And Stock For Allergan, Representing 45% Premium To Allergan's Monday Close, According To Sources Cited By WSJ",1,positive,0.7,0.6,,137,1236,2.0
15,ABBVIE INC,AbbVie Announces US FDA Lifts Partial Clinical Hold on Phase 3 Study of Venetoclax in Patients with Multiple Myeloma Positive for the t(11;14) Genetic Abnormality,1,positive,0.9,0.9,,137,724,2.0
16,ABBVIE INC,AbbVie Reports To Present New Long-Term Data from Upadacitinib Phase 3 Studies in Rheumatoid Arthritis Including Results on Clinical Remission at 48 Weeks at EULAR,1,positive,0.9,0.6,,134,916,2.0
17,ABBVIE INC,AbbVie shares are trading higher after the company's SKYRIZI maintained its complete skin clearance.,1,positive,0.9,0.8,,116,788,2.0
18,ABBVIE INC,AbbVie Reports Recommendation From Pan-Canadian Oncology Drug Review Expert Review Committee For Combo VENCLEXTA With Rituxuimab As Treatment For Patients With Chronic Lymphocytic Leukemia,1,positive,0.9,0.8,,136,788,2.0
19,ABBVIE INC,AbbVie Highlights Publication Of Data From Venetoclax Chemotherapy-Free Combination Regimen For Patients With Previously Untreated Chronic Lymphocytic Leukemia,1,positive,0.7,0.6,,127,724,2.0
20,AMERISOURCEBERGEN CORP,"Argus Research Maintains Buy on AmerisourceBergen, Lowers Price Target to $100",1,positive,0.7,0.4,,126,1044,2.0
21,ARCA BIOPHARMA INC,"A Look At Benzinga Pro's Most-Searched Tickers For June 4, 2019",1,neutral,0.5,0.0,,124,530,1.0
22,ARCA BIOPHARMA INC,"Benzinga Pro's Top 10 Most-Searched Tickers For Morning of Tue., June 4, 2019",1,neutral,0.7,0.0,,129,724,1.0
23,ARCA BIOPHARMA INC,ARCA Biopharma Shares Halted On Circuit Breaker,1,neutral,0.6,0.0,,116,724,1.0
24,A B M INDUSTRIES INC,"ABM Initiates Energy Performance Contracting Program In Warren County, Pennsylvania; Terms Not Disclosed",1,positive,0.6,0.4,,121,980,2.0
25,A B M INDUSTRIES INC,ABM Industries shares are trading higher after the company reported better-than-expected Q2 EPS results; the company also provided FY19 EPS guidance above analyst estimates.,1,positive,0.8,0.8,,133,724,2.0
26,A B M INDUSTRIES INC,ABM Industries Sees FY19 Adj. EPS $1.95-$2.05 vs $1.99 Est.,1,neutral,0.7,0.0,,126,1044,1.0
27,A B M INDUSTRIES INC,"ABM Industries Q2 Adj. EPS $0.47 Beats $0.41 Estimate, Sales $1.595B Miss $1.61B Estimate",1,neutral,0.6,0.0,,134,1300,1.0
28,ARCH CAPITAL GROUP LTD NEW,Deutsche Bank Upgrades Arch Capital Group to Buy,1,positive,0.9,0.9,,110,852,2.0
29,A C I WORLDWIDE INC,ACI Worldwide Making Strategic Investment in India's Mindgate Solutions; Financial Details Not Disclosed,1,positive,0.7,0.6,,120,468,2.0
30,AXCELIS TECHNOLOGIES INC,Axcelis Announces First Order For 'Purion XE Power Series' Implanter,1,positive,0.8,0.7,,121,596,2.0
31,AXCELIS TECHNOLOGIES INC,Axcelis Cuts Q2 Prelim. Sales Guidance From $80M To $75M vs $82.93M,1,negative,0.8,0.1,,129,1173,0.0
