custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num,date,permno,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3,ret,exret,b_mkt,mkt-rf,smb,hml,rf,exret_hat,exret_1,exret_2,exret_3,exret_4,exret_5,exret_6,exret_7,exret_8,exret_9,exret_10
3223,AGILENT TECHNOLOGIES INC,Agilent Companion Diagnostic Receives Expanded FDA Approval For PD-L1 IHC 22C3 PharmDx,2,increase,0.8,0.6,,137,29,2.0,2019-06-11,87432.0,0.2853539539501071,2.5966720174211977,3.452712176514816,1.107601169496775,1.6338883908966428,2.838335761292088,-0.2845,-0.1669,1.0549,-0.12,-0.25,0.55,0.009,-0.166912,0.4873,-0.543,-0.1941,0.2903,1.1995,0.6813,-0.0291,0.24,0.0776,0.1683
3231,AGILENT TECHNOLOGIES INC,"Piper Jaffray Initiates Coverage On Agilent Technologies with Overweight Rating, Announces $83 Price Target",2,increase,0.8,0.6,,138,29,2.0,2019-06-11,87432.0,0.2853539539501071,2.5966720174211977,3.452712176514816,1.107601169496775,1.6338883908966428,2.838335761292088,-0.2845,-0.1669,1.0549,-0.12,-0.25,0.55,0.009,-0.166912,0.4873,-0.543,-0.1941,0.2903,1.1995,0.6813,-0.0291,0.24,0.0776,0.1683
3239,ABBVIE INC,AbbVie shares are trading higher after the company's SKYRIZI maintained its complete skin clearance.,2,increase,0.8,0.6,,128,29,2.0,2019-06-11,13721.0,0.5117072258144617,0.1023434106663057,-15.952413666860677,-0.6199190858751535,-0.1557061721402464,-0.1427467083734646,1.5854,1.6769,0.835,-0.12,-0.25,0.55,0.009,1.6766,0.6697,0.0406,-0.1127,-0.185,-1.3843,-1.092,0.1957,0.7265,-0.1468,-15.457
3247,AXCELIS TECHNOLOGIES INC,Axcelis Cuts Q2 Prelim. Sales Guidance From $80M To $75M vs $82.93M,2,decrease,0.8,0.6,,141,30,0.0,2019-06-11,88417.0,-2.3194193840026855,-2.7170299942472553,-6.825710389608353,4.723886027932167,5.708525398773845,5.284280900502791,-4.1296,-3.9423,1.6395,-0.12,-0.25,0.55,0.009,-3.94186,-2.0005,1.7833,-3.1345,-2.929,1.6591,-0.9468,-1.3432,-0.8924,-0.417,-0.2001
3255,ALBEMARLE CORP,Albemarle Corp Executive Says Company Sees Demand For Lithium Remaining Strong; Says Company Continues To Expect Annual Global Lithium Demand Will Hit 1 Million Tonnes By 2025,2,increase,0.8,0.7,,152,29,2.0,2019-06-11,80191.0,-1.7023015767335892,-3.135714134330126,-7.214492815585771,2.6780521497130394,3.6079481039898553,5.284247248657303,3.5246,3.6536,1.1481,-0.12,-0.25,0.55,0.009,3.653372,-1.4817,0.7061,-2.2822,0.3262,-1.867,-2.9612,-0.2272,-1.4246,-0.104,0.7892
3263,AMERICAN HOMES 4 RENT,Citigroup Downgrades American Homes 4 Rent to Neutral,2,decrease,0.8,0.6,,128,34,0.0,2019-06-11,14061.0,-0.0809002842288464,1.2555143277809266,-1.298164266090518,0.0403320736950263,-0.3215431160871862,-0.3615916257114104,-0.3226,-0.2895,0.35,-0.12,-0.25,0.55,0.009,-0.2896,-0.0199,0.4162,-0.2371,0.9904,-0.3723,0.8005,0.3153,-1.4329,-0.8095,-1.3178
3271,ARROW ELECTRONICS INC,"Deutsche Bank Reinstates Buy on Arrow Electronics, Announces $83 Price Target",2,increase,0.8,0.6,,130,29,2.0,2019-06-11,29209.0,-1.7654595896601677,-1.521454741984507,0.2870742653236835,2.838689275085926,4.105222289127308,4.057747764788644,1.7526,1.8914,1.2305,-0.12,-0.25,0.55,0.009,1.89126,-1.5284,0.4026,-2.6548,-0.3583,1.1249,0.5416,-0.16,0.0084,0.0255,1.7665
3279,AEROVIRONMENT INC,AeroVironment Acquires VTOL UAS Developer Pulse Aerospace For $25.7M To Strengthen Family Of Small Unmanned Aircraft Systems,2,increase,0.75,0.6,,143,29,2.0,2019-06-11,91733.0,-0.873291864991188,-2.429340520862322,-2.65163237786199,-0.9215813130140303,-1.383705492604237,-3.1603047683696484,-0.7094,-0.5867,1.0968,-0.12,-0.25,0.55,0.009,-0.5867840000000001,-0.6629,1.3261,-1.3931,-1.8698,-1.2268,0.3702,4.4038,-1.6912,-3.0219,0.2601
3287,BROADCOM INC,Analysts Discuss Broadcom's New Supply Agreement With Apple,2,increase,0.8,0.6,,121,29,2.0,2019-06-11,93002.0,-1.322844624519348,-1.9154870933766444,-1.515319435214224,1.9427353516221049,2.7200348084727377,5.453104984608759,1.167,1.3009,1.1933,-0.12,-0.25,0.55,0.009,1.301196,-1.0932,0.0422,-5.2546,-0.1742,3.2851,-0.5986,-0.5252,-0.6187,2.304,0.211
3295,BROADCOM INC,Broadcom  shares are trading higher after the company disclosed an agreement to supply radio frequency components and modules for Apple devices.,2,increase,0.8,0.7,,133,29,2.0,2019-06-11,93002.0,-1.322844624519348,-1.9154870933766444,-1.515319435214224,1.9427353516221049,2.7200348084727377,5.453104984608759,1.167,1.3009,1.1933,-0.12,-0.25,0.55,0.009,1.301196,-1.0932,0.0422,-5.2546,-0.1742,3.2851,-0.5986,-0.5252,-0.6187,2.304,0.211
