custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num,date,permno,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3,ret,exret,b_mkt,mkt-rf,smb,hml,rf,exret_hat,exret_1,exret_2,exret_3,exret_4,exret_5,exret_6,exret_7,exret_8,exret_9,exret_10
4131,AGILENT TECHNOLOGIES INC,Agilent Collaborates On Study Of Performance-Enhancing Spinach Extract,7,positive,0.75,0.25,"this is mildly positive because agilent's collaboration on a scientific study signals ongoing r&d engagement and potential revenue or reputation benefits, but the item is limited in scope and unlikely to have an immediate material impact.",137,272,2.0,2019-09-03,87432.0,0.63910940662026,6.19229186939429,8.50731072749506,0.57992031797766,1.6728597950146098,2.34599478779728,-0.9844,-0.0728,1.0596,-0.86,-0.95,0.1,0.009,-0.082144,-0.5142,2.2433,1.0461,-0.2184,0.6046,2.0189,0.5078,0.4272,-0.7242,-1.1638
4139,ADVANCE AUTO PARTS INC,Advance Auto Parts shares are trading higher. Not currently seeing any news to justify price action.,7,neutral,0.9,0.15,"this is neutral because it merely notes the stock is trading higher but explicitly states there is no news to justify the move, so it conveys no clear fundamental positive or negative information about the company.",138,333,1.0,2019-09-23,89217.0,-1.24054085463285,2.5927260583144403,-1.82979562749785,1.89136080443859,1.2752090665181,-0.20431222796551,3.5519,3.5557,0.6403,-0.02,-0.17,0.51,0.009,3.555706,-0.6028,1.4698,-0.9153,1.2024,1.9689,1.986,-1.4875,-2.4281,-0.8488,-0.7895
4147,ADVANCE AUTO PARTS INC,"Citigroup Upgrades Advance Auto Parts to Buy, Raises Price Target to $188",7,positive,0.95,0.8,"an analyst upgrade to 'buy' combined with a raised price target indicates improved analyst sentiment and expected upside for advance auto parts, which is positive for the company's stock outlook.",137,258,2.0,2019-09-13,89217.0,-0.59235203079879,-0.79545401113277,3.02132481508536,-2.30391770601272,0.32320622570114,5.27030111470956,1.1598,1.1573,0.6474,-0.01,0.01,0.74,0.009,1.157274,-0.4525,-0.1192,-1.4375,-0.5813,2.1911,3.5557,-0.6028,1.4698,-0.9153,1.2024
4155,ADVANCE AUTO PARTS INC,"Advance Auto Parts shares trading higher with other stocks in auto retail space. A Morgan Stanley analyst suggested recent pullback in Advance Auto Parts shares presented ""a good buying opportunity.""",7,positive,0.9,0.4,"the stock is trading higher and a morgan stanley analyst called the pullback a ""good buying opportunity,"" signaling positive market and analyst sentiment toward advance auto parts.",154,198,2.0,2019-09-10,89217.0,2.68907807767391,0.8855917692434099,2.96220142265495,0.14943683054298,0.6004705637693201,3.90442822767995,4.9312,4.8134,0.6426,0.17,1.06,1.13,0.009,4.812957999999999,2.1146,-2.4557,1.1573,-0.4525,-0.1192,-1.4375,-0.5813,2.1911,3.5557,-0.6028
4163,ABBVIE INC,Abbvie Inc Co And Allergan Are Cooperating Fully With FTC And Continue To Expect To Close Transaction In Early 2020,7,positive,0.9,0.6,"positive — cooperation with the ftc and an expected early-2020 close reduce regulatory uncertainty and increase the likelihood the transaction will complete, which is favorable for abbvie.",142,328,2.0,2019-09-27,13721.0,1.16232838481664,-0.25383398174099,-0.20040216790964,2.69108414649963,1.48046864971735,1.50829353315586,1.1077,1.6313,0.8566,-0.62,-0.34,0.88,0.009,1.629792,0.725,-2.1713,-0.0085,1.6841,-0.121,-0.0924,0.3101,-1.1165,1.0526,-0.7356
4171,ABBVIE INC,AbbVie shares are trading higher after Citigroup upgraded the stock from Neutral to Buy.,7,positive,0.9,0.6,"an analyst upgrade from neutral to buy typically signals improved outlook and, together with shares trading higher, reflects a positive market and sentiment impact for abbvie.",133,190,2.0,2019-09-26,13721.0,1.10765863209962,-0.24314501760249,0.56733526086591,-1.17889055982232,-1.15179484487319,-0.41442613023022,2.6911,3.036,0.8591,-0.41,-0.96,0.11,0.009,3.034331,1.6313,0.725,-2.1713,-0.0085,1.6841,-0.121,-0.0924,0.3101,-1.1165,1.0526
4179,ABBVIE INC,Citigroup Upgrades AbbVie to Buy,7,positive,0.95,0.7,"a major analyst (citigroup) upgrading abbvie to a 'buy' indicates increased analyst confidence and is typically bullish for the company's stock, so the headline is positive.",125,270,2.0,2019-09-26,13721.0,1.10765863209962,-0.24314501760249,0.56733526086591,-1.17889055982232,-1.15179484487319,-0.41442613023022,2.6911,3.036,0.8591,-0.41,-0.96,0.11,0.009,3.034331,1.6313,0.725,-2.1713,-0.0085,1.6841,-0.121,-0.0924,0.3101,-1.1165,1.0526
4187,ABBVIE INC,UPDATE: UBS On AbbVie Also Notes 'Post '23 we estimate stable cash flows driven by ABBV's 5 key growth assets & AGN Aesthetics franchise. NEWCO cash flows are immediately tangible via a sustainable & growing dividend',7,positive,0.9,0.7,"ubs expects stable cash flows from abbvie's key growth assets and agn aesthetics franchise and highlights immediately tangible, sustainable and growing dividend cash flows for the new company, which signals a favorable financial outlook.",165,274,2.0,2019-09-12,13721.0,-0.45178551226854,1.18593296869,4.51785528718398,1.92138105630874,4.18291027750759,2.76544681838475,1.9283,1.7282,0.871,0.22,-0.3,-0.13,0.009,1.72768,-0.4521,0.2906,1.2889,-0.4265,0.5957,1.4153,0.7544,0.8961,-1.7851,3.036
4195,ABBVIE INC,"UPDATE: UBS Upgrades AbbVie To Buy, Lowers Target To $79 As Firm Notes Co's 'acquisition of AGN leads to a NEWCO generating $20B+ of annual free cash flow growing to a highly compelling, 9% FCF yield in '23E (year of Humira's US patent expiry)'",7,positive,0.9,0.7,"ubs upgraded abbvie to buy and emphasized that the allergan acquisition creates a newco with $20b+ annual free cash flow and a projected 9% fcf yield in 2023 despite humira's us patent expiry, signaling a materially positive outlook for the company.",185,352,2.0,2019-09-12,13721.0,-0.45178551226854,1.18593296869,4.51785528718398,1.92138105630874,4.18291027750759,2.76544681838475,1.9283,1.7282,0.871,0.22,-0.3,-0.13,0.009,1.72768,-0.4521,0.2906,1.2889,-0.4265,0.5957,1.4153,0.7544,0.8961,-1.7851,3.036
4203,ABBVIE INC,AbbVie shares are trading higher after UBS upgraded the stock from Neutral to Buy.,7,positive,0.9,0.6,"ubs upgrading abbvie from neutral to buy is a favorable analyst action that signals an improved outlook and has already driven the shares higher, indicating positive news.",132,262,2.0,2019-09-12,13721.0,-0.45178551226854,1.18593296869,4.51785528718398,1.92138105630874,4.18291027750759,2.76544681838475,1.9283,1.7282,0.871,0.22,-0.3,-0.13,0.009,1.72768,-0.4521,0.2906,1.2889,-0.4265,0.5957,1.4153,0.7544,0.8961,-1.7851,3.036
4211,ABBVIE INC,"UBS Upgrades AbbVie to Buy, Lowers Price Target to $79",7,positive,0.78,0.5,"an upgrade to buy indicates improved analyst sentiment and a recommendation to purchase abbvie (positive), though the simultaneous lowering of the price target reduces expected upside and tempers the bullishness.",133,334,2.0,2019-09-12,13721.0,-0.45178551226854,1.18593296869,4.51785528718398,1.92138105630874,4.18291027750759,2.76544681838475,1.9283,1.7282,0.871,0.22,-0.3,-0.13,0.009,1.72768,-0.4521,0.2906,1.2889,-0.4265,0.5957,1.4153,0.7544,0.8961,-1.7851,3.036
4219,ABBVIE INC,Idera Pharmaceuticals Announces Immuno-Oncology Clinical Research Collaboration With AbbVie,7,positive,0.8,0.4,"a clinical research collaboration in immuno-oncology with idera is a positive development for abbvie because it signals pipeline expansion and strategic r&d validation, though the near-term financial impact and clinical success are uncertain.",131,273,2.0,2019-09-04,13721.0,0.97921295091509,4.68514736232379,7.366676273667331,-0.51718335598707,-1.23829607712134,-1.01407317846297,1.4985,0.5587,0.8645,1.08,-0.22,0.43,0.009,0.5558399999999999,-0.2574,0.8885,-1.4301,2.0632,1.1515,1.7282,-0.4521,0.2906,1.2889,-0.4265
4227,ABBVIE INC,"Piper Jaffray Maintains Overweight on AbbVie, Raises Price Target to $81",7,positive,0.9,0.6,"an analyst maintained an 'overweight' (bullish) rating and raised the price target to $81, signaling increased confidence and a more positive outlook for abbvie shares.",136,266,2.0,2019-09-04,13721.0,0.97921295091509,4.68514736232379,7.366676273667331,-0.51718335598707,-1.23829607712134,-1.01407317846297,1.4985,0.5587,0.8645,1.08,-0.22,0.43,0.009,0.5558399999999999,-0.2574,0.8885,-1.4301,2.0632,1.1515,1.7282,-0.4521,0.2906,1.2889,-0.4265
4235,AMERISOURCEBERGEN CORP,AmerisourceBergen shares are trading higher on seemingly no company-specific news. NOTE: The stock appears to be rebounding from the $80 support level.,7,positive,0.85,0.35,"shares trading higher and appearing to rebound from the $80 support level signals a positive market movement for amerisourcebergen, though the absence of company-specific news implies the move may be short-term or sentiment-driven rather than reflecting new fundamentals.",156,272,2.0,2019-09-30,81540.0,-0.25506992824375,-0.57087475941088,-0.91096801918809,-1.29267992451787,-2.75141267445042,-2.12816747689165,1.7173,1.3143,0.7896,0.5,-0.17,-0.48,0.009,1.3135,0.7723,-0.0351,-0.1912,-0.4706,0.3262,-0.808,-0.4833,0.0879,0.4341,-0.3232
