custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num,date,permno,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3,ret,exret,b_mkt,mkt-rf,smb,hml,rf,exret_hat,exret_1,exret_2,exret_3,exret_4,exret_5,exret_6,exret_7,exret_8,exret_9,exret_10
5222,AGILENT TECHNOLOGIES INC,Agilent Shares Unaffected As Hearing FDA Approved Co.'s PD-L1 IHC 22C3 PharmDx Assay For Expanded Use,7,increase,0.75,0.25,"expanded fda approval of agilent's pd‑l1 ihc 22c3 pharmdx assay should modestly boost demand for the company's assay kits and related instrument/consumable sales, so the news is positive, but the market reaction is likely muted because it's incremental/anticipated and may not materially move near‑term revenue.",157,426,2.0,2019-07-31,87432.0,-0.28814950492233,-2.0746326557441503,-5.503540158014459,-0.31263495329767,0.93525397487737,0.42949611453677,-1.0549,0.0844,1.0504,-1.09,0.12,0.61,0.009,0.0810360000000003,0.7972,-0.7315,-0.0576,1.3753,0.3774,0.1563,-0.4098,-1.5454,-0.0499,0.0892
5230,AGILENT TECHNOLOGIES INC,Bank of America Downgrades Agilent Technologies to Neutral,7,decrease,0.7,0.3,"an analyst downgrade from a major bank typically signals weaker near-term outlook and can prompt selling pressure and reduced demand for the stock, causing a modest short-term decline in agilent's share price.",140,270,0.0,2019-07-16,87432.0,-0.51465420983731,-0.08577202636462,0.28592509136868,-1.53523860499262,-1.65876060840588,-3.84353226325558,-0.8505,-0.5197,1.0627,-0.32,0.35,0.1,0.009,-0.519436,0.1565,0.3954,-1.4532,0.2922,0.4538,-1.1589,1.0516,-1.3823,1.5809,-0.1422
5238,AGILENT TECHNOLOGIES INC,"Barclays Downgrades Agilent Technologies to Equal-Weight, Lowers Price Target to $78",7,decrease,0.75,0.35,"a downgrade and reduced price target from a major broker typically dampen investor sentiment and can trigger selling pressure, though the effect is likely moderate since it reflects a single analyst's view rather than company-specific news.",150,337,0.0,2019-07-15,87432.0,-0.85046924650669,-2.0694636634655,-0.25513855912565,-0.12544792843982,-2.3442840114169,-2.4506406042717197,-1.5352,-1.5018,1.0619,-0.04,-0.35,-1.07,0.009,-1.5017239999999998,-0.5197,0.1565,0.3954,-1.4532,0.2922,0.4538,-1.1589,1.0516,-1.3823,1.5809
5246,AGILENT TECHNOLOGIES INC,Agilent Will Acquire BioTek Instruments In $1.16B Deal,7,increase,0.75,0.35,"increase — the $1.16b bolt‑on acquisition of biotek strengthens agilent's life‑science instrumentation and automation portfolio, is modest relative to agilent's size so financial strain is limited, and investors typically view strategic, accretive acquisitions positively (though integration risk and execution could temper gains).",143,478,2.0,2019-07-11,87432.0,-0.12544792843982,-2.2442161341718303,-2.6345126812213597,-0.1089097466319699,-0.63650273259222,-3.14191055442721,-2.2216,-2.4333,1.0645,0.19,-0.79,0.04,0.009,-2.432855,-0.6987,-1.5018,-0.5197,0.1565,0.3954,-1.4532,0.2922,0.4538,-1.1589,1.0516
5254,AGILENT TECHNOLOGIES INC,Agilent To Purchase BioTek Instruments For $1.165B,7,increase,0.65,0.2,"the $1.165b purchase of biotek appears strategically complementary to agilent's life‑sciences instruments business and is modest relative to agilent's scale, so it should be viewed as accretive and growth‑enhancing overall, though near‑term integration costs and any acquisition premium limit the immediate upside.",142,362,2.0,2019-07-11,87432.0,-0.12544792843982,-2.2442161341718303,-2.6345126812213597,-0.1089097466319699,-0.63650273259222,-3.14191055442721,-2.2216,-2.4333,1.0645,0.19,-0.79,0.04,0.009,-2.432855,-0.6987,-1.5018,-0.5197,0.1565,0.3954,-1.4532,0.2922,0.4538,-1.1589,1.0516
5262,APPLIED OPTOELECTRONICS INC,"JP Morgan Initiates Coverage On Applied Optoelectronics with Neutral Rating, Announces $11 Price Target",7,uncertain,0.6,0.2,"a neutral initiation usually has limited directional impact — it increases analyst visibility but does not signal a strong buy or sell, and the net effect will depend on whether jpmorgan's $11 price target is materially above or below the stock's current market price (not provided).",153,534,1.0,2019-07-29,14145.0,2.15517040342092,5.60345348051256,5.064658291146809,1.41612319275736,-1.99999567330018,-6.919964601337369e-09,-0.3222,0.1882,1.6261,-0.32,-0.34,-0.46,0.009,0.189152,2.4226,7.3449,0.8425,1.6676,3.2034,1.2942,0.7754,3.7372,-1.8136,-5.691
5270,ADVANCE AUTO PARTS INC,"CORRECTION: Goldman Sachs Initiates Coverage On Advance Auto Parts with Sell Rating, Announces $151 Price Target; A Prior Headline Indicated A $115 Price Target, This Was Incorrect",7,decrease,0.7,0.35,"a new sell initiation from goldman sachs is likely to weigh on the stock, even though the corrected $151 price target (vs. the earlier erroneous $115) lessens the negative surprise and mitigates some downward pressure.",165,468,0.0,2019-07-11,89217.0,1.46523043513298,1.03013667168108,-4.00537121257394,0.59806602075695,-1.11259231358334,-2.60864313789292,-0.0895,-0.2149,0.6127,0.19,-0.79,0.04,0.009,-0.214913,1.1315,0.2299,1.975,-2.1453,-0.0797,-0.2771,1.0915,-1.2077,0.1268,-4.962
5278,ADVANCE AUTO PARTS INC,"Goldman Sachs Initiates Coverage On Advance Auto Parts with Sell Rating, Announces $151 Price Target",7,decrease,0.75,0.4,"a sell initiation from a major firm like goldman sachs is likely to create negative investor sentiment and prompt some selling pressure on advance auto parts shares, although the ultimate move depends on how the $151 target compares to the current market price.",146,335,0.0,2019-07-11,89217.0,1.46523043513298,1.03013667168108,-4.00537121257394,0.59806602075695,-1.11259231358334,-2.60864313789292,-0.0895,-0.2149,0.6127,0.19,-0.79,0.04,0.009,-0.214913,1.1315,0.2299,1.975,-2.1453,-0.0797,-0.2771,1.0915,-1.2077,0.1268,-4.962
5286,ALLIANCEBERNSTEIN HOLDING L P,"AllianceBernstein Holding Q2 EPS $0.56 Misses $0.58 Estimate, Sales $714.566M Beat $709.54M Estimate",7,decrease,0.6,0.35,"a slight eps miss typically weighs on the stock more than a small revenue beat, so absent stronger guidance or other positive details this mixed quarter is likely to produce a modest downward reaction.",169,271,0.0,2019-07-25,75278.0,1.91912092268466,0.78820967399095,-2.1379166192119903,-0.6664470769464901,-0.26764783299702,-1.35671697114305,-2.1134,-1.5543,0.9058,-0.63,-0.66,-0.12,0.009,-1.5517459999999998,1.1674,-0.5235,1.5026,1.8924,-1.5788,0.3514,-3.0734,2.8885,-0.6085,-1.8972
5294,ALLIANCEBERNSTEIN HOLDING L P,"Citigroup Maintains Buy on AllianceBernstein Holding, Raises Price Target to $37",7,increase,0.75,0.45,"a major bank maintaining a buy rating and raising its price target is a positive analyst signal that typically attracts buying and supports the stock, though the actual move may be moderate and dependent on broader market sentiment and whether the change was already anticipated.",154,283,2.0,2019-07-09,75278.0,0.96409879624843,2.32713024760453,-0.23271175320217,0.0,-0.29703022446483,1.27388250796367,-0.4303,-0.6028,0.9066,0.18,-0.15,-0.43,0.009,-0.602488,0.5925,0.9382,-1.2062,-0.0713,1.3318,-0.4693,-0.228,-0.3869,-1.3276,-0.1965
