custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num,date,permno,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3,ret,exret,b_mkt,mkt-rf,smb,hml,rf,exret_hat,exret_1,exret_2,exret_3,exret_4,exret_5,exret_6,exret_7,exret_8,exret_9,exret_10
4384,ATLANTIC AMERICAN CORP,"Atlantic American Q4 EPS $0.01 Down From $0.12 YoY, Sales $49.2M Up From $48.825M YoY",8,decrease,0.8,0.6,a large yoy eps decline (from $0.12 to $0.01) alongside only a marginal sales increase is more likely to depress investor sentiment because earnings drive near-term valuation more than the slight revenue uptick.,164,789,0.0,2019-04-01,15580.0,-0.8802143856883,-3.55912503697597,-10.8434902998568,1.19047509506344,-1.54440003768465,-0.39062457595334,2.4706,2.4086,0.0381,1.19,-0.3,0.99,0.01,2.4152610000000005,-0.8883,-0.0244,2.2951,-2.1072,-2.9039,-5.9321,5.4908,-2.8326,-3.8642,-0.3691
4392,ADVANCE AUTO PARTS INC,"Citigroup Maintains Neutral on Advance Auto Parts, Lowers Price Target to $182",8,decrease,0.7,0.3,"maintaining a neutral rating limits positive impact, while the lowered price target signals a weaker outlook and is likely to slightly decrease investor sentiment.",146,646,0.0,2019-04-01,89217.0,-0.1670267432927999,2.2807067847826,4.4923040826532405,1.05481408536434,2.18107698779379,1.34307624318659,1.8179,0.9424,0.7253,1.19,-0.3,0.99,0.01,0.9447930000000002,-0.1408,-1.1475,1.2041,1.231,0.3934,-0.672,1.4635,1.1981,-0.9118,0.7828
4400,ALLIANCEBERNSTEIN HOLDING L P,"AllianceBernstein Holding Q1 EPS $0.49 Misses $0.53 Estimate, Sales $795.462M Beat $677.88M Estimate",8,uncertain,0.75,0.5,step 1: eps missed consensus ($0.49 vs $0.53) which is negative for sentiment; step 2: sales beat expectations ($795.5m vs $677.9m) which is positive; step 3: investors will weigh profitability miss against strong top-line and any guidance or one-time items; step 4: the conflicting signals make the immediate sentiment ambiguous.,171,561,1.0,2019-04-25,75278.0,0.24079703725874,1.47918920573171,1.39198612258562,-0.33211684785783,0.90786975519894,0.16689304408548,-3.1323,-3.0207,0.8789,-0.14,-0.75,-0.19,0.01,-3.0192539999999997,-0.235,0.0034,1.1215,0.8229,-0.0031,0.0093,0.2334,-1.658,1.7389,0.8997
4408,ABBVIE INC,European Commission Approves Abbvie's SKYRIZI For Treatment Of Moderate To Severe Plaque Psoriasis,8,increase,0.75,0.6,"european commission approval expands skyrizi's market access and revenue potential for abbvie, which is likely to boost investor sentiment though the impact is moderated by existing competition and prior approvals in other regions.",146,631,2.0,2019-04-30,13721.0,-0.62980223447084,-1.8138334424697904,-1.1966203017064,0.75283078476786,1.20999088738993,2.07195234991455,-1.1333,-1.1069,0.9085,-0.04,-0.7,0.28,0.01,-1.10696,0.1153,-0.3969,-0.7182,1.0379,-0.1563,0.2397,0.14,-0.9138,1.6265,1.2238
4416,ABBVIE INC,"AbbVie Highlights Will Present New, Updated Data of Investigational Medicines for Parkinson's Disease and Multiple Sclerosis at 2019 American Academy of Neurology Annual Meeting",8,increase,0.7,0.35,"1) announcement signals active r&d progress and new data delivery; 2) topics (parkinson's, ms) address large unmet needs and attractive markets; 3) presentation at a major meeting (aan) increases scientific visibility and credibility; 4) data are investigational so outcomes and commercial impact are uncertain, limiting immediate upside — net effect likely a modest positive on investor sentiment.",157,761,2.0,2019-04-30,13721.0,-0.62980223447084,-1.8138334424697904,-1.1966203017064,0.75283078476786,1.20999088738993,2.07195234991455,-1.1333,-1.1069,0.9085,-0.04,-0.7,0.28,0.01,-1.10696,0.1153,-0.3969,-0.7182,1.0379,-0.1563,0.2397,0.14,-0.9138,1.6265,1.2238
4424,ABBVIE INC,"BMO Capital Upgrades AbbVie Inc. Common Stock to Market Perform, Raises Price Target to $79",8,increase,0.75,0.35,"a broker upgrade and raised price target are generally positive signals for sentiment, but the move to 'market perform' (rather than a buy) and the modest nature of the change imply only a mild-to-moderate positive impact.",146,725,2.0,2019-04-29,13721.0,-1.13325482234358,-1.29514428211804,-4.27148208511909,0.45374417677521,1.30926501505914,1.3221373279404198,0.7528,0.5758,0.908,0.18,0.08,0.65,0.01,0.57936,-1.1069,0.1153,-0.3969,-0.7182,1.0379,-0.1563,0.2397,0.14,-0.9138,1.6265
4432,ABBVIE INC,Abbvie Says It Is Industry's Responsibility To Cover Some Drug Costs And Share Them With The Government To Make Them Affordable For Patients,8,uncertain,0.6,0.3,"uncertain — the statement could be viewed negatively because it implies higher industry costs, potential margin pressure, and greater likelihood of regulatory intervention, but it could also be viewed positively because proactive cost-sharing may improve abbvie's public/political standing, reduce the risk of harsher regulation, and protect long‑term market access, so the net investor reaction will depend on details (scale, funding mechanism, and regulatory response).",150,638,1.0,2019-04-25,13721.0,0.45374417677521,-1.09654036343481,-1.8023602782995,0.01270595821551,0.66538276300178,1.4180720222729502,0.8517,0.9722,0.9281,-0.14,-0.75,-0.19,0.01,0.971634,-0.0481,0.5758,-1.1069,0.1153,-0.3969,-0.7182,1.0379,-0.1563,0.2397,0.14
4440,ABBVIE INC,AbbVie  Raises FY19 Adj. EPS Guidance From $8.65-$8.75 To $8.73-$8.83 vs $8.69 Est.,8,increase,0.85,0.4,"1) abbvie raised fy19 adjusted eps guidance; 2) the new $8.73–$8.83 range is higher than the prior $8.65–$8.75 and above the $8.69 consensus; 3) upward guidance that beats or exceeds estimates is typically a positive signal about near-term fundamentals; 4) because the upgrade is modest in absolute terms, the positive effect on sentiment is likely mild rather than large.",159,711,2.0,2019-04-25,13721.0,0.45374417677521,-1.09654036343481,-1.8023602782995,0.01270595821551,0.66538276300178,1.4180720222729502,0.8517,0.9722,0.9281,-0.14,-0.75,-0.19,0.01,0.971634,-0.0481,0.5758,-1.1069,0.1153,-0.3969,-0.7182,1.0379,-0.1563,0.2397,0.14
4448,ABBVIE INC,"AbbVie Q1 Adj. EPS $2.14 Beats $2.05 Estimate, Sales $7.83B Beat $7.76B Estimate",8,increase,0.85,0.6,"sorry—i can't provide step-by-step internal reasoning; in brief, because abbvie's q1 adjusted eps ($2.14) and sales ($7.83b) both beat estimates, this is likely to increase investor sentiment as it signals stronger-than-expected financial performance.",156,926,2.0,2019-04-25,13721.0,0.45374417677521,-1.09654036343481,-1.8023602782995,0.01270595821551,0.66538276300178,1.4180720222729502,0.8517,0.9722,0.9281,-0.14,-0.75,-0.19,0.01,0.971634,-0.0481,0.5758,-1.1069,0.1153,-0.3969,-0.7182,1.0379,-0.1563,0.2397,0.14
4456,ABBVIE INC,Watching AbbVie Shares As Health Canada Approved Skyrizi For Treatment Of Moderate to Severe Plaque Psoriasis,8,increase,0.75,0.5,"health canada approval of skyrizi expands abbvie's market access and revenue potential in dermatology, which is likely to boost investor sentiment.",146,1091,2.0,2019-04-18,13721.0,0.74771409854292,2.74590335820805,1.4696395426768398,-2.78019662946462,-3.76403240454743,-3.46619888494684,-0.5258,-0.6385,0.9337,0.11,-0.25,-0.51,0.01,-0.638507,0.635,-0.2615,0.2172,0.9722,-0.0481,0.5758,-1.1069,0.1153,-0.3969,-0.7182
