custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num,date,permno,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3,ret,exret,b_mkt,mkt-rf,smb,hml,rf,exret_hat,exret_1,exret_2,exret_3,exret_4,exret_5,exret_6,exret_7,exret_8,exret_9,exret_10
4570,AGILENT TECHNOLOGIES INC,"Barclays Maintains Overweight on Agilent Technologies, Raises Price Target to $83",8,increase,0.65,0.4,"barclays' overweight rating and higher price target imply optimism on agilent, which could lead to upside in the stock, though actual movement depends on broader market factors and timing.",149,1490,2.0,2019-02-21,87432.0,0.68044522777199,1.98998984520788,1.07844905811833,1.34159047156572,0.3320491474997299,1.9994819208559704,-0.8528,-0.4598,1.0887,-0.37,-0.07,-0.22,0.01,-0.459981,-0.0372,0.9997,-0.8313,0.9986,0.358,1.4638,-0.7995,-0.3076,-0.3193,0.8794
4578,AGILENT TECHNOLOGIES INC,"UPDATE: Agilent Raises FY19 Adj. EPS Guidance From $3-$3.05 To $3.03-$3.07 vs $3.05 Estimate, Sales From $5.13B-$5.17B To $5.15B-$5.19B vs $5.17B Est.",8,increase,0.6,0.2,"the update raises fy19 adj. eps and sales guidance, which is generally interpreted positively by investors, though the changes are modest and near consensus.",195,1737,2.0,2019-02-20,87432.0,-0.8528490550816,1.09470549289771,0.24185643636533,-0.99617671221494,0.6491820843041299,0.34951023193336,1.3416,1.1247,1.0894,0.19,0.21,0.55,0.01,1.124614,-0.4598,-0.0372,0.9997,-0.8313,0.9986,0.358,1.4638,-0.7995,-0.3076,-0.3193
4586,AGILENT TECHNOLOGIES INC,"Agilent Sees Q2 Adj. EPS $0.70-$0.72 vs $0.72 Estimate, Sales $1.255B-$1.27B vs $1.27B Est.; Raises FY19 Guidance",8,increase,0.65,0.4,"eps is in-line with estimates and sales are roughly in-line, but raised fy19 guidance signals a stronger outlook, which would likely push agilent's stock higher modestly.",178,2127,2.0,2019-02-20,87432.0,-0.8528490550816,1.09470549289771,0.24185643636533,-0.99617671221494,0.6491820843041299,0.34951023193336,1.3416,1.1247,1.0894,0.19,0.21,0.55,0.01,1.124614,-0.4598,-0.0372,0.9997,-0.8313,0.9986,0.358,1.4638,-0.7995,-0.3076,-0.3193
4594,AGILENT TECHNOLOGIES INC,"Agilent Technologies Q1 EPS $0.76 Beats $0.73 Estimate, Sales $1.284B Beat $1.27B Estimate",8,increase,0.7,0.3,"the company beat both eps and revenue estimates in q1, which is typically interpreted as positive news and can lift the stock, assuming no negative forward guidance.",161,1286,2.0,2019-02-20,87432.0,-0.8528490550816,1.09470549289771,0.24185643636533,-0.99617671221494,0.6491820843041299,0.34951023193336,1.3416,1.1247,1.0894,0.19,0.21,0.55,0.01,1.124614,-0.4598,-0.0372,0.9997,-0.8313,0.9986,0.358,1.4638,-0.7995,-0.3076,-0.3193
4602,AGILENT TECHNOLOGIES INC,"Deutsche Bank Maintains Buy on Agilent Technologies, Raises Price Target to $85",8,increase,0.62,0.45,"deutsche bank's upgrade to buy and a raised price target suggest positive sentiment and potential upside for agilent, which often nudges the stock higher, though the actual move depends on current price and market conditions.",148,1489,2.0,2019-02-12,87432.0,0.23355430457741,1.93330459388494,3.0491740783663497,0.36939152050763,0.99561926715507,-0.28833711800452,1.3013,-0.2157,1.1003,1.36,0.02,-0.16,0.01,-0.2051080000000003,-0.0845,-0.0773,0.4114,-1.2148,1.1247,-0.4598,-0.0372,0.9997,-0.8313,0.9986
4610,ALTISOURCE ASSET MANAGEMENT CORP,Peabody Declares Supplemental Cash Dividend Of $1.85/Share To Augment $1.5B Buyback,8,uncertain,0.6,0.0,"the article concerns peabody's supplemental dividend and buyback, which are irrelevant to altisource asset management corp, so there is no direct impact and any effect on altisource's stock price is uncertain.",158,1493,1.0,2019-02-27,14127.0,3.06598078459501,-1.45085927724882,-2.40897176283442,0.82051204517483,1.34020740903337,12.34285663527847,-7.0956,-7.1631,0.6542,0.09,0.2,-0.12,0.01,-7.164478,3.2588,3.0962,1.3629,0.9931,-8.8854,-1.3779,0.7132,-3.1175,-1.5332,3.4452
4618,ALTISOURCE ASSET MANAGEMENT CORP,"Altisource Asset Management Q4 EPS $(2.69) Down From $(1.15) YoY, Sales $4.02M Down From $4.08M YoY",8,decrease,0.62,0.3,"the q4 results show a larger negative eps (-$2.69 vs -$1.15 yoy) and slightly lower revenue, which suggests negative earnings momentum that could pressure the stock.",171,1492,0.0,2019-02-27,14127.0,3.06598078459501,-1.45085927724882,-2.40897176283442,0.82051204517483,1.34020740903337,12.34285663527847,-7.0956,-7.1631,0.6542,0.09,0.2,-0.12,0.01,-7.164478,3.2588,3.0962,1.3629,0.9931,-8.8854,-1.3779,0.7132,-3.1175,-1.5332,3.4452
4626,APPLIED OPTOELECTRONICS INC,"UPDATE: DA Davidson Downgrades Applied Optoelectronics As Firm Notes 'With inventory levels growing at data center customers, visibility to overall revenue growth is muted",8,decrease,0.65,0.45,"the downgrade citing rising inventory at data center customers dampens revenue visibility, which tends to weigh on enterprise tech stock prices.",167,1408,0.0,2019-02-22,14145.0,8.98184329271316,-14.13748605035971,-16.47211395062338,-0.0684413127601099,-2.21031419561094,-2.8609404544445103,5.6164,4.8323,1.2095,0.65,0.55,-1.47,0.01,4.820225,8.7904,-1.4523,-1.2081,-17.0636,-2.8238,6.1511,-2.161,-1.4615,-1.1627,-0.732
4634,APPLIED OPTOELECTRONICS INC,Needham Downgrades Applied Optoelectronics to Hold,8,uncertain,0.55,0.3,"a downgrade to hold can create negative sentiment and potential near-term price pressure, but the actual direction depends on expectations, context, and broader market factors, making the outcome uncertain.",147,1616,1.0,2019-02-22,14145.0,8.98184329271316,-14.13748605035971,-16.47211395062338,-0.0684413127601099,-2.21031419561094,-2.8609404544445103,5.6164,4.8323,1.2095,0.65,0.55,-1.47,0.01,4.820225,8.7904,-1.4523,-1.2081,-17.0636,-2.8238,6.1511,-2.161,-1.4615,-1.1627,-0.732
4642,APPLIED OPTOELECTRONICS INC,"DA Davidson: Near-Term Applied Optoelectronics Outlook Blurred By Inventory Congestion, China Weakness",8,decrease,0.62,0.2,"negative near-term outlook from a reputable analyst citing inventory congestion and china weakness suggests demand headwinds for applied optoelectronics, likely pressuring the stock in the near term.",156,2182,0.0,2019-02-22,14145.0,8.98184329271316,-14.13748605035971,-16.47211395062338,-0.0684413127601099,-2.21031419561094,-2.8609404544445103,5.6164,4.8323,1.2095,0.65,0.55,-1.47,0.01,4.820225,8.7904,-1.4523,-1.2081,-17.0636,-2.8238,6.1511,-2.161,-1.4615,-1.1627,-0.732
