custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num,date,permno,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3,ret,exret,b_mkt,mkt-rf,smb,hml,rf,exret_hat,exret_1,exret_2,exret_3,exret_4,exret_5,exret_6,exret_7,exret_8,exret_9,exret_10
4703,AGILENT TECHNOLOGIES INC,"Agilent Technologies Sees Q4 Adj. EPS $0.84-$0.86 vs $0.87 Est., Sales $1.31B-$1.33B vs $1.34B Est., Sees FY19 Adj. EPS $3.07-$3.08 vs $3.05 Est., Sales $5.105B-$5.125B vs $5.11B Est.",6,negative,0.8,0.7,the news indicates that agilent technologies fell short of earnings and sales estimates for q4 and fy19.,203,55,0.0,2019-08-14,87432.0,6.098490953445435,10.077757288850098,6.632118223536576,1.515837013721466,-1.4568764061181017,-2.6622513977326845,-3.0308,-0.3339,0.9817,-2.95,0.22,-0.51,0.007,-0.141785,5.8696,0.7632,-0.1128,-0.3351,0.5786,-0.3498,-0.4593,-0.9972,0.0725,0.146
4711,AGILENT TECHNOLOGIES INC,"Agilent Technologies Q3 Adj. EPS $0.76 Beats $0.72 Estimate, Sales $1.27B Beat $1.24B Estimate",6,positive,0.9,0.8,"agilent technologies beat both earnings per share and sales estimates for q3, indicating strong performance.",151,53,2.0,2019-08-14,87432.0,6.098490953445435,10.077757288850098,6.632118223536576,1.515837013721466,-1.4568764061181017,-2.6622513977326845,-3.0308,-0.3339,0.9817,-2.95,0.22,-0.51,0.007,-0.141785,5.8696,0.7632,-0.1128,-0.3351,0.5786,-0.3498,-0.4593,-0.9972,0.0725,0.146
4719,AGILENT TECHNOLOGIES INC,Q3 Earnings Preview For Agilent Technologies,6,positive,0.8,0.6,"the preview of q3 earnings for agilent technologies is likely to be positive, with a moderate level of impact on the company's overall performance.",128,63,2.0,2019-08-14,87432.0,6.098490953445435,10.077757288850098,6.632118223536576,1.515837013721466,-1.4568764061181017,-2.6622513977326845,-3.0308,-0.3339,0.9817,-2.95,0.22,-0.51,0.007,-0.141785,5.8696,0.7632,-0.1128,-0.3351,0.5786,-0.3498,-0.4593,-0.9972,0.0725,0.146
4727,ADVANCE AUTO PARTS INC,Here Comes The Sun: Advance Auto Parts Analysts Bullish After Stormy Q2,6,positive,0.8,0.7,"analysts are bullish after a stormy q2, indicating optimism and potential growth for advance auto parts inc.",134,56,2.0,2019-08-14,89217.0,0.739976903423667,-0.1904972390707304,0.1978086099013509,0.0492347113322466,-1.4550031729250623,-1.5232272139683034,-4.0357,-2.1516,0.6653,-2.95,0.22,-0.51,0.007,-2.080065,0.7967,-1.7837,-0.9259,-0.2506,0.0979,1.0218,-0.0211,-0.7128,0.366,0.8462
4735,ADVANCE AUTO PARTS INC,"UBS Maintains Buy on Advance Auto Parts, Lowers Price Target to $170",6,neutral,0.7,0.2,"the news maintains a positive outlook on advance auto parts but lowers the price target, resulting in a neutral overall impact.",134,57,1.0,2019-08-14,89217.0,0.739976903423667,-0.1904972390707304,0.1978086099013509,0.0492347113322466,-1.4550031729250623,-1.5232272139683034,-4.0357,-2.1516,0.6653,-2.95,0.22,-0.51,0.007,-2.080065,0.7967,-1.7837,-0.9259,-0.2506,0.0979,1.0218,-0.0211,-0.7128,0.366,0.8462
4743,ADVANCE AUTO PARTS INC,"Morgan Stanley Maintains Overweight on Advance Auto Parts, Lowers Price Target to $185",6,neutral,0.7,0.2,"the news maintains an 'overweight' rating but lowers the price target, indicating a mixed sentiment.",136,54,1.0,2019-08-14,89217.0,0.739976903423667,-0.1904972390707304,0.1978086099013509,0.0492347113322466,-1.4550031729250623,-1.5232272139683034,-4.0357,-2.1516,0.6653,-2.95,0.22,-0.51,0.007,-2.080065,0.7967,-1.7837,-0.9259,-0.2506,0.0979,1.0218,-0.0211,-0.7128,0.366,0.8462
4751,ADVANCE AUTO PARTS INC,"Credit Suisse Maintains Outperform on Advance Auto Parts, Lowers Price Target to $162",6,neutral,0.7,0.2,"the news maintains an outperform rating but lowers the price target, resulting in a neutral overall impact.",136,54,1.0,2019-08-14,89217.0,0.739976903423667,-0.1904972390707304,0.1978086099013509,0.0492347113322466,-1.4550031729250623,-1.5232272139683034,-4.0357,-2.1516,0.6653,-2.95,0.22,-0.51,0.007,-2.080065,0.7967,-1.7837,-0.9259,-0.2506,0.0979,1.0218,-0.0211,-0.7128,0.366,0.8462
4759,ADVANCE AUTO PARTS INC,"Citigroup Maintains Neutral on Advance Auto Parts, Lowers Price Target to $156",6,negative,0.8,0.7,the fact that citigroup lowered the price target for advance auto parts suggests a negative outlook on the company's performance.,134,57,0.0,2019-08-14,89217.0,0.739976903423667,-0.1904972390707304,0.1978086099013509,0.0492347113322466,-1.4550031729250623,-1.5232272139683034,-4.0357,-2.1516,0.6653,-2.95,0.22,-0.51,0.007,-2.080065,0.7967,-1.7837,-0.9259,-0.2506,0.0979,1.0218,-0.0211,-0.7128,0.366,0.8462
4767,ADVANCE AUTO PARTS INC,Guggenheim Downgrades Advance Auto Parts to Neutral,6,negative,0.8,0.7,the downgrade to neutral by guggenheim suggests a less favorable outlook for advance auto parts inc.,127,53,0.0,2019-08-14,89217.0,0.739976903423667,-0.1904972390707304,0.1978086099013509,0.0492347113322466,-1.4550031729250623,-1.5232272139683034,-4.0357,-2.1516,0.6653,-2.95,0.22,-0.51,0.007,-2.080065,0.7967,-1.7837,-0.9259,-0.2506,0.0979,1.0218,-0.0211,-0.7128,0.366,0.8462
4775,ACORDA THERAPEUTICS INC,Acorda Therapeutics shares are trading lower after H.C. Wainwright downgraded the stock from Buy to Neutral and lowered the price target from $31 to $6.,6,negative,0.9,0.8,the downgrade and significant decrease in price target suggest a negative outlook for acorda therapeutics shares.,157,53,0.0,2019-08-14,91086.0,9.623421728610992,31.380752015536693,51.46442398931328,-3.5335656255483627,-6.506851146053627,-7.457628027228259,-12.4542,-8.6964,1.5249,-2.95,0.22,-0.51,0.007,-7.962745,10.8425,-0.5203,6.6883,10.6232,-3.8146,2.4017,3.3341,5.2109,4.1524,5.0307
