custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num,date,permno,ret,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3
4686,AGILENT TECHNOLOGIES INC,"Agilent Technologies Sees Q4 Adj. EPS $0.84-$0.86 vs $0.87 Est., Sales $1.31B-$1.33B vs $1.34B Est., Sees FY19 Adj. EPS $3.07-$3.08 vs $3.05 Est., Sales $5.105B-$5.125B vs $5.11B Est.",2,neutral,0.7,0.2,,193,289,1.0,2019-08-14,87432.0,-3.03075555711984,6.09849095344543,10.077757288850089,6.632118223536571,1.51583701372146,-1.4568764061181,-2.66225139773268
4694,AGILENT TECHNOLOGIES INC,"Agilent Technologies Q3 Adj. EPS $0.76 Beats $0.72 Estimate, Sales $1.27B Beat $1.24B Estimate",2,positive,0.95,0.6,,141,225,2.0,2019-08-14,87432.0,-3.03075555711984,6.09849095344543,10.077757288850089,6.632118223536571,1.51583701372146,-1.4568764061181,-2.66225139773268
4702,AGILENT TECHNOLOGIES INC,Q3 Earnings Preview For Agilent Technologies,2,neutral,0.9,0.0,,117,161,1.0,2019-08-14,87432.0,-3.03075555711984,6.09849095344543,10.077757288850089,6.632118223536571,1.51583701372146,-1.4568764061181,-2.66225139773268
4710,AGILENT TECHNOLOGIES INC,Agilent Announces Settlement of Key Intellectual Property Case in China,2,positive,0.8,0.6,,120,161,2.0,2019-08-01,87432.0,-0.28814950492233,-1.63270812481641,0.4045638383655099,0.54904948507059,-1.05487937107682,-1.36421640274538,-0.1294911974476
4718,ALTISOURCE ASSET MANAGEMENT CORP,Altisource Asset Management Q2 EPS $1.81 Up From $(0.69) YoY,2,positive,0.92,0.82,,132,156,2.0,2019-08-07,14127.0,-0.90090427547693,2.27272734045982,-18.181818606155232,-9.09090970887018,2.9684662818908603,10.00991319524722,38.92366339979038
4726,APPLIED OPTOELECTRONICS INC,Applied Optoelectronics shares are trading higher after the company reported better-than-expected Q2 EPS and sales results.,2,positive,0.95,0.7,,136,161,2.0,2019-08-07,14145.0,0.88932961225509,6.7580759525299,-8.81488369712841,-5.3868778125690495,3.26530300080776,1.6064242318878998,1.91338953641861
4734,APPLIED OPTOELECTRONICS INC,"Applied Optoelectronics Q2 EPS $(0.26) Beats $(0.37) Estimate, Sales $43.4M Beat $42.49M Estimate",2,positive,0.9,0.6,,147,289,2.0,2019-08-07,14145.0,0.88932961225509,6.7580759525299,-8.81488369712841,-5.3868778125690495,3.26530300080776,1.6064242318878998,1.91338953641861
4742,APPLIED OPTOELECTRONICS INC,A Preview Of Applied Optoelectronics Q2 Earnings,2,neutral,0.9,0.0,,124,161,1.0,2019-08-07,14145.0,0.88932961225509,6.7580759525299,-8.81488369712841,-5.3868778125690495,3.26530300080776,1.6064242318878998,1.91338953641861
4750,AAON INC,"AAON Q2 EPS $0.25 Misses $0.27 Estimate, Sales $119.4M Miss $128.36M Estimate",2,negative,0.9,0.6,,131,289,0.0,2019-08-01,76868.0,2.08661686629056,-10.14269590377807,-12.379486854662169,-12.51446511682338,-1.5694659203290902,0.23677760542404,-1.85471250161423
4758,ADVANCE AUTO PARTS INC,Here Comes The Sun: Advance Auto Parts Analysts Bullish After Stormy Q2,2,positive,0.9,0.6,,123,161,2.0,2019-08-14,89217.0,-4.03571017086505,0.7399769034236601,-0.19049723907073,0.19780860990135,0.04923471133224,-1.45500317292506,-1.5232272139683
4766,ADVANCE AUTO PARTS INC,"UBS Maintains Buy on Advance Auto Parts, Lowers Price Target to $170",2,neutral,0.75,0.2,,124,225,1.0,2019-08-14,89217.0,-4.03571017086505,0.7399769034236601,-0.19049723907073,0.19780860990135,0.04923471133224,-1.45500317292506,-1.5232272139683
