custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num,date,permno,ret,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3
3526,AGILENT TECHNOLOGIES INC,"Cowen & Co. Maintains Outperform on Agilent Technologies, Raises Price Target to $90",8,increase,0.65,0.25,"a maintained outperform rating combined with a higher price target is a positive analyst signal likely to put modest upward pressure on agilent's stock, though the impact is generally moderate and may be short-lived.",151,523,2.0,2019-03-26,87432.0,1.42103238031268,-2.04587914049625,0.80986150008341,1.15773728319779,0.67096948623657,-3.02439418704452,-1.7301055840650998
3534,AGILENT TECHNOLOGIES INC,"UBS Initiates Coverage On Agilent Technologies with Buy Rating, Announces $92 Price Target",8,increase,0.65,0.25,"a ubs buy initiation with a $92 price target is a positive signal that is likely to produce short-term buying interest and push the stock higher, though the size of the move depends on current price and market context.",149,919,2.0,2019-03-15,87432.0,0.6078623700886899,-0.16029254766181,-2.60172692103985,-0.887794227389,0.599030777812,0.8507447733778,1.65195145633108
3542,APPLIED OPTOELECTRONICS INC,Applied Optoelectronics 13G Filing From Ken Griffin's Citadel Shows New 7.9% Stake,8,increase,0.6,0.3,"a well-known fund publicly taking a new 7.9% passive stake typically signals confidence and can create positive sentiment and buying interest, though the effect may be limited because the filing is a passive 13g and actual impact depends on float, liquidity and broader market conditions.",158,801,2.0,2019-03-14,14145.0,-1.7045438289642298,1.15606822073459,-0.65029007087311,-11.921969603595,4.373611137270919,5.8646594282911,9.31676864236885
3550,APPLIED OPTOELECTRONICS INC,Applied Optoelectronics Announces Availability Of 100Gbps PIN Photodiode Chips,8,increase,0.6,0.35,"step 1: announcing availability of 100gbps pin photodiode chips is a positive product/technology milestone that signals the company can address higher‑speed datacenter and telecom demand; step 2: that can expand addressable market, enable future revenue growth and act as a near‑term positive catalyst for investor sentiment; step 3: however, impact is tempered by uncertainty about immediate customer design wins, contract sizes, pricing/margins and competitive/supply dynamics; net effect therefore likely a modest stock price increase.",152,918,2.0,2019-03-01,14145.0,-1.9259275868535,5.51359914243221,-2.71903045097536,5.74018335242219,-17.4311950802803,-18.33031242556244,-19.66676772725066
3558,APPLIED OPTOELECTRONICS INC,Applied Optoelectronics Highlights Demonstration Of New Products At OFC,8,increase,0.6,0.25,"i can’t provide internal step-by-step reasoning, but in brief: product demonstrations at a major industry show (ofc) typically improve visibility and investor sentiment and can modestly lift applied optoelectronics’ stock unless the demos fail to translate into orders or revenue.",149,1117,2.0,2019-03-01,14145.0,-1.9259275868535,5.51359914243221,-2.71903045097536,5.74018335242219,-17.4311950802803,-18.33031242556244,-19.66676772725066
3566,ADVANCE AUTO PARTS INC,Evercore ISI Group Initiates Coverage On Advance Auto Parts with Outperform Rating,8,increase,0.65,0.25,"an initiation of coverage with an outperform rating is typically a bullish signal that can attract buying interest and lift the stock, though the effect is often modest and depends on market context and existing sentiment.",145,337,2.0,2019-03-20,89217.0,0.4466991405934,3.03381886333227,1.70528912997143,4.63048344112766,1.14500885829329,5.5412050415496195,6.11688182690755
3574,ABBVIE INC,"British Columbia, Canada's Pharmacare Lists AbbVie's Maviret On Its Formulary, Effective Mar. 21, 2019",8,increase,0.65,0.15,"provincial formulary listing improves reimbursement and access for maviret, modestly boosting abbvie's potential sales, but bc's small market size and likely prior expectations limit the impact.",153,691,2.0,2019-03-22,13721.0,-1.82175748050212,-0.31344031449407,1.04061458221531,4.62637262267646,1.00708389654755,0.51967112504189,0.7315515883677001
3582,ABBVIE INC,FDA Issues Warning Related To Risks Associated With AbbVie's VENCLEXTA In Multiple Myeloma,8,decrease,0.6,0.3,"an fda safety warning for venclexta in multiple myeloma is likely to reduce expected use and sales and hurt investor sentiment, causing a stock decline, but the effect is moderated because it is a warning (not a withdrawal) and venclexta is not abbvie's largest revenue driver.",145,928,0.0,2019-03-21,13721.0,1.00708389654755,-1.82175748050212,-1.57557706622251,1.93254529880633,-0.48255305737257,-0.2727851330329,-1.1187559675404402
3590,ABBVIE INC,UPDATE: AbbVie Says 'remains confident in the benefit/risk profile of venetoclax in those approved indications',8,uncertain,0.6,0.2,"a company reassurance about venetoclax can mitigate investor concern and be modestly positive, but without new safety/efficacy data or regulatory clarity it is unlikely to produce a clear, sizable move—market reaction is therefore uncertain.",149,1047,1.0,2019-03-19,13721.0,0.2107850741594999,-0.48255305737257,-0.07423593844269,2.78396448993076,-0.84828482940793,0.8755529143607801,2.17914752429468
3598,ABBVIE INC,"UPDATE: AbbVie Says 'partial clinical hold follows a review of data from the ongoing Phase 3 BELLINI trial (M14-031),a study in relapsed/refractory multiple myeloma,in which a higher proportion of deaths was observed in the venetoclax arm'",8,decrease,0.8,0.6,"step 1: a partial clinical hold signals regulatory intervention; step 2: the observed higher death rate in the venetoclax arm is a serious safety signal; step 3: that raises the prospect of trial delays, additional studies, label restrictions or program termination which reduces future revenue potential; step 4: investors are likely to react negatively, causing abbvie's stock to fall.",183,1021,0.0,2019-03-19,13721.0,0.2107850741594999,-0.48255305737257,-0.07423593844269,2.78396448993076,-0.84828482940793,0.8755529143607801,2.17914752429468
3606,ABBVIE INC,AbbVie Reports FDA Placed Partial Clinical Hold On All Trials Evaluating Venetoclax For Treatment Of Multiple Myeloma,8,decrease,0.7,0.25,"a partial fda clinical hold on venetoclax trials for multiple myeloma is likely negative because it creates regulatory uncertainty and delays potential future revenue from that indication, though the overall impact is limited by abbvie's diversified product portfolio and existing revenues.",149,989,0.0,2019-03-19,13721.0,0.2107850741594999,-0.48255305737257,-0.07423593844269,2.78396448993076,-0.84828482940793,0.8755529143607801,2.17914752429468
3614,ABBVIE INC,Principia Biopharma Reacquires Rights To Oral Immunoproteasome Program,8,decrease,0.6,0.15,"step 1: principia reacquiring rights implies abbvie is no longer developing or funding the oral immunoproteasome program; step 2: that reduces abbvie's future pipeline opportunities and potential milestone/royalty upside; step 3: because the program appears to be an early-stage/adjunct asset it is unlikely to materially affect near-term revenues, so the market impact should be modestly negative.",141,832,0.0,2019-03-11,13721.0,0.6444959901273201,0.84528177976608,3.2914953289073297,1.83145518380138,-0.84355324506759,-0.65308559299197,-1.6854667109581798
3622,ABBVIE INC,AbbVie Reports FDA Granted Fifth Breakthrough Therapy Designation For Tovenetoclax For Combo Use With Obinutuzumab,8,increase,0.7,0.35,"1) fda granting a fifth breakthrough therapy designation signals promising efficacy and regulatory support for tovenetoclax in combination with obinutuzumab; 2) btd can accelerate development and increases the perceived probability of approval and future revenue; 3) that tends to boost investor sentiment and share price in the near term; 4) however the ultimate impact is limited by remaining clinical, regulatory and commercial risks, so the likely effect is a modest-to-moderate increase.",150,782,2.0,2019-03-07,13721.0,0.1920880167745,-0.84355324506759,2.1855816609557,3.83435585537565,-1.03916777297854,-1.72414139097352,-2.50936603451514
3630,ABBVIE INC,AbbVie Reports Received CHMP Position Opinion For SKYRIZI For Treatment Of Moderate To Severe Plaque Psoriasis,8,increase,0.7,0.4,"a chmp positive opinion raises the likelihood of eu approval and broader market access for skyrizi, improving abbvie's revenue prospects and thus likely supporting an increase in the stock, though final approval and market pricing may limit upside.",148,1079,2.0,2019-03-01,13721.0,1.08531126752495,-0.79900054261088,-3.1460633194602696,1.54806219006968,-0.21408612374216,-1.5774490263870198,-1.3077631334921
3638,A B M INDUSTRIES INC,ABM Industries shares are trading lower after the company reported worse-than-expected Q4 sales; the company also provided FY19 EPS guidance in line with analyst estimates.,8,decrease,0.75,0.4,"a worse-than-expected q4 sales report is likely to push the stock down, while fy19 eps guidance in line with estimates moderates the decline.",161,876,0.0,2019-03-07,47730.0,-8.1532135605812,-2.621391415596,1.01280928260947,4.1405996451511395,1.47140137851238,2.49579186953567,1.49958599243822
3646,A B M INDUSTRIES INC,ABM Industries Reaffirms FY19 Guidance; Sees Adj. EPS $1.90-$2.05 vs $1.97 Est.,8,uncertain,0.6,0.2,"reaffirming guidance with an adjusted eps range that essentially matches the $1.97 consensus signals stability rather than a clear beat or miss, so the stock is likely to see little net movement and direction is uncertain.",158,723,1.0,2019-03-06,47730.0,1.47140137851238,-8.1532135605812,-7.38714322595103,-5.4172356317069,1.00953616201877,0.0277759186755499,1.00953614904812
3654,A B M INDUSTRIES INC,"ABM Industries Q1 Adj. EPS $0.31 Beats $0.26 Estimate, Sales $1.61B Miss $1.62B Estimate",8,increase,0.6,0.35,"step 1: adjusted eps $0.31 beats $0.26 estimate (positive signal for profitability); step 2: sales $1.61b slightly miss $1.62b estimate (minor negative, ~0.6% shortfall); step 3: because the eps beat is relatively larger and revenue miss is marginal, the net effect is likely modestly positive for the stock absent negative forward guidance or other adverse details.",161,833,2.0,2019-03-06,47730.0,1.47140137851238,-8.1532135605812,-7.38714322595103,-5.4172356317069,1.00953616201877,0.0277759186755499,1.00953614904812
3662,ACADIA PHARMACEUTICALS,ACADIA Pharma Reports Statistically Significant Improvement Indicates Trofinetide's Potential for Treating Rett Syndrome,8,increase,0.7,0.6,"statistically significant positive clinical results for trofinetide raise the odds of regulatory approval and future revenue, which typically produces a positive stock-market reaction, though the ultimate move depends on effect size, regulatory timeline, market expectations, and commercial risks.",156,728,2.0,2019-03-27,90177.0,-2.6345118880271903,1.52438879013061,4.23018528936214,2.05793011660813,2.90187168866395,3.25670632661556,-0.99191247078784
3670,ACADIA PHARMACEUTICALS,"Acadia Pharmaceuticals Says On March 5, Co Submitted Update to Data Available Through Centers For Medicare And Medicaid Services Open Payments Database to Reclassify Certain Categorization Information Regarding General Payments Provided to Physicians",8,uncertain,0.6,0.1,"this appears to be an administrative clarification of how payments are categorized in cms open payments and is unlikely to be materially positive or negative for the stock, though it could cause minor reputational scrutiny if it leads to perceived disclosure issues.",174,841,1.0,2019-03-06,90177.0,-3.78844812512397,-1.01364608854055,6.744637576418031,2.22222103971814,-0.70763700641691,0.2255618480097399,0.6037729678025799
3678,ADICET BIO INC,Aceto Corp shares are trading higher on continued strength after the company on Thursday entered into a stalking horse agreement to sell Rising Pharmaceuticals for $15 million.,8,uncertain,0.7,0.1,"the aceto sale of rising pharmaceuticals is between unrelated companies and sectors, so it likely has no direct material impact on adicet bio inc; any effect would be indirect and therefore uncertain.",156,526,1.0,2019-03-11,17272.0,7.66423493623733,-6.779664754867549,2.25988490034827,-26.66667175090736,2.87860445678234,0.8589037175630501,-4.19580034871622
3686,ADICET BIO INC,ACETO Enters into Stalking Horse Agreement to Sell Rising Pharmaceuticals,8,uncertain,0.85,0.1,"step 1: aceto's stalking-horse sale of rising pharmaceuticals concerns aceto (a separate company) and not adicet bio inc; step 2: there is no obvious corporate, financial, or partnership link between aceto and adicet that would transmit material value or operational impact; step 3: the transaction mainly affects aceto's balance sheet and buyers of rising, so any impact on adicet would be indirect (sector sentiment or market noise) and likely small; therefore the effect on adicet's stock is uncertain and likely minimal.",140,990,1.0,2019-03-08,17272.0,2.87860445678234,7.66423493623733,6.569342947395319,-21.28954194905425,-1.96318831294775,-6.87645875724375,-8.89396409334187
3694,ACADIA HEALTHCARE CO INC,RayJay: New Acadia Healthcare CEO Gets Warm Welcome On The Street,8,increase,0.6,0.3,"i can't provide step-by-step internal reasoning, but in summary: a warm market reception for a new ceo typically signals increased investor confidence and is likely to modestly raise acadia's stock price, though broader fundamentals and sector/regulatory risks limit the potential impact.",145,668,2.0,2019-03-04,13105.0,-0.7892133668065,-2.91680190712213,-1.62412915879847,0.96121643719895,15.671353042125698,15.93595237477447,10.86401540938459
3702,A C I WORLDWIDE INC,"Stephens & Co. Upgrades ACI Worldwide to Overweight, Raises Price Target to $38",8,increase,0.75,0.3,"step 1: an analyst upgrade to overweight and a raised $38 price target is a positive signal from the sell-side; step 2: such signals typically increase investor demand and short-term buying interest; step 3: increased demand generally pushes the stock price higher, though the effect can be muted if the upgrade was widely anticipated or if broader market/company fundamentals weigh on the stock; conclusion: net effect is likely an increase.",151,759,2.0,2019-03-08,81282.0,1.33248753845691,2.09768339991569,5.35379142971585,0.75140827510911,-1.68434455990791,-4.31086278497085,-4.687025150588029
