custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num,date,permno,ret,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3
4130,AGILENT TECHNOLOGIES INC,Agilent Collaborates On Study Of Performance-Enhancing Spinach Extract,6,uncertain,0.65,0.2,"the collaboration signals agilent's involvement in applied life‑science research and potential new service or instrument use cases, but the niche nature and likely immaterial near‑term financial impact make investor reaction ambiguous.",138,341,1.0,2019-09-03,87432.0,-0.98438607528805,0.63910940662026,6.19229186939429,8.50731072749506,0.57992031797766,1.6728597950146098,2.34599478779728
4138,ADVANCE AUTO PARTS INC,Advance Auto Parts shares are trading higher. Not currently seeing any news to justify price action.,6,uncertain,0.85,0.4,"shares trading higher is superficially positive, but the lack of any news to justify the move suggests the change may be speculative or transient, leaving overall investor sentiment ambiguous.",139,329,1.0,2019-09-23,89217.0,3.55192944407463,-1.24054085463285,2.5927260583144403,-1.82979562749785,1.89136080443859,1.2752090665181,-0.20431222796551
4146,ADVANCE AUTO PARTS INC,"Citigroup Upgrades Advance Auto Parts to Buy, Raises Price Target to $188",6,increase,0.85,0.7,"a major brokerage upgrading the stock to buy and raising its price target is a clearly positive signal that tends to boost investor sentiment, though the ultimate impact depends on broader market conditions and other company-specific news.",138,264,2.0,2019-09-13,89217.0,1.15979583933949,-0.59235203079879,-0.79545401113277,3.02132481508536,-2.30391770601272,0.32320622570114,5.27030111470956
4154,ADVANCE AUTO PARTS INC,"Advance Auto Parts shares trading higher with other stocks in auto retail space. A Morgan Stanley analyst suggested recent pullback in Advance Auto Parts shares presented ""a good buying opportunity.""",6,increase,0.85,0.6,"positive analyst commentary framing the recent pullback as a 'good buying opportunity' combined with shares trading higher is likely to boost investor sentiment, especially in the short term.",155,205,2.0,2019-09-10,89217.0,4.9311570823192605,2.68907807767391,0.8855917692434099,2.96220142265495,0.14943683054298,0.6004705637693201,3.90442822767995
4162,ABBVIE INC,Abbvie Inc Co And Allergan Are Cooperating Fully With FTC And Continue To Expect To Close Transaction In Early 2020,6,increase,0.8,0.4,"cooperating fully with the ftc and reiterating an expected closing timeline reduces regulatory uncertainty around the abbvie–allergan deal, which is typically viewed as positive for investor sentiment.",143,207,2.0,2019-09-27,13721.0,1.10765863209962,1.16232838481664,-0.25383398174099,-0.20040216790964,2.69108414649963,1.48046864971735,1.50829353315586
4170,ABBVIE INC,AbbVie shares are trading higher after Citigroup upgraded the stock from Neutral to Buy.,6,increase,0.8,0.6,"a citigroup upgrade from neutral to buy is a positive analyst signal that should raise investor sentiment for abbvie, though the effect is likely moderate and depends on broader market and company-specific fundamentals.",134,338,2.0,2019-09-26,13721.0,2.69108414649963,1.10765863209962,-0.24314501760249,0.56733526086591,-1.17889055982232,-1.15179484487319,-0.41442613023022
4178,ABBVIE INC,Citigroup Upgrades AbbVie to Buy,6,increase,0.85,0.5,"a prominent broker upgrading abbvie to 'buy' is a positive endorsement that is likely to raise investor sentiment, though the impact is moderate since it reflects a single analyst action.",126,323,2.0,2019-09-26,13721.0,2.69108414649963,1.10765863209962,-0.24314501760249,0.56733526086591,-1.17889055982232,-1.15179484487319,-0.41442613023022
4186,ABBVIE INC,UPDATE: UBS On AbbVie Also Notes 'Post '23 we estimate stable cash flows driven by ABBV's 5 key growth assets & AGN Aesthetics franchise. NEWCO cash flows are immediately tangible via a sustainable & growing dividend',6,increase,0.82,0.55,"ubs's statement that abbvie will have stable post-2023 cash flows from key growth assets and a sustainable, growing dividend from newco is a positive signal about future earnings reliability and shareholder returns, which should lift investor sentiment.",166,335,2.0,2019-09-12,13721.0,1.92834082990884,-0.45178551226854,1.18593296869,4.51785528718398,1.92138105630874,4.18291027750759,2.76544681838475
4194,ABBVIE INC,"UPDATE: UBS Upgrades AbbVie To Buy, Lowers Target To $79 As Firm Notes Co's 'acquisition of AGN leads to a NEWCO generating $20B+ of annual free cash flow growing to a highly compelling, 9% FCF yield in '23E (year of Humira's US patent expiry)'",6,increase,0.8,0.6,"ubs upgrading abbvie to buy and highlighting the agn acquisition creating $20b+ of fcf and a ~9% fcf yield through humira patent expiry is a net positive signal that should lift investor sentiment, though the lowered price target tempers the upside so the impact is moderate rather than large.",186,294,2.0,2019-09-12,13721.0,1.92834082990884,-0.45178551226854,1.18593296869,4.51785528718398,1.92138105630874,4.18291027750759,2.76544681838475
4202,ABBVIE INC,AbbVie shares are trading higher after UBS upgraded the stock from Neutral to Buy.,6,increase,0.85,0.6,"an upgrade from neutral to buy is a positive analyst signal that typically boosts investor sentiment, though the effect is moderate since it’s a single-firm action and other market/company factors also matter.",133,198,2.0,2019-09-12,13721.0,1.92834082990884,-0.45178551226854,1.18593296869,4.51785528718398,1.92138105630874,4.18291027750759,2.76544681838475
