custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num,date,permno,ret,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3
4256,AGILENT TECHNOLOGIES INC,Agilent Technologies Option Alert: Mar 15 $75 Calls at the Ask: 1000 @ $2.3 vs 33 OI; Earnings 2/20 After Close Ref=$73.74,5,uncertain,0.45,0.3,,187,1831,1.0,2019-01-29,87432.0,0.39579765871167,2.55574360489845,3.73844497244495,4.77161809764763,-0.51596043631434,1.51010853696054,2.26098407824653
4264,AGILENT TECHNOLOGIES INC,"Needham Initiates Coverage On Agilent Technologies with Buy Rating, Announces $77 Price Target",5,increase,0.65,0.22,,163,1377,2.0,2019-01-03,87432.0,-3.6839731037616703,3.4613538533449097,10.4789014039671,11.93298417828634,-2.62377206236124,-0.40933389583762,-0.94264766640217
4272,ADVANCE AUTO PARTS INC,Bank of America Earlier Upgraded Advance Auto Parts to Buy,5,increase,0.65,0.06,,154,1185,2.0,2019-01-09,89217.0,2.75589823722839,0.38923230022192,-1.21023553800085,-4.93826883795827,-0.69504478015005,0.7619209874224699,-1.73779659177284
4280,ADVANCE AUTO PARTS INC,"Barclays Upgrades Advance Auto Parts to Overweight, Raises Price Target to $205",5,increase,0.68,0.28,,161,1057,2.0,2019-01-07,89217.0,1.46716320887208,-0.69504478015005,-1.50179842710763,1.85553280222496,-2.48081572353839,0.56357611096211,0.85735473452046
4288,ABBVIE INC,Abbvie shares are continuing lower following a large sell off Friday due to worse than expected Q4 EPS and revenue results.,5,decrease,0.82,0.78,,162,738,0.0,2019-01-28,13721.0,-4.22150678932666,0.42779599316418,1.80191779742646,3.4093819858510304,-6.21797442436218,-8.9429012528845,-9.15858591226986
4296,ABBVIE INC,AbbVie Announces FDA Approval of IMBRUVICA Plus Obinutuzumab for Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma in Previously Untreated Patien,5,increase,0.6,0.05,,177,1121,2.0,2019-01-28,13721.0,-4.22150678932666,0.42779599316418,1.80191779742646,3.4093819858510304,-6.21797442436218,-8.9429012528845,-9.15858591226986
4304,ABBVIE INC,From AbbVie Q4 Earnings Conference Call: CEO Richard Gonzalez Says Rumors Of His Retirement Are False,5,increase,0.6,0.25,,159,870,2.0,2019-01-25,13721.0,-6.21797442436218,-4.22150678932666,-0.04966597606999,-1.08021210327025,-2.9055960476398397,-3.1355811200046997,-4.0446957283493
4312,ABBVIE INC,"From AbbVie Q4 Earnings Conference Call: Sees Q1 EPS $2.05-$2.07 vs $2.03 Estimate, Sales $7.7B vs $8B Est.",5,uncertain,0.66,0.35,,179,1122,1.0,2019-01-25,13721.0,-6.21797442436218,-4.22150678932666,-0.04966597606999,-1.08021210327025,-2.9055960476398397,-3.1355811200046997,-4.0446957283493
4320,ABBVIE INC,AbbVie shares are trading lower after the company missed Q4 EPS and sales estimates.,5,decrease,0.7,0.25,,155,866,0.0,2019-01-25,13721.0,-6.21797442436218,-4.22150678932666,-0.04966597606999,-1.08021210327025,-2.9055960476398397,-3.1355811200046997,-4.0446957283493
4328,ABBVIE INC,"From AbbVie Conference Call; Co. Says Humira Will Continue To Generate 'Strong Revenue', Driving Roughly $1B Of Growth In 2019",5,increase,0.65,0.04,,170,1313,2.0,2019-01-25,13721.0,-6.21797442436218,-4.22150678932666,-0.04966597606999,-1.08021210327025,-2.9055960476398397,-3.1355811200046997,-4.0446957283493
4336,ABBVIE INC,AbbVie Inc. Sees FY19 Adj. EPS $8.65-$8.75 vs $8.71 Est.,5,uncertain,0.58,0.0,,164,1319,1.0,2019-01-25,13721.0,-6.21797442436218,-4.22150678932666,-0.04966597606999,-1.08021210327025,-2.9055960476398397,-3.1355811200046997,-4.0446957283493
4344,ABBVIE INC,"UBS Assumes AbbVie at Neutral, Lowers Price Target To $91",5,decrease,0.6,0.05,,155,1634,0.0,2019-01-23,13721.0,-0.2368674846366,-2.9055960476398397,-10.61616688643041,-10.59355047444511,-0.93854339793324,1.67431963173021,3.6353015760306
4352,ABBVIE INC,AbbVie Announces Phase 3 Study of Ibrutinib In Metastatic Pancreatic Cancer Did Not Meet Primary Endpoint Of Improving Progression-Free Survival,5,decrease,0.65,0.05,,170,1255,0.0,2019-01-18,13721.0,2.63761822134256,-0.93854339793324,-13.810056490148758,-12.25698455845291,1.92868951708078,1.9883005740562496,2.87871019261898
4360,ABBVIE INC,"AbbVie Exec Speaking At JP Morgan Healthcare Conference Says Sees Non-Humira Sales Growing To $35B+ In 2025, Sees Mavyret Remaining A Strong Source Of Cash Flow Over Long-Term",5,increase,0.72,0.34,,182,1249,2.0,2019-01-09,13721.0,-3.2823033630847904,0.444140098989,-1.3438351417966798,-0.96328612622766,0.46475394628942,1.93106679120063,5.214972722641329
4368,ABBVIE INC,AbbVie Reports Strategic Collaboration With Tizona Therapeutics To Develop First-In-Class Immunotherapy For Cancer Targeting CD39,5,increase,0.66,0.15,,162,1057,2.0,2019-01-03,13721.0,-3.2948587089776904,3.22169288992881,2.21346175304457,2.33027974892017,-3.21075916290283,-2.07418701694896,-0.75631204770981
4376,ABBVIE INC,Bank of America Downgrades AbbVie to Neutral,5,decrease,0.63,0.25,,149,866,0.0,2019-01-03,13721.0,-3.2948587089776904,3.22169288992881,2.21346175304457,2.33027974892017,-3.21075916290283,-2.07418701694896,-0.75631204770981
4384,AMERISOURCEBERGEN CORP,AmerisourceBergen shares are trading higher after the company beat Q1 EPS and sales estimates.,5,increase,0.78,0.25,,166,1510,2.0,2019-01-31,81540.0,6.163254752755161,0.46779341064393,2.91471775736043,3.6943673929937297,-1.2698040343821,-1.98452810023853,-1.41853480587347
4392,AMERISOURCEBERGEN CORP,AmerisourceBergen Narrows FY19 Adj. EPS Guidance From $6.65-$6.95 To $6.65-$6.85 vs $6.78 Estimate,5,uncertain,0.6,0.2,,184,1319,1.0,2019-01-31,81540.0,6.163254752755161,0.46779341064393,2.91471775736043,3.6943673929937297,-1.2698040343821,-1.98452810023853,-1.41853480587347
4400,AMERISOURCEBERGEN CORP,"AmerisourceBergen Q1 EPS $1.60 Beats $1.50 Estimate, Sales $45.4B Beat $43.82B Estimate",5,increase,0.88,0.65,,179,545,2.0,2019-01-31,81540.0,6.163254752755161,0.46779341064393,2.91471775736043,3.6943673929937297,-1.2698040343821,-1.98452810023853,-1.41853480587347
4408,AMERISOURCEBERGEN CORP,"UBS Initiates Coverage On AmerisourceBergen with Buy Rating, Announces $89 Price Target",5,uncertain,0.55,0.0,,167,1186,1.0,2019-01-17,81540.0,-1.5782680362463002,4.9684524536132795,4.70557525416086,10.09463713588112,0.05177441635169,0.57247260105499,0.9665693626305
4416,AMBEV SA,Ambev shares are trading higher after after Goldman Sachs published a positive report on the stock.,5,increase,0.66,0.2,,156,865,2.0,2019-01-28,85254.0,4.41500656306743,0.42283255606889,5.07399086546209,4.22832597287918,1.11607564613223,-0.22025887636598,-0.87527267893225
4424,A B M INDUSTRIES INC,ABM Industries Wins a Contract to Install Water Meters for the Rainbow Municipal Water District in San Diego,5,increase,0.6,0.04,,163,1249,2.0,2019-01-24,47730.0,-1.76453758031129,0.14722979394719,0.67726615587826,2.1201450605017502,-1.87340285629034,-3.91884333673859,-1.11555888035785
4432,A B M INDUSTRIES INC,CL King Downgrades ABM Industries to Neutral,5,decrease,0.6,0.03,,153,1314,0.0,2019-01-11,47730.0,-2.5859616696834498,-0.49591064453125,4.95916227480701,-1.22519888252108,0.77319722622632,0.6003404425563,5.10752410309705
