custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num,date,permno,ret,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3
5066,AGILENT TECHNOLOGIES INC,"Bank of America Maintains Buy on Agilent Technologies, Inc. Common Stock, Lowers Price Target to $82",7,uncertain,0.56,0.15,"the note is mixed: a buy rating is positive, but a lowered price target suggests trimmed upside, leading to uncertain near-term price action depending on current price and broader market factors.",152,1553,1.0,2019-05-15,87432.0,-11.01171225309372,2.45417449623346,0.48787960834542,-1.10881145523327,2.93879453092813,-1.41374374504594,-1.28571159950979
5074,AGILENT TECHNOLOGIES INC,Agilent Technologies shares are trading lower after the company reported worse-than-expected Q2 EPS and sales results; the company also announced weak Q3 sales guidance.,7,decrease,0.8,0.6,"disappointing q2 results and weak q3 guidance typically pressure investors, leading to a lower stock price.",160,510,0.0,2019-05-15,87432.0,-11.01171225309372,2.45417449623346,0.48787960834542,-1.10881145523327,2.93879453092813,-1.41374374504594,-1.28571159950979
5082,AGILENT TECHNOLOGIES INC,"Deutsche Bank Maintains Buy on Agilent Technologies, Inc. Common Stock, Lowers Price Target to $85",7,uncertain,0.58,0.0,"the maintained buy rating is positive, but the lowered price target suggests limited upside, resulting in mixed sentiment and an uncertain near-term stock move.",152,1097,1.0,2019-05-15,87432.0,-11.01171225309372,2.45417449623346,0.48787960834542,-1.10881145523327,2.93879453092813,-1.41374374504594,-1.28571159950979
5090,AGILENT TECHNOLOGIES INC,"Barclays Maintains Overweight on Agilent Technologies, Inc. Common Stock, Lowers Price Target to $86",7,uncertain,0.64,0.0,barclays' overweight rating is positive while lowering the price target to $86 introduces mixed signals; the net effect on agilent's stock price depends on how investors interpret the reduced upside relative to the maintained bullish stance and current price.,153,1054,1.0,2019-05-15,87432.0,-11.01171225309372,2.45417449623346,0.48787960834542,-1.10881145523327,2.93879453092813,-1.41374374504594,-1.28571159950979
5098,AGILENT TECHNOLOGIES INC,Agilent Technologies shares are trading lower after the company reported worse-than-expected Q2 EPS and sales results; the company also issued Q3 sales guidance below analyst estimates.,7,decrease,0.75,0.6,"the article notes worse-than-expected q2 results and weaker q3 guidance, which typically leads investors to sell, causing a stock price decrease.",162,842,0.0,2019-05-14,87432.0,2.93879453092813,-11.01171225309372,-10.11709284431566,-11.45901705557486,-4.22827787697315,-4.1039009147991,-3.61572157177059
5106,AGILENT TECHNOLOGIES INC,"Agilent Technologies Sees Q3 Adj. EPS $0.71-$0.73 vs $0.73 Est., Sales $1.225B-$1.245B vs $1.27B Est. Sees FY19 Adj. EPS $3.03-$3.07 vs $3.07 Est., Sales $5.085B-$5.125B vs $5.19B Est.",7,decrease,0.6,0.2,revenue misses relative to estimates and full-year sales guidance below consensus indicate potential near-term downside for agilent technologies inc.,213,1223,0.0,2019-05-14,87432.0,2.93879453092813,-11.01171225309372,-10.11709284431566,-11.45901705557486,-4.22827787697315,-4.1039009147991,-3.61572157177059
5114,AGILENT TECHNOLOGIES INC,"Agilent Technologies Q2 Adj. EPS $0.71 Misses $0.72 Estimate, Sales $1.24B Miss $1.27B Estimate",7,decrease,0.66,0.4,"agilent reported q2 adjusted eps of $0.71 and revenue of $1.24b, both below consensus estimates ($0.72 and $1.27b), which traditionally weighs on the stock in the near term absent offsetting factors.",162,1120,0.0,2019-05-14,87432.0,2.93879453092813,-11.01171225309372,-10.11709284431566,-11.45901705557486,-4.22827787697315,-4.1039009147991,-3.61572157177059
5122,ALTISOURCE ASSET MANAGEMENT CORP,Altisource Asset Management Q1 EPS $(0.56) Up From $(2.75) YoY,7,uncertain,0.55,0.15,"the eps improved year over year but remains negative, so stock reaction depends on market expectations and other factors not provided.",153,1220,1.0,2019-05-08,14127.0,-6.5000019967556,-1.7276844009757,-9.62566939755803,-15.67256098028511,-1.88494231551885,-1.92380325876716,-4.2709862433842405
5130,ATLANTIC AMERICAN CORP,"Atlantic American Q1 EPS $0.19 Up From $(0.25) YoY, Sales $55.018M Up From $40.54M YoY",7,increase,0.65,0.6,"q1 shows a swing from a loss to a profit and stronger revenue year over year, a positive fundamental signal that is likely to support a higher stock price, subject to market expectations.",163,1105,2.0,2019-05-13,15580.0,-1.6546912491321502,0.0530933379195599,-4.03071219505601,-0.54314269806204,2.46503241360187,5.95320056566084,5.95320056566084
5138,APPLIED OPTOELECTRONICS INC,Applied Optoelectronics Posts Q1 Earnings Miss: What Analysts Have To Say,7,decrease,0.6,0.4,"earnings misses typically trigger negative sentiment and near-term selling pressure, especially for an earnings-miss headline unless offset by favorable guidance or catalysts.",149,841,0.0,2019-05-09,14145.0,-9.36981812119484,-2.01281122863292,-11.16194173138447,-18.938705928957532,-0.16555880429223,-4.96453256695802,-4.28571385863024
5146,APPLIED OPTOELECTRONICS INC,Applied Optoelectronics shares are trading lower after the company reported worse-than-expected Q1 EPS and sales results; the company also issued Q2 EPS and sales guidance below analyst estimates.,7,decrease,0.8,0.6,negative earnings and revenue results along with guidance below expectations typically prompt a price decline as investors adjust to weaker near-term prospects.,170,512,0.0,2019-05-08,14145.0,-0.16555880429223,-9.36981812119484,-16.99834255626434,-24.70978738101129,-4.80693206191062,-4.12698764573757,-0.08271487798687
5154,APPLIED OPTOELECTRONICS INC,"Applied Optoelectronics, Inc. - Common Stock Sees Q2 EPS $(0.43)-(0.35) vs $(0.23) Est; Sees Sales $40M-45M vs $52.42M Est",7,decrease,0.85,0.8,"the company posted q2 eps far below expectations (-$0.35 to -$0.43 vs -$0.23 expected) and issued a weaker revenue guide ($40–$45m vs $52.42m est), signaling downside results and likely a negative reaction in the stock price.",182,1002,0.0,2019-05-08,14145.0,-0.16555880429223,-9.36981812119484,-16.99834255626434,-24.70978738101129,-4.80693206191062,-4.12698764573757,-0.08271487798687
5162,APPLIED OPTOELECTRONICS INC,"Applied Optoelectronics Q1 EPS $(0.27) Misses $(0.22) Estimate, Sales $52.7M Miss $52.86M Estimate",7,decrease,0.62,0.4,"both q1 eps and revenue missed estimates, signaling weaker-than-expected results and likely sending the stock lower absent strong guidance.",168,1095,0.0,2019-05-08,14145.0,-0.16555880429223,-9.36981812119484,-16.99834255626434,-24.70978738101129,-4.80693206191062,-4.12698764573757,-0.08271487798687
5170,APPLIED OPTOELECTRONICS INC,A Preview Of Applied Optoelectronics Q1 Earnings,7,uncertain,0.52,0.0,"without actual earnings figures or guidance, the market direction is unclear and depends on how the preview aligns with investor expectations.",144,836,1.0,2019-05-08,14145.0,-0.16555880429223,-9.36981812119484,-16.99834255626434,-24.70978738101129,-4.80693206191062,-4.12698764573757,-0.08271487798687
5178,AAON INC,UPDATE: DA Davidson Downgrades AAON To Underperform As Firm Is Concerned 'a bubble is forming in these shares' As 'shares currently trade over 20x 2020 EBITDA and typical premium to peers has meaningfully expanded',7,decrease,0.7,0.45,a broker downgrade with concerns about a bubble and a rich valuation is likely to trigger selling pressure and push the stock lower in the near term.,169,777,0.0,2019-05-06,76868.0,-4.74812351167202,-3.99188958108425,-5.65348998118107,-5.28874772379507,4.62439581751823,3.8901191161432704,3.18662066884543
5186,AAON INC,"DA Davidson Downgrades AAON, Inc. - Common Stock to Underperform, Announces $35 Price Target",7,decrease,0.62,0.45,"downgrades with a lower price target generally imply increased downside risk and bearish sentiment, likely exerting near-term downward pressure on aaon's stock.",143,1291,0.0,2019-05-06,76868.0,-4.74812351167202,-3.99188958108425,-5.65348998118107,-5.28874772379507,4.62439581751823,3.8901191161432704,3.18662066884543
5194,AAON INC,"AAON Q1 EPS $0.21 Misses $0.23 Estimate, Sales $113.822M Beat $109.92M Estimate",7,uncertain,0.58,0.4,"the stock's direction is uncertain because a q1 eps miss contrasts with a revenue beat, creating mixed signals about profitability versus top-line growth.",151,900,1.0,2019-05-02,76868.0,-0.7018216885626299,4.62439581751823,-4.139740104650381,-6.48222782401698,-0.67715626209974,-0.43921185890725,0.18079579017882
5202,ADVANCE AUTO PARTS INC,"Advance Auto Parts shares are trading higher, despite providing FY19 sales guidance slightly below estimates, after the company reported better-than-expected Q1 EPS and sales results.",7,increase,0.8,0.4,,159,716,2.0,2019-05-22,89217.0,3.09360828250646,-3.90281453728675,-4.14937396357029,-6.84947965147341,1.67675465345382,2.1079962542037,2.5559538398374397
5210,ADVANCE AUTO PARTS INC,Advance Auto Parts Sees FY19 Comps Up 1-2.5%,7,uncertain,0.55,0.0,"the news indicates a modest, positive fy19 comps outlook, but the stock's reaction depends on market expectations and other factors not provided in the headline.",143,1350,1.0,2019-05-22,89217.0,3.09360828250646,-3.90281453728675,-4.14937396357029,-6.84947965147341,1.67675465345382,2.1079962542037,2.5559538398374397
5218,ADVANCE AUTO PARTS INC,Advance Auto Parts Sees FY19 Sales $9.65B-$9.8B vs $9.78B Estimate,7,uncertain,0.65,0.0,"the fy19 sales guidance forms a range that neither clearly beats nor misses the consensus estimate, yielding an uncertain stock reaction.",152,1029,1.0,2019-05-22,89217.0,3.09360828250646,-3.90281453728675,-4.14937396357029,-6.84947965147341,1.67675465345382,2.1079962542037,2.5559538398374397
5226,ADVANCE AUTO PARTS INC,"Advance Auto Parts Q1 Adj. EPS $2.46 Beats $2.36 Estimate, Sales $2.952B Beat $2.95B Estimate",7,increase,0.65,0.25,"both adjusted eps and revenue beat expectations, which is typically bullish for the stock; however the revenue beat is very small and actual price movement will depend on guidance and broader market factors.",159,1035,2.0,2019-05-22,89217.0,3.09360828250646,-3.90281453728675,-4.14937396357029,-6.84947965147341,1.67675465345382,2.1079962542037,2.5559538398374397
5234,ADVANCE AUTO PARTS INC,Q1 Earnings Outlook For Advance Auto Parts,7,uncertain,0.6,0.0,"the headline provides no directional cue about earnings or stock reaction, so the impact on price is uncertain.",135,897,1.0,2019-05-21,89217.0,1.67675465345382,3.09360828250646,-3.42219708681845,-4.1475524814288995,0.42412998154759,0.8647002841310301,1.80324550561818
