custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num,date,permno,ret,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3
3839,AGILENT TECHNOLOGIES INC,PreMarket Prep Recap: Yo-Yo Market And After-Hours Overshoot On Ackman's New Stake,6,increase,0.65,0.3,ackman's new stake represents a high-profile endorsement and the after-hours overshoot suggests positive investor reception for agilent.,145,1284,2.0,2019-12-10,87432.0,1.60499569028616,0.59085716493427,1.22994896769796,2.85783525911482,-0.7176698185503401,0.11039365345755,0.85259165780233
3847,AGILENT TECHNOLOGIES INC,UPDATE: Bill Ackman's Pershing Square Files Amended 13F Showing New ~2.916M Share Stake In Agilent,6,increase,0.66,0.45,"a new sizable stake by a high-profile investor like pershing square generally boosts sentiment as it suggests potential undervaluation and future catalysts, though the impact may be modest unless the investor takes further activist steps.",150,1109,2.0,2019-12-09,87432.0,-0.7176698185503401,1.6049956902861502,3.4672802329436396,4.4596903659817,0.8340491913258999,1.5816122299737,2.6342080120802502
3855,AGILENT TECHNOLOGIES INC,Hearing Pershing Square Reports 2.9M Share Stake In Agilent,6,uncertain,0.54,0.4,"the stake signals potential catalysts but without disclosed intentions it's uncertain whether sentiment will improve or worsen, depending on pershing square's planned actions.",140,1416,1.0,2019-12-09,87432.0,-0.7176698185503401,1.6049956902861502,3.4672802329436396,4.4596903659817,0.8340491913258999,1.5816122299737,2.6342080120802502
3863,APPLIED OPTOELECTRONICS INC,Applied Optoelectronics to Participate in Raymond James Technology Investors Conference Tuesday Dec. 10 At 3:35 p.m. ET,6,uncertain,0.6,0.0,"participation in an investor conference is a neutral event with limited information, leading to an uncertain and modest impact on sentiment.",155,959,1.0,2019-12-03,14145.0,-3.36134135723114,0.38647304754704,-0.67633472786501,8.59902773924907,0.09346008300781,0.28089637210055,1.5165861785704
3871,ADVANCE AUTO PARTS INC,"Advance Auto Parts Announces Purchase Of DieHard Brand From Transformco , Utilizing $200M Cash On Hand",6,increase,0.66,0.65,"acquiring a recognized diehard brand can strengthen adv's product portfolio and growth potential, though paying $200m cash on hand introduces liquidity and execution risk.",142,1035,2.0,2019-12-23,89217.0,1.17000136524438,0.3750741481781,0.11877379338947,-4.257046585293,1.04805687442421,0.09531423951822,0.12699591783993
3879,ADVANCE AUTO PARTS INC,'Advance Auto Parts to buy DieHard brand from Sears for $200 million in cash deal' -CNBC,6,increase,0.65,0.6,"acquiring the diehard brand expands advance auto parts' product portfolio with a well-known brand, which could boost sales and differentiation, though cash outlay and integration risks temper the impact.",144,979,2.0,2019-12-23,89217.0,1.17000136524438,0.3750741481781,0.11877379338947,-4.257046585293,1.04805687442421,0.09531423951822,0.12699591783993
3887,ADVANCE AUTO PARTS INC,"Advance Auto Parts shares are trading higher in sympathy with AutoZone, which reported strong Q1 results.",6,increase,0.65,0.6,positive sympathy from autozone's solid results boosts near-term sentiment for advance auto parts.,141,381,2.0,2019-12-10,89217.0,3.03489509969949,-0.17289125826209,1.15899186854684,2.85687226728488,-1.97257008403539,-0.47277294775307,-0.49891316482952
3895,ABBVIE INC,"Cowen & Co. Maintains Outperform on AbbVie, Raises Price Target to $98",6,increase,0.66,0.4,maintaining an outperform rating and raising the price target implies expected upside and positive investor sentiment toward abbvie.,137,765,2.0,2019-12-26,13721.0,-0.02225558564532,-0.70133013650774,-1.25793706061613,-0.8571794246146001,-0.44321496970951,0.62716718793165,1.21662936207687
3903,ABBVIE INC,AbbVie shares are trading higher. Not seeing any news to justify the price action.,6,uncertain,0.65,0.5,shares rising without a clear news driver points to unclear investor sentiment and potential short-term momentum rather than a fundamental change.,134,575,1.0,2019-12-20,13721.0,0.58578830212354,1.07514737173914,-0.86236331913785,-0.4479802043007699,-0.62689487822353,-1.45426864849811,-0.73801152683944
3911,ABBVIE INC,Abbvie Reaches An Agreement With The Pan-Canadian Pharmaceutical Alliance For The Combination Venclexta With Rituximab As A Treatment For Patients With Chronic Lymphocytic Leukemia,6,uncertain,0.58,0.3,"the agreement could improve patient access in canada but likely involves price concessions, leading to mixed implications for revenue and thus uncertain investor sentiment.",156,967,1.0,2019-12-18,13721.0,-0.832593254745,-0.62689487822353,0.55972235961769,-0.70525565599661,0.72682714089751,2.55009743940934,1.52146786239886
