custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num,date,permno,ret,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3
4132,AGILENT TECHNOLOGIES INC,Agilent Collaborates On Study Of Performance-Enhancing Spinach Extract,8,uncertain,0.55,0.25,"the news involves a collaboration on a study of a spinach extract, which could reflect positively on agilent's role in life-sciences research and potentially create future opportunities, but there is no clear impact on current revenues or products, making investor sentiment uncertain.",145,1887,1.0,2019-09-03,87432.0,-0.98438607528805,0.63910940662026,6.19229186939429,8.50731072749506,0.57992031797766,1.6728597950146098,2.34599478779728
4140,ADVANCE AUTO PARTS INC,Advance Auto Parts shares are trading higher. Not currently seeing any news to justify price action.,8,uncertain,0.58,0.4,"the stock is trading higher with no accompanying news to justify the move, suggesting uncertainty about whether sentiment is due to fundamentals or transient price action.",146,1097,1.0,2019-09-23,89217.0,3.55192944407463,-1.24054085463285,2.5927260583144403,-1.82979562749785,1.89136080443859,1.2752090665181,-0.20431222796551
4148,ADVANCE AUTO PARTS INC,"Citigroup Upgrades Advance Auto Parts to Buy, Raises Price Target to $188",8,increase,0.72,0.7,"a citi upgrade to buy and a raised price target imply expected upside for advance auto parts, which is likely to boost investor sentiment.",145,1287,2.0,2019-09-13,89217.0,1.15979583933949,-0.59235203079879,-0.79545401113277,3.02132481508536,-2.30391770601272,0.32320622570114,5.27030111470956
4156,ADVANCE AUTO PARTS INC,"Advance Auto Parts shares trading higher with other stocks in auto retail space. A Morgan Stanley analyst suggested recent pullback in Advance Auto Parts shares presented ""a good buying opportunity.""",8,increase,0.66,0.4,"the news describes a higher stock price and a bullish analyst view, signaling positive sentiment, though it relies on a single analyst opinion and may not reflect broader consensus.",162,1036,2.0,2019-09-10,89217.0,4.9311570823192605,2.68907807767391,0.8855917692434099,2.96220142265495,0.14943683054298,0.6004705637693201,3.90442822767995
4164,ABBVIE INC,Abbvie Inc Co And Allergan Are Cooperating Fully With FTC And Continue To Expect To Close Transaction In Early 2020,8,increase,0.65,0.6,"the ftc cooperation and expected early close reduce regulatory risk and suggest near-term deal completion, boosting investor sentiment.",150,1473,2.0,2019-09-27,13721.0,1.10765863209962,1.16232838481664,-0.25383398174099,-0.20040216790964,2.69108414649963,1.48046864971735,1.50829353315586
4172,ABBVIE INC,AbbVie shares are trading higher after Citigroup upgraded the stock from Neutral to Buy.,8,increase,0.75,0.55,an upgrade from neutral to buy by a major broker is a positive signal that typically improves investor sentiment and can drive higher demand for abbvie shares.,141,1034,2.0,2019-09-26,13721.0,2.69108414649963,1.10765863209962,-0.24314501760249,0.56733526086591,-1.17889055982232,-1.15179484487319,-0.41442613023022
4180,ABBVIE INC,Citigroup Upgrades AbbVie to Buy,8,increase,0.65,0.4,an upgrade to buy from citigroup is a positive signal that generally boosts near-term investor sentiment for abbvie.,133,1154,2.0,2019-09-26,13721.0,2.69108414649963,1.10765863209962,-0.24314501760249,0.56733526086591,-1.17889055982232,-1.15179484487319,-0.41442613023022
4188,ABBVIE INC,UPDATE: UBS On AbbVie Also Notes 'Post '23 we estimate stable cash flows driven by ABBV's 5 key growth assets & AGN Aesthetics franchise. NEWCO cash flows are immediately tangible via a sustainable & growing dividend',8,increase,0.72,0.3,"the ubs note highlighting post-2023 stable cash flows from abbvie's growth assets and a sustainable, growing dividend via newco implies predictable cash generation and income potential, which tends to boost investor sentiment.",173,1429,2.0,2019-09-12,13721.0,1.92834082990884,-0.45178551226854,1.18593296869,4.51785528718398,1.92138105630874,4.18291027750759,2.76544681838475
4196,ABBVIE INC,"UPDATE: UBS Upgrades AbbVie To Buy, Lowers Target To $79 As Firm Notes Co's 'acquisition of AGN leads to a NEWCO generating $20B+ of annual free cash flow growing to a highly compelling, 9% FCF yield in '23E (year of Humira's US patent expiry)'",8,increase,0.68,0.55,"ubs upgrades abbvie to buy citing strong post-merger free cash flow and a compelling long-term cash flow profile from the agn acquisition, which improves sentiment despite a reduced price target.",193,1170,2.0,2019-09-12,13721.0,1.92834082990884,-0.45178551226854,1.18593296869,4.51785528718398,1.92138105630874,4.18291027750759,2.76544681838475
4204,ABBVIE INC,AbbVie shares are trading higher after UBS upgraded the stock from Neutral to Buy.,8,increase,0.78,0.65,an upgrade from neutral to buy by ubs is a positive signal that can lift investor sentiment toward abbvie.,140,1346,2.0,2019-09-12,13721.0,1.92834082990884,-0.45178551226854,1.18593296869,4.51785528718398,1.92138105630874,4.18291027750759,2.76544681838475
4212,ABBVIE INC,"UBS Upgrades AbbVie to Buy, Lowers Price Target to $79",8,uncertain,0.58,0.25,"ubs upgrades abbvie to buy a positive signal, but the lowered price target to $79 implies potential downside risk or limited upside, yielding mixed sentiment.",141,1357,1.0,2019-09-12,13721.0,1.92834082990884,-0.45178551226854,1.18593296869,4.51785528718398,1.92138105630874,4.18291027750759,2.76544681838475
4220,ABBVIE INC,Idera Pharmaceuticals Announces Immuno-Oncology Clinical Research Collaboration With AbbVie,8,increase,0.65,0.4,"the collaboration signals abbvie's ongoing immuno-oncology pipeline development and external validation, which is generally positive for sentiment, though outcomes are not guaranteed and the deal is early-stage.",139,1419,2.0,2019-09-04,13721.0,1.49846440181136,0.97921295091509,4.68514736232379,7.366676273667331,-0.51718335598707,-1.23829607712134,-1.01407317846297
