"headline","headline.type","magnitude","confidence","custom_id","company_name","prompt_type","explanation","input_tokens","output_tokens","headline.type.num","date","permno","ret_fd1","ret_fd5","ret_fd10","ret_ld1","ret_ld2","ret_ld3","ret","exret","b_mkt","mkt.rf","smb","hml","rf","sum_exret_1","sum_exret_5","sum_exret_10"
"'New NIO ET Preview Electric Car Revealed In Shanghai' -Inside EVs","neutral",0,0.9,31906,"BIO RAD LABORATORIES INC",0,NA,121,22,1,"2019-04-16",61516,-3.1880360096693,-2.54113706134746,-1.44639596162636,-0.580173265188932,0.248375426377656,-0.279589055380192,-1.7278,-1.8795,1.0723,0.13,0.12,0.7,0.01,-4.7344,-5.1371,-3.7102
"13F From Loeb's Third Point Shows New Stakes In Blackknight, Colfax, Chemours, Cut Stakes In Constellation Brands, PayPal","negative",0.65,0.8,6706,"CONSTELLATION BRANDS INC",0,NA,134,29,0,"2019-05-15",69796,0.882968679070473,-0.0097586880337896,-8.63457301622521,2.12374627590179,1.03331496518597,1.70389928328583,-0.1656,-0.5995,0.7311,0.58,0.05,-0.96,0.009,-0.3909,-0.6577,-7.7611
"420 Investor Alan Brochstein On Cannabis Strength, Tells Benzinga, 'The Whole Market Is Bouncing On The Organigram Reaction To Negative News.', Notes 'Organigram Sold Off After Missing On Revenue And Profitability Estimates But Reversed Very Quickly","neutral",0.1,0.7,11768,"CONSTELLATION BRANDS INC",0,NA,152,29,1,"2019-07-15",69796,-0.357516226358712,1.29915992762291,0.206457272717286,0.976378750056028,-0.592652648316438,0.787726112193288,-0.506,-0.4834,0.7917,-0.04,-0.35,-1.07,0.009,-0.5966,1.5095,-0.5161
"5 Cannabis And CBD Stocks That Aren't Blowing Smoke","neutral",0.1,0.7,21003,"CONSTELLATION BRANDS INC",0,NA,113,24,1,"2019-03-08",69796,1.28768235445023,2.56332775832526,2.00974565669407,0.951464474201202,0.101509663235921,-1.75233276443905,-0.8649,-0.7304,0.6529,-0.22,0.04,-0.16,0.009,-0.4246,-0.0576,0.1639
"A Preview Of Molson Coors Brewing's Q2 Earnings","neutral",0.1,0.7,31800,"MOLSON COORS BEVERAGE CO",0,NA,118,24,1,"2019-07-30",59248,-5.14756962656975,-10.0667598558266,-9.20589951887715,-0.141370971687138,-0.282336077913847,-0.247137163577238,0.7255,0.8039,0.5098,-0.17,1.37,0.89,0.009,-3.7969,-7.0493,-6.9103
"After Resilient Q3, Positive Tone As Fed Speakers Awaited, LEN Earnings Tomorrow","positive",0.7,0.8,23039,"LENNAR CORP",0,NA,118,29,2,"2019-10-01",52708,3.76884154975414,6.13782877098901,7.19669482643059,2.06505339592695,0.503866808747833,0.521953020949839,-0.2328,0.7044,0.7179,-1.31,-0.46,-0.59,0.007,5.7082,7.8363,6.3627
"Analyst: Constellation Worth Buying Despite Political, ESG Risks","positive",0.6,0.8,11326,"CONSTELLATION BRANDS INC",0,NA,115,29,2,"2019-01-07",69796,1.30496192723513,-5.44321348965716,-3.16835145143171,3.10642868280411,1.57278821867803,3.60650877975248,2.1006,1.4592,0.6778,0.94,1,-0.75,0.01,2.0696,-4.0997,-2.972
"Analyst: Constellation's Wine Sale Will Likely Be Dilutive For 3 Years","negative",0.7,0.85,17554,"CONSTELLATION BRANDS INC",0,NA,121,29,0,"2019-04-04",69796,0.966312922537327,-0.146251641715378,3.83912578502661,1.68637633323669,1.18250246220464,2.48673963136987,6.5446,6.3988,0.7193,0.19,0.21,0.93,0.01,6.9811,5.9044,9.4922
"Analysts Continue To Like Constellation Brands","positive",0.8,0.9,20742,"CONSTELLATION BRANDS INC",0,NA,111,29,2,"2019-01-17",69796,2.36342810094357,4.0159655842551,8.34996220297213,-0.40490492247045,-0.609222743295557,0.420826684636277,0.3002,-0.2118,0.6687,0.75,0.11,-0.24,0.01,1.279,3.0296,6.0425
"Analysts Like Lennar Q3 Print, Say Homebuilder Well Positioned For Growth","positive",0.8,0.9,9431,"LENNAR CORP",0,NA,116,29,2,"2019-10-03",52708,1.67493317276239,0.581097550531995,4.40950444615211,3.76884154975414,3.52730771742491,5.66520190115534,1.1934,0.6348,0.6904,0.8,-0.22,-0.89,0.007,1.3431,0.5928,2.8317
"Analysts Say Homebuilder Environment Still Looks Good For Lennar","positive",0.8,0.9,9214,"LENNAR CORP",0,NA,112,29,2,"2019-06-26",52708,1.8506858497858,3.51209680537723,0.272041706273307,-6.20501600205898,-6.09541856769823,-8.55300295285841,-1.3895,-1.3514,0.7687,-0.06,-0.05,0.25,0.009,0.0368000000000002,-0.1606,-3.3752
"Analysts Still Bullish On Constellation Brands After Conference 'Curveballs'","positive",0.7,0.825,6510,"CONSTELLATION BRANDS INC",0,NA,117,29,2,"2019-02-21",69796,2.05855946987867,2.11893146043751,1.20133140552423,-4.42994832992554,-4.53376482042371,-4.01242296334204,-0.7965,-0.5654,0.6513,-0.37,-0.07,-0.22,0.01,1.0598,1.2434,1.4111
"Analysts Think Constellation's Beer Bash Will Keep The Party Going","positive",0.7,0.85,4295,"CONSTELLATION BRANDS INC",0,NA,116,29,2,"2019-10-04",69796,-2.58077830076218,-0.340664632423415,1.69298987283157,-6.05928674340248,-7.23461566838555,-6.28136056463522,-0.2677,-1.292,0.7268,1.39,-0.47,-0.07,0.007,-3.5818,-2.1603,-0.5184
"Anticipation Of Powell Speech, G20 Summit Has Market In Wait-And-See Mode","neutral",0.05,0.7,10558,"LENNAR CORP",0,NA,118,24,1,"2019-06-25",52708,-1.38946902006865,0.684359297048687,0.497712551156626,0.116847862955183,-2.50331824871464,-1.30543352404402,-6.205,-5.4667,0.7842,-0.98,0.34,0.71,0.009,-6.8181,-6.4049,-7.0777
"Argus Research Maintains Buy on Lennar, Raises Price Target to $65","positive",0.8,0.9,9680,"LENNAR CORP",0,NA,116,29,2,"2019-12-23",52708,2.06686109304428,0.269592909486294,3.50467420193419,2.53439117223024,0.711233405390566,-0.996328874897112,-1.7655,-1.835,0.5861,0.1,0.19,-0.35,0.007,0.219,-1.6355,1.1271
"Atlantic Equities Initiates Coverage On Constellation Brands with Overweight Rating","positive",0.75,0.875,38366,"CONSTELLATION BRANDS INC",0,NA,117,29,2,"2019-01-22",69796,0.522066792473197,2.07612346252382,6.06447263801466,2.36342810094357,2.67074613934002,2.2550272342847,0.3533,1.3759,0.6677,-1.53,-0.4,0.32,0.01,1.7878,3.2009,4.5374
"BMO Capital Downgrades Molson Coors Brewing to Market Perform, Lowers Price Target to $55","negative",0.7,0.9,40446,"MOLSON COORS BEVERAGE CO",0,NA,128,29,0,"2019-11-26",59248,-0.646302057430148,1.26780104178423,1.3470189993859,0.267787673510611,-0.247385465571037,0.0572605260392267,-2.5944,-2.7235,0.6439,0.19,0.06,-0.9,0.006,-3.6591,-0.8775,-1.3907
"BMO Capital Maintains Outperform on Constellation Brands, Raises Price Target to $230","positive",0.75,0.9,29330,"CONSTELLATION BRANDS INC",0,NA,121,29,2,"2019-09-17",69796,0.767923146486282,-0.3450821940019,1.7788596357039,-0.112711801193654,-0.0637372548498937,-1.41703719542385,0.937,0.7981,0.7653,0.17,-0.59,-1.19,0.009,1.5953,1.6499,4.5991
"BMO Capital Maintains Underperform on Greif, Raises Price Target to $36","negative",0.6,0.8,22224,"GREIF INC",0,NA,113,29,0,"2019-12-12",83233,-3.09597849845886,0.518223747775193,-0.821718060899712,0.77202576212585,-0.314464025274774,-0.671439649752248,1.8927,0.4656,1.5761,0.9,-0.14,1.14,0.007,-2.5901,-0.8697,-3.7391
"BTIG Maintains Buy on Lennar, Raises Price Target to $75","positive",0.8,0.9,9447,"LENNAR CORP",0,NA,115,29,2,"2019-10-03",52708,1.67493317276239,0.581097550531995,4.40950444615211,3.76884154975414,3.52730771742491,5.66520190115534,1.1934,0.6348,0.6904,0.8,-0.22,-0.89,0.007,1.3431,0.5928,2.8317
"Baird Maintains Neutral on Greif, Raises Price Target to $45","neutral",0.15,0.8,16512,"GREIF INC",0,NA,111,29,1,"2019-12-06",83233,-0.358101725578308,-1.9247999237207,1.19063235312564,-0.0926502281799912,0.442483571567642,0.0463940054534983,3.5938,2.1758,1.5498,0.91,0.24,0.37,0.007,2.3221,-0.9041,-0.506899999999999
"Baird Maintains Neutral on Watsco, Raises Price Target to $175","neutral",0.1,0.8,5215,"WATSCO INC",0,NA,114,29,1,"2019-10-18",66376,0.709749385714531,1.50028322344016,3.16214404559014,5.63108436763287,4.8518628877968,3.5906840433491,-0.8751,-0.5053,0.7695,-0.49,-0.36,0.86,0.007,-0.3489,-0.0923999999999997,0.3791
"Baird Maintains Outperform on Heico, Raises Price Target to $170","positive",0.8,0.9,13338,"HEICO CORP NEW",0,NA,116,29,2,"2019-08-13",32678,-2.41531785577536,1.62665515736133,2.17591151947489,-0.821512565016747,-1.09929090129793,1.26900226854012,0.538,-0.931,0.989,1.47,-0.17,-0.53,0.007,-0.4357,1.5561,3.3327
"Baird Upgrades Heico Corporation Common Stock to Outperform","positive",0.8,0.9,39610,"HEICO CORP NEW",0,NA,112,29,2,"2019-05-23",32678,0.453494023531675,17.3195652925713,23.456192533227,-0.0963098078500479,1.00292739799641,0.572041866142903,-0.0868,1.3724,1.0631,-1.37,-0.69,-0.28,0.009,1.5724,20.5915,21.374
