"return_type","question","mag_v_conf","V","W","Mean","Median","SD","CI05","CI95","Sample Average"
"Realized Returns","q1","confidence","Positive","1 day",-2.33220728204342,-2.34966464595897,1.29170601245963,-4.53831755140648,-0.353760261838446,0.0445997162731272
"Realized Returns","q1","confidence","Positive","5 days",-1.88734827716131,-1.86506010992071,0.817319358463721,-3.53769348422461,-0.623004883479131,0.316035394956831
"Realized Returns","q1","confidence","Positive","10 days",-0.853011855911078,-0.961708836898137,1.13807050009212,-2.80120990802524,0.910121532755759,0.587619259800625
"Realized Returns","q1","confidence","Negative","1 day",2.63099617803385,2.80261514088055,1.70954168630875,-0.0281248671579939,5.65054832908149,0.0445997162731272
"Realized Returns","q1","confidence","Negative","5 days",1.48557117155309,2.68408576649044,3.32405495549988,-5.71595577448352,4.27497347896671,0.316035394956831
"Realized Returns","q1","confidence","Negative","10 days",0.959406212937776,2.22000915995731,4.19194364822346,-8.18695733048264,4.3233943438084,0.587619259800625
"Realized Returns","q1","magnitude","Positive","1 day",-0.677498779220652,-0.221292623533569,0.940427485553481,-2.47486755019758,0.0786031702561412,0.0445997162731272
"Realized Returns","q1","magnitude","Positive","5 days",-0.290447882820017,0.141249965191968,0.853218408577374,-1.7871145129454,0.46503921049162,0.316035394956831
"Realized Returns","q1","magnitude","Positive","10 days",0.288843638781691,0.636592330410243,0.924128361578146,-1.58436017047117,1.18620392700765,0.587619259800625
"Realized Returns","q1","magnitude","Negative","1 day",1.21860823811127,0.861901619824476,1.05695411525675,0.0920735427767034,3.47358530107578,0.0445997162731272
"Realized Returns","q1","magnitude","Negative","5 days",1.02714549188605,1.08192540637169,0.754323382317953,-0.200794723571814,2.32534827189847,0.316035394956831
"Realized Returns","q1","magnitude","Negative","10 days",1.08809327730563,1.15607006272205,0.833745516601697,-0.126271690957397,2.50459215930392,0.587619259800625
"Realized Returns","q1","no_interaction","Positive","1 day",0.432711482014314,0.431075109368686,0.0143068123666506,0.413326845724933,0.449957967622,0.0445997162731272
"Realized Returns","q1","no_interaction","Positive","5 days",0.649071665127634,0.64832816183569,0.0244490733582785,0.608710519518915,0.6825696600446,0.316035394956831
"Realized Returns","q1","no_interaction","Positive","10 days",0.955673093902126,0.955332290790533,0.0253818959076881,0.915727534819807,0.996396679090772,0.587619259800625
"Realized Returns","q1","no_interaction","Negative","1 day",-0.788781212938411,-0.794910425236162,0.0569422583298103,-0.867201657002536,-0.711232673366854,0.0445997162731272
"Realized Returns","q1","no_interaction","Negative","5 days",-0.35295724276652,-0.354948605304603,0.0672919739617934,-0.467982044883832,-0.239858745493391,0.316035394956831
"Realized Returns","q1","no_interaction","Negative","10 days",-0.0623707105866916,-0.0789796508712208,0.0731215948198902,-0.155766921105734,0.0780584709793186,0.587619259800625
"Realized Returns","q2","confidence","Increase","1 day",-5.49702214577784,-2.38102236712571,10.004741421508,-23.5220823001352,-0.706514071775188,0.0139623840320629
