"V","W","statistic_name","Mean","Median","SD","CI05","CI95","Sample Average"
"Health","DW1","coef",-0.0148560163708333,-0.01769920815,0.00632798813216686,-0.0222594265495,-0.0056856246015,0.14975845410628
"Health","Democrat","coef",0.00994095201583333,0.012193959465,0.00491041584239474,0.0021667001135,0.0157135092675,0.14975845410628
"Health","Senate","coef",0.00540815898291667,0.004637846535,0.00400491713519343,0.000716359569,0.0125979197795,0.14975845410628
"Banking, Finance & Domestic Commerce","DW1","coef",0.0124311676279167,0.01161037476,0.00789160475096583,0.003567889958,0.023592936633,0.126864104179794
"Banking, Finance & Domestic Commerce","Democrat","coef",-0.00859749537375,-0.007819084885,0.00499716746255961,-0.0167389123005,-0.002295053182,0.126864104179794
"Banking, Finance & Domestic Commerce","Senate","coef",-0.00520977138875,-0.004700278865,0.00342317242050225,-0.010262682801,-0.00119793385,0.126864104179794
"Defense","DW1","coef",0.0249318787933333,0.023711021665,0.00785697360832668,0.0187646475155,0.042622415541,0.203738710354967
"Defense","Democrat","coef",-0.00592235824041667,-0.005692688475,0.00368682981223244,-0.013211418822,-0.0019798147065,0.203738710354967
"Defense","Senate","coef",-0.00817686794291667,-0.006352991685,0.00574902966961057,-0.019152718248,-0.002967722878,0.203738710354967
"Government Operations","DW1","coef",0.0116475207608333,0.01347000339,0.00724032414301582,-0.002759471739,0.019502534966,0.281243436252888
"Government Operations","Democrat","coef",-0.00149222634833333,-0.002444143425,0.00402705657605098,-0.005764097936,0.00803297879149999,0.281243436252888
"Government Operations","Senate","coef",-0.01340109446625,-0.01306741181,0.00482829347302568,-0.020555526222,-0.0066164939895,0.281243436252888
"Public Lands & Water Management","DW1","coef",0.0261362232125,0.027063840415,0.00426474374702003,0.0161670830585,0.0310167482765,0.23839529510607
"Public Lands & Water Management","Democrat","coef",-0.00651862164708333,-0.007072379425,0.00230726767460495,-0.009673222289,-0.001863084486,0.23839529510607
"Public Lands & Water Management","Senate","coef",0.0320801400566667,0.032130475115,0.00281143701607504,0.027285280717,0.035767974679,0.23839529510607
