"W","V","statistic_name","Mean","Median","SD","CI05","CI95","Sample Average"
"DW1","Health","coef",-0.09572473066625,-0.097274799065,0.0092891416201835,-0.105339015195,-0.077602122581,-0.062383069878747
"DW1","Banking, Finance & Domestic Commerce","coef",-0.0428160775670833,-0.04296766954,0.00970064070978775,-0.0526768621665,-0.0291802006925,-0.062383069878747
"DW1","Defense","coef",-0.0158954513264583,-0.01577993213,0.00452256846019064,-0.024639780053,-0.0097248146955,-0.062383069878747
"DW1","Government Operations","coef",-0.043429312456875,-0.04611435316,0.0124648466652036,-0.0635600046975,-0.0243072246965,-0.062383069878747
"DW1","Public Lands & Water Management","coef",-0.0250305990975,-0.02590533163,0.00588990977983408,-0.033389948952,-0.012957770948,-0.062383069878747
"Democrat","Health","coef",0.642676104284167,0.646288430895,0.0121787508563773,0.6168489113175,0.655336910439,0.604
"Democrat","Banking, Finance & Domestic Commerce","coef",0.579115093143542,0.57894652762,0.00921157258449509,0.567881460894,0.5929286477415,0.604
"Democrat","Defense","coef",0.587768854043542,0.58751522039,0.00775575257852293,0.57662195207,0.6023157152935,0.604
"Democrat","Government Operations","coef",0.593632253319792,0.59608793141,0.0140726830473269,0.5709301855665,0.614435042311,0.604
"Democrat","Public Lands & Water Management","coef",0.588535560143333,0.58820725621,0.00501617406948995,0.581071710747,0.597634739823,0.604
"Senate","Health","coef",0.3309786809175,0.32672515855,0.0115140066857834,0.3199139928995,0.3590965542075,0.3169
"Senate","Banking, Finance & Domestic Commerce","coef",0.2986374298425,0.298019623645,0.0103184388488857,0.2819435091685,0.3132882371235,0.3169
"Senate","Defense","coef",0.293233728591875,0.29406737054,0.00950389538113183,0.2757250425605,0.307734329026,0.3169
"Senate","Government Operations","coef",0.292428629265208,0.291955389145,0.00731902342633033,0.2816398362865,0.305309824023,0.3169
"Senate","Public Lands & Water Management","coef",0.385589920909792,0.38601266707,0.00828391751581963,0.372346898793,0.3981927948205,0.3169
