date,permno,headline,company_name,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3,ret,exret,b_mkt,mkt-rf,smb,hml,rf,exret_hat,exret_1,exret_2,exret_3,exret_4,exret_5,exret_6,exret_7,exret_8,exret_9,exret_10
2019-10-23,84319.0,"Lithia Motors Q3 EPS $3.39 Beats $3.09 Estimate, Sales $3.332B Beat $3.26B Estimate",LITHIA MOTORS INC,0.9420916438102722,3.1076217801147443,2.9963927925546585,-3.9292197674512863,-0.05367878834475759,1.6616000522924557,17.2882,17.1316,0.6113,0.25,-0.09,0.26,0.007,17.128375,0.7823,0.8051,0.2325,1.6784,-1.5152,0.2138,0.6027,-0.0685,-0.0008,-1.6646
2019-10-15,84319.0,"Morgan Stanley Maintains Overweight on Lithia Motors, Raises Price Target to $151",LITHIA MOTORS INC,-0.6403746083378792,1.7727485011380217,24.69347420273491,0.1900371047668159,0.8046543598685618,1.5489569077802523,1.2013,0.5823,0.6093,1.03,0.25,-0.25,0.007,0.5667210000000001,-0.5011,0.5222,2.0026,3.6046,-3.7347,17.1316,0.7823,0.8051,0.2325,1.6784
2019-10-23,83879.0,"Imperial Capital Downgrades Lamar Advertising to In-Line, Announces $86 Price Target",LAMAR ADVERTISING CO NEW,-0.8846288546919823,-1.9025686731530822,0.3150779082435884,0.4708431661128998,0.5558229646439816,0.8238433587498983,-0.8411,-1.043,0.7771,0.25,-0.09,0.26,0.007,-1.042375,-1.0859,-0.4146,-1.3978,1.0972,-1.3341,-0.8619,-0.5646,-0.3974,2.7237,0.5086
2019-10-02,83879.0,'Fast Money Halftime Report' Picks For October 2,LAMAR ADVERTISING CO NEW,1.2140680104494095,0.24776628003169154,1.3255694373442095,-0.9764470160007477,-0.4662064175393277,-0.2581744078171466,-0.5054,0.8264,0.77,-1.73,0.9,-0.36,0.007,0.8197000000000001,0.5911,0.4746,-0.8466,0.7251,-1.5369,-0.5454,0.4256,-0.0156,-0.8436,0.1668
2019-10-07,13756.0,"Aegis Initiates Coverage On Gladstone Land with Buy Rating, Announces $13.5 Price Target",GLADSTONE LAND CORP,1.355930883437395,0.33898268949710264,1.0559314884642124,-1.3947587460279465,-0.9762289530677815,-1.5611849213917783,1.1573,1.2943,0.3466,-0.41,0.16,-0.02,0.007,1.2924060000000002,1.9069,-0.4824,-0.6643,-0.5432,-0.2001,-0.3421,-0.6891,0.5528,0.6559,0.0593
2019-10-31,90701.0,"Lazard Q3 Adj. EPS $0.76 Beats $0.73 Estimate, Sales $588.262M Miss $617.37M Estimate",LAZARD LTD,0.13393848203122616,4.178934490096409,2.4435244200050388,-0.7744012400507927,-0.25947662075543887,2.397436641524564,-2.8876,-2.391,1.3363,-0.38,-0.26,-0.44,0.007,-2.386806,-1.3153,1.2283,2.0051,-0.997,0.8213,-0.3371,0.5088,-0.4799,-1.8139,-0.0455
2019-10-09,90701.0,"Buckingham Maintains Neutral on Lazard, Lowers Price Target to $40",LAZARD LTD,1.6243934631347656,6.6400625284464665,6.668566747691362,0.25832420215010643,1.012141305513703,1.8961538981629777,0.4581,-0.75,1.3031,0.92,-0.55,-0.09,0.007,-0.747752,0.8486,0.9399,-0.2651,2.3948,-0.5673,-1.5065,0.5556,-0.5062,-0.2094,1.0207
2019-10-03,90701.0,Lazard Asset Management Laying Off As Much As 7% Of Global Workforce,LAZARD LTD,0.8751547895371914,4.025674143921787,8.051348245133894,-0.4690702073276043,-2.999997834527912,-2.0484682210099137,0.972,-0.0931,1.3221,0.8,-0.22,-0.89,0.007,-0.0926800000000002,-0.9696,1.2853,2.3733,-0.75,0.8486,0.9399,-0.2651,2.3948,-0.5673,-1.5065
2019-10-24,87614.0,Lakeland Bancorp Q3 EPS $0.37 Up From $0.35 YoY,LAKELAND BANCORP INC,0.4962773993611336,2.6674837101692717,6.187334933709643,0.4444424994289875,0.5082587248498971,1.8018000825140046,1.8963,1.678,0.8488,0.25,-0.26,-0.89,0.007,1.6771000000000003,0.0564,0.0907,1.5716,0.047,0.0931,0.5898,0.6804,0.8505,-0.494,0.2662
2019-10-24,87614.0,Lakeland Bancorp Reports ~2.52M Share Common Stock Buyback,LAKELAND BANCORP INC,0.4962773993611336,2.6674837101692717,6.187334933709643,0.4444424994289875,0.5082587248498971,1.8018000825140046,1.8963,1.678,0.8488,0.25,-0.26,-0.89,0.007,1.6771000000000003,0.0564,0.0907,1.5716,0.047,0.0931,0.5898,0.6804,0.8505,-0.494,0.2662
2019-10-28,14944.0,"Benchmark Maintains Buy on Liberty Broadband, Raises Price Target to $134",LIBERTY BROADBAND CORP,-0.15393851790577173,1.2742648222009656,0.04276319728937494,5.287983641028404,5.508094443239897,5.729120132491428,0.7323,0.1806,0.8696,0.62,0.27,-0.24,0.007,0.18614799999999987,-0.0479,0.7415,0.4012,0.4864,-1.3495,-0.3105,-1.1594,-1.0044,0.5159,0.3733
2019-10-28,14988.0,"Morgan Stanley Maintains Equal-Weight on Liberty Broadband, Raises Price Target to $131",LIBERTY BROADBAND CORP,-0.14541595010086894,1.3086978433213492,0.3079231135691085,5.399278178811073,5.294174518925865,5.610108920471668,0.6543,0.1016,0.8724,0.62,0.27,-0.24,0.007,0.10641200000000006,-0.039,0.7406,0.4788,0.4563,-1.3752,-0.3526,-1.1597,-0.9968,0.5673,0.5878
2019-10-04,14988.0,"Citigroup Initiates Coverage On Liberty Broadband with Buy Rating, Announces $125 Price Target",LIBERTY BROADBAND CORP,0.08340717176906765,-0.7970348484014456,2.8915616256483645,0.7278943434357643,1.476262846133758,0.4776918641653971,2.5958,1.3381,0.9059,1.39,-0.47,-0.07,0.007,1.329599,0.4478,0.9397,-0.6737,-0.7765,-1.395,-0.184,1.4278,1.0473,0.6102,0.318
2019-10-23,90227.0,"Benchmark Maintains Buy on Liberty Global, Lowers Price Target to $32",LIBERTY GLOBAL PLC,0.32962472178041935,2.6369978043591535,3.1314388388169467,-6.559938192367554,-7.24805771568251,-6.08319925162617,1.4208,1.1703,0.9752,0.25,-0.09,0.26,0.007,1.1700000000000002,0.0788,-0.4203,0.8291,0.945,-0.3042,1.3216,0.0613,-1.0559,0.5768,-1.4152
2019-10-17,90227.0,"HSBC Downgrades Liberty Global to Hold, Announces $28 Price Target",LIBERTY GLOBAL PLC,1.2558857910335064,-4.434847307516165,-1.295132868342952,1.827724277973175,5.840742631205154,6.921191197505694,-2.6924,-3.0591,0.9738,0.37,0.8,-0.28,0.007,-3.0597060000000003,1.726,-1.4326,-6.2389,1.1703,0.0788,-0.4203,0.8291,0.945,-0.3042,1.3216
2019-10-14,90227.0,Liberty Global Announces CHF 500M Conditional Rights Purchase Commitment for Sunrise's Financing of UPC Switzerland Acquisition,LIBERTY GLOBAL PLC,3.9409879595041275,3.5165758342964315,-0.1010489748922705,2.8991619125008583,-1.5675219856835731,-1.0105095961800536,1.0208,1.1859,0.96,-0.18,-0.34,-0.04,0.007,1.1866,2.9452,2.0532,-3.0591,1.726,-1.4326,-6.2389,1.1703,0.0788,-0.4203,0.8291
2019-10-21,13007.0,LCNB Q3 EPS $0.36 Up From $0.32 YoY,L C N B CORP,-0.27839220128953457,0.779517312728828,0.890878448497312,0.0,-0.5093387328088284,1.034484554389259,2.1615,1.7262,0.6066,0.71,0.16,0.35,0.007,1.723814,-0.0791,0.3439,-1.8808,0.7609,0.8633,0.2917,-0.4455,0.1699,-0.6275,-0.0909
2019-10-16,76686.0,"DA Davidson Initiates Coverage On Lifetime Brands with Neutral Rating, Announces $9 Price Target",LIFETIME BRANDS INC,5.904525890946388,4.145727686800216,2.386929287131223,-3.3088233321905136,-4.594928251723718,-1.9875815708892075,0.8872,1.0587,0.7425,-0.24,0.4,0.23,0.007,1.0584,5.6228,-3.201,2.0439,0.4925,-1.0349,-1.8867,-2.1115,0.279,2.9343,-2.0019
2019-10-29,91547.0,Leidos Holdings shares are trading higher after the company reported better-than-expected Q3 EPS and sales results. The company also raised FY19 EPS and sales guidance above analyst estimates.,LEIDOS HOLDINGS INC,0.34726595040410757,-3.7157067871042337,3.0327616691546933,1.0377521626651287,0.9620148043608001,1.9813222795382224,6.9051,7.0181,0.9273,-0.13,0.3,0.51,0.007,7.018649,0.0899,-0.1834,-2.0541,0.1552,-3.0091,2.3848,0.6627,1.1014,0.7077,1.3754
2019-10-29,91547.0,Leidos Holdings Raises FY19 Adj. EPS Guidance From $4.70-$4.75 To $4.90-$5.10 vs $4.71 Est. Raises Sales Guidance From $10.65B-$10.95B To $10.90B-$11.00B vs $10.84B Est.,LEIDOS HOLDINGS INC,0.34726595040410757,-3.7157067871042337,3.0327616691546933,1.0377521626651287,0.9620148043608001,1.9813222795382224,6.9051,7.0181,0.9273,-0.13,0.3,0.51,0.007,7.018649,0.0899,-0.1834,-2.0541,0.1552,-3.0091,2.3848,0.6627,1.1014,0.7077,1.3754
2019-10-29,91547.0,"Leidos Holdings Q3 Adj. EPS $1.36 Beats $1.19 Estimate, Sales $2.84B Beat $2.75B Estimate",LEIDOS HOLDINGS INC,0.34726595040410757,-3.7157067871042337,3.0327616691546933,1.0377521626651287,0.9620148043608001,1.9813222795382224,6.9051,7.0181,0.9273,-0.13,0.3,0.51,0.007,7.018649,0.0899,-0.1834,-2.0541,0.1552,-3.0091,2.3848,0.6627,1.1014,0.7077,1.3754
2019-10-14,91547.0,Leidos Wins $926M Ceiling Contract For TSA Screening Equipment,LEIDOS HOLDINGS INC,-0.278917932882905,-1.964592296712142,-2.000972008913693,0.13245106674730778,0.5562354825016325,1.6129122379417105,-0.8418,-0.6808,0.9322,-0.18,-0.34,-0.04,0.007,-0.6810039999999999,-1.2461,-0.8657,0.1018,0.3394,-1.6239,-1.6093,-0.3026,0.7702,-0.5558,0.4764
2019-10-10,91547.0,"Morgan Stanley Maintains Equal-Weight on Leidos Holdings, Raises Price Target to $83",LEIDOS HOLDINGS INC,0.13245106674730778,-1.6134906227066481,-3.624325159152886,1.0508316569030285,-1.3126564537284002,-1.1120415938812078,0.4232,-0.1289,0.9236,0.59,-0.4,0.26,0.007,-0.12872399999999995,-1.0105,-0.6808,-1.2461,-0.8657,0.1018,0.3394,-1.6239,-1.6093,-0.3026,0.7702
2019-10-30,81678.0,Lincoln Electric Raises Quarterly Dividend From $0.47 To $0.49/Share,LINCOLN ELECTRIC HOLDINGS INC,-0.16718850238248706,2.8644667698473736,1.2037469189512207,2.644466608762741,2.655640574663476,5.562396631717292,-4.877,-5.1998,1.1694,0.27,-0.37,-1.16,0.007,-5.199737999999999,0.2702,0.8496,2.3384,-1.2154,-0.5615,-0.742,-0.356,-0.4039,0.4854,-1.4077
