headline,date,ticker,datetime_utc,company_name,permno,cusip,ret,ret_f1,ret_f2,ret_f3,ret_f4,ret_f5,ret_f6,ret_f7,ret_f8,ret_f9,ret_f10,date1,date2,date3,date4,date5,date6,date7,date8,date9,date10,Mkt-RF,SMB,HML,RF,Mkt-RF_1,SMB_1,HML_1,RF_1,date_1,Mkt-RF_2,SMB_2,HML_2,RF_2,date_2,Mkt-RF_3,SMB_3,HML_3,RF_3,date_3,Mkt-RF_4,SMB_4,HML_4,RF_4,date_4,Mkt-RF_5,SMB_5,HML_5,RF_5,date_5,Mkt-RF_6,SMB_6,HML_6,RF_6,date_6,Mkt-RF_7,SMB_7,HML_7,RF_7,date_7,Mkt-RF_8,SMB_8,HML_8,RF_8,date_8,Mkt-RF_9,SMB_9,HML_9,RF_9,date_9,Mkt-RF_10,SMB_10,HML_10,RF_10,date_10,index,b_mkt,b_smb,b_hml,er_CAPM,ar_CAPM,er_CAPM_1,ar_CAPM_1,er_CAPM_2,ar_CAPM_2,er_CAPM_3,ar_CAPM_3,er_CAPM_4,ar_CAPM_4,er_CAPM_5,ar_CAPM_5,er_CAPM_6,ar_CAPM_6,er_CAPM_7,ar_CAPM_7,er_CAPM_8,ar_CAPM_8,er_CAPM_9,ar_CAPM_9,er_CAPM_10,ar_CAPM_10,CAPM_CAR_1,CAPM_CAR_2,CAPM_CAR_3,CAPM_CAR_5,CAPM_CAR_10
PreMarket Prep Recap: Yo-Yo Market And After-Hours Overshoot On Ackman's New Stake,2019-12-10,A,2019-12-10 17:58:00+00:00,AGILENT TECHNOLOGIES INC,87432.0,00846U10,0.0160499569028616,0.01108888350427151,0.0006093056290410459,0.004414688795804977,0.001515587558969855,0.009231244213879108,0.004798315931111574,0.003730786265805364,0.004162931349128485,-0.003997694235295057,-0.004608259070664644,2019-12-11,2019-12-12,2019-12-13,2019-12-16,2019-12-17,2019-12-18,2019-12-19,2019-12-20,2019-12-23,2019-12-24,-0.08,0.31,-0.09,0.007,0.28,-0.07,0.13,0.007,2019-12-11,0.9,-0.14,1.14,0.007,2019-12-12,-0.03,-0.27,-0.54,0.007,2019-12-13,0.74,0.02,-0.04,0.007,2019-12-16,0.1,0.41,0.67,0.007,2019-12-17,-0.05,0.2,0.09,0.007,2019-12-18,0.43,-0.02,-0.42,0.007,2019-12-19,0.48,-0.3,-0.3,0.007,2019-12-20,0.1,0.19,-0.35,0.007,2019-12-23,0.01,0.39,0.0,0.007,2019-12-24,1722210.0,1.1355,0.0614,-0.12,-0.08384,0.09988995690286159,0.32494,-0.3138511164957285,1.0289499999999998,-1.0283406943709588,-0.027065,0.031479688795804976,0.84727,-0.8457544124410301,0.12055,-0.1113187557861209,-0.049775,0.054573315931111574,0.49526499999999996,-0.4915342137341946,0.55204,-0.5478770686508715,0.12055,-0.12454769423529506,0.018355,-0.022963259070664644,-0.2139611595928669,-1.3421918108666873,-0.9968610055751538,-0.9255934794313461,-1.243667675546035
UPDATE: Bill Ackman's Pershing Square Files Amended 13F Showing New ~2.916M Share Stake In Agilent,2019-12-09,A,2019-12-09 21:12:00+00:00,AGILENT TECHNOLOGIES INC,87432.0,00846U10,-0.007176698185503483,0.01189551409333944,-0.01282437145709991,-0.002938484773039818,0.007135087158530951,0.01108888350427151,0.0006093056290410459,0.004414688795804977,0.001515587558969855,0.009231244213879108,0.004798315931111574,2019-12-10,2019-12-11,2019-12-12,2019-12-13,2019-12-16,2019-12-17,2019-12-18,2019-12-19,2019-12-20,2019-12-23,-0.33,0.37,0.11,0.007,-0.08,0.31,-0.09,0.007,2019-12-10,0.28,-0.07,0.13,0.007,2019-12-11,0.9,-0.14,1.14,0.007,2019-12-12,-0.03,-0.27,-0.54,0.007,2019-12-13,0.74,0.02,-0.04,0.007,2019-12-16,0.1,0.41,0.67,0.007,2019-12-17,-0.05,0.2,0.09,0.007,2019-12-18,0.43,-0.02,-0.42,0.007,2019-12-19,0.48,-0.3,-0.3,0.007,2019-12-20,0.1,0.19,-0.35,0.007,2019-12-23,1714875.0,1.1379,0.0507,-0.1209,-0.368507,0.3613303018144965,-0.08403199999999998,0.09592751409333942,0.325612,-0.3384363714570999,1.0311099999999997,-1.0340484847730396,-0.027136999999999994,0.034272087158530945,0.849046,-0.8379571164957285,0.12079000000000001,-0.12018069437095896,-0.049895,0.05430968879580498,0.496297,-0.49478141244103013,0.5531919999999999,-0.5439607557861208,0.12079000000000001,-0.11599168406888843,0.45725781590783593,-0.2425088573637605,-1.3724848562301395,-1.837733514110237,-2.058561974366922
Hearing Pershing Square Reports 2.9M Share Stake In Agilent,2019-12-09,A,2019-12-09 21:09:00+00:00,AGILENT TECHNOLOGIES INC,87432.0,00846U10,-0.007176698185503483,-0.03026212193071842,0.01189551409333944,-0.01282437145709991,-0.002938484773039818,0.007135087158530951,0.01108888350427151,0.0006093056290410459,0.004414688795804977,0.001515587558969855,0.009231244213879108,2019-12-10,2019-12-11,2019-12-12,2019-12-13,2019-12-16,2019-12-17,2019-12-18,2019-12-19,2019-12-20,2019-12-23,-0.33,0.37,0.11,0.007,-0.08,0.31,-0.09,0.007,2019-12-10,0.28,-0.07,0.13,0.007,2019-12-11,0.9,-0.14,1.14,0.007,2019-12-12,-0.03,-0.27,-0.54,0.007,2019-12-13,0.74,0.02,-0.04,0.007,2019-12-16,0.1,0.41,0.67,0.007,2019-12-17,-0.05,0.2,0.09,0.007,2019-12-18,0.43,-0.02,-0.42,0.007,2019-12-19,0.48,-0.3,-0.3,0.007,2019-12-20,0.1,0.19,-0.35,0.007,2019-12-23,1714875.0,1.1379,0.0507,-0.1209,-0.368507,0.3613303018144965,-0.08403199999999998,0.05376987806928156,0.325612,-0.31371648590666057,1.0311099999999997,-1.0439343714570997,-0.027136999999999994,0.024198515226960177,0.849046,-0.841910912841469,0.12079000000000001,-0.1097011164957285,-0.049895,0.05050430562904105,0.496297,-0.491882311204195,0.5531919999999999,-0.55167641244103,0.12079000000000001,-0.1115587557861209,0.41510017988377806,-0.259946607837379,-1.3576508573637602,-1.8616467690716085,-2.0562252031395025
Applied Optoelectronics to Participate in Raymond James Technology Investors Conference Tuesday Dec. 10 At 3:35 p.m. ET,2019-12-03,AAOI,2019-12-03 21:11:00+00:00,APPLIED OPTOELECTRONICS INC,14145.0,03823U10,-0.0336134135723114,-0.004704280756413937,0.01417961064726114,-0.02063917554914951,-0.01223659422248602,-0.002064675325527787,0.008965524844825268,-0.002050562761723995,0.05479446798563004,-0.003246703883633018,0.005211721174418926,2019-12-04,2019-12-05,2019-12-06,2019-12-09,2019-12-10,2019-12-11,2019-12-12,2019-12-13,2019-12-16,2019-12-17,-0.66,0.6,-0.83,0.007,0.6,0.13,0.24,0.007,2019-12-04,0.13,-0.21,0.46,0.007,2019-12-05,0.91,0.24,0.37,0.007,2019-12-06,-0.33,0.37,0.11,0.007,2019-12-09,-0.08,0.31,-0.09,0.007,2019-12-10,0.28,-0.07,0.13,0.007,2019-12-11,0.9,-0.14,1.14,0.007,2019-12-12,-0.03,-0.27,-0.54,0.007,2019-12-13,0.74,0.02,-0.04,0.007,2019-12-16,0.1,0.41,0.67,0.007,2019-12-17,1680974.0,1.7083,1.2246,0.9953,-1.120478,1.0868645864276887,1.03198,-1.0366842807564138,0.229079,-0.21489938935273886,1.561553,-1.5821921755491495,-0.556739,0.544502405777514,-0.129664,0.12759932467447221,0.48532400000000003,-0.47635847515517477,1.5444699999999998,-1.5465205627617238,-0.044249,0.09904346798563005,1.2711419999999998,-1.2743887038836328,0.17783000000000002,-0.1726182788255811,0.05018030567127485,-1.2515836701091527,-1.7970915649018884,-0.9100904450971634,-3.24324322796601
"Advance Auto Parts Announces Purchase Of DieHard Brand From Transformco , Utilizing $200M Cash On Hand",2019-12-23,AAP,2019-12-23 16:42:00+00:00,ADVANCE AUTO PARTS INC,89217.0,00751Y10,0.01170001365244389,0.002432436449453235,0.007549171801656485,0.01833024807274342,-0.009985575452446938,-0.04047771170735359,0.002074604388326406,-0.01918563805520535,0.03335213661193848,0.008988098241388798,-0.004993860609829426,2019-12-24,2019-12-26,2019-12-27,2019-12-30,2019-12-31,2020-01-02,2020-01-03,2020-01-06,2020-01-07,2020-01-08,0.1,0.19,-0.35,0.007,0.01,0.39,0.0,0.007,2019-12-24,0.48,-0.54,0.0,0.007,2019-12-26,-0.1,-0.53,-0.07,0.007,2019-12-27,-0.57,0.19,0.56,0.007,2019-12-30,0.28,-0.01,0.12,0.007,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,1788448.0,0.6658,0.2336,0.3106,0.07358,-0.06187998634755612,0.013658,-0.011225563550546765,0.326584,-0.3190348281983435,-0.05958,0.07791024807274342,-0.37250599999999995,0.362520424547553,0.193424,-0.2339017117073536,,,,,,,,,,,-0.07310554989810289,-0.33026039174889027,-0.24112458012560006,0.20652896091294284,
'Advance Auto Parts to buy DieHard brand from Sears for $200 million in cash deal' -CNBC,2019-12-23,AAP,2019-12-23 15:02:00+00:00,ADVANCE AUTO PARTS INC,89217.0,00751Y10,0.01170001365244389,0.002432436449453235,0.007549171801656485,0.01833024807274342,-0.009985575452446938,-0.04047771170735359,0.002074604388326406,-0.01918563805520535,0.03335213661193848,0.008988098241388798,-0.004993860609829426,2019-12-24,2019-12-26,2019-12-27,2019-12-30,2019-12-31,2020-01-02,2020-01-03,2020-01-06,2020-01-07,2020-01-08,0.1,0.19,-0.35,0.007,0.01,0.39,0.0,0.007,2019-12-24,0.48,-0.54,0.0,0.007,2019-12-26,-0.1,-0.53,-0.07,0.007,2019-12-27,-0.57,0.19,0.56,0.007,2019-12-30,0.28,-0.01,0.12,0.007,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,1788448.0,0.6658,0.2336,0.3106,0.07358,-0.06187998634755612,0.013658,-0.011225563550546765,0.326584,-0.3190348281983435,-0.05958,0.07791024807274342,-0.37250599999999995,0.362520424547553,0.193424,-0.2339017117073536,,,,,,,,,,,-0.07310554989810289,-0.33026039174889027,-0.24112458012560006,0.20652896091294284,
"Advance Auto Parts shares are trading higher in sympathy with AutoZone, which reported strong Q1 results.",2019-12-10,AAP,2019-12-10 15:46:00+00:00,ADVANCE AUTO PARTS INC,89217.0,00751Y10,0.03034895099699497,0.002432436449453235,0.007549171801656485,0.01833024807274342,-0.009985575452446938,-0.04047771170735359,0.002074604388326406,-0.01918563805520535,0.03335213661193848,0.008988098241388798,-0.004993860609829426,2019-12-11,2019-12-12,2019-12-13,2019-12-16,2019-12-17,2019-12-18,2019-12-19,2019-12-20,2019-12-23,2019-12-24,-0.08,0.31,-0.09,0.007,0.28,-0.07,0.13,0.007,2019-12-11,0.9,-0.14,1.14,0.007,2019-12-12,-0.03,-0.27,-0.54,0.007,2019-12-13,0.74,0.02,-0.04,0.007,2019-12-16,0.1,0.41,0.67,0.007,2019-12-17,-0.05,0.2,0.09,0.007,2019-12-18,0.43,-0.02,-0.42,0.007,2019-12-19,0.48,-0.3,-0.3,0.007,2019-12-20,0.1,0.19,-0.35,0.007,2019-12-23,0.01,0.39,0.0,0.007,2019-12-24,1722483.0,0.7002,0.2073,0.2764,-0.049016000000000004,0.07936495099699498,0.20305600000000004,-0.2006235635505468,0.6371800000000001,-0.6296308281983436,-0.014006000000000001,0.03233624807274342,0.5251480000000001,-0.535133575452447,0.07702000000000002,-0.11749771170735361,-0.028010000000000007,0.030084604388326414,0.308086,-0.32727163805520537,0.343096,-0.30974386338806154,0.07702000000000002,-0.06803190175861122,0.014002,-0.018995860609829426,-0.12125861255355183,-0.8302543917488904,-0.5972945801256002,-0.6202950390870572,-0.8114563711307347
"Cowen & Co. Maintains Outperform on AbbVie, Raises Price Target to $98",2019-12-26,ABBV,2019-12-26 13:27:00+00:00,ABBVIE INC,13721.0,00287Y10,-0.0002225558564532548,0.0,-0.02952026575803757,-0.003802368184551597,0.02671762369573116,0.01115240529179573,0.0,-0.00367646710947156,-0.06642068922519684,0.003952565602958202,-0.02755902893841267,2019-12-27,2019-12-30,2019-12-31,2020-01-02,2020-01-03,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,0.48,-0.54,0.0,0.007,-0.1,-0.53,-0.07,0.007,2019-12-27,-0.57,0.19,0.56,0.007,2019-12-30,0.28,-0.01,0.12,0.007,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1798011.0,0.9238,-0.1484,-0.2418,0.450424,-0.45064655585645325,-0.08538,0.08538,-0.519566,0.4900457342419624,0.265664,-0.2694663681845516,,,,,,,,,,,,,,,-0.36526655585645323,0.5754257342419624,0.2205793660574108,,
AbbVie shares are trading higher. Not seeing any news to justify the price action.,2019-12-20,ABBV,2019-12-20 16:44:00+00:00,ABBVIE INC,13721.0,00287Y10,0.005857883021235466,-0.01060069724917412,0.0,-0.03214282542467117,0.0,-0.02952026575803757,-0.003802368184551597,0.02671762369573116,0.01115240529179573,0.0,-0.00367646710947156,2019-12-23,2019-12-24,2019-12-26,2019-12-27,2019-12-30,2019-12-31,2020-01-02,2020-01-03,2020-01-06,2020-01-07,0.48,-0.3,-0.3,0.007,0.1,0.19,-0.35,0.007,2019-12-23,0.01,0.39,0.0,0.007,2019-12-24,0.48,-0.54,0.0,0.007,2019-12-26,-0.1,-0.53,-0.07,0.007,2019-12-27,-0.57,0.19,0.56,0.007,2019-12-30,0.28,-0.01,0.12,0.007,2019-12-31,,,,,,,,,,,,,,,,,,,,,1776046.0,0.9068,-0.1348,-0.2455,0.442264,-0.4364061169787645,0.09768000000000002,-0.10828069724917413,0.016068000000000002,-0.016068000000000002,0.442264,-0.47440682542467116,-0.08368,0.08368,-0.509876,0.48035573424196243,0.260904,-0.2647063681845516,,,,,,,,,-0.5446868142279386,-0.12434869724917413,-0.4904748254246712,0.08962890881729124,
Abbvie Reaches An Agreement With The Pan-Canadian Pharmaceutical Alliance For The Combination Venclexta With Rituximab As A Treatment For Patients With Chronic Lymphocytic Leukemia,2019-12-18,ABBV,2019-12-18 19:58:00+00:00,ABBVIE INC,13721.0,00287Y10,-0.008325932547450066,-0.02097900211811066,0.0285714864730835,-0.01736117713153362,-0.01060069724917412,0.0,-0.03214282542467117,0.0,-0.02952026575803757,-0.003802368184551597,0.02671762369573116,2019-12-19,2019-12-20,2019-12-23,2019-12-24,2019-12-26,2019-12-27,2019-12-30,2019-12-31,2020-01-02,2020-01-03,-0.05,0.2,0.09,0.007,0.43,-0.02,-0.42,0.007,2019-12-19,0.48,-0.3,-0.3,0.007,2019-12-20,0.1,0.19,-0.35,0.007,2019-12-23,0.01,0.39,0.0,0.007,2019-12-24,0.48,-0.54,0.0,0.007,2019-12-26,-0.1,-0.53,-0.07,0.007,2019-12-27,-0.57,0.19,0.56,0.007,2019-12-30,0.28,-0.01,0.12,0.007,2019-12-31,,,,,,,,,,,1761394.0,0.8718,-0.1555,-0.2101,-0.036590000000000004,0.02826406745254994,0.381874,-0.40285300211811065,0.425464,-0.3968925135269165,0.09418000000000001,-0.11154117713153364,0.015718,-0.02631869724917412,0.425464,-0.425464,-0.08018,0.04803717457532883,-0.489926,0.489926,0.251104,-0.28062426575803756,,,,,-0.3745889346655607,-0.7997455156450272,-0.5084336906584501,-0.5633238743807077,
