headline,date,ticker,datetime_utc,company_name,permno,cusip,ret,ret_f1,ret_f2,ret_f3,ret_f4,ret_f5,ret_f6,ret_f7,ret_f8,ret_f9,ret_f10,date1,date2,date3,date4,date5,date6,date7,date8,date9,date10,Mkt-RF,SMB,HML,RF,Mkt-RF_1,SMB_1,HML_1,RF_1,date_1,Mkt-RF_2,SMB_2,HML_2,RF_2,date_2,Mkt-RF_3,SMB_3,HML_3,RF_3,date_3,Mkt-RF_4,SMB_4,HML_4,RF_4,date_4,Mkt-RF_5,SMB_5,HML_5,RF_5,date_5,Mkt-RF_6,SMB_6,HML_6,RF_6,date_6,Mkt-RF_7,SMB_7,HML_7,RF_7,date_7,Mkt-RF_8,SMB_8,HML_8,RF_8,date_8,Mkt-RF_9,SMB_9,HML_9,RF_9,date_9,Mkt-RF_10,SMB_10,HML_10,RF_10,date_10,index,b_mkt,b_smb,b_hml,er_CAPM,ar_CAPM,er_CAPM_1,ar_CAPM_1,er_CAPM_2,ar_CAPM_2,er_CAPM_3,ar_CAPM_3,er_CAPM_4,ar_CAPM_4,er_CAPM_5,ar_CAPM_5,er_CAPM_6,ar_CAPM_6,er_CAPM_7,ar_CAPM_7,er_CAPM_8,ar_CAPM_8,er_CAPM_9,ar_CAPM_9,er_CAPM_10,ar_CAPM_10,CAPM_CAR_1,CAPM_CAR_2,CAPM_CAR_3,CAPM_CAR_5,CAPM_CAR_10
"UBS Downgrades Agilent Technologies to Neutral, Announces $82 Price Target",2019-10-18,A,2019-10-18 11:57:00+00:00,AGILENT TECHNOLOGIES INC,87432.0,00846U10,-0.004671629518270493,-0.09695129841566086,-0.008960021659731865,0.02663870714604855,0.01147978473454714,0.01912318728864193,-0.01083152834326029,-0.004780962131917477,-0.006353572476655245,-0.01512790378183126,-0.02058595418930054,2019-10-21,2019-10-22,2019-10-23,2019-10-24,2019-10-25,2019-10-28,2019-10-29,2019-10-30,2019-10-31,2019-11-01,-0.49,-0.36,0.86,0.007,0.71,0.16,0.35,0.007,2019-10-21,-0.34,0.22,0.85,0.007,2019-10-22,0.25,-0.09,0.26,0.007,2019-10-23,0.25,-0.26,-0.89,0.007,2019-10-24,0.51,0.27,0.08,0.007,2019-10-25,0.62,0.27,-0.24,0.007,2019-10-28,-0.13,0.3,0.51,0.007,2019-10-29,0.27,-0.37,-1.16,0.007,2019-10-30,-0.38,-0.26,-0.44,0.007,2019-10-31,1.08,0.48,0.83,0.006,2019-11-01,1458946.0,1.0256,0.1462,-0.2219,-0.495544,0.4908723704817295,0.735176,-0.8321272984156609,-0.34170400000000006,0.3327439783402682,0.2634,-0.23676129285395148,0.2634,-0.2519202152654529,0.5300560000000001,-0.5109328127113582,0.642872,-0.6537035283432603,-0.126328,0.12154703786808252,0.28391200000000005,-0.2902655724766553,-0.382728,0.36760009621816875,1.1136480000000002,-1.1342339541893007,-0.3412549279339314,-0.4993833200753927,0.09598268548631672,-0.9996143208307625,-2.0999887336343233
Applied Optoelectronics Files for Up to $250M Mixed Shelf,2019-10-25,AAOI,2019-10-25 10:08:00+00:00,APPLIED OPTOELECTRONICS INC,14145.0,03823U10,0.007113790139555931,-0.05149615556001663,0.0829053670167923,-0.02642278745770454,0.00974254310131073,-0.01722949743270874,0.00841513928025961,0.004867850802838802,0.003460220759734511,0.006206906866282225,0.02604524418711662,2019-10-28,2019-10-29,2019-10-30,2019-10-31,2019-11-01,2019-11-04,2019-11-05,2019-11-06,2019-11-07,2019-11-08,0.51,0.27,0.08,0.007,0.62,0.27,-0.24,0.007,2019-10-28,-0.13,0.3,0.51,0.007,2019-10-29,0.27,-0.37,-1.16,0.007,2019-10-30,-0.38,-0.26,-0.44,0.007,2019-10-31,1.08,0.48,0.83,0.006,2019-11-01,0.4,0.01,1.35,0.006,2019-11-04,-0.03,0.24,0.45,0.006,2019-11-05,-0.05,-0.72,0.23,0.006,2019-11-06,0.38,-0.14,0.51,0.006,2019-11-07,0.31,0.06,-0.36,0.006,2019-11-08,1490897.0,1.6296,1.4798,0.6383,0.838096,-0.830982209860444,1.0173519999999998,-1.0688481555600164,-0.204848,0.2877533670167923,0.446992,-0.47341478745770454,-0.612248,0.6219905431013107,1.765968,-1.7831974974327087,0.65784,-0.6494248607197404,-0.042887999999999996,0.0477558508028388,-0.07547999999999999,0.0789402207597345,0.625248,-0.6190410931337178,0.511176,-0.48513075581288334,-1.8998303654204605,-0.7810947885432241,-0.18566142044091222,-1.6346217417891025,-3.410098135536477
"JP Morgan Downgrades Applied Optoelectronics to Underweight, Announces $11 Price Target",2019-10-22,AAOI,2019-10-22 10:03:00+00:00,APPLIED OPTOELECTRONICS INC,14145.0,03823U10,-0.04981549456715584,-0.0257176086306572,0.01718838326632977,-0.06155700981616974,0.03418800234794617,-0.09980926662683487,0.01483051106333733,-0.05149615556001663,0.0829053670167923,-0.02642278745770454,0.00974254310131073,2019-10-23,2019-10-24,2019-10-25,2019-10-28,2019-10-29,2019-10-30,2019-10-31,2019-11-01,2019-11-04,2019-11-05,-0.34,0.22,0.85,0.007,0.25,-0.09,0.26,0.007,2019-10-23,0.25,-0.26,-0.89,0.007,2019-10-24,0.51,0.27,0.08,0.007,2019-10-25,0.62,0.27,-0.24,0.007,2019-10-28,-0.13,0.3,0.51,0.007,2019-10-29,0.27,-0.37,-1.16,0.007,2019-10-30,-0.38,-0.26,-0.44,0.007,2019-10-31,1.08,0.48,0.83,0.006,2019-11-01,0.4,0.01,1.35,0.006,2019-11-04,-0.03,0.24,0.45,0.006,2019-11-05,1469012.0,1.626,1.5087,0.5789,-0.54584,0.49602450543284415,0.4135,-0.4392176086306572,0.4135,-0.3963116167336702,0.83626,-0.8978170098161697,1.0151199999999998,-0.9809319976520536,-0.20437999999999998,0.10457073337316511,0.44602,-0.4311894889366627,-0.61088,0.5593838444399833,1.76208,-1.6791746329832078,0.6564,-0.6828227874577045,-0.04278,0.05252254310131073,0.05680689680218698,-0.8355292253643274,-1.29412862654984,-1.7741782740950582,-2.076709788463116
"AAON Q3 EPS $0.26 Down From $0.27 YoY, Sales $113.5M Up From $112.937M YoY",2019-10-31,AAON,2019-10-31 13:22:00+00:00,AAON INC,76868.0,00036020,-0.02013693191111088,-0.009647509083151817,-0.01880674995481968,0.0009652468143031001,-0.01184726599603891,-0.01798411831259727,-0.007524116430431604,0.006722837686538696,0.004688858054578304,0.003959818743169308,0.0,2019-11-01,2019-11-04,2019-11-05,2019-11-06,2019-11-07,2019-11-08,2019-11-11,2019-11-12,2019-11-13,2019-11-14,-0.38,-0.26,-0.44,0.007,1.08,0.48,0.83,0.006,2019-11-01,0.4,0.01,1.35,0.006,2019-11-04,-0.03,0.24,0.45,0.006,2019-11-05,-0.05,-0.72,0.23,0.006,2019-11-06,0.38,-0.14,0.51,0.006,2019-11-07,0.31,0.06,-0.36,0.006,2019-11-08,-0.19,0.0,-0.19,0.006,2019-11-11,0.16,-0.12,-0.15,0.006,2019-11-12,0.01,-0.22,-0.82,0.006,2019-11-13,0.07,-0.11,-0.25,0.006,2019-11-14,1523534.0,1.1962,1.0482,0.2632,-0.44755599999999995,0.4274190680888891,1.297896,-1.3075435090831518,0.48448,-0.5032867499548197,-0.029885999999999996,0.030851246814303096,-0.053810000000000004,0.0419627340039611,0.46055599999999997,-0.47854011831259724,0.376822,-0.3843461164304316,-0.22127799999999997,0.22800083768653867,0.197392,-0.1927031419454217,0.017962,-0.014002181256830691,0.08973400000000001,-0.08973400000000001,-0.8801244409942627,-1.8108302590379715,-0.47243550314051663,-0.40572613749433306,-0.9313247202587426
"AAON Earlier Reported Q3 EPS $0.26 Down From $0.27 YoY, Sales $113.5M Up From $112.937M YoY",2019-10-31,AAON,2019-10-31 13:22:00+00:00,AAON INC,76868.0,00036020,-0.02013693191111088,0.0004138904332648963,-0.001241262769326568,0.0008285720832645893,-0.01034768205136061,0.004182286560535431,-0.002776578534394503,0.0001391411205986515,0.009465492330491543,0.01043405756354332,0.006608885712921619,2019-11-01,2019-11-04,2019-11-05,2019-11-06,2019-11-07,2019-11-08,2019-11-11,2019-11-12,2019-11-13,2019-11-14,-0.38,-0.26,-0.44,0.007,1.08,0.48,0.83,0.006,2019-11-01,0.4,0.01,1.35,0.006,2019-11-04,-0.03,0.24,0.45,0.006,2019-11-05,-0.05,-0.72,0.23,0.006,2019-11-06,0.38,-0.14,0.51,0.006,2019-11-07,0.31,0.06,-0.36,0.006,2019-11-08,-0.19,0.0,-0.19,0.006,2019-11-11,0.16,-0.12,-0.15,0.006,2019-11-12,0.01,-0.22,-0.82,0.006,2019-11-13,0.07,-0.11,-0.25,0.006,2019-11-14,1523534.0,1.1962,1.0482,0.2632,-0.44755599999999995,0.4274190680888891,1.297896,-1.297482109566735,0.48448,-0.4857212627693266,-0.029885999999999996,0.030714572083264585,-0.053810000000000004,0.04346231794863939,0.46055599999999997,-0.45637371343946453,0.376822,-0.3795985785343945,-0.22127799999999997,0.22141714112059863,0.197392,-0.18792650766950847,0.017962,-0.007527942436456679,0.08973400000000001,-0.08312511428707839,-0.870063041477846,-1.7832033723360616,-0.45500669068606203,-0.38219682340756056,-0.893134715246304
Raymond James Reinstates Market Perform on Advance Auto Parts,2019-10-08,AAP,2019-10-08 11:59:00+00:00,ADVANCE AUTO PARTS INC,89217.0,00751Y10,-0.02489418350160122,-0.01185157801955938,0.002941866405308247,-0.003497264813631773,-0.04788863658905029,0.01319858059287071,0.008449726738035679,-0.001047410303726792,0.01071768254041672,0.006569844204932451,0.02358865737915039,2019-10-09,2019-10-10,2019-10-11,2019-10-14,2019-10-15,2019-10-16,2019-10-17,2019-10-18,2019-10-21,2019-10-22,-1.61,-0.13,-0.12,0.007,0.92,-0.55,-0.09,0.007,2019-10-09,0.59,-0.4,0.26,0.007,2019-10-10,1.23,0.47,0.19,0.007,2019-10-11,-0.18,-0.34,-0.04,0.007,2019-10-14,1.03,0.25,-0.25,0.007,2019-10-15,-0.24,0.4,0.23,0.007,2019-10-16,0.37,0.8,-0.28,0.007,2019-10-17,-0.49,-0.36,0.86,0.007,2019-10-18,0.71,0.16,0.35,0.007,2019-10-21,-0.34,0.22,0.85,0.007,2019-10-22,1400945.0,0.6633,0.2499,0.24,-1.0609130000000002,1.036018816498399,0.617236,-0.6290875780195594,0.398347,-0.39540513359469176,0.822859,-0.8263562648136318,-0.112394,0.0645053634109497,0.690199,-0.6770004194071293,-0.152192,0.16064172673803567,0.252421,-0.2534684103037268,-0.318017,0.3287346825404167,0.477943,-0.47137315579506756,-0.21852200000000002,0.2421106573791504,0.4069312384788396,-1.024492711614251,-1.2217613984083235,-1.4388513208098113,-0.6703549188483209
"AllianceBernstein Holding Q3 Adj. EPS $0.63, Inline, Sales $877.867M Beat $731.85M Estimate",2019-10-24,AB,2019-10-24 10:50:00+00:00,ALLIANCEBERNSTEIN HOLDING L P,75278.0,01881G10,0.03870739042758942,-0.03189543634653091,0.00521453469991684,0.0275878794491291,0.008260596543550491,0.03299956396222115,-0.002643730724230409,0.01082389801740646,-0.01682684943079948,-0.02511671558022499,-0.01117194909602404,2019-10-25,2019-10-28,2019-10-29,2019-10-30,2019-10-31,2019-11-01,2019-11-04,2019-11-05,2019-11-06,2019-11-07,0.25,-0.26,-0.89,0.007,0.51,0.27,0.08,0.007,2019-10-25,0.62,0.27,-0.24,0.007,2019-10-28,-0.13,0.3,0.51,0.007,2019-10-29,0.27,-0.37,-1.16,0.007,2019-10-30,-0.38,-0.26,-0.44,0.007,2019-10-31,1.08,0.48,0.83,0.006,2019-11-01,0.4,0.01,1.35,0.006,2019-11-04,-0.03,0.24,0.45,0.006,2019-11-05,-0.05,-0.72,0.23,0.006,2019-11-06,0.38,-0.14,0.51,0.006,2019-11-07,1486925.0,1.0513,0.0627,0.6089,0.269825,-0.23111760957241057,0.543163,-0.5750584363465309,0.6588059999999999,-0.653591465300083,-0.12966899999999998,0.15725687944912908,0.29085099999999997,-0.2825904034564495,-0.39249399999999995,0.4254935639622211,1.1414039999999999,-1.1440477307242303,0.42652,-0.41569610198259355,-0.025539,0.008712150569200518,-0.046565,0.02144828441977501,0.40549399999999997,-0.416665949096024,-0.8061760459189414,-1.228649901646614,-0.49633458585095397,0.3001600399549007,-1.5207557828516514
"Citigroup Maintains Buy on AllianceBernstein Holding, Lowers Price Target to $33",2019-10-15,AB,2019-10-15 11:20:00+00:00,ALLIANCEBERNSTEIN HOLDING L P,75278.0,01881G10,-0.005324800033122301,-0.03189543634653091,0.00521453469991684,0.0275878794491291,0.008260596543550491,0.03299956396222115,-0.002643730724230409,0.01082389801740646,-0.01682684943079948,-0.02511671558022499,-0.01117194909602404,2019-10-16,2019-10-17,2019-10-18,2019-10-21,2019-10-22,2019-10-23,2019-10-24,2019-10-25,2019-10-28,2019-10-29,1.03,0.25,-0.25,0.007,-0.24,0.4,0.23,0.007,2019-10-16,0.37,0.8,-0.28,0.007,2019-10-17,-0.49,-0.36,0.86,0.007,2019-10-18,0.71,0.16,0.35,0.007,2019-10-21,-0.34,0.22,0.85,0.007,2019-10-22,0.25,-0.09,0.26,0.007,2019-10-23,0.25,-0.26,-0.89,0.007,2019-10-24,0.51,0.27,0.08,0.007,2019-10-25,0.62,0.27,-0.24,0.007,2019-10-28,-0.13,0.3,0.51,0.007,2019-10-29,1435863.0,1.0534,0.1305,0.6576,1.092002,-1.0973268000331222,-0.24581599999999998,0.21392056365346906,0.39675799999999994,-0.3915434653000831,-0.5091659999999999,0.536753879449129,0.7549139999999999,-0.7466534034564494,-0.35115599999999997,0.3841555639622211,0.27035,-0.2729937307242304,0.27035,-0.2595261019825935,0.544234,-0.5610608494307995,0.6601079999999999,-0.6852247155802249,-0.12994199999999997,0.11877005090397594,-0.8834062363796531,-0.17762290164661404,0.1452104141490459,0.17425603995490074,-1.2758797828516513
Abbvie's RINVOQ Meets Primary And All Ranked Secondary Endpoints In Phase 3 Study In Psoriatic Arthritis,2019-10-31,ABBV,2019-10-31 12:48:00+00:00,ABBVIE INC,13721.0,00287Y10,-0.001380876288749278,-0.08298756927251816,-0.01357464771717787,-0.02293575741350651,0.03286381810903549,-0.02272725105285645,0.0,0.01395347435027361,0.002293521072715521,0.002288382034748793,0.00456620566546917,2019-11-01,2019-11-04,2019-11-05,2019-11-06,2019-11-07,2019-11-08,2019-11-11,2019-11-12,2019-11-13,2019-11-14,-0.38,-0.26,-0.44,0.007,1.08,0.48,0.83,0.006,2019-11-01,0.4,0.01,1.35,0.006,2019-11-04,-0.03,0.24,0.45,0.006,2019-11-05,-0.05,-0.72,0.23,0.006,2019-11-06,0.38,-0.14,0.51,0.006,2019-11-07,0.31,0.06,-0.36,0.006,2019-11-08,-0.19,0.0,-0.19,0.006,2019-11-11,0.16,-0.12,-0.15,0.006,2019-11-12,0.01,-0.22,-0.82,0.006,2019-11-13,0.07,-0.11,-0.25,0.006,2019-11-14,1519837.0,0.8271,-0.2298,-0.1761,-0.30729799999999996,0.3059171237112507,0.899268,-0.9822555692725181,0.33684000000000003,-0.3504146477171779,-0.018812999999999996,-0.004122757413506515,-0.035355000000000004,0.06821881810903549,0.32029799999999997,-0.3430252510528564,0.262401,-0.262401,-0.15114899999999998,0.1651024743502736,0.138336,-0.13604247892728447,0.014270999999999999,-0.011982617965251206,0.06389700000000001,-0.05933079433453084,-0.6763384455612674,-1.332670216989696,-0.35453740513068444,-0.27892919035732744,-0.6476796679296494
Allergan Reports Shareholders Have Approved Deal By AbbVie,2019-10-14,ABBV,2019-10-14 13:16:00+00:00,ABBVIE INC,13721.0,00287Y10,0.001765651046298444,-0.06882593780755997,0.0,0.02173911035060883,-0.004255315288901329,0.01282050088047981,0.0,0.0337553434073925,0.0204081442207098,0.003999995999038219,-0.04382465779781342,2019-10-15,2019-10-16,2019-10-17,2019-10-18,2019-10-21,2019-10-22,2019-10-23,2019-10-24,2019-10-25,2019-10-28,-0.18,-0.34,-0.04,0.007,1.03,0.25,-0.25,0.007,2019-10-15,-0.24,0.4,0.23,0.007,2019-10-16,0.37,0.8,-0.28,0.007,2019-10-17,-0.49,-0.36,0.86,0.007,2019-10-18,0.71,0.16,0.35,0.007,2019-10-21,-0.34,0.22,0.85,0.007,2019-10-22,0.25,-0.09,0.26,0.007,2019-10-23,0.25,-0.26,-0.89,0.007,2019-10-24,0.51,0.27,0.08,0.007,2019-10-25,0.62,0.27,-0.24,0.007,2019-10-28,1425053.0,0.8699,-0.2243,-0.1622,-0.149582,0.15134765104629844,0.902997,-0.97182293780756,-0.20177599999999998,0.20177599999999998,0.328863,-0.3071238896493912,-0.419251,0.41499568471109866,0.624629,-0.6118084991195202,-0.288766,0.288766,0.224475,-0.1907196565926075,0.224475,-0.2040668557792902,0.450649,-0.4466490040009618,0.546338,-0.5901626577978134,-0.8204752867612616,-0.7700469378075601,-0.10534788964939121,-0.5039367040578127,-1.7546406732901931
