headline,date,ticker,datetime_utc,company_name,permno,cusip,ret,ret_fd1,ret_fd2,ret_fd3,ret_fd5,ret_fd10,ret_fd30,ret_fd60,ret_ld1,ret_ld2,ret_ld3,ret_ld5,ret_ld10,ret_ld30,ret_ld60,ret_f1,ret_f2,ret_f3,ret_f4,ret_f5,ret_f6,ret_f7,ret_f8,ret_f9,ret_f10,ret_f11,ret_f12,ret_f13,ret_f14,ret_f15,ret_f16,ret_f17,ret_f18,ret_f19,ret_f20,ret_f21,ret_f22,ret_f23,ret_f24,ret_f25,ret_f26,ret_f27,ret_f28,ret_f29,ret_f30,ret_f31,ret_f32,ret_f33,ret_f34,ret_f35,ret_f36,ret_f37,ret_f38,ret_f39,ret_f40,ret_f41,ret_f42,ret_f43,ret_f44,ret_f45,ret_f46,ret_f47,ret_f48,ret_f49,ret_f50,ret_f51,ret_f52,ret_f53,ret_f54,ret_f55,ret_f56,ret_f57,ret_f58,ret_f59,ret_f60,Mkt-RF,SMB,HML,RF,PERMNO,n,RET,alpha,b_mkt,b_smb,b_hml,ivol,tvol,R2,exret,headline_word_count
"Atlantic American Q4 EPS $0.01 Down From $0.12 YoY, Sales $49.2M Up From $48.825M YoY",2019-04-01,AAME,2019-04-01 18:04:00+00:00,ATLANTIC AMERICAN CORP,15580.0,04820910,0.02470586821436882,-0.00880214385688316,-0.00880214385688316,0.014160038826649846,-0.035591250369759964,-0.10843490299856817,-0.054400612220247946,-0.06597937049782843,0.01190475095063448,-0.015444000376846567,-0.0039062457595335776,-0.03773590146012351,-0.12671237291689308,-0.06593409252415494,0.02409636887550759,-0.01071150694042444,0.023588502779603,-0.01813372038304806,0.01231241598725319,-0.009502047672867775,-0.005857146345078945,-0.00706985080614686,-0.00514244707301259,0.01829029805958271,-0.001952406950294971,-0.002347396919503808,0.01254900731146336,0.01471731532365084,0.02137402445077896,0.01046340353786945,-0.009615392424166203,0.02277814410626888,0.001095315325073898,-0.006199856754392385,-0.0007339617586694658,0.01579141803085804,-0.005422979593276978,-0.01054165419191122,-0.0124908210709691,0.0003720323438756168,-0.007065773010253906,0.003370792139321566,0.00895855762064457,0.003329639323055744,0.01401176769286394,0.0007272893562912941,-0.00436049560084939,0.0,0.008029242046177387,-0.005430902354419231,-0.01419728435575962,0.005169844720512629,-0.004041098523885012,-0.03688675537705421,0.02297964319586754,-0.005990260280668736,-0.02033894695341587,-0.01768554374575615,0.0,0.01996087096631527,-0.01534917950630188,-0.02143410965800285,0.02150533720850945,-0.02066272124648094,-0.03582808375358582,-0.04211389645934105,0.01551718451082706,-0.02589128725230694,0.02962955832481384,0.02708427049219608,0.03337451443076134,0.03748008608818054,-0.01806307584047318,-0.002348315669223666,0.02275401912629604,1.19,-0.3,0.99,0.01,15580,252,2.4706%,0.0,-0.1112,0.8294,-0.3259,4.6029%,4.6315%,1.2316%,3.2171%,15
"Citigroup Maintains Neutral on Advance Auto Parts, Lowers Price Target to $182",2019-04-01,AAP,2019-04-01 12:22:00+00:00,ADVANCE AUTO PARTS INC,89217.0,00751Y10,0.01817865483462811,-0.0016702674329281963,-0.011173198546665541,0.0021309390797357164,0.022807067847826046,0.04492304082653198,-0.10297762261812171,-0.13615918496537938,0.010548140853643417,0.021810769877937952,0.013430762431865695,0.03451833638544577,0.10172126664280934,0.01096664536939218,0.08023378382338642,0.01523833442479372,-0.006319800857454538,0.01396928634494543,0.007840553298592567,0.003889736253768206,0.008192160166800022,0.006368747446686029,-0.005237352568656206,-0.007568222470581532,0.003757695900276303,0.003963891416788101,-0.00542882876470685,0.004871594719588757,0.002754517365247011,0.003625911427661777,0.002956035546958447,0.006003744434565306,-0.004665801767259836,-0.002398356096819043,0.007868005894124508,-0.003144322894513607,0.003154240781441331,-0.02428716607391834,-0.01677958108484745,0.006781176198273897,-0.005276169627904892,-0.00338565674610436,0.009398730471730232,-0.003702062414959073,0.007544260937720537,-0.01654004491865635,-0.005340923089534044,-0.007083230186253786,-0.01150615513324738,-0.000349277222994715,0.001280864118598402,0.006628674454987049,0.0106285335496068,0.0002285852970089763,0.02297145314514637,-0.004133646842092276,-0.007179710548371077,-0.01322031859308481,-0.004580345004796982,0.00287587707862258,0.005276429001241922,-0.0002281679917359725,0.009358590468764305,-0.006445043720304966,-0.01194950472563505,-0.00172773003578186,-0.000346126442309469,-0.04709143564105034,-0.008599795401096344,0.006353137083351612,-0.01347578689455986,-0.00393797317519784,0.006795099936425686,-0.002945120446383953,0.0107077257707715,1.19,-0.3,0.99,0.01,89217,252,1.8179%,0.0015,0.7352,0.2658,0.1139,1.7456%,1.8980%,15.4073%,0.9094%,12
Alector Initiates Phase 1 Trial Of AL003 For Treatment Of Patients With Alzheimer's Disease,2019-04-01,ABBV,2019-04-01 20:42:00+00:00,ABBVIE INC,13721.0,00287Y10,0.002357643097639084,0.028348613530397415,0.028472432996029085,0.0251299686394173,0.039613823961017536,0.016381673422287468,-0.016105365580198927,-0.14705720618057483,0.007878905162215233,0.008762009634009305,-0.0021050747160007433,0.010406145822153157,-0.009220556200111307,0.0008693455085759805,-0.08542696777634051,0.002095799194648862,0.02898109890520573,-0.01538904756307602,-0.02034793980419636,0.01083686295896769,-0.03275765851140022,-0.001231555244885385,0.01541307102888823,0.03035822883248329,-0.005598074290901423,0.00207406491972506,-0.00650506280362606,-0.005952290259301662,0.00898201297968626,-0.01543028000742197,0.01386374607682228,0.04577886313199997,0.008527550846338272,-0.01578357815742493,0.03465071320533752,0.02629395946860313,0.01213583908975124,0.01891827583312988,-0.006276194471865892,0.01026314217597246,-0.00937745813280344,-0.006047844886779785,0.008994713425636292,0.007603589911013842,-0.003122532740235329,-0.0114853149279952,-0.008185834623873234,0.001597378985024989,-0.01089845411479473,0.007256126496940851,-0.0008003943366929889,-0.00427235895767808,0.007240558974444866,-0.02289671450853348,-0.01689370349049568,0.008869171142578125,0.01538454741239548,-0.004599517676979303,-0.01331888232380152,0.008264441974461079,0.006010962650179863,0.009234116412699223,0.06297094374895096,0.01518983487039804,0.01122196484357119,0.01307034771889448,-0.0004868660471402109,-0.0007307012565433979,-0.002193520776927471,-0.002686780644580722,-0.005878071766346693,-0.005420084111392498,0.004706525709480047,0.00838264636695385,-0.0002445509890094399,1.19,-0.3,0.99,0.01,13721,252,0.2358%,-0.0009,0.9255,-0.3873,-0.1977,1.5190%,1.8071%,29.3374%,-0.8057%,14
ACADIA Pharma Promotes Elena Ridloff CFO,2019-04-01,ACAD,2019-04-01 13:03:00+00:00,ACADIA PHARMACEUTICALS,90177.0,00422510,0.004841682035475969,0.012601933442056179,0.013713893648488629,-0.0044477001299270125,0.003335808180301214,-0.054484781317849285,-0.051148969886884554,-0.0644922126813362,0.0078829200938344,0.02324697434538603,-0.0037105888376216534,0.028735631447104337,-4.584799206952539e-10,0.2243502053773785,0.6126126782480203,0.07194246351718903,0.003355701453983784,-0.01337791327387094,0.04067792743444443,0.01628663018345833,-0.02884612791240215,0.0,-0.01320130750536919,0.0234113484621048,-0.01960782520473003,-0.02333331108093262,0.01365186367183924,-0.026936000213027,-0.01730110310018063,0.0140845775604248,0.01736109331250191,0.001706442330032587,-0.0204429104924202,0.01913045719265938,0.02047779597342014,-0.006688956636935472,-0.03703708201646805,-0.003496500197798014,-0.0315789170563221,-0.01086955517530441,0.01465200074017048,-0.0252707339823246,-0.03333339095115662,0.02298857644200325,0.003745314665138721,-0.003731339704245329,0.0,-0.003745314665138721,-0.01127818413078785,-0.003802368184551597,0.03435120359063148,0.0,-0.003690033219754696,0.0,-0.007407400291413069,0.01865669898688793,-0.01465200074017048,-0.007434937171638012,0.03745314851403236,0.0,-0.02888083830475807,-0.01486987434327602,-0.02264157682657242,0.01158300135284662,-0.03435111418366432,-0.007905131205916405,-0.03187248110771179,0.05761311203241348,-0.02723732963204384,-0.007999991998076439,-0.01209676265716553,-0.004081628751009703,0.04508192464709282,-0.02745095454156399,-0.004032254219055176,1.19,-0.3,0.99,0.01,90177,252,0.4842%,0.0015,1.7629,2.6566,-0.1113,4.1656%,4.8325%,25.6932%,-0.6937%,6
KeyBanc Lifts Roku Price Target Amid Ongoing Momentum,2019-04-01,ADBE,2019-04-01 15:08:00+00:00,ADOBE INC,75510.0,00724F10,0.02131420932710171,-0.0030128497164696455,-0.002461746016653832,-0.015725460304778505,-0.012345282837483706,0.00018366431344740697,-0.0011390995333130371,0.060807532148436705,0.011232085525989532,0.015819143123212864,0.0033886595368552985,0.026185019739105142,0.036563047982619556,0.02440983521944262,0.18666777407918755,-0.03588516637682915,-0.006451571360230446,-0.003496488090604544,-0.007017608731985092,0.004543168004602194,-0.00653262110427022,-0.01112803351134062,-0.008695656433701515,-0.003095947904512286,-0.00465839309617877,-0.04732188582420349,0.004366808105260134,0.1048913225531578,-0.02656168304383755,0.01263264194130898,-0.02195611409842968,0.01989792846143246,0.008003994822502136,-0.02630266919732094,-0.01580027304589748,-0.03883998095989227,0.00915948674082756,0.01227974053472281,0.01635028421878815,-0.0295796412974596,0.04331547766923904,-0.03126604855060577,0.004761912859976292,-0.02211690880358219,0.02154009789228439,0.0126515431329608,0.01093185879290104,-0.006179240066558123,0.00259073288179934,-0.0103359567001462,0.017232371494174,-0.01283360924571753,0.01725940965116024,-0.02724939212203026,-0.00951375812292099,0.05282816290855408,0.01064374018460512,0.005516484379768372,0.02593518607318401,-0.007778310682624578,0.003919643349945545,-0.003904339857399464,-0.02449779585003853,0.0,0.01356104761362076,0.0,0.01536171790212393,0.004880448337644339,0.008742122910916805,-0.01251806598156691,-0.009263799525797367,-0.006397596560418606,0.002476435620337725,0.004940730519592762,0.02851523645222187,1.19,-0.3,0.99,0.01,75510,252,2.1314%,-0.0002,1.2683,-0.2623,-1.4053,1.1197%,2.1282%,72.3203%,1.9841%,8
ADMA Shares Halted Ahead Of Apr. 2 PDUFA Date For RI-002,2019-04-01,ADMA,2019-04-01 20:51:00+00:00,ADMA BIOLOGICS INC,15056.0,00089910,0.0738786831498146,0.24324317276477814,0.25798517220926565,0.2751842304128038,0.2628991707193282,0.21621611113461103,0.081081055672515,-0.11793618426662056,0.15197569131851196,0.07062147675124342,0.13134331376877606,0.14501512320564025,-0.05012532127367775,-0.007853388306298448,0.44656495855379696,0.01137758046388626,-0.02736392989754677,-0.02344482578337193,0.02016648836433887,0.04267331957817078,-0.02256996743381023,0.01016015466302633,-0.002743070712313056,-0.003973137587308884,-0.009818953461945057,-0.00650756387040019,0.00093570735771209,0.009660373441874981,0.01327161397784948,0.02680466696619987,0.02224859222769737,-0.0124782444909215,0.009109649807214737,0.0122305816039443,-0.0178365632891655,-0.03837133944034576,-0.03015539608895779,-0.004396965727210045,0.004100919701159,0.009739222936332226,-0.01213439274579287,-0.01417325250804424,-0.0108626252040267,-0.01647281460464001,-0.06502467393875122,-0.004917435813695192,0.03918110206723213,-0.003736433805897832,-0.002386624459177256,0.0051264395006001,-0.01428085938096046,0.02725080773234367,-0.02988587319850922,0.0100381076335907,-0.06751203536987305,0.01176044158637524,0.04068285226821899,0.04363001883029938,0.008361204527318478,0.01094527170062065,-0.03083985112607479,0.02200404927134514,0.003643547650426626,0.02409245818853378,0.01450205780565739,0.0009530078386887908,0.01364647131413221,0.003443916793912649,-0.03151321038603783,0.01288658566772938,-0.02576340176165104,0.005550116766244173,0.0006493655382655561,0.0006489441148005426,0.04053177684545517,1.19,-0.3,0.99,0.01,15056,252,7.3879%,0.0011,1.0917,1.3847,0.7435,4.9570%,5.1103%,5.9129%,5.9395%,11
Air Lease Corporation Announces Delivery of First of Five New Boeing 787-9 Aircraft with China Southern Airlines,2019-04-01,AL,2019-04-01 10:35:00+00:00,AIR LEASE CORP,12641.0,00912X30,0.03114992007613182,0.003387994132936001,0.010163767159058423,0.0333145224506346,0.03331452255359424,0.05787699423431314,0.08780352016491522,0.14130913341836093,0.009700117632746696,0.02598563112636687,0.026905760141713975,0.05110153445839538,0.01899356047489964,-0.09327522296797641,0.12066108785018925,-0.01459733303636312,-0.04677099362015724,0.01746114902198315,0.05440188944339752,0.007324231322854757,-0.007594138383865356,0.001790957525372505,0.00893877912312746,-0.004188178572803736,-0.05548366904258728,0.03545127063989639,0.007773755118250847,-0.04628261551260948,0.03424536064267159,-0.0006655092001892626,-0.01531804818660021,0.005749072413891554,-0.0134498868137598,-0.02402862720191479,-0.02374717220664024,0.01860133931040764,0.000351193273672834,0.009478622116148472,-0.001043254393152893,0.01566575653851032,0.02073698304593563,-0.008059091866016388,0.0981718897819519,-0.004315641243010759,-0.02244577370584011,-0.02612829022109509,-0.005040672607719898,-0.01912074163556099,0.01632788218557835,-0.0008196596172638237,0.0008203320321626961,-0.01065576262772083,0.05219555273652077,0.02094491012394428,0.005552994087338448,-0.0633532926440239,-0.05011466145515442,-0.03120692074298859,-0.0145933385938406,0.004153865855187178,-0.0001798259327188134,0.03489833697676659,0.008343465626239777,0.01982419565320015,-0.04327250644564629,0.04310958459973335,-0.02540650404989719,0.0679527223110199,-0.04117172583937645,0.03920572623610497,0.04605591297149658,-0.02076505497097969,0.02742348797619343,0.01412160135805607,-0.005814801435917616,1.19,-0.3,0.99,0.01,12641,252,3.1150%,-0.0007,1.3771,0.6094,0.5016,1.1604%,1.7826%,57.6270%,1.1881%,17
Ally Reports $1.25B Buyback,2019-04-01,ALLY,2019-04-01 20:16:00+00:00,ALLY FINANCIAL INC,14558.0,02005N10,0.03019279427826405,0.007062173914164305,0.015183626872299127,0.016596088607511383,0.02330507977347196,0.04025421616766667,0.04230016857216423,0.0671590770112438,0.007697913330048323,0.020415709664097337,0.035404917567001704,0.05446874177008043,0.01777117807108608,0.033847295801036736,0.20932383382825104,0.4551723003387451,-0.1090046986937523,0.15159572660923,-0.03926098719239235,0.002403901191428304,-0.05035972222685814,-0.03282831236720085,0.03655355423688889,-0.01259444653987885,0.03061221539974213,0.06683167815208435,0.1183295175433159,-0.02074696682393551,-0.0487288199365139,-0.02895314991474152,0.02752290852367878,0.02678568847477436,0.004347822163254023,-0.03463200107216835,-0.03587440401315689,0.01627899892628193,-0.01601823791861534,-0.03255821764469147,-0.08653844147920609,0.05526323243975639,-0.03990032896399498,-0.02857140265405178,-0.01336897071450949,0.04607041552662849,-0.03367872536182404,0.06166220456361771,-0.05050506070256233,0.002659571822732687,-0.03978782519698143,0.02762435004115105,0.01344084739685059,-0.03183021023869514,-0.02191785164177418,-0.07843136787414551,-0.02735559642314911,0.01874998211860657,0.03680985420942307,-0.09171602874994278,-0.006514651700854301,0.03278693184256554,0.0,0.09523807466030121,-0.06086957454681396,0.0,0.02469133399426937,-0.05120477080345154,-0.003174599958583713,0.02229297161102295,-0.01869157142937183,-0.01904767565429211,0.01941753551363945,-0.0285714752972126,0.02941181510686874,0.06031740084290504,-0.04790414869785309,1.19,-0.3,0.99,0.01,14558,252,3.0193%,0.0004,1.2274,0.2825,0.8162,0.9572%,1.4848%,58.4393%,0.8412%,4
"Altair Acquires Cambridge Collaborative's SEAM Software, Terms Not Disclosed",2019-04-01,ALTR,2019-04-01 12:04:00+00:00,ALTAIR ENGINEERING INC,17034.0,02136910,0.03314309567213058,0.03786490857601166,0.022350836053856682,-0.006047846099479615,-0.02524320642889033,-0.04391265447277448,-0.09650271350222062,0.037075990652248425,-0.01735178194940079,-0.010749737671487014,-0.014457754813963497,0.017131880995757243,-0.056637596392045575,0.07757616167336212,0.375560583430145,0.01210965868085623,-0.01227957755327225,0.01880772225558758,-0.005162672605365515,0.02012899145483971,0.006782716140151024,-0.001224838546477258,0.004445704165846109,0.003663087729364634,0.002281045075505972,0.007586102001368999,-0.01385342143476009,0.00687134824693203,-0.0007583113620057702,0.005615461152046919,-0.008300679735839367,-0.01126157213002443,-0.02000928111374378,-0.04083553701639175,0.005731103476136923,0.00830351933836937,-0.001130303484387696,0.007112813182175159,-0.000160486699314788,-0.005458342377096415,0.02098465338349342,-0.05043476074934006,-0.03979359194636345,0.003988266922533512,0.03488772734999657,0.01895014569163322,-0.001152068725787103,-0.02537480928003788,0.005579002667218447,0.00554811442270875,0.02808895334601402,0.01089605037122965,0.01351351570338011,0.001587277394719422,0.008082442916929722,0.002672506961971521,0.003292613662779331,0.002656696131452918,0.004987526219338179,-0.0162841659039259,0.01340057514607906,0.0007778943981975317,0.0006218081107363105,0.003417641390115023,0.003096525557339191,-0.00509340688586235,-0.005119482520967722,-0.01029153354465961,0.005671980325132608,0.001723277382552624,0.02471063658595085,0.004731459077447653,-0.006683919578790665,-0.009940381161868572,0.01143042184412479,1.19,-0.3,0.99,0.01,17034,252,3.3143%,0.0002,1.2294,0.3803,-0.8882,2.1434%,2.6868%,36.3624%,2.9118%,9
"Barclays Maintains Equal-Weight on Aon, Raises Price Target to $155",2019-04-01,AON,2019-04-01 13:29:00+00:00,AON PLC NEW,61735.0,G0403H10,0.01605158485472202,-0.0017297223675996065,-0.004035960193514709,-0.005189167097911951,-0.003747746480700642,0.014529545041411573,0.02908726663845118,0.0975196676442045,0.00904414989054203,0.01619241168976404,0.017525051005675252,0.026396485436702033,0.004117629968073855,0.006367185722500057,0.18812172040705777,0.005025113001465797,-0.005333328153938055,-0.00217830203473568,0.0119227385148406,-0.00829402357339859,-0.006362084299325943,0.001347221550531685,-0.01446351502090693,0.003583667334169149,-0.003570870496332645,0.003924971912056208,-0.001869804691523314,-0.008855593390762806,0.005154625978320837,0.003760704537853599,-0.00204364350065589,0.005119506269693375,0.0,-0.005093380808830261,0.01171202678233385,-0.00749067822471261,-0.001715239719487727,0.005154625978320837,-0.006837632972747087,0.003442354034632444,-0.005145784467458725,0.003448289120569825,-0.001718252315185964,0.004819321911782026,6.161801138659939e-05,-0.004206623882055283,-0.0006536518922075629,0.001721209846436977,0.002749138278886676,0.00301574170589447,0.002460041781887412,0.001700751716271043,-0.007141905836760998,0.0,0.004797785542905331,-0.0006821438437327743,0.0,-0.004095526877790689,0.001370767946355045,0.001365497126244009,-0.005464774556457996,-0.001718252315185964,3.479844508547103e-06,-0.001724618021398783,0.01482759695500135,0.02752291783690453,0.01223547756671906,-0.01339431013911963,-0.005294723901897669,-0.000669093627948314,0.01032643113285303,-0.009231806732714176,-0.01331113558262587,-0.01317029073834419,-0.005109447985887527,1.19,-0.3,0.99,0.01,61735,252,1.6052%,0.0008,0.7955,-0.2917,0.4306,1.0065%,1.2491%,35.0677%,0.1422%,10
