headline,date,ticker,datetime_utc,company_name,permno,cusip,ret,ret_fd1,ret_fd2,ret_fd3,ret_fd5,ret_fd10,ret_fd30,ret_fd60,ret_ld1,ret_ld2,ret_ld3,ret_ld5,ret_ld10,ret_ld30,ret_ld60,ret_f1,ret_f2,ret_f3,ret_f4,ret_f5,ret_f6,ret_f7,ret_f8,ret_f9,ret_f10,ret_f11,ret_f12,ret_f13,ret_f14,ret_f15,ret_f16,ret_f17,ret_f18,ret_f19,ret_f20,ret_f21,ret_f22,ret_f23,ret_f24,ret_f25,ret_f26,ret_f27,ret_f28,ret_f29,ret_f30,ret_f31,ret_f32,ret_f33,ret_f34,ret_f35,ret_f36,ret_f37,ret_f38,ret_f39,ret_f40,ret_f41,ret_f42,ret_f43,ret_f44,ret_f45,ret_f46,ret_f47,ret_f48,ret_f49,ret_f50,ret_f51,ret_f52,ret_f53,ret_f54,ret_f55,ret_f56,ret_f57,ret_f58,ret_f59,ret_f60,Mkt-RF,SMB,HML,RF,PERMNO,n,RET,alpha,b_mkt,b_smb,b_hml,ivol,tvol,R2,exret,headline_word_count
"Cowen & Co. Maintains Outperform on Agilent Technologies, Raises Price Target to $90",2019-03-26,A,2019-03-26 11:52:00+00:00,AGILENT TECHNOLOGIES INC,87432.0,00846U10,0.01421032380312681,-0.02045879140496254,-0.011779349799913574,-0.003347852355822578,0.00809861500083442,0.011577372831977906,-0.04818294170009141,-0.08905853272708297,0.006709694862365723,-0.030243941870445212,-0.017301055840651003,-0.017907921873172472,0.0027741954292102022,0.04907643056918176,0.21632149082276553,0.01926364935934544,-0.0008399223443120718,0.005044091027230024,-0.0234211403876543,0.01199138257652521,0.001269601634703577,0.006339797750115395,-0.01007978897541761,-0.003394141793251038,0.0002129020140273497,0.0002127755142282695,-0.001063813571818173,0.003407877404242754,-0.001910425606183708,-0.04551253467798233,0.01938500255346298,-0.01857920177280903,-0.0008908889722079039,0.01292906794697046,-0.01430452708154917,0.003572222543880343,0.01690763793885708,0.007219466846436262,0.01368369348347187,-0.001285570207983255,-0.0008582045556977391,0.002791519509628415,0.0102783627808094,-0.0163204837590456,0.01712993532419205,0.001061780378222466,-0.006576104555279016,0.006833219900727272,0.003181287553161383,0.001691370620392263,0.006542793475091457,-0.04193751513957977,-0.004815001506358385,-0.006817711982876062,-0.001771435257978737,0.001552788191474974,0.006422969978302717,0.01276412513107061,0.0006518639274872839,-0.01042344328016043,0.006144366692751646,-0.05103599280118942,-0.003217637306079268,0.0002306233946001157,-0.003688331926241517,0.008098066784441471,-0.001836080220527947,-0.005288648884743452,0.00924645271152258,0.0151168080046773,0.03136280179023743,-0.001968937925994396,0.007014460861682892,0.02372660301625729,-0.01403359230607748,0.76,0.17,0.46,0.009,87432,252,1.4210%,0.0003,1.0274,-0.067,-0.4049,1.1744%,1.6673%,50.3827%,0.8358%,13
"Aecom Awarded Nationwide Nasa Environmental Remediation Services Contract; The Firm-Fixed-Price, Indefinite-Delivery/Indefinite-Quantity Contract Has A Performance Period From February 2019 Through February 2024, With A Maximum Combined Value Of $300 Mln",2019-03-26,ACM,2019-03-26 17:10:00+00:00,A E C O M,91975.0,00766T10,0.001696679508313537,-0.012533903121948242,-0.00033876076542094236,0.00508128826732368,0.033536576336612445,0.04471543590775373,0.14295396839837649,0.24424115733747453,0.0037465498317033052,-0.020279275005580577,-0.018321156494763846,-0.033770513818379255,-0.02995391246987522,0.023263893195880403,0.11755777283758628,-0.002014821162447333,0.01816961355507374,0.007931259460747242,-0.005317375995218754,0.008352823555469513,0.01789261028170586,-0.01985672861337662,-0.00797076616436243,0.004017373081296682,-0.01133711729198694,-0.0067453240044415,0.004074666649103165,0.02975992858409882,0.01609194651246071,-0.0009696407942101359,-0.001294047455303371,0.00356328790076077,0.001936777727678418,0.005798917263746262,0.000960944511462003,0.01055999752134085,0.01044964883476496,-0.002820437308400869,0.002514139749109745,0.0,-0.007836990989744663,-0.006951005198061466,0.004454323556274176,0.01045295968651772,0.003134808270260692,-0.005937516689300537,0.006601728964596987,0.00437224842607975,-0.01057214383035898,-0.01665615290403366,0.0006391354836523533,0.0009581822669133544,0.0006381766870617867,0.003507611574605107,-0.005719682201743126,-0.01182489097118378,-0.01261317543685436,0.0009826000314205885,-0.04679320380091667,0.01270171161741018,0.00440675113350153,-0.00641237385571003,-0.004755478817969561,-0.02047776430845261,-0.0090592410415411,-0.000703250989317894,-0.007389197591692209,0.0024814463686198,-0.001768074347637594,-0.003542344318702817,-0.006754306145012379,0.003221193561330438,-0.00249738129787147,0.01680977270007133,0.0,0.76,0.17,0.46,0.009,91975,252,0.1697%,-0.0005,1.1473,0.6905,0.6015,1.1364%,1.6154%,50.5118%,-1.1372%,30
AEterna Zentaris Q4 EPS $(0.31) Misses $(0.19) Estimate,2019-03-26,AEZS,2019-03-26 21:22:00+00:00,AETERNA ZENTARIS INC,88240.0,00797550,-0.009546530432999134,-0.02168678306043148,-0.004819271953930393,0.120481930570014,0.25060240468428074,0.2554216772552047,-0.18795183931223403,-0.34939757566468865,0.012077340856194496,-0.018735346404262,-0.004750590550504863,0.04750001287998695,0.14168936539706456,0.009638544877106359,0.5404411710091868,-0.002280879067257047,0.02157454192638397,0.01818186044692993,0.008928487077355385,0.01837993413209915,-0.001470596296712756,0.001606575329788029,-0.007485597860068083,0.0,0.009023544378578663,0.005472552962601185,0.002787721808999777,0.009266573004424572,-0.008788013830780983,-0.008601317182183266,0.0152162229642272,-0.01275310572236776,-0.0197096262127161,0.01494360063225031,-0.02248695306479931,0.01615774817764759,0.006872417870908976,0.0119111267849803,0.004628997296094894,-0.002369672292843461,-0.0003958667221013457,-0.001716135302558541,0.003041466698050499,-0.006855592131614685,-0.00464629614725709,0.003340459894388914,-0.002663430059328675,-0.02016293443739414,-0.0009539342718198895,-0.01118537317961454,0.007035482674837112,-0.006849315017461777,-0.002896539168432355,-0.01078985724598169,0.002796768909320235,0.006275339517742395,-0.003464523004367948,-0.004728187341243029,0.005728708580136299,-0.001250402419827878,0.01585755124688148,0.004655675496906042,-0.01785477995872498,0.01595894433557987,0.006693045608699322,-0.009904962964355946,0.00287788244895637,0.007925687357783318,-0.001626935205422342,-0.0009505662019364536,-0.01168955583125353,0.0100399311631918,0.02559909038245678,0.0236324854195118,-0.003242542268708348,0.76,0.17,0.46,0.009,88240,252,-0.9547%,0.0049,0.8344,0.2887,0.0913,5.7694%,5.8343%,2.2121%,-1.7359%,8
Agios Pharma Reports Received FDA Breakthrough Therapy Designation For TIBSOVO In Combo With Azacitidine For Treatment Of Newly-Diagnosed Acute Myeloid Leukemia with an IDH1 Mutation in Adult Patients Ineligible for Intensive Chemotherapy,2019-03-26,AGIO,2019-03-26 20:01:00+00:00,AGIOS PHARMACEUTICALS INC,14044.0,00847X10,0.05067729577422142,-0.03185193985700607,-0.007432090699176497,0.02290311396857936,0.01107240247160779,-0.021386372075466342,-0.21659333061047736,-0.22190202844311724,0.007384798023849726,-0.04329923131305713,-0.023498321133205158,-0.03223313547155049,-0.024864003891745257,0.17597450143726934,0.3978614586496927,-0.01142861507833004,-0.01676294952630997,0.007642513606697321,-0.04317384958267212,-0.02682923153042793,-0.008248738013207912,-0.01343570277094841,0.005836585536599159,-0.01805291324853897,0.007879241369664669,0.009120481088757515,0.03550685197114944,-0.0180798564106226,0.01714288629591465,0.01685396023094654,-0.005524870939552784,-0.004938266705721617,-0.04714647307991982,0.02994791977107525,0.001896377187222242,0.01198741514235735,0.00187024800106883,-0.0186682790517807,0.0380469486117363,0.04764806106686592,0.01457726024091244,-0.02241375856101513,0.004115208517760038,0.01639348268508911,0.04262671247124672,0.004972383845597506,0.01319404970854521,0.004883350804448128,0.004859619308263063,-0.0005373578169383109,-0.02741936594247818,0.004422328434884548,0.00275174668058753,-0.01701424084603786,0.01228360179811716,0.04026483744382858,-0.004241777583956718,0.007987200282514095,-0.1119915917515755,0.04283172264695168,-0.04107251390814781,0.01308752130717039,-0.002936062403023243,0.03180217370390892,-0.05422378703951836,-0.01931199245154858,0.02953843399882317,-0.06694560497999191,-0.02818703278899193,0.03032300807535648,0.0102367140352726,-0.008233065716922283,0.05938699468970299,0.0247136726975441,-0.03352939337491989,0.76,0.17,0.46,0.009,14044,252,5.0677%,-0.001,1.5068,1.2061,-0.6175,2.6837%,3.3300%,35.0518%,4.0464%,32
Macquarie Upgrades Allegiant Travel to Outperform,2019-03-26,ALGT,2019-03-26 10:57:00+00:00,ALLEGIANT TRAVEL CO,91659.0,01748X10,0.01672543212771416,0.01911132223904133,0.022336880878607746,0.04402869911593865,0.07475200724094555,0.07950965974174729,0.14611726856445828,0.13038475326394416,-0.001473600510507711,-0.04013534545737374,-0.029287705235219952,-0.03282847733343952,-0.04881848734285421,-0.09681550497858726,0.17775737834035144,-0.003072266932576895,-0.02080119587481022,0.007081050425767899,-0.04531249403953552,0.004909939598292112,-0.01221495307981968,-0.006595212034881115,-0.01410788949579,0.001683459966443479,-0.01260501053184271,0.0,0.03489360585808754,-0.00575655372813344,0.02729527838528156,-0.0008051713812164962,-0.01128117553889751,0.01385485846549273,-0.004823108203709126,-0.008885270915925503,-0.02770987339317799,0.0259848665446043,-0.009803912602365017,-0.01155118364840746,-0.01836388371884823,0.008503352291882038,0.001686379313468933,-0.01936031132936478,0.01845494844019413,0.005478342529386282,-0.002514726482331753,0.02521010115742683,-0.002458994509652257,-0.003286767518147826,0.01401484571397305,0.001625975943170488,-0.009740251116454601,-0.007786907255649567,0.0004130619345232844,0.01073493994772434,-0.003267970867455006,0.02049180306494236,0.01285139378160238,-0.003965046722441912,-0.02547775767743587,-0.02042483724653721,0.01834864728152752,0.01064702030271292,-0.009724464267492294,-0.01227500569075346,0.01739851199090481,-0.02687295898795128,0.0,0.01673638634383678,0.001646128250285983,0.01396878156810999,-0.014586734585464,0.001644774456508458,0.008210133761167526,0.003257325850427151,0.009740251116454601,0.76,0.17,0.46,0.009,91659,252,1.6725%,-0.0011,0.7461,0.3981,-0.0004,2.2924%,2.4357%,11.4247%,1.0511%,6
"Ichor Medical Reports Entered Collab, Research License Deal With AstraZeneca For Development, Clinical Assessment Of Plasmid DNA Constructs",2019-03-26,AZN,2019-03-26 11:18:00+00:00,ASTRAZENECA PLC,79363.0,04635310,0.009165673516690731,-0.006753542460501194,0.0009315536634830757,-0.05845361994239506,-0.03143918291964809,-0.05239869731102387,-0.10805774593113926,-0.030973409284131614,-0.0009392090723849833,-0.009313190570684693,-0.010925179684548758,-0.000704617410182018,0.00853284177276481,0.1759568588914655,0.1571965097948418,0.03312448412179947,-0.04263429716229439,-0.0512310229241848,0.01640909351408482,0.02140040136873722,0.01929790899157524,0.004327473696321249,0.03267503902316093,0.01651600748300552,-0.04480934888124466,-0.0238137524574995,0.03237342461943626,0.01760629005730152,0.04631243646144867,0.01636879146099091,0.009038669988512993,-0.00358308176510036,0.008009118027985096,0.01491814479231834,0.008627590723335743,-0.001425632042810321,-0.09993653744459152,0.002114891307428479,-0.005100262351334095,0.02863706834614277,-0.03368274867534637,0.03076648712158203,0.04330576583743095,-0.04994212836027145,0.01949519477784634,-0.06829434633255005,0.01081180386245251,0.01341554895043373,0.01449011731892824,-0.003174048848450184,-0.00946399848908186,0.0152692124247551,0.02286724932491779,0.01134995371103287,-0.01564363203942776,0.05959579721093178,-0.04401696845889091,0.0005115753738209605,0.01789676211774349,-0.01121905539184809,0.02320065908133984,0.02416423335671425,-0.0180995911359787,0.0092166131362319,0.01549251098185778,-0.001766510540619493,-0.02960103191435337,0.019065011292696,0.01643075235188007,-0.0004801341274287552,0.01729380339384079,0.005351804662495852,-0.005793000571429729,-0.002677136566489935,0.01452705077826977,0.76,0.17,0.46,0.009,79363,252,0.9166%,0.0008,0.3899,-0.0971,-0.1847,1.2226%,1.3049%,12.2126%,0.7169%,18
"Oppenheimer Maintains Outperform on Bank of America, Raises Price Target to $40",2019-03-26,BAC,2019-03-26 12:40:00+00:00,BANK OF AMERICA CORP,59408.0,06050510,0.01378535479307175,-0.006615156307816505,0.004410174587326843,0.01396549342228659,0.06100704753432096,0.06174201827283987,0.09518560110590668,0.04454610831972361,-0.006293967831879743,-0.047551460906653076,-0.06284913833461814,-0.09993291722243558,-0.07256393830758656,-0.04636108526316507,0.11897324710628543,0.01399759575724602,-0.01736686564981937,0.0105740875005722,-0.008520174771547318,-0.02683549933135509,0.01068930700421333,0.008890279568731785,0.02354911901056767,-0.01246851589530706,0.01112276967614889,-0.00163509720005095,-0.005211526062339544,-0.001496759126894176,0.02083644829690456,-0.01321588177233934,0.009821483865380287,-0.002505130600184202,0.009159330278635025,0.0182989314198494,-0.0166761726140976,-0.006637235172092915,0.0190051794052124,-0.01748502068221569,-0.01779618859291077,0.01072020269930363,-0.0161338783800602,-0.01305801142007113,-0.01584613509476185,0.01610127836465836,0.01230773888528347,-0.002431666478514671,-0.0187385082244873,0.01490450277924538,0.0039772754535079,0.003809233661741018,-0.01335757877677679,-0.001230797381140292,0.0006161570781841874,-0.004464299883693457,-0.008040770888328552,0.001558822579681873,-0.008404683321714401,0.004081025719642639,0.009691966697573662,0.006347788963466883,-0.0006153986905701458,-0.0007696339744143188,0.004621713422238827,-0.001840250683017075,0.00783533789217472,-0.001524367020465434,-0.008549581281840801,0.001385838259011507,-0.0006151148118078709,-0.004769927356392145,0.004483625758439302,0.004617445170879364,-0.004136611707508564,-0.0003076406719628721,0.006617425009608269,0.76,0.17,0.46,0.009,59408,252,1.3785%,0.0001,1.3467,-0.1144,1.2812,0.8966%,1.5586%,66.9089%,-0.2414%,12
Baxter Highlights Launch Of Clinolipid Olive Oil-Based Lipid Emulsion In US Later In 2019,2019-03-26,BAX,2019-03-26 20:45:00+00:00,BAXTER INTERNATIONAL INC,27887.0,07181310,0.01507156807929277,0.0036801176611334085,0.011294408020567692,0.03185272050356769,0.034771544703759316,0.016116707425989363,-0.02677665655914685,0.04409714852748059,0.005049189552664757,-0.010452514210123498,0.005830486245845146,0.008836911000073222,0.03341313098773635,0.08849469035421276,0.21358761605366605,-0.0009164662915281951,0.002751921070739627,-0.007449029479175806,0.007373340427875519,-0.01712201163172722,0.00678194360807538,0.02509578131139278,-0.004123175982385874,-0.00763363903388381,-0.003259452525526285,0.003924173302948475,0.007687248755246401,-0.002844499656930566,-0.01076247170567513,-0.003408076241612434,0.004866536241024733,-0.02159687876701355,-0.01377924811094999,-0.0005426059942692518,-0.0006786516169086099,0.00285208597779274,-0.0005416208878159523,0.007452512159943581,-0.002824466675519943,-0.00105210323818028,-0.02554614283144474,0.001801370177417994,-0.00331957801245153,0.004579542670398951,-0.007045201491564512,0.004730161279439926,-0.0008307609823532403,-0.008453444577753544,0.04039132595062256,-0.006582556292414665,0.01189999934285879,-0.01977820880711079,-0.01431486662477255,0.001244762563146651,-0.001381385256536305,0.005118311382830143,-0.001101043540984392,-0.008817847818136215,-0.02001671306788921,0.003829739522188902,-0.004239019937813282,0.009081870317459106,0.01715653575956821,0.01824968494474888,-0.00380174838937819,-0.006678512319922447,0.001380622270517051,0.009651241824030876,-0.007374039385467768,0.0004126947023905814,-0.005088046658784151,-0.008569386787712574,0.003066967474296689,-0.01487143523991108,0.04204293712973595,0.76,0.17,0.46,0.009,27887,252,1.5072%,0.0004,0.819,-0.1355,-0.2482,1.0321%,1.3770%,43.8220%,1.0190%,14
David Kanen Reports 9.7% Stake in Build-A-Bear Workshop; Says Shares Undervaulued,2019-03-26,BBW,2019-03-26 10:06:00+00:00,BUILD A BEAR WORKSHOP INC,90371.0,12007610,0.06039070338010788,-0.08096615653802641,-0.09295354325022143,-0.1049409298840378,-0.12092411160741023,-0.03701230725099991,0.026920439224842774,0.578340823454919,-0.06088073552927331,-0.08378606159895141,-0.06864204384659522,-0.05695136967572145,0.0017272550464308978,0.06819262807569171,0.13260618781275024,-0.01312663406133652,0.003658655798062682,-0.007825212553143501,-0.005078455898910761,0.03215222060680389,-0.01119446940720081,-0.01151427067816257,-0.0354493036866188,-0.006999653298407793,-0.008764434605836868,0.01785527728497982,0.02947813086211681,-0.1231705248355865,0.04308169707655907,0.0330776534974575,0.005261494778096676,-0.007248285692185163,0.005081323441118002,0.00205332157202065,-0.01046943105757236,-0.01627044938504696,-0.007270321249961853,-0.01683893799781799,-0.01723608560860157,0.01064108032733202,0.05003555119037628,-0.01812556385993958,-0.01210624258965254,-0.005912261549383402,0.02337532304227352,-0.02278851345181465,-0.0248878113925457,-0.03524433821439743,-0.05248946323990822,0.00580260343849659,-0.00478412164375186,-0.003191309049725533,-0.007253984920680523,-0.008470412343740463,-0.01222751010209322,-0.06468690186738968,0.0004901879001408815,-0.04979619383811951,-0.02500764839351177,-0.006514402572065592,-0.005298948381096125,-0.01663827896118164,0.05941717699170113,0.06075461953878403,0.04763375595211983,-0.01359415333718061,-0.008456346578896046,-0.009237352758646011,-0.02263660542666912,-0.01905669644474983,0.01352416537702084,-0.0122949443757534,0.02358569391071796,-0.000242750407778658,0.04342453926801682,0.76,0.17,0.46,0.009,90371,252,6.0391%,-0.0009,0.6863,1.1526,0.3485,2.8084%,2.9494%,9.3341%,5.1851%,11
Brainstorm Cell Therapeutics shares are trading higher after the company announced it was granted an additional European patent for its NurOwn.,2019-03-26,BCLI,2019-03-26 12:53:00+00:00,BRAINSTORM CELL THERAPEUTICS INC,14925.0,10501E20,0.0,0.01643185317516327,3.1536373512608407e-10,0.01877932468892851,0.00704219159450159,-0.039906117611180236,-0.05399061190565646,-0.0985916199593716,0.036496371030807495,0.05445551141249094,0.06234413557299745,0.057071961751415934,0.07304790899989988,0.1181103148298075,0.3107693005921026,0.00767900375649333,0.01032443903386593,-0.002919682068750262,0.01659343391656876,-0.003385716816410422,-0.002426558407023549,0.006810965016484261,0.006040106527507305,0.0002402050013188273,0.01056419219821692,-0.003801374463364482,-0.002384890802204609,-0.02175480872392654,-0.0146627202630043,0.01264886278659105,0.0004897536709904671,-0.006119951140135527,0.0150246461853385,-0.006794437766075134,0.01221597846597433,0.003861932083964348,0.005530164577066898,0.004782419186085463,-0.0002380327496211976,0.01928115636110306,-0.004437146708369255,-0.001172865042462945,0.005871301051229239,0.01307488977909088,-0.001843697158619761,0.0,0.01223732996731997,-0.009580337442457676,0.006678970996290445,0.002516600536182523,-0.00593332527205348,0.003443473484367132,-0.001372627797536552,-0.001374601852148771,0.01766461320221424,0.01307479757815599,0.0008900960674509406,-0.003112480975687504,0.02274755761027336,-0.005015254020690918,0.00986194983124733,0.001953045488335192,-0.01970976591110229,0.005523641593754292,-0.002856454811990261,-0.01762889511883259,0.01009414345026016,-0.005996013060212135,0.001340513350442052,0.002454275032505393,0.001557972282171249,-0.00355555210262537,0.006021419540047646,0.009532260708510876,0.0006587347015738487,0.76,0.17,0.46,0.009,14925,252,0.0000%,0.0013,0.2258,0.5837,-0.0802,2.7608%,2.7948%,2.4170%,-0.2309%,21
