custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num
0,AGILENT TECHNOLOGIES INC,Agilent Technologies Option Alert: Mar 15 $75 Calls at the Ask: 1000 @ $2.3 vs 33 OI; Earnings 2/20 After Close Ref=$73.74,1,increase,0.8,0.7,,161,11,2.0
1,A E C O M,"Jacobs, AECOM Awarded Contract by Transport Scotland to  Lead its Second Strategic Transport Projects Review",1,increase,0.8,0.7,,135,11,2.0
2,ADTRAN HOLDINGS INC,Needham Downgrades Adtran to Hold,1,decrease,0.8,0.7,,122,12,0.0
3,AGENUS INC,Agenus To Launch First Asset-Backed Digital Security Offering,1,increase,0.8,0.5,,125,11,2.0
4,AGENUS INC,"Gilead Sciences Reports 9.3% Passive Stake In Agenus Inc As Of Jan 23, 2019",1,increase,0.8,0.5,,138,11,2.0
5,GALLAGHER ARTHUR J & CO,"Arthur J. Gallagher Reports Purchase Of The Chapman Group, No Terms Disclosed",1,increase,0.8,0.5,,139,11,2.0
6,ALIGN TECHNOLOGY INC,"Align Technology Sees Q1 EPS $0.78-$0.84 May Not Compare To $1.19 Est., Sales $525M-$535M vs $529.33M Est.",1,decrease,0.8,0.7,,151,12,0.0
7,ALIGN TECHNOLOGY INC,"Align Technology Q4 EPS $1.20 Beats $1.16 Estimate, Sales $534M Beat $513.39M Estimate",1,increase,0.8,0.7,,139,11,2.0
8,ALKERMES PLC,"Allakos Announces Phase 2 Results Of AK002 In Patients With Cholinergic Urticaria And Symptomatic Dermographism; Results Show 82% Response Rate In Cholinergic Urticaria Patients, 70% In Symptomatic Dermographism Patients",1,increase,0.8,0.5,,172,11,2.0
9,AUTOLIV INC,Autoliv Q4 EPS $1.42 Misses $1.80 Estimate,1,decrease,0.8,0.7,,129,12,0.0
10,APPLIED MATERIALS INC,UPDATE: RBC Capital Upgrades Applied Materials As Firm Thinks 'expectations are now reset after the Lam Research conference call combined with Apple's pre-announcement',1,increase,0.8,0.5,,146,11,2.0
11,APPLIED MATERIALS INC,"RBC Capital Upgrades Applied Materials to Outperform, Raises Price Target to $45",1,increase,0.8,0.5,,131,11,2.0
12,APPLIED MATERIALS INC,RBC Upgrades Applied Materials to Outperform from Sector Perform; Raises Price Target to $45 from $38,1,increase,0.9,0.8,,136,11,2.0
13,SMITH A O CORP,A O Smith Sees FY19 EPS $2.67-$2.77 vs $2.80 Est.,1,decrease,0.8,0.7,,138,12,0.0
14,SMITH A O CORP,"A O Smith Q4 EPS $0.74 Beats $0.71 Estimate, Sales $812.5M Miss $820.15M Estimate",1,decrease,0.8,0.5,,146,12,0.0
15,ARROW FINANCIAL CORP,Arrow Financial Q4 EPS $0.60 Misses $0.63 Estimate,1,decrease,0.8,0.7,,134,12,0.0
16,A S A GOLD & PRECIOUS METALS LTD,ASA Gold And Precious Metals Limited Late Monday Reported FY18 Net Investment Income Per Share $(0.07) Up From $(0.09) YoY,1,decrease,0.8,0.7,,157,12,0.0
17,ACTIVISION BLIZZARD INC,Activision Blizzard shares are trading lower after Oppenheimer downgraded the company's stock from Outperform to Market Perform.,1,decrease,0.8,0.7,,143,12,0.0
18,ACTIVISION BLIZZARD INC,UPDATE: Oppenheimer Downgrades Activison Blizzard As Firm Has 'lack of confidence in consecutive Y/Y sales growth in 2019-2020'; Believes 'management and studio transitions take time',1,decrease,0.8,0.7,,161,12,0.0
19,ACTIVISION BLIZZARD INC,Oppenheimer Downgrades Activision Blizzard to Market Perform,1,decrease,0.8,0.7,,131,12,0.0
20,AUBURN NATIONAL BANCORP,Auburn National Bancorp Q4 EPS $0.66 Up From $0.50 YoY,1,increase,0.8,0.7,,141,11,2.0
21,AMERICAN EXPRESS CO,Atlantic Equities Upgrades American Express to Overweight,1,increase,0.8,0.7,,122,11,2.0
22,ALIBABA GROUP HOLDING LTD,Alibaba Group Holding's Q3 Earnings Preview,1,increase,0.8,0.7,,128,11,2.0
23,BIOGEN INC,"Biogen Earlier Guided FY19 Adj. EPS $28-$29 vs $28.02 Estimate, Sales $13.6B-$13.8B vs $13.65B Est.",1,decrease,0.8,0.5,,149,12,0.0
24,BIOGEN INC,"Biogen Idec Q4 Adj. EPS $6.99 Beats $6.71 Estimate, Sales $3.53B Beat $3.39B Estimate",1,increase,0.8,0.7,,143,11,2.0
25,BANK OF NEW YORK MELLON CORP,"Bank Of New York Mellon Form 4 Filing From Nelson Peltz's Trian Fund Showed Sale Of 2.107M Shares On Jan. 25-28, 2019",1,decrease,0.8,0.7,,162,12,0.0
26,BLACKROCK INC,UPDATE: Jefferies Upgrades Blackrock And Raises Target From $427 To $468 As Firm Believes 'BLK's industry leading organic growth will continue unimpeded while valuation provides a rare entry point',1,increase,0.8,0.7,,154,11,2.0
27,BLACKROCK INC,Jefferies Upgrades BlackRock to Buy,1,increase,0.8,0.5,,121,11,2.0
28,BRITISH AMERICAN TOBACCO PLC,PiperJaffray Upgrades British American Tobacco to Overweight,1,increase,0.8,0.5,,137,11,2.0
29,FIRST BUSEY CORP,"First Busey Q4 EPS $0.53 Misses $0.54 Estimate, Sales $83.18M Miss $84.68M Estimate",1,decrease,0.8,0.7,,148,12,0.0
30,CAMDEN NATIONAL CORP,"Camden National Q4 EPS $0.89 Beats $0.84 Estimate, Sales $41.066M Beat $40.71M Estimate",1,increase,0.8,0.5,,144,11,2.0
31,CATERPILLAR INC,The Street Reacts To Caterpillar's First Notable Miss In Years,1,decrease,0.8,0.7,,130,12,0.0
32,CAPITAL CITY BANK GROUP,Capital City Bank Group Q4 EPS $0.50 Beats $0.37 Estimate,1,increase,0.8,0.5,,129,11,2.0
33,CAMECO CORP,Cameco Option Alert: Feb 15 $12 Calls Sweep (3) near the Ask: 750 @ $0.451 vs 3642 OI; Earnings 2/8 Before Open [est] Ref=$12.16,1,increase,0.8,0.6,,164,11,2.0
34,CAPITOL FEDERAL FINANCIAL INC,Capitol Federal Financial Q1 EPS $0.18 Misses $0.19 Estimate,1,decrease,0.8,0.5,,142,12,0.0
35,CHUNGHWA TELECOM CO LTD,"Chunghwa Telecom Sees FY19 EPS NT$4.40-NT$4.60, Sales NT$220.56M-NT$222.91M",1,increase,0.8,0.7,,156,11,2.0
36,CIRCOR INTERNATIONAL INC,RelaDyne Acquires CIRCOR Reliability Services Business; Financial Terms Not Disclosed,1,decrease,0.8,0.7,,133,12,0.0
37,CANADIAN NATIONAL RAILWAY CO,"Canadian National Railway Q4 Adj. EPS C$1.49, Up 24% Year Over Year, Sales C$3.808M, Up 16 YoY",1,increase,0.8,0.7,,155,11,2.0
38,COHERENT CORP,"Coherent Q1 Adj. EPS $2.09 Beats $2.07 Estimate, Sales $383.1M Miss $385.84M Estimate",1,decrease,0.8,0.6,,145,12,0.0
39,COMMVAULT SYSTEMS INC,Commvault Shares Tick Modestly Higher Into Close AS Traders Circulate Upgrade To Overweight From MUFG Securities America,1,increase,0.8,0.5,,140,11,2.0
40,COMMVAULT SYSTEMS INC,"CommVault Systems Q3 EPS $0.54 Beats $0.42 Estimate, Sales $184.3M Beat $180.66M Estimate",1,increase,0.8,0.5,,146,11,2.0
41,C V S HEALTH CORP,"Aetna Announces Attain, a Personalized Well-being Experience that Combines Health History with Apple Watch Information to Empower Better Health",1,increase,0.8,0.5,,144,11,2.0
42,3 D SYSTEMS CORP DEL,"3D Systems Has Path To Sustainable Growth, Piper Jaffray Says In Upgrade",1,increase,0.8,0.5,,136,11,2.0
43,3 D SYSTEMS CORP DEL,3D Systems shares are trading higher after Piper Jaffray upgraded the company's stock from Neutral to Overweight and announced a price target of $17 per share.,1,increase,0.8,0.7,,152,11,2.0
44,3 D SYSTEMS CORP DEL,"UPDATE: Piper Jaffray Upgrades 3D Systems To Overweight On 'overall 3D printing demand improving and the long-awaited move to production applications, which appears to be gaining momentum'",1,increase,0.8,0.7,,159,11,2.0
45,3 D SYSTEMS CORP DEL,"PiperJaffray Upgrades 3D Systems to Overweight, Announces $17 Price Target",1,increase,0.8,0.7,,141,11,2.0
46,3 D SYSTEMS CORP DEL,Piper Jaffray Upgrades 3D Systems to Overweight from Neutral,1,increase,0.8,0.5,,136,11,2.0
47,DIGITAL ALLY INC NEW,Court Order Details Digital Ally's Patent Infringement Against Taser,1,decrease,0.8,0.5,,130,12,0.0
48,DANAHER CORP,"Danaher Corporation Sees Q1 Adj. EPS $1.00-$1.03 vs $1.03 Est., Sees FY19 Adj. EPS $4.75-$4.85 vs $4.82 Est.",1,decrease,0.8,0.5,,161,12,0.0
49,DANAHER CORP,"Danaher Q4 Adj. EPS $1.28 Beats $1.27 Estimate, Sales $5.364B Beat $5.32B Estimate",1,increase,0.8,0.5,,146,11,2.0
50,DYNAGAS L N G PARTNERS LP,"Jefferies Downgrades Dynagas LNG Partners to Hold, Announces $3 Price Target",1,decrease,0.9,0.8,,144,12,0.0
51,DOVER CORP,Dover shares are trading higher after the company beat Q4 earnings estimates and issued strong FY19 guidance.,1,increase,0.8,0.7,,132,11,2.0
52,DOVER CORP,Dover Sees FY19 Adj. EPS $5.65-$5.85 vs $5.60 Est.,1,increase,0.8,0.7,,135,11,2.0
53,DOVER CORP,"Dover Q4 Adj. EPS $1.43 Beats $1.29 Estimate, Sales $1.8B Beat $1.77B Estimate",1,increase,0.8,0.5,,143,11,2.0
54,DRIL QUIP INC,"S&P Dow Jones Indices Announces Caesars Entertainment To Join S&P MidCap 400, Replacing Dril-Quip; Dril-Quip To Replace Essendant In S&P SmallCap 600",1,decrease,0.8,0.7,,158,12,0.0
55,DYNEX CAPITAL INC,Dynex Capital Prices Public Offering of 7M Shares of Common Stock for Total Expected Gross Proceeds of $41.3M; ~$5.90/Share,1,decrease,0.8,0.6,,148,12,0.0
56,ELECTRONIC ARTS INC,Electronic Arts Says Impact Of Change To FIFA Ultimate Team In Belgium Is Not Material To Our Financial Performance; Co Posted On Blog on Jan 28 It Decided To Stop Offering FIFA Points For Sale In Belgium After Discussions With Belgian Authorities,1,decrease,0.8,0.5,,161,12,0.0
57,BRINKER INTERNATIONAL INC,Brinker International Sees FY19 Adj. EPS $3.75-$3.95 vs $3.78 Est.,1,decrease,0.8,0.5,,138,12,0.0
58,BRINKER INTERNATIONAL INC,"Brinker International Q2 Adj. EPS $0.89, Inline, Sales $790.7M Beat $779.94M Estimate",1,increase,0.8,0.5,,142,11,2.0
59,EBAY INC,From eBay Q4 Earnings Conference Call: Japan Will Be A Big Business For Co. In Several Years,1,increase,0.8,0.7,,131,11,2.0
60,EBAY INC,"From eBay Conference Call: Co. Says Company To Tweak Marketing Strategy, Pressuring Short-term GMV But Accretive To Profits Over Long Run",1,increase,0.8,0.5,,141,11,2.0
61,EBAY INC,From eBay Conference Call: Co. Says Company Saw Slowing Consumer Spend In December,1,decrease,0.8,0.7,,126,12,0.0
62,EBAY INC,"eBay Sees FY19 Adj. EPS $2.62-$2.68 vs $2.59 Estimate, Sales $10.7B-$10.9B vs $11.18B Est.",1,decrease,0.8,0.7,,152,12,0.0
63,EBAY INC,"eBay Sees Q1 Adj. EPS $0.62-$0.64 vs $0.61 Estimate, Sales $2.55B-$2.6B vs $2.66B Est.",1,decrease,0.8,0.7,,152,12,0.0
64,EBAY INC,eBay Initiates Qtr. Dividend Of $0.14/Share; Adds $4B To Buyback,1,increase,0.8,0.7,,134,11,2.0
65,EBAY INC,"eBay Q4 EPS $0.71 Beats $0.68 Estimate, Sales $2.877B Beat $2.87B Estimate",1,increase,0.8,0.5,,139,11,2.0
66,EBAY INC,"eBay To Report Q4 Earnings After The Closing Bell; Co. Historically Issues Its Report At 4:15 p.m. ET, Though Most Recent Earnings Were Announced At 5:15",1,uncertain,0.7,0.5,,153,12,1.0
