custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num
0,AGILENT TECHNOLOGIES INC,Aligent shares are trading higher after the company reported better-than-expected Q4 EPS and sales results.,1,increase,0.8,0.5,,132,11,2
1,AGILENT TECHNOLOGIES INC,"Agilent Sees FY20 Adj. EPS $3.38-$3.43 vs $3.44 Estimate, Sales $5.5B-$5.55B vs $5.55B Est.",1,decrease,0.7,0.5,,154,12,0
2,AGILENT TECHNOLOGIES INC,"Agilent Sees Q1 Adj. EPS $0.80-$0.81 vs $0.84 Estimate, Sales $1.34B-$1.355B vs $1.38B Est.",1,decrease,0.7,0.5,,154,12,0
3,AGILENT TECHNOLOGIES INC,"Agilent Technologies Q4 Adj. EPS $0.89 Beats $0.85 Estimate, Sales $1.37B Beat $1.33B Estimate",1,increase,0.8,0.5,,144,11,2
4,ACADIA PHARMACEUTICALS,"ACADIA Pharmaceuticals shares are trading lower after the company announced results from the ADVANCE trial of Pimavanserin. In the study, pimavanserin did not separate from placebo on the key secondary endpoint.",1,decrease,0.85,0.2,,158,12,0
5,ACADIA PHARMACEUTICALS,ACADIA Pharma Reports Top-Line Results From ADVANCE Trial Of Pimavanserin As Treatment For Negative Symptoms Of Schizophrenia; Will Initiate Second Pivotal Study In H1'20,1,increase,0.7,0.5,,157,11,2
6,ACADIA PHARMACEUTICALS,"ACADIA Pharmaceuticals Announces Pimavanserin Demonstrated Statistically Significant Improvement In Primary Endpoint, Did Not Separate From Placebo On Key Secondary Endpoint",1,increase,0.7,0.5,,145,11,2
7,ADAMIS PHARMACEUTICALS CORP,Maxim Group Downgrades Adamis Pharmaceuticals to Hold,1,decrease,0.7,0.5,,131,12,0
8,ADAMIS PHARMACEUTICALS CORP,Adamis Pharmaceuticals shares are trading lower after the company reported it received a complete response letter from the FDA for its ZIMHI. The FDA stated it cannot approve the ZIMHI in its present form and provided suggested needed for resubmission.,1,decrease,0.9,0.7,,168,12,0
9,ADAMIS PHARMACEUTICALS CORP,Adamas Pharma Receives Complete Response Letter From FDA Related To ZIMHI,1,decrease,0.8,0.5,,135,12,0
10,AMERICAN EAGLE OUTFITTERS INC NE,Loop Capital Downgrades American Eagle Outfitters to Hold,1,decrease,0.7,0.5,,131,12,0
11,ALNYLAM PHARMACEUTICALS INC,"BMO Capital Maintains Outperform on Alnylam Pharmaceuticals, Raises Price Target to $143",1,increase,0.7,0.5,,137,11,2
12,APPLIED MATERIALS INC,Applied Materials shares are trading higher amid strength in the semiconductors space. Nomura analyst said recent data points indicate a recovery in semiconductor equipment demand 'may have begun.',1,increase,0.75,0.6,,141,11,2
13,AMBARELLA INC,Ambarella shares are trading higher after the company reported better-than-expected Q3 EPS and sales results.,1,increase,0.8,0.5,,130,11,2
14,AMBARELLA INC,Ambarella Sees FY20 Sales $55M-$59M vs $55.7M Estimate,1,decrease,0.7,0.2,,130,12,0
15,AMBARELLA INC,"Ambarella Q3 Adj. EPS $0.32 Beats $0.2 Estimate, Sales $67.9M Beat $65.03M Estimate",1,increase,0.8,0.5,,141,11,2
16,A M C NETWORKS INC,"Imperial Capital Maintains Underperform on AMC Networks, Lowers Price Target to $35",1,decrease,0.8,0.5,,128,12,0
17,AMEDISYS INC,"Amedisys To Buy Asana Hospice, No Terms Disclosed",1,increase,0.7,0.5,,122,11,2
18,AMEDISYS INC,Amedisys To Acquire Asana Hospice; Terms Not Disclosed,1,increase,0.7,0.5,,122,11,2
19,A M T D IDEA GROUP,TD Ameritrade Holding shares are trading higher after the company announced Charles Schwab would acquire the company for an all-stock deal valued at $26 billion.,1,increase,0.8,0.5,,140,11,2
20,A M T D IDEA GROUP,"Schwab, TD Ameritrade Confirm $26B All-Stock Merger",1,increase,0.7,0.5,,126,11,2
21,A M T D IDEA GROUP,UPDATE: Schwab To Pay TD Ameritrade 1.0837 Schwab Shares For Each TD Ameritrade Share,1,uncertain,0.7,0.5,,135,12,1
22,A M T D IDEA GROUP,The Charles Schwab Corp. Reports Purchase Of TD Ameritrade In All-Stock Deal Valued At $26B,1,decrease,0.7,0.5,,134,12,0
23,ABERCROMBIE & FITCH CO,Q3 Earnings Preview For Abercrombie & Fitch,1,uncertain,0.5,0.5,,127,12,1
