custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num
0,AGILENT TECHNOLOGIES INC,"Barclays Maintains Overweight on Agilent Technologies, Raises Price Target to $83",1,increase,0.7,0.5,,136,11,2.0
1,APPLIED OPTOELECTRONICS INC,Applied Optoelectronics Sees Q1 Sales $50M-$55M vs $64.6M Estimate,1,decrease,0.8,0.5,,145,12,0.0
2,APPLIED OPTOELECTRONICS INC,"Applied Optoelectronics Q4 EPS $(0.02) Beats $(0.04) Estimate, Sales $58.9M Miss $60.28M Estimate",1,decrease,0.7,0.5,,156,12,0.0
3,APPLIED OPTOELECTRONICS INC,Applied Optoelectronics Q4 Earnings Preview,1,uncertain,0.5,0.5,,131,12,1.0
4,ADICET BIO INC,Aceto shares are trading lower on continued weakness after the company filed for Ch 11 bankruptcy relief and announced the proposed sale of its chemicals business for $338 million.,1,decrease,0.7,0.5,,146,12,0.0
5,ARES COMMERCIAL REAL ESTATE CORP,Ares Commercial Real Q4 Core EPS $0.38 Beats $0.32 Estimate,1,increase,0.8,0.5,,140,11,2.0
6,AGREE REALTY CORP,"Agree Realty Q4 EPS $0.37 Misses $0.40 Estimate, Adj. FFO $0.71, Sales $40.703M Beat $39.72M Estimate",1,decrease,0.7,0.3,,155,12,0.0
7,AEHR TEST SYSTEMS,Aehr Wins Over $2.1M In Orders For WaferPak Contactors And DiePak Carriers,1,increase,0.8,0.5,,136,11,2.0
8,FEDERAL AGRICULTURAL MORT CORP,"Farmer Mac FY18 Core EPS $7.82, Net Interest Income $174.4M",1,increase,0.7,0.5,,144,11,2.0
9,FEDERAL AGRICULTURAL MORT CORP,"Farmer Mac FY18 Core EPS $7.82, Net Interest Income $174.4M",1,increase,0.7,0.5,,144,11,2.0
10,ARMADA HOFFLER PROPERTIES INC,Armada Hoffler Properties Raises Qtr. Dividend From $0.20 To $0.21/Share,1,increase,0.7,0.2,,142,11,2.0
11,AIR LEASE CORP,"Air Lease Q4 Adj. EPS $1.65 Beats $1.23 Estimate, Sales $449.981M Miss $454.62M Estimate",1,increase,0.7,0.2,,145,11,2.0
12,ALBEMARLE CORP,Albemarle Shares Unaffected As Jefferies Cuts Price Target From $150 To $137 In Mid-Day Note; Maintains Buy Rating,1,decrease,0.7,0.2,,146,12,0.0
13,ALAMO GROUP INC,Alamo Group Inc. To Acquire Dutch Power Company In The Netherlands; Terms Not Disclosed,1,increase,0.6,0.4,,132,11,2.0
14,AMERICAN HOMES 4 RENT,"American Homes 4 Rent Q4 EPS $0.06 Beats $0.05 Estimate, Core FFO $0.28, Sales $270.3M Beat $270.04M Estimate",1,increase,0.7,0.5,,158,11,2.0
15,APOLLO GLOBAL MANAGEMENT INC NEW,"Doublepoint Energy In Talks With Banks To Explore Possible $5B Sale; Jefferies, Apollo Global Tickered In Headline",1,increase,0.7,0.5,,145,11,2.0
16,ASGN INC,"ASGN Segment, ECS, Named One Of Five Prime Awardees Of $70M US Mint Digital Services Contract",1,increase,0.7,0.5,,132,11,2.0
17,ASTRONICS CORP,Astronics Sees FY19 Sales $760M-$805M vs $827.5M Estimate,1,decrease,0.8,0.5,,136,12,0.0
18,ASTRONICS CORP,"Astronics Q4 EPS $0.37 Beats $0.36 Estimate, Sales $202.917M Beat $195.09M Estimate",1,increase,0.8,0.5,,145,11,2.0
19,AVALONBAY COMMUNITIES INC,"Citigroup Downgrades AvalonBay Communities to Neutral, Raises Price Target to $205",1,decrease,0.7,0.2,,139,12,0.0
20,AMERICAN WATER WORKS CO INC,"Bank of America Reiterates Neutral on American Water Works Co, Raises Price Target to $103",1,increase,0.7,0.2,,137,11,2.0
21,AMERICAN WATER WORKS CO INC,"Wells Fargo Maintains Outperform on American Water Works Co, Raises Price Target to $109",1,increase,0.7,0.5,,137,11,2.0
22,BANK OF AMERICA CORP,Podcast: 5 Surprising Investing Moves Buffett Made As Stocks Fell,1,uncertain,0.6,0.2,,129,12,1.0
23,BELDEN INC NEW,Longbow Research Downgrades Belden to Neutral,1,decrease,0.7,0.5,,122,12,0.0
24,BEL FUSE INC,"Bel Fuse Q4 Adj. EPS $0.37 Up From $(0.09) YoY, Sales $142.734M Up From $119.94M YoY",1,increase,0.8,0.5,,148,11,2.0
25,BUNGE LTD,"Bunge Q4 EPS $0.08 May Not Compare To $0.20 Estimate, Sales $11.543B Miss $11.75B Estimate",1,decrease,0.8,0.5,,144,12,0.0
26,BAIDU INC,Baidu Sees Q1 Sales $3.62B-$3.60B vs $3.55B Est.,1,increase,0.7,0.5,,136,11,2.0
27,BAIDU INC,"Baidu Q4 Adj. EPS $1.92 Beats $1.82 Estimate, Sales $3.96B Beat $3.87B Estimate",1,increase,0.8,0.5,,143,11,2.0
28,BAIDU INC,Baidu To Report Q4 Earnings after The Closing Bell; Co. Historically Issues Its Report Around 4:30 p.m. ET,1,uncertain,0.6,0.5,,139,12,1.0
29,BIOGEN INC,Biogen shares are trading lower after Stifel Nicolaus downgraded the company's stock from Buy to Hold and lowered its price target from $397 to $346 per share.,1,decrease,0.8,0.5,,144,12,0.0
30,BIOGEN INC,"Stifel Nicolaus Downgrades Biogen to Hold, Lowers Price Target to $346",1,decrease,0.7,0.5,,129,12,0.0
31,BLUEBIRD BIO INC,"bluebird bio Q4 EPS $(2.72) Beats $(2.86) Estimate, Sales $19.24M Beat $8.12M Estimate",1,increase,0.7,0.5,,146,11,2.0
32,BIOMARIN PHARMACEUTICAL INC,"Biomarin Pharmaceutical Q4 GAAP EPS $(0.03), Adj. Net Loss $10.8M, Sales $353.214M Miss $379.79M Estimate",1,decrease,0.8,0.5,,161,12,0.0
33,BRISTOL MYERS SQUIBB CO,Bristol-Myers Squibb Option Alert: Mar 1 $54 Calls Sweep (31) near the Ask: 753 @ $1.055 vs 521 OI; Ref=$52.51,1,increase,0.7,0.5,,165,11,2.0
34,BRADY CORP,Brady Raises FY19 EPS Guidance From $2.20-$2.30 To $2.25-$2.35 vs $2.28 Estimate,1,increase,0.7,0.5,,145,11,2.0
35,BRADY CORP,"Brady Q2 EPS $0.55 Beats $0.52 Estimate, Sales $282.426M Miss $286.11M Estimate",1,decrease,0.7,0.4,,143,12,0.0
36,COMPANIA DE MINAS BV SA,"Buenaventura Mining Co Q4 EPS $(0.29) vs $0.03 In Same Qtr. Last Year, Sales $256M Miss $277M Estimate",1,decrease,0.7,0.5,,153,12,0.0
37,BOYD GAMING CORP,Boyd Sees FY19 Adj. EBITDAR $885M-$910M,1,increase,0.7,0.5,,132,11,2.0
38,BOYD GAMING CORP,"Boyd Gaming Q4 EPS $0.32 Misses $0.33 Estimate, Sales $791.6M Beat $770.96M Estimate",1,decrease,0.7,0.2,,147,12,0.0
39,CHEESECAKE FACTORY INC,"Cheesecake Factory's Q4 Print, 2019 Guidance Fails To Turn 2 Analysts Bullish",1,decrease,0.8,0.5,,142,12,0.0
40,COGENT COMMUNICATIONS HLDS INC,Cogent Communications Raises Qtr. Dividend From $0.56 To $0.58/Share,1,increase,0.7,0.2,,142,11,2.0
41,COGENT COMMUNICATIONS HLDS INC,"Cogent Communications Q4 EPS $0.16 Misses $0.18 Estimate, Sales $132.049M Miss $132.73M Estimate",1,decrease,0.7,0.5,,153,12,0.0
42,CENTURY ALUMINUM CO,"Century Aluminum Q4 EPS $(0.43) Beats $(0.53) Estimate, Sales $486.9M Miss $488.99M Estimate",1,decrease,0.7,0.4,,147,12,0.0
43,CINEMARK HOLDINGS INC,A Look Ahead At Cinemark Holdings' Earnings,1,uncertain,0.5,0.5,,125,12,1.0
44,CONSOLIDATED COMMS HLDGS INC,"Consolidated Q4 Adj. EPS $(0.09) Beats $(0.12) Estimate, Sales $344.75M Beat $340.9M Estimate",1,increase,0.7,0.5,,158,11,2.0
45,COMMSCOPE HOLDING CO INC,"CommScope Sees Q1 Adj. EPS $0.41-$0.46 vs $0.43 Estimate, Sales $1.055B-$1.105B vs $1.07B Est.",1,increase,0.7,0.5,,160,11,2.0
46,COMMSCOPE HOLDING CO INC,"CommScope Holding Q4 EPS $0.51 Beats $0.43 Estimate, Sales $1.06B Inline",1,increase,0.7,0.5,,142,11,2.0
47,COPA HOLDINGS SA,"Copa Airlines Reports Has Selected GE Aviation For Digital Records Mgmt., No Terms Disclosed",1,uncertain,0.6,0.2,,132,12,1.0
48,CAMPBELL SOUP CO,"Campbell Soup Reports Deal To Sell Campbell Fresh Plan To Joshua Green, No Terms Disclosed",1,uncertain,0.6,0.3,,134,12,1.0
49,COPART INC,Copart shares are trading higher after the company beat Q2 EPS estimates.,1,increase,0.8,0.5,,124,11,2.0
50,CATALYST PHARMACEUTICALS INC,"Bernie Sanders Says ""If Catalyst Is Unwilling To Address The Concerns I Have Raised"", Will Ask FDA Commissioner Gottlieb To Act Immediately'",1,decrease,0.7,0.5,,153,12,0.0
51,CATALYST PHARMACEUTICALS INC,Catalyst Pharmaceuticals Responds To Letter From Senator Bernie Sanders,1,uncertain,0.6,0.3,,135,12,1.0
52,COMSTOCK RESOURCES INC,"Comstock Resources Q4 EPS $0.35 Beats $0.33 Estimate, Sales $153.498M Beat $142.55M Estimate",1,increase,0.8,0.5,,146,11,2.0
53,C P I AEROSTRUCTURES INC,CPI Aeorstructures Reports Its WMI Subsidiary Received $700K Order From US Air Force Materiel Command For Electrical Relay Boxes For A-10 Aircraft,1,increase,0.7,0.5,,157,11,2.0
54,CYTOKINETICS INC,"Cytokinetics Q4 EPS $(0.48) Beats $(0.52) Estimate, Sales $9.377M Beat $3.94M Estimate",1,increase,0.7,0.5,,148,11,2.0
55,CYTOKINETICS INC,"Amgen, Cytokinetics Report METEORIC-HF Second Phase 3 Trial Of Omecamtiv Mecarbil Is Open For Enrollment",1,increase,0.7,0.5,,145,11,2.0
56,DATA I O CORP,"Data I/O Q4 EPS $0.08 Beats $(0.02) Estimate, Sales $7.9M Beat $6.7M Estimate",1,increase,0.8,0.5,,145,11,2.0
57,DIAMOND HILL INVESTMENT GRP INC,"Diamond Hill Investment Q4 EPS $1.37 Down From $3.43 YoY, Sales $34.446M Down From $37.753M YoY",1,decrease,0.8,0.5,,158,12,0.0
58,DINE BRANDS GLOBAL INC,Dine Brands Raises Qtr. Dividend From $0.63 To $0.69/Share; Reports $200M Buyback,1,increase,0.75,0.1,,143,11,2.0
59,DINE BRANDS GLOBAL INC,"Dine Brands Sees FY19 Adj. EPS $6.90-$7.20 vs $6.93 Estimate, Adj. EBITDA $268M-$277M",1,increase,0.7,0.5,,150,11,2.0
60,DINE BRANDS GLOBAL INC,"DineEquity Q4 EPS $1.70 Beats $1.57 Estimate, Sales $214.198M Beat $194.99M Estimate",1,increase,0.8,0.5,,147,11,2.0
61,DIGIMARC CORP NEW,"Digimarc Q4 EPS $(0.70) Beats $(0.75) Estimate, Sales $5.2M Miss $5.21M Estimate",1,decrease,0.7,0.2,,148,12,0.0
62,DOMINOS PIZZA INC,"From Domino's Q4 Earnings Conference Call: Domestic, Int'l. Comps Were Negatively Impacted By Calendar Shift, Q4'18 Did Not Include New Year's Eve; Sees Q1'19 Being Positively Impacted By Same Calendar Shift",1,increase,0.7,0.5,,170,11,2.0
63,DOMINOS PIZZA INC,"Domino's Pizza shares are trading lower after the company reported worse than expected Q4 EPS, revenue and same store sales.",1,decrease,0.9,0.7,,142,12,0.0
64,DOMINOS PIZZA INC,"Domino's Pizza Sees 3-5 Year Outlook For Global Retail Sales Growth 8-12%, US Comps Growth 3-6%",1,increase,0.7,0.5,,148,11,2.0
65,DOMINOS PIZZA INC,"Domino's Pizza Q4 EPS $2.62 Misses $2.70 Estimate, Sales $1.082B Miss $1.1B Estimate",1,decrease,0.7,0.5,,150,12,0.0
66,D T E ENERGY CO,Ford Reports Will Procure Locally-Sourced Michigan Wind Energy Through Collaboration With DTE Energy,1,increase,0.7,0.5,,132,11,2.0
67,DEVON ENERGY CORP NEW,"MKM Partners Maintains Buy on Devon Energy, Raises Price Target to $35",1,increase,0.7,0.5,,132,11,2.0
68,DEXCOM INC,"DexCom Q4 Adj. EPS $0.54 May Not Compare To $0.17 Estimate, Sales $338M Beat $299.67M Estimate",1,increase,0.8,0.5,,144,11,2.0
69,EMERGENT BIOSOLUTIONS INC,"Emergent BioSolutions Q4 EPS $0.75 Beats $0.62 Estimate, Sales $270.7M Beat $270.4M Estimate",1,increase,0.75,0.2,,149,11,2.0
70,EAGLE POINT CREDIT CO INC,"Eagle Point Credit Company Inc. Common Stock Q4 GAAP EPS $(3.62), Net Investment Income $0.38 vs $0.41 Estimate, Net Asset Value $12.40/Share",1,decrease,0.7,0.5,,160,12,0.0
71,CONSOLIDATED EDISON INC,"Consolidated Edison Q4 EPS $0.77 Beats $0.75 Estimate, Sales $2.949B Beat $2.88B Estimate",1,increase,0.8,0.5,,151,11,2.0
72,ELDORADO GOLD CORP NEW,Eldorado Gold FY18 Adj. EPS $(0.17) vs $0.10 In FY17,1,decrease,0.8,0.5,,142,12,0.0
