custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num
0,ASTRAZENECA PLC,"Fasenra Approved in the US for Self-administration in a New Pre-filled Auto-injector, the Fasenra Pen",1,positive,0.9,0.8,,129,11,2
1,BANK OF AMERICA CORP,"Morgan Stanley Maintains Overweight on Bank of America, Lowers Price Target to $31",1,neutral,0.8,0.5,,121,11,1
2,BIG LOTS INC,Big Lots Option Alert: Oct 18 $22.5 Calls Sweep (5) near the Ask: 620 @ $0.398 vs 640 OI; Ref=$21.24,1,neutral,0.5,0.2,,138,11,1
3,BIG LOTS INC,Big Lots Option Alert: Oct 18 $22.5 Calls Sweep (18) near the Ask: 600 @ $0.4 vs 640 OI; Ref=$21.2,1,neutral,0.7,0.3,,138,11,1
4,BANK OF NEW YORK MELLON CORP,"Morgan Stanley Maintains Underweight on Bank of New York Mellon, Lowers Price Target to $40",1,negative,0.9,0.7,,129,11,0
5,BURLINGTON STORES INC,Canada Goose Holdings Get Small Spike As Traders Circulate Unconfirmed Chatter Indicating Burlington Stores Has Approached The Company With An M&A Offer,1,positive,0.8,0.6,,131,11,2
6,FIRST BUSEY CORP,"B. Riley Maintains Neutral on First Busey, Lowers Price Target to $27",1,neutral,0.8,0.3,,122,11,1
7,BLACKSTONE INC,Jon Najarian Sees Unusual Options Activity In Blackstone And Luckin Coffee,1,neutral,0.7,0.3,,113,11,1
8,C F INDUSTRIES HOLDINGS INC,"Stifel Nicolaus Maintains Hold on CF Industries Holdings, Lowers Price Target to $46",1,negative,0.8,0.6,,124,11,0
9,CHEGG INC,"BMO Capital Maintains Outperform on Chegg, Lowers Price Target to $35",1,neutral,0.7,0.4,,115,11,1
10,COHERUS BIOSCIENCES INC,Coherus Biosciences shares are trading higher. Not seeing any news to justify price action.,1,neutral,0.7,0.3,,124,11,1
11,CHARTER COMMUNICATIONS INC NEW,Charter Communications shares are trading higher after KeyBanc upgraded the stock from Sector Weight to Overweight and announced a price target of $515 per share.,1,positive,0.9,0.8,,137,11,2
12,CHARTER COMMUNICATIONS INC NEW,"KeyBanc Upgrades Charter Communications On Price Hike, Broadband Potential",1,positive,0.9,0.7,,121,11,2
13,CHARTER COMMUNICATIONS INC NEW,"Citigroup Maintains Buy on Charter Communications, Raises Price Target to $483",1,positive,0.9,0.7,,122,11,2
14,CHARTER COMMUNICATIONS INC NEW,"KeyBanc Upgrades Charter Communications to Overweight, Announces $515 Price Target",1,positive,0.9,0.8,,123,11,2
15,COMERICA INC,"B. Riley Maintains Neutral on Comerica, Lowers Price Target to $65",1,negative,0.8,0.6,,114,11,0
16,COMCAST CORP NEW,"Citigroup Maintains Buy on Comcast, Raises Price Target to $56",1,positive,0.9,0.7,,115,11,2
17,CONSOLIDATED COMMS HLDGS INC,Consolidated Communications shares are trading lower despite no company-specific news. The stock has dropped approximately 17% in the last 5 days.,1,negative,0.9,0.7,,139,11,0
18,CALLON PETROLEUM CO DEL,"Morgan Stanley Maintains Equal-Weight on Callon Petroleum, Lowers Price Target to $4.75",1,negative,0.8,0.6,,126,11,0
19,SALESFORCE INC,"UK's Competition And Markets Authority Says Is Considering If Salesforce, Tableau Deal Resulted In A Lessening Of Competition Within UK",1,negative,0.8,0.6,,123,11,0
20,C S X CORP,A Peek Into The Markets: US Stock Futures Fall; All Eyes On Jobs Data,1,neutral,0.8,0.1,,117,11,1
21,C S X CORP,"JP Morgan Downgrades CSX to Neutral, Lowers Price Target to $76",1,negative,0.9,0.7,,118,11,0
22,CYTOSORBENTS CORP,CytoSorbents Reports Removal Of Ticagrelor Intraoperatively Results In Expected Cost Savings Of ~$5K Per Patient,1,positive,0.8,0.7,,132,11,2
23,CYTOKINETICS INC,Cytokinetics Highlights Presentation Of Added Analyses From FORTITUDE-ALS At NEALS Meeting,1,positive,0.8,0.7,,122,11,2
24,D B V TECHNOLOGIES S A,"DBV Technologies Shares Resume Trade, Up 12%",1,positive,0.9,0.8,,117,11,2
25,D B V TECHNOLOGIES S A,DBV Technologies To Resume Trade At 12:15 a.m. EDT,1,neutral,0.7,0.2,,122,11,1
26,D B V TECHNOLOGIES S A,"DBV Technologies Announces FDA Acceptance Of BLA filing For Viaskin Peanut For The Treatment Of Peanut Allergy; Target Action Date Provided By FDA Is Aug. 5, 2020",1,positive,0.9,0.8,,144,11,2
27,D B V TECHNOLOGIES S A,"DBV Technologies Shares Halted, News Pending",1,neutral,0.7,0.2,,116,11,1
28,DISH NETWORK CORP,"Citi Maintains Buy on DISH Network, Lowers Price Target to $40",1,positive,0.7,0.4,,118,11,2
29,DISH NETWORK CORP,Sportradar Announces Partnership With DISH to Become the Company's Official Sports Data Provider,1,positive,0.9,0.7,,118,11,2
30,DOMINOS PIZZA INC,"Wedbush Likes Domino's Pizza, Says Pressure From Third-Party Delivery Is 'Unsustainable'",1,positive,0.8,0.7,,124,11,2
31,DOMINOS PIZZA INC,UPDATE: Wedbush On Domino's Also Notes 'The health of DPZ's domestic system can withstand a near-term challenge as management executes an offensive strategy',1,positive,0.8,0.6,,136,11,2
32,DOMINOS PIZZA INC,"UPDATE: Wedbush Initiates Domino's With Outperform, Announces $280 Target As Firm Views Current Economics Of Third Party Delivery 'as unsustainable beyond the near-term from the point of view of both restaurants and third party marketplaces'",1,positive,0.9,0.8,,151,11,2
33,DOMINOS PIZZA INC,"Wedbush Initiates Coverage On Domino's Pizza with Outperform Rating, Announces $280 Price Target",1,positive,0.9,0.8,,125,11,2
34,DEVON ENERGY CORP NEW,"Morgan Stanley Maintains Equal-Weight on Devon Energy, Lowers Price Target to $27",1,negative,0.8,0.6,,121,11,0
35,ELECTRONIC ARTS INC,Electronic Arts Says Implemented Fix Related To FIFA 20 Global Series Registration Page Issue,1,neutral,0.8,0.3,,119,11,1
36,EQUIFAX INC,6 Tips For Cancelling A Bank Account,1,neutral,0.9,0.0,,107,11,1
37,8X8 INC NEW,8x8 shares are trading lower despite no company-specific news. The stock has dropped approximately 26% over the last month.,1,negative,0.8,0.7,,128,11,0
38,EMCOR GROUP INC,"EMCOR Reports Purchase Of Batchelor & Kimball In All-Cash Deal, No Terms Disclosed",1,positive,0.8,0.6,,120,11,2
39,EOG RESOURCES INC,"Morgan Stanley Maintains Equal-Weight on EOG Resources, Lowers Price Target to $95",1,negative,0.8,0.6,,120,11,0
40,EQUINIX INC,Equinix Reports Purchase Of 3 Data Centers From Axtel For $175M In Cash,1,positive,0.8,0.7,,119,11,2
41,EMBRAER S A,Boeing Shares Edge Lower; Hearing Co. Faces In-Depth EU Probe Into Its Embraer Deal,1,negative,0.8,0.7,,123,11,0
42,ISHARES INC,CAN Ivey PMI for Sep 48.7 vs 60.6 Prior,1,negative,0.8,0.7,,115,11,0
43,ISHARES INC,Nikkei Survey Shows A Quarter Of Japanese Companies Want To Cut China Risk,1,neutral,0.5,0.2,,114,11,1
44,ISHARES TRUST,"Spain's Acting Ag Minister Says US Tariffs On Ag, Food Sectors Are 'Unacceptable'",1,negative,0.8,0.6,,118,11,0
45,ISHARES TRUST,'Glasgow Airport partially evacuated amid 'concerns' over cargo' -Earlier Metro Article,1,neutral,0.9,0.1,,118,11,1
46,ISHARES TRUST,"Hearing Court Docs Show UK Gov't. Will Send A Letter To EU Asking For Brexit Extension If No Deal By Oct. 19, 2019",1,neutral,0.8,0.2,,130,11,1
47,ISHARES TRUST,Spokesperson For UK Prime Minister Johnson Says 'We Are Ready To Talk At Any Point Including Over The Weekend',1,neutral,0.9,0.0,,121,11,1
48,EXELIXIS INC,Exelixis shares are trading lower despite no company-specific news. The stock has dropped approximately 15% over the past month.,1,negative,0.8,0.7,,127,11,0
49,DIAMONDBACK ENERGY INC,"Morgan Stanley Maintains Overweight on Diamondback Energy, Lowers Price Target to $131",1,neutral,0.7,0.3,,123,11,1
50,FEDEX CORP,UPS To Invest $220 Million In Louisville Maintenance Hangar,1,negative,0.8,0.6,,110,11,0
51,PHOENIX NEW MEDIA LTD,Phoenix New Media Offers Update On Proposed Sale Of Investment In Yidian: 2 Shareholders Of Particle Notified Co. Of Intention To Exercise Co-Sale Rights Related To 16M Particle Shares For Total Price Of RMB240M,1,neutral,0.7,0.4,,152,11,1
52,FIVE BELOW INC,William Blair Initiates Coverage On Five Below with Outperform Rating,1,positive,0.9,0.8,,109,11,2
53,AMICUS THERAPEUTICS INC,"Amicus Therapeutics shares are trading lower. NOTE: the stock saw increased volatility after the company announced ""positive"" data in Pompe Disease Phase 1/2 study of AT-GAA on October 2nd.",1,neutral,0.7,0.5,,151,11,1
54,FULTON FINANCIAL CORP PA,"Fulton Financial 8-K Shows Co. Received Letter From Dept. Of Justice Indicated Completion Of Review Of Possible Discriminatory Lending by Fulton Under Fair Housing Act, Determined Circumstances Do Not Require Enforcement Action",1,positive,0.9,0.7,,153,11,2
55,FORWARD AIR CORP,"Transplace's McGuigan, Schneider's Rourke, Forward Air's Campbell Highlight Back-To-Back Discussions At FreightWaves LIVE Chicago",1,neutral,0.7,0.3,,130,11,1
56,GENERAL DYNAMICS CORP,"UPDATE: Exela, General Dynamics Contracts For VA Program Have Maximum Potential Value $900M Over 5 Years",1,positive,0.9,0.8,,125,11,2
57,GENERAL DYNAMICS CORP,"Exela, General Dynamics Report Co.'s Selected By US Dept. Of Veterans Affairs To Provide Services Under VA's New $2B Veterans Intake, Conversion, Communication Services Program",1,positive,0.9,0.7,,138,11,2
58,GENETIC TECHNOLOGIES LTD,Genetic Technologies to Issue Up to 1.13B Fully Paid Ordinary Shares @ A$0.004/New Ordinary Share,1,negative,0.8,0.6,,130,11,0
59,GEO GROUP INC NEW,The GEO Group Option Alert: Jan 17 $15 Puts at the Bid: 1200 @ $1.351 vs 3160 OI; Earnings 11/6 Before Open [est] Ref=$15.76,1,negative,0.7,0.5,,146,11,0
60,GEVO INC,EPA Official Says Increases To Biofuel Mandates To Be Informed By Waived Amounts From Last Three Compliance Years,1,neutral,0.7,0.3,,121,11,1
61,GEVO INC,"'New White House Ethanol Plan Revealed, More Details Expected' -Michigan Ag Today",1,positive,0.8,0.7,,115,11,2
62,GILEAD SCIENCES INC,Gilead Highlights New Data From HIV Clinical Development Program At IDWeek,1,positive,0.8,0.7,,117,11,2
63,BARRICK GOLD CORP,Barrick Gold shares are trading higher after National Bank Financial initiated coverage on the company's stock with an Outperform rating.﻿,1,positive,0.9,0.8,,126,11,2
64,H D F C BANK LTD,"Top 10 Most Oversold Stocks Via Benzinga Pro's Screener Tool For Fri., October 04, 2019",1,negative,0.8,0.6,,128,11,0
65,HERON THERAPEUTICS INC,Heron Therapeutics Late Thursday Priced 8.571M Shares At $17.50/Share,1,neutral,0.7,0.5,,128,11,1
66,HUB GROUP INC,"JP Morgan Upgrades Hub Group to Overweight, Raises Price Target to $60",1,positive,0.9,0.8,,113,11,2
67,INTERCONTINENTALEXCHANGE GRP INC,"Wells Fargo Maintains Market Perform on Intercontinental Exchange, Raises Price Target to $95",1,neutral,0.8,0.3,,127,11,1
68,JABIL INC,Apple's Stock Higher On Reports Of 'Much Busier' iPhone 11 Demand,1,positive,0.8,0.6,,114,11,2
69,JABIL INC,"Bank of America Reiterates Neutral on Jabil, Raises Price Target to $37",1,neutral,0.8,0.5,,114,11,1
70,KINDER MORGAN INC,Kinder Morgan Reports Commercial In Service Of First Unit At Elba Island Facility,1,positive,0.9,0.8,,115,11,2
71,LIBERTY BROADBAND CORP,"Citigroup Initiates Coverage On Liberty Broadband with Buy Rating, Announces $125 Price Target",1,positive,0.9,0.8,,124,11,2
72,LATTICE SEMICONDUCTOR CORP,Lattice Semiconductor Option Alert: Dec 20 $25 Calls Sweep (33) near the Ask: 1000 @ $0.5 vs 128 OI; Earnings 10/24 After Close [est] Ref=$18.9099,1,positive,0.7,0.6,,159,11,2
73,SOUTHWEST AIRLINES CO,5 Easy Ways To Plan A Vacation On A Budget,1,neutral,0.8,0.2,,111,11,1
74,MASTERCARD INC,"U.S. Helps Mastercard, Visa Score Victory in Indonesia in Global Lobbying Effort",1,positive,0.9,0.8,,118,11,2
75,MANHATTAN ASSOCIATES INC,PreMarket Prep Recap: All About The Jobs Number,1,neutral,0.8,0.0,,116,11,1
76,MANNKIND CORP,MannKind shares are trading higher on above-average volume despite no company-specific news.,1,positive,0.8,0.6,,119,11,2
77,ALTRIA GROUP INC,Oregon Governor Kate Brown Issues Temporary Ban On Flavored Vaping Products,1,negative,0.8,0.7,,115,11,0
78,ALTRIA GROUP INC,Investigators Focusing On 'Dank' Brand Vape Cartridge As Possible Cause Of Lung Illnesses,1,negative,0.8,0.7,,120,11,0
79,MOSAIC CO NEW,"Stifel Nicolaus Maintains Hold on Mosaic, Lowers Price Target to $23",1,negative,0.8,0.6,,118,11,0
80,MARATHON OIL CORP,"Morgan Stanley Maintains Equal-Weight on Marathon Oil, Lowers Price Target to $15",1,negative,0.8,0.6,,123,11,0
81,MARVELL TECHNOLOGY INC,Marvell Technology Group Option Alert: Oct 25 $26 Calls Sweep (43) near the Ask: 1150 @ $0.211 vs 942 OI; Earnings 12/3 After Close [est] Ref=$24.22,1,neutral,0.7,0.3,,153,11,1
82,MARVELL TECHNOLOGY INC,"Stifel Reinstates Buy on Marvell Technology Group, Announces $29 Price Target",1,positive,0.9,0.7,,120,11,2
83,ARCELORMITTAL S A LUXEMBOURG,ArcelorMittal Option Alert: Jan 17 $16 Calls Sweep (31) near the Ask: 765 @ $0.37 vs 2508 OI; Earnings 10/31 Before Open [est] Ref=$12.89,1,neutral,0.7,0.3,,166,11,1
84,MATADOR RESOURCES CO,Capital One Financial Upgrades Matador Resources to Overweight,1,positive,0.9,0.8,,112,11,2
85,MICROVISION INC WA,"Microvision Shares Spike 13% Over Last Min., Now Up 23% For Session; Traders Circulate Blog Post From 'Ben's MicroVision Blog' 'Apparent MVIS logo on HL2 Prototype PCB board'",1,positive,0.9,0.8,,144,11,2
86,NORDIC AMERICAN TANKERS LTD,Nordic American Tankers shares are trading higher on continued momentum after the stock has increased roughly 30% in the last month.,1,positive,0.9,0.7,,134,11,2
87,NEPTUNE WELLNESS SOLUTIONS INC,Neptune Wellness Solutions Partners With American Media,1,positive,0.8,0.6,,115,11,2
88,NEPTUNE WELLNESS SOLUTIONS INC,Neptune Wellness Solutions Reports Strategic Partnership With American Media; Neptune To Issue To AMI 3M Warrants With Exercise Price At $8/Share,1,positive,0.8,0.7,,137,11,2
89,NETFLIX INC,The Latest Battle In The Streaming Wars: Advertising,1,neutral,0.7,0.3,,108,11,1
90,NETFLIX INC,Netflix Option Alert: Fri $270 Puts Sweep (3) near the Bid: 1200 @ $0.59 vs 1663 OI; Earnings 10/16 After Close Ref=$273.38,1,negative,0.75,0.6,,143,11,0
91,NETFLIX INC,'Exclusive data that predicted Netflix's big Q2 subscriber miss suggests international growth has bounced back' -Business Insider,1,neutral,0.7,0.5,,121,11,1
92,NETFLIX INC,Disney Bans Netflix Ads As Streaming's Marketing Wars Intensify,1,negative,0.8,0.6,,111,11,0
93,NETFLIX INC,Netflix Option Alert: Oct 18 $285 Calls at the Ask: 648 @ $9.6 vs 16962 OI; Earnings 10/16 After Close Ref=$271.61,1,neutral,0.6,0.5,,139,11,1
94,N I O INC,"Goldman Sachs Downgrades NIO to Neutral, Lowers Price Target to $1.47",1,negative,0.9,0.8,,119,11,0
95,SERVICENOW INC,ServiceNow shares are trading higher after on seemingly no company-specific news.,1,positive,0.8,0.5,,114,11,2
96,NORFOLK SOUTHERN CORP,"Snow, Slush, Slow Downs In Northern Rockies",1,neutral,0.8,0.1,,117,11,1
97,NORTHERN TRUST CORP,"Morgan Stanley Maintains Underweight on Northern Trust, Lowers Price Target to $90",1,negative,0.85,0.7,,120,11,0
98,NORTHERN TRUST CORP,"Buckingham Maintains Buy on Northern Trust, Lowers Price Target to $112",1,neutral,0.7,0.3,,119,11,1
99,NOVARTIS A G,"Conatus Pharmaceuticals And Novartis Mutually Agree To Terminate Collaboration Agreement Dated December 19, 2016",1,negative,0.8,0.6,,125,11,0
100,OCCIDENTAL PETROLEUM CORP,"Morgan Stanley Maintains Equal-Weight on Occidental Petroleum, Lowers Price Target to $51",1,negative,0.8,0.6,,125,11,0
101,PALO ALTO NETWORKS INC,Palo Alto Networks Achieves New FedRAMP Milestone For Cortex Offerings,1,positive,0.9,0.8,,121,11,2
102,PETROLEO BRASILEIRO SA PETROBRAS,"Petrobras Will Announce Non-Binding Phase For Sale Of Reman, Lubnor Refineries, Xisto Unit In Coming Weeks",1,neutral,0.7,0.3,,142,11,1
103,PETROLEO BRASILEIRO SA PETROBRAS,Petrobras Has Opened Non-Binding Phase For Sale Of Regap Refinery,1,neutral,0.7,0.3,,132,11,1
104,P G & E CORP,PG&E Says it has Received $34B of Commitments for its Bankruptcy Reorganization,1,positive,0.9,0.8,,120,11,2
105,P G & E CORP,PG&E shares are trading higher after the California Public Utilities Commissions and Safety Enforcement division submitted proposed settlement deal.,1,positive,0.9,0.8,,124,11,2
106,P G & E CORP,"UPDATE: PG&E Settlement Will Create System Enhancements To Include Locate, Mark Ticket Compliance Audits To Verify Categorization Of Timeliness",1,positive,0.8,0.6,,129,11,2
107,P G & E CORP,"PG&E 8-K Shows California Public Utilities Commission's Safety and Enforcement Division, Coalition Of Utilities Employees Jointly Submitted Proposed Settlement Deal",1,neutral,0.7,0.3,,129,11,1
108,PEPSICO INC,Analysts React To PepsiCo's Q3 Beat,1,positive,0.9,0.8,,109,11,2
109,PEPSICO INC,CORRECTION: Credit Suisse Raised Price Target On Pepsi To $126; A prior headline incorrectly suggested the price target was lowered.,1,positive,0.9,0.7,,124,11,2
110,PEPSICO INC,"UPDATE: Credit Suisse Maintains Underperform On Pepsi, Raises Target To $126 As Firm Notes 'Despite two home-run innovations (Gatorade Zero, Bubly), volumes have been flat for four quarters. Core CSD brands are declining, despite increased investments'",1,negative,0.8,0.6,,151,11,0
111,PEPSICO INC,"UPDATE: Morgan Stanley Maintains Overweight On Pepsi, Raises Target To $154 As Firm Sees 'superior PEP organic sales growth, and high EPS visibility post a re-base under a new CEO as not fully priced into a discounted valuation vs peers'",1,positive,0.9,0.8,,150,11,2
112,PEPSICO INC,"Morgan Stanley Maintains Overweight on PepsiCo, Raises Price Target to $154",1,positive,0.9,0.8,,115,11,2
113,PEPSICO INC,"BMO Capital Maintains Market Perform on PepsiCo, Raises Price Target to $133",1,neutral,0.8,0.5,,116,11,1
114,PEPSICO INC,"Credit Suisse Maintains Underperform on PepsiCo, Raises Price Target to $126",1,negative,0.8,0.5,,115,11,0
115,PEPSICO INC,"Citigroup Maintains Neutral on PepsiCo, Raises Price Target to $143",1,neutral,0.8,0.5,,114,11,1
116,INSULET CORP,"UBS Downgrades Insulet to Neutral, Raises Price Target to $160",1,neutral,0.8,0.5,,117,11,1
117,P T C THERAPEUTICS INC,PTC Therapeutics Highlights Analysis Showing Translarna™ Slows Disease Progression in Patients with Duchenne Muscular Dystrophy,1,positive,0.9,0.8,,135,11,2
118,PIONEER NATURAL RESOURCES CO,"Morgan Stanley Maintains Overweight on Pioneer Natural Resources, Lowers Price Target to $167",1,neutral,0.7,0.5,,125,11,1
119,RINGCENTRAL INC,Mid-Afternoon Market Update: Dow Surges Over 300 Points; Avaya Shares Gain Following Deal With RingCentral,1,positive,0.9,0.7,,125,11,2
120,RINGCENTRAL INC,"Morgan Stanley Maintains Equal-Weight on RingCentral, Raises Price Target to $140",1,neutral,0.8,0.5,,118,11,1
121,RINGCENTRAL INC,RingCentral shares are trading higher after the company announced a partnership with Avaya in which RingCentral will have access to sell its services to Avaya's 100 million users.,1,positive,0.9,0.8,,135,11,2
122,RINGCENTRAL INC,Avaya Rallies Following Deal With RingCentral,1,positive,0.9,0.8,,111,11,2
123,RANGE RESOURCES CORP,"Morgan Stanley Maintains Underweight on Range Resources, Lowers Price Target to $0.75",1,negative,0.9,0.8,,120,11,0
124,RANGE RESOURCES CORP,Credit Suisse Downgrades Range Resources to Neutral,1,negative,0.9,0.7,,110,11,0
125,SABRE CORP,"Sabre Corp. Reports Grupo CDV Selected Co. To Provide Technology For Travel Agencies In Spain, No Terms Disclosed",1,positive,0.8,0.6,,123,11,2
126,BOSTON BEER INC,"UBS Upgrades Boston Beer Co to Neutral, Raises Price Target to $390",1,positive,0.9,0.7,,119,11,2
127,ECHOSTAR CORP,"Citigroup Downgrades EchoStar to Neutral, Lowers Price Target to $44",1,negative,0.85,0.7,,120,11,0
128,SEACOAST BANKING CORP FLA,"B. Riley Maintains Buy on Seacoast Banking, Lowers Price Target to $29",1,neutral,0.8,0.5,,128,11,1
129,SKYWEST INC,"SkyWest Reports September Departures Up 6.3% YoY, Passengers Up 7.3% YoY",1,positive,0.9,0.7,,124,11,2
130,STMICROELECTRONICS NV,10 Technology Stocks Moving In Friday's Pre-Market Session,1,neutral,0.5,0.1,,118,11,1
131,STRATUS PROPERTIES INC,Stratus Properties Reports Closed $75M Loan With ACRC Lender To Refinance The Santal,1,positive,0.8,0.6,,121,11,2
132,CONSTELLATION BRANDS INC,Analysts Think Constellation's Beer Bash Will Keep The Party Going,1,positive,0.9,0.8,,117,11,2
133,CONSTELLATION BRANDS INC,Analysts Think Constellation's Beer Bash Will Keep The Party Going,1,positive,0.9,0.8,,117,11,2
134,CONSTELLATION BRANDS INC,"Morgan Stanley Maintains Equal-Weight on Constellation Brands, Lowers Price Target to $214",1,negative,0.8,0.5,,123,11,0
135,CONSTELLATION BRANDS INC,"Morgan Stanley Maintains Equal-Weight on Constellation Brands, Lowers Price Target to $214",1,neutral,0.7,0.3,,123,11,1
136,CONSTELLATION BRANDS INC,"Credit Suisse Maintains Outperform on Constellation Brands, Lowers Price Target to $228",1,neutral,0.7,0.4,,122,11,1
137,CONSTELLATION BRANDS INC,"Credit Suisse Maintains Outperform on Constellation Brands, Lowers Price Target to $228",1,neutral,0.7,0.4,,122,11,1
138,SOUTHWESTERN ENERGY CO,"Morgan Stanley Maintains Underweight on Southwestern Energy, Lowers Price Target to $1.5",1,negative,0.9,0.8,,120,11,0
139,SYSCO CORP,Sysco Announces Additional Product Offerings,1,positive,0.8,0.6,,106,11,2
140,TIDEWATER INC NEW,"Husky Energy Reports Deal To Sell Prince George Refinery To Tidewater For $215M In Cash Plus Closing Adjustment For Inventory, Contingent Payment Of $60M Over 2 Years",1,positive,0.85,0.7,,142,11,2
141,TARGET CORP,The Walt Disney Company Launches Disney Store In 25 TAaget Locations,1,positive,0.9,0.8,,111,11,2
142,THERMO FISHER SCIENTIFIC INC,Thermo Fisher Scientific shares are trading higher. Not seeing any news to justify the price action.,1,positive,0.7,0.5,,129,11,2
143,T MOBILE U S INC,"Three Of Five FCC Commissioners Vote To Approve $26.5Billion Sprint, T-mobile Tie-Up",1,positive,0.9,0.8,,122,11,2
144,T MOBILE U S INC,"Hearing FCC Decision In T-Mobile, Sprint Deal Set For Oct. 9 Or 16",1,neutral,0.8,0.3,,120,11,1
145,TANDEM DIABETES CARE INC,Tandem Diabetes Care shares are trading higher after UBS upgraded the stock from Neutral to Buy and announced a price target of $75 per share.,1,positive,0.9,0.8,,133,11,2
146,TANDEM DIABETES CARE INC,"UBS Upgrades Tandem Diabetes Care to Buy, Announces $75 Price Target",1,positive,0.9,0.8,,121,11,2
147,TEEKAY TANKERS LTD,Teekay Tankers shares are trading higher. Not seeing any news to justify the price action.,1,positive,0.7,0.5,,124,11,2
148,THOMSON REUTERS CORP,Thomson Reuters Acquires FC Business Intelligence; Financial Terms Not Disclosed,1,positive,0.8,0.6,,120,11,2
149,TRINITY INDUSTRIES INC,Trinity Industries shares are trading lower. Not seeing any news to justify the price action.,1,negative,0.8,0.5,,120,11,0
150,TESLA INC,Got A Portfolio That Can't Be Beat? Webull Will Give You A Tesla Or Pay Down Your Student Loans If You Prove It,1,neutral,0.7,0.3,,123,11,1
151,TESLA INC,'Tesla's software update that resulted in battery capacity loss is under probe by NHTSA' -Electrek,1,negative,0.9,0.7,,120,11,0
152,TESLA INC,US Auto Safety Regulators Reviewing Petition Suggesting 2K Tesla Vehicles Could Be Prone To Battery Fires,1,negative,0.8,0.7,,118,11,0
153,TESLA INC,'Tesla is developing a bezel-less display technology with 'holographic' feature' -Electrek,1,positive,0.9,0.8,,118,11,2
154,TESLA INC,"''There's absolutely no reason to own' Tesla in the near term, says wealth manager' -CNBC",1,negative,0.9,0.8,,118,11,0
155,TAIWAN SEMICONDUCTOR MFG CO LTD,Taiwan Semiconductor Expected to Post Record 2019 Revenues,1,positive,0.9,0.8,,125,11,2
156,TAIWAN SEMICONDUCTOR MFG CO LTD,Taiwan Semiconductor 7nm Process Attracts Multiple Orders for AI Processors,1,positive,0.9,0.8,,129,11,2
157,TEXAS ROADHOUSE INC,"UPDATE: Barclays On Texas Road House Also Notes 'difficult compares, slowing unit growth, and rising costs (both labor & commodities) that will pressure restaurant margins for the foreseeable future'",1,negative,0.9,0.8,,137,11,0
158,TEXAS ROADHOUSE INC,"UPDATE: Barclays Downgrades Texas Road House To Equal Weight As Firm Notes 'to be clear, our downgrade is not a short-term call on the upcoming 3Q19 result. Rather, our view is predicated on a more onerous operating environment long-term'",1,negative,0.8,0.6,,154,11,0
159,TEXAS ROADHOUSE INC,"Barclays Downgrades Texas Roadhouse to Equal-Weight, Lowers Price Target to $52",1,negative,0.9,0.8,,122,11,0
160,UNITED STATES NATURAL GAS FD L P,"Baker Hughes Reports Total Rigs Down 5, Oil Rigs Down 3",1,neutral,0.7,0.2,,124,11,1
161,UNITED STATES NATURAL GAS FD L P,EPA To Ensure 15B+ Gallons Of Ethanol Blended Into US Fuel Supply Starting Next Year,1,negative,0.7,0.5,,128,11,0
162,UNITED STATES NATURAL GAS FD L P,"EPA To Propose, Seek Public Comment On Expanding Biofuel Blending Requirements From 2020",1,negative,0.7,0.5,,127,11,0
