custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num
0,AGILENT TECHNOLOGIES INC,"Bank of America Maintains Buy on Agilent Technologies, Inc. Common Stock, Lowers Price Target to $82",1,decrease,0.7,0.4,,133,12,0.0
1,AGILENT TECHNOLOGIES INC,Agilent Technologies shares are trading lower after the company reported worse-than-expected Q2 EPS and sales results; the company also announced weak Q3 sales guidance.,1,decrease,0.8,0.6,,141,12,0.0
2,AGILENT TECHNOLOGIES INC,"Deutsche Bank Maintains Buy on Agilent Technologies, Inc. Common Stock, Lowers Price Target to $85",1,decrease,0.7,0.3,,133,12,0.0
3,AGILENT TECHNOLOGIES INC,"Barclays Maintains Overweight on Agilent Technologies, Inc. Common Stock, Lowers Price Target to $86",1,decrease,0.7,0.4,,134,12,0.0
4,AGILENT TECHNOLOGIES INC,Agilent Technologies shares are trading lower after the company reported worse-than-expected Q2 EPS and sales results; the company also issued Q3 sales guidance below analyst estimates.,1,decrease,0.8,0.6,,143,12,0.0
5,AGILENT TECHNOLOGIES INC,"Agilent Technologies Sees Q3 Adj. EPS $0.71-$0.73 vs $0.73 Est., Sales $1.225B-$1.245B vs $1.27B Est. Sees FY19 Adj. EPS $3.03-$3.07 vs $3.07 Est., Sales $5.085B-$5.125B vs $5.19B Est.",1,decrease,0.8,0.4,,194,12,0.0
6,AGILENT TECHNOLOGIES INC,"Agilent Technologies Q2 Adj. EPS $0.71 Misses $0.72 Estimate, Sales $1.24B Miss $1.27B Estimate",1,decrease,0.8,0.3,,143,12,0.0
7,ALTISOURCE ASSET MANAGEMENT CORP,Altisource Asset Management Q1 EPS $(0.56) Up From $(2.75) YoY,1,increase,0.7,0.4,,134,11,2.0
8,ATLANTIC AMERICAN CORP,"Atlantic American Q1 EPS $0.19 Up From $(0.25) YoY, Sales $55.018M Up From $40.54M YoY",1,increase,0.8,0.6,,144,11,2.0
9,APPLIED OPTOELECTRONICS INC,Applied Optoelectronics Posts Q1 Earnings Miss: What Analysts Have To Say,1,decrease,0.8,0.5,,130,12,0.0
10,APPLIED OPTOELECTRONICS INC,Applied Optoelectronics shares are trading lower after the company reported worse-than-expected Q1 EPS and sales results; the company also issued Q2 EPS and sales guidance below analyst estimates.,1,decrease,0.8,0.6,,151,12,0.0
11,APPLIED OPTOELECTRONICS INC,"Applied Optoelectronics, Inc. - Common Stock Sees Q2 EPS $(0.43)-(0.35) vs $(0.23) Est; Sees Sales $40M-45M vs $52.42M Est",1,decrease,0.8,0.6,,163,12,0.0
12,APPLIED OPTOELECTRONICS INC,"Applied Optoelectronics Q1 EPS $(0.27) Misses $(0.22) Estimate, Sales $52.7M Miss $52.86M Estimate",1,decrease,0.8,0.3,,149,12,0.0
13,APPLIED OPTOELECTRONICS INC,A Preview Of Applied Optoelectronics Q1 Earnings,1,uncertain,0.5,0.2,,125,12,1.0
14,AAON INC,UPDATE: DA Davidson Downgrades AAON To Underperform As Firm Is Concerned 'a bubble is forming in these shares' As 'shares currently trade over 20x 2020 EBITDA and typical premium to peers has meaningfully expanded',1,decrease,0.8,0.6,,150,12,0.0
15,AAON INC,"DA Davidson Downgrades AAON, Inc. - Common Stock to Underperform, Announces $35 Price Target",1,decrease,0.8,0.6,,124,12,0.0
16,AAON INC,"AAON Q1 EPS $0.21 Misses $0.23 Estimate, Sales $113.822M Beat $109.92M Estimate",1,uncertain,0.6,0.2,,132,12,1.0
17,ADVANCE AUTO PARTS INC,"Advance Auto Parts shares are trading higher, despite providing FY19 sales guidance slightly below estimates, after the company reported better-than-expected Q1 EPS and sales results.",1,increase,0.8,0.4,,140,11,2.0
18,ADVANCE AUTO PARTS INC,Advance Auto Parts Sees FY19 Comps Up 1-2.5%,1,increase,0.7,0.3,,124,11,2.0
19,ADVANCE AUTO PARTS INC,Advance Auto Parts Sees FY19 Sales $9.65B-$9.8B vs $9.78B Estimate,1,decrease,0.7,0.3,,133,12,0.0
20,ADVANCE AUTO PARTS INC,"Advance Auto Parts Q1 Adj. EPS $2.46 Beats $2.36 Estimate, Sales $2.952B Beat $2.95B Estimate",1,increase,0.8,0.3,,140,11,2.0
21,ADVANCE AUTO PARTS INC,Q1 Earnings Outlook For Advance Auto Parts,1,uncertain,0.5,0.3,,116,12,1.0
22,ABBVIE INC,AbbVie To Present Results From Several Studies And Clinical Trials Investigating Medicines Across More Than 15 Cancers At The 2019 ASCO And EHA Meetings,1,increase,0.7,0.4,,136,11,2.0
23,ABBVIE INC,"Goldman Sachs Initiates Coverage On AbbVie with Neutral Rating, Announces $84 Price Target",1,uncertain,0.6,0.2,,122,12,1.0
24,ABBVIE INC,AbbVie Reports Study On Depatuxizumab Mafodotin Did Not Meet Primary Endpoint,1,decrease,0.8,0.4,,122,12,0.0
25,ABBVIE INC,MC10 And AbbVie Announce Clinical Trials In Multiple Sclerosis Using The BioStamp nPoint System,1,increase,0.7,0.4,,124,11,2.0
26,ABBVIE INC,AbbVie shares are trading higher after the company settled its HUMIRA patent litigation with Boehringer Ingelheim.,1,increase,0.8,0.5,,126,11,2.0
27,ABBVIE INC,AbbVie Resolves HUMIRA US Patent Litigation With Boehringer Ingelheim; Co. Will Grant BI A Non-Exclusive License To HUMIRA-Related Intellectual Property In US,1,increase,0.7,0.4,,140,11,2.0
28,AMERISOURCEBERGEN CORP,Aurora Cannabis shares are trading lower after the company reported a larger-than-expected decline in Q3 EPS and EBITDA.,1,uncertain,0.4,0.2,,135,12,1.0
29,AMERISOURCEBERGEN CORP,AmerisourceBergen shares are trading higher following a report Raymond James said Walgreens may acquire the company for $95/share.,1,increase,0.8,0.6,,136,11,2.0
30,AMERISOURCEBERGEN CORP,AmerisourceBergen shares are trading higher after the company raised its 2019 EPS expectations.,1,increase,0.8,0.6,,131,11,2.0
31,AMERISOURCEBERGEN CORP,AmerisourceBergen Raises FY19 Adj. EPS Guidance From $6.65-$6.85 To $6.70-$6.90 vs  $6.76 Estimate,1,increase,0.8,0.2,,149,11,2.0
32,AMERISOURCEBERGEN CORP,"AmerisourceBergen Q2 EPS $2.11 Beats $1.95 Estimate, Sales $43.32B Miss $43.63B Estimate",1,uncertain,0.6,0.2,,144,12,1.0
33,AMBEV SA,Ambev shares are trading lower after the company reported worse-than-expected Q1 financial results.,1,decrease,0.8,0.5,,122,12,0.0
34,ARCA BIOPHARMA INC,ARCA biopharma Shares Up 1% Over Last Few Mins. Following Seeking Alpha Blogpost From Terry Chrisomalis 'ARCA biopharma Should Be On Your Radar After Latest Advancements',1,increase,0.7,0.3,,151,11,2.0
35,ARBOR REALTY TRUST INC,Arbor Realty Trust Reports 8M Share Common Stock Offering,1,decrease,0.7,0.4,,120,12,0.0
36,ARBOR REALTY TRUST INC,"Arbor Realty Trust Q1 EPS $0.26 Misses $0.28 Estimate, Adj. FFO $0.33; Raises Qtr. Dividend From $0.27 to $0.28/Share",1,uncertain,0.5,0.2,,153,12,1.0
37,ACADIA PHARMACEUTICALS,ACADIA Pharmaceuticals Option Alert: Jan 17 $28 Calls Sweep (2) near the Ask: 990 @ $3.451 vs 0 OI; Ref=$24.72,1,increase,0.7,0.4,,153,11,2.0
38,ACADIA PHARMACEUTICALS,ACADIA Pharmaceuticals shares are trading higher after the company reported better-than-expected Q1 sales results and raised 2019 sales guidance.,1,increase,0.8,0.6,,141,11,2.0
39,ACADIA PHARMACEUTICALS,"ACADIA Pharmaceuticals Q1 EPS $(0.59) Misses $(0.52) Estimate, Sales $62.959M Beat $60.69M Estimate",1,uncertain,0.6,0.3,,148,12,1.0
40,ACADIA HEALTHCARE CO INC,"Acadia Healthcare Discloses Results Of Strategic Review, Co. Identified Improvement Opportunities; Board To Evaluate Potential Transaction For Its UK Business",1,increase,0.7,0.5,,137,11,2.0
41,ACADIA HEALTHCARE CO INC,"Acadia Healthcare Will Conduct A Conference Call With Institutional Investors And Analysts At 9:00am Et On May 30, 2019; During This Call, The Co. Will Provide An Update Regarding Acadia's Strategy And Future Direction",1,uncertain,0.5,0.2,,158,12,1.0
42,AXCELIS TECHNOLOGIES INC,Hearing Northland Downgraded Axcelis Technologies,1,decrease,0.8,0.5,,122,12,0.0
43,AXCELIS TECHNOLOGIES INC,"Axcelis Technologies Sees Q2 Sales ~$80M vs $98.3M Estimate, EPS $0.01-$0.03",1,decrease,0.8,0.5,,139,12,0.0
44,AXCELIS TECHNOLOGIES INC,"Axcelis Technologies Q1 EPS $0.18 Beats $0.11 Estimate, Sales $91.477M Miss $93.05M Estimate",1,uncertain,0.6,0.2,,141,12,1.0
45,A E C O M,"AECOM Sees FY19 Adj. EPS $2.60-$2.90 vs $2.76 Est., Adj. EBITDA $920M-$960M",1,uncertain,0.6,0.2,,139,12,1.0
46,A E C O M,"Aecom Earlier Reported Q2 EPS $0.69 Beats $0.62 Estimate, Sales $5.04B Beat $4.89B Estimate",1,increase,0.8,0.3,,138,11,2.0
47,ACCENTURE PLC IRELAND,Bank of America Downgrades Accenture plc Class A Ordinary Shares (Ireland) to Neutral,1,decrease,0.8,0.3,,128,12,0.0
48,ACORDA THERAPEUTICS INC,"Wedbush Initiates Coverage On Acorda Therapeutics, Inc. - Common Stock with Neutral Rating, Announces $12 Price Target",1,uncertain,0.6,0.2,,141,12,1.0
49,ACORDA THERAPEUTICS INC,"Acorda Therapeutics Q1 Adj. EPS $(0.56) Beats $(0.94) Estimate, Sales $41.334M Beat $33.04M Estimate",1,increase,0.8,0.6,,150,11,2.0
50,ACELRX PHARMACEUTICALS INC,"AcelRx Pharmaceuticals Q1 EPS $(0.17) Beats $(0.22) Estimate, Sales $265K Miss $750K Estimate",1,uncertain,0.6,0.3,,145,12,1.0
51,ACASTI PHARMA INC,"Acasti Pharma Reports Notices Of Allowance For Added Composition, Use Patents In Mexico, Chile, Israel",1,increase,0.7,0.4,,132,11,2.0
52,ACASTI PHARMA INC,Acasti Reports Settled Claims With Former CEO; Co. Agreed To Issue 900K Shares Of Common Stock From Treasury To Former CEO,1,uncertain,0.5,0.2,,139,12,1.0
53,ACACIA RESEARCH CORP,"Acacia Research Q1 Adj. EPS $(0.1) Up From $(0.51) YoY, Sales $3.387M Down From $62.093M YoY",1,decrease,0.7,0.5,,148,12,0.0
54,ACACIA RESEARCH CORP,"Acacia Research Completes Board Reconstitution, Appointing Isaac T. Kohlberg And Luis Rinaldini To Board Of Directors",1,uncertain,0.5,0.2,,137,12,1.0
55,ADOBE INC,Adobe Highlights Magento Commerce Branded Stores To Collaborate With Amazon Sellers,1,increase,0.7,0.5,,117,11,2.0
56,AGREE REALTY CORP,Agree Realty Reports Purchase Of Wawa's Flagship Store In Philadelphia's Center City For $15M,1,increase,0.7,0.3,,128,11,2.0
57,ADVANCED EMISSIONS SOLUTIONS INC,"Advanced Emissions Q1 EPS $0.78 Beats $0.64 Estimate, Sales $19.329M Beat $18.98M Estimate",1,increase,0.8,0.5,,142,11,2.0
58,ANALOG DEVICES INC,Analog Devices Announces New Solution For mmWave 5G Wireless Network Infrastructure,1,increase,0.8,0.5,,120,11,2.0
59,ANALOG DEVICES INC,Analog Devices Option Alert: Jul 19 $105 Calls Sweep (41) near the Ask: 700 @ $1.8 vs 38 OI; Ref=$98.1396,1,uncertain,0.6,0.3,,144,12,1.0
60,ANALOG DEVICES INC,"Morgan Stanley Maintains Equal-Weight on Analog Devices, Inc. - Common Stock, Lowers Price Target to $97",1,decrease,0.7,0.4,,130,12,0.0
61,ANALOG DEVICES INC,Analog Devices shares trading higher following better-than-expected Q2 results but Q3 guidance which was weak.,1,uncertain,0.7,0.4,,126,12,1.0
62,ANALOG DEVICES INC,Analog Devices CEO Says Co. Won't Be Shipping Anything To Huawei For The Foreseeable Future,1,decrease,0.7,0.4,,125,12,0.0
63,ANALOG DEVICES INC,"Analog Devices Sees Q3 Sales $1.4B-$1.5B vs $1.55B Estimate, Adj. EPS $1.15-$1.29 vs $1.38 Est.",1,decrease,0.8,0.4,,148,12,0.0
64,ANALOG DEVICES INC,"Analog Devices Q2 Adj. EPS $1.36 Beats $1.3 Estimate, Sales $1.527B Beat $1.5B Estimate",1,increase,0.8,0.2,,137,11,2.0
65,ARCHER DANIELS MIDLAND CO,ADM Creates New Business Unit Combining Origination And Oilseed Business,1,increase,0.7,0.5,,124,11,2.0
66,ARCHER DANIELS MIDLAND CO,"Archer Daniels Midland CEO Highlights Belief US, China Will Reach Deal To End Trade War But Will Always Have Conflict",1,increase,0.7,0.4,,135,11,2.0
67,ARCHER DANIELS MIDLAND CO,US-China Trade Uncertainty Weighs On Grain Volumes,1,decrease,0.7,0.5,,124,12,0.0
68,ADMA BIOLOGICS INC,Adma Biologics Prices 11.3M Share Offering at $4/Share,1,decrease,0.7,0.4,,126,12,0.0
69,ADMA BIOLOGICS INC,ADMA Biologics shares are trading lower after the company announced that it has commenced a $45 million public offering of its common stock.,1,decrease,0.8,0.5,,135,12,0.0
70,ADMA BIOLOGICS INC,ADMA Biologics shares are trading lower after the company proposed a $45 million common stock offering.,1,decrease,0.8,0.4,,128,12,0.0
71,ADMA BIOLOGICS INC,ADMA Biologics Reports Commencement Of $45M Common Stock Offering,1,decrease,0.7,0.4,,123,12,0.0
72,ADMA BIOLOGICS INC,ADMA Biologics Shares Up 5% ~45 Mins. After Resume Time,1,increase,0.7,0.5,,126,11,2.0
73,ADMA BIOLOGICS INC,ADMA Biologics Shares To Resume Trade At 7:30 a.m. EDT,1,uncertain,0.5,0.2,,126,12,1.0
74,ADMA BIOLOGICS INC,ADMA Biologics Reports FDA Approval Of Prior Approval Supplement For BIVIGAM,1,increase,0.8,0.6,,125,11,2.0
75,ADMA BIOLOGICS INC,"ADMA Biologics Inc  Q1 EPS $(0.28) Beats $(0.32) Estimate, Sales $3.5M Beat $3.22M Estimate",1,increase,0.8,0.3,,144,11,2.0
76,ADMA BIOLOGICS INC,ADMA Biologics Elects To Draw Down $27.5M In Capital From Existing Perceptive Advisors Credit Deal,1,uncertain,0.6,0.3,,133,12,1.0
77,ADAMIS PHARMACEUTICALS CORP,Adamis Pharmaceuticals shares are trading lower after the company announced patent litigation regarding its higher dose naloxone injection product.,1,decrease,0.8,0.6,,140,12,0.0
78,ADAMIS PHARMACEUTICALS CORP,Adamis Pharma Reports Patent Litigation Related To Higher Dose Naloxone Injection Product,1,uncertain,0.6,0.3,,133,12,1.0
