custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num
0,AGILENT TECHNOLOGIES INC,Aligent shares are trading higher after the company reported better-than-expected Q4 EPS and sales results.,1,increase,0.9,0.7,,136,11,2.0
1,AGILENT TECHNOLOGIES INC,"Agilent Sees FY20 Adj. EPS $3.38-$3.43 vs $3.44 Estimate, Sales $5.5B-$5.55B vs $5.55B Est.",1,decrease,0.7,0.4,,158,12,0.0
2,AGILENT TECHNOLOGIES INC,"Agilent Sees Q1 Adj. EPS $0.80-$0.81 vs $0.84 Estimate, Sales $1.34B-$1.355B vs $1.38B Est.",1,decrease,0.8,0.6,,158,12,0.0
3,AGILENT TECHNOLOGIES INC,"Agilent Technologies Q4 Adj. EPS $0.89 Beats $0.85 Estimate, Sales $1.37B Beat $1.33B Estimate",1,increase,0.8,0.7,,148,11,2.0
4,AGILENT TECHNOLOGIES INC,Agilent Raises Qtr. Dividend From $0.164 To $0.18/Share,1,increase,0.8,0.5,,135,11,2.0
5,AGILENT TECHNOLOGIES INC,"Stifel Nicolaus Initiates Coverage On Agilent Technologies with Hold Rating, Announces $85 Price Target",1,uncertain,0.6,0.3,,136,12,1.0
6,ALTISOURCE ASSET MANAGEMENT CORP,Altisource Asset Mgmt Q3 EPS $(2.25) Down From $(0.75) YoY,1,decrease,0.8,0.7,,141,12,0.0
7,ATLANTIC AMERICAN CORP,"Atlantic American Q3 EPS $(0.07) Down From $0.04 YoY, Sales $47.75M Up From $45.57M YoY",1,decrease,0.7,0.5,,150,12,0.0
8,APPLIED OPTOELECTRONICS INC,Applied Optoelectronics Amended S-3 Shows Registration For $250M Mixed Securities Offering,1,uncertain,0.6,0.4,,139,12,1.0
9,APPLIED OPTOELECTRONICS INC,"Piper Jaffray Maintains Neutral on Applied Optoelectronics, Raises Price Target to $10",1,uncertain,0.6,0.3,,141,12,1.0
10,APPLIED OPTOELECTRONICS INC,"Applied Optoelectronics Sees Q4 Adj. EPS $(0.23)-$(0.21) vs $(0.18) Est., Sales $46M-$49M vs $51.84M Est.",1,decrease,0.8,0.6,,164,12,0.0
11,APPLIED OPTOELECTRONICS INC,"Applied Optoelectronics Q3 Adj. EPS $(0.15) Beats $(0.24) Estimate, Sales $46.1M Miss $47.75M Estimate",1,uncertain,0.6,0.3,,156,12,1.0
12,APPLIED OPTOELECTRONICS INC,"Rosenblatt Upgrades Applied Optoelectronics to Buy, Announces $13 Price Target",1,increase,0.8,0.7,,138,11,2.0
13,ADVANCE AUTO PARTS INC,"Nomura Maintains Neutral on Advance Auto Parts, Lowers Price Target to $160",1,decrease,0.7,0.5,,131,12,0.0
14,ADVANCE AUTO PARTS INC,Advance Auto Parts shares are trading lower despite the company reporting better-than-expected Q3 EPS and sales results. The company also announced a $700 million buyback.,1,uncertain,0.6,0.4,,146,12,1.0
15,ADVANCE AUTO PARTS INC,"Advance Auto Parts Reports Q3 Earnings Beat, Reaffirms Guidance",1,increase,0.8,0.6,,127,11,2.0
