Unnamed: 0,custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,headline type num,date,ticker,datetime_utc,permno,cusip,ret,ret_fd1,ret_fd2,ret_fd3,ret_fd5,ret_fd10,ret_fd30,ret_fd60,ret_ld1,ret_ld2,ret_ld3,ret_ld5,ret_ld10,ret_ld30,ret_ld60,ret_f1,ret_f2,ret_f3,ret_f4,ret_f5,ret_f6,ret_f7,ret_f8,ret_f9,ret_f10,ret_f11,ret_f12,ret_f13,ret_f14,ret_f15,ret_f16,ret_f17,ret_f18,ret_f19,ret_f20,ret_f21,ret_f22,ret_f23,ret_f24,ret_f25,ret_f26,ret_f27,ret_f28,ret_f29,ret_f30,ret_f31,ret_f32,ret_f33,ret_f34,ret_f35,ret_f36,ret_f37,ret_f38,ret_f39,ret_f40,ret_f41,ret_f42,ret_f43,ret_f44,ret_f45,ret_f46,ret_f47,ret_f48,ret_f49,ret_f50,ret_f51,ret_f52,ret_f53,ret_f54,ret_f55,ret_f56,ret_f57,ret_f58,ret_f59,ret_f60,Mkt-RF,SMB,HML,RF,PERMNO,n,RET,alpha,b_mkt,b_smb,b_hml,ivol,tvol,R2,exret,headline_word_count
0,0,ATLANTIC AMERICAN CORP,"Atlantic American Q4 EPS $0.01 Down From $0.12 YoY, Sales $49.2M Up From $48.825M YoY",1,negative,0.9,0.8,,0.0,2019-04-01,AAME,2019-04-01 18:04:00+00:00,15580.0,04820910,0.0247058682143688,-0.0088021438568831,-0.0088021438568831,0.0141600388266498,-0.0355912503697599,-0.1084349029985681,-0.0544006122202479,-0.0659793704978284,0.0119047509506344,-0.0154440003768465,-0.0039062457595335,-0.0377359014601235,-0.126712372916893,-0.0659340925241549,0.0240963688755075,-0.0107115069404244,0.023588502779603,-0.018133720383048,0.0123124159872531,-0.0095020476728677,-0.0058571463450789,-0.0070698508061468,-0.0051424470730125,0.0182902980595827,-0.0019524069502949,-0.0023473969195038,0.0125490073114633,0.0147173153236508,0.0213740244507789,0.0104634035378694,-0.0096153924241662,0.0227781441062688,0.0010953153250738,-0.0061998567543923,-0.0007339617586694,0.015791418030858,-0.0054229795932769,-0.0105416541919112,-0.0124908210709691,0.0003720323438756,-0.0070657730102539,0.0033707921393215,0.0089585576206445,0.0033296393230557,0.0140117676928639,0.0007272893562912,-0.0043604956008493,0.0,0.0080292420461773,-0.0054309023544192,-0.0141972843557596,0.0051698447205126,-0.004041098523885,-0.0368867553770542,0.0229796431958675,-0.0059902602806687,-0.0203389469534158,-0.0176855437457561,0.0,0.0199608709663152,-0.0153491795063018,-0.0214341096580028,0.0215053372085094,-0.0206627212464809,-0.0358280837535858,-0.042113896459341,0.015517184510827,-0.0258912872523069,0.0296295583248138,0.027084270492196,0.0333745144307613,0.0374800860881805,-0.0180630758404731,-0.0023483156692236,0.022754019126296,1.19,-0.3,0.99,0.01,15580,252,2.4706%,0.0,-0.1112,0.8294,-0.3259,4.6029%,4.6315%,1.2316%,3.2171%,15
1,1,ADVANCE AUTO PARTS INC,"Citigroup Maintains Neutral on Advance Auto Parts, Lowers Price Target to $182",1,negative,0.8,0.7,,0.0,2019-04-01,AAP,2019-04-01 12:22:00+00:00,89217.0,00751Y10,0.0181786548346281,-0.0016702674329281,-0.0111731985466655,0.0021309390797357,0.022807067847826,0.0449230408265319,-0.1029776226181217,-0.1361591849653793,0.0105481408536434,0.0218107698779379,0.0134307624318656,0.0345183363854457,0.1017212666428093,0.0109666453693921,0.0802337838233864,0.0152383344247937,-0.0063198008574545,0.0139692863449454,0.0078405532985925,0.0038897362537682,0.0081921601668,0.006368747446686,-0.0052373525686562,-0.0075682224705815,0.0037576959002763,0.0039638914167881,-0.0054288287647068,0.0048715947195887,0.002754517365247,0.0036259114276617,0.0029560355469584,0.0060037444345653,-0.0046658017672598,-0.002398356096819,0.0078680058941245,-0.0031443228945136,0.0031542407814413,-0.0242871660739183,-0.0167795810848474,0.0067811761982738,-0.0052761696279048,-0.0033856567461043,0.0093987304717302,-0.003702062414959,0.0075442609377205,-0.0165400449186563,-0.005340923089534,-0.0070832301862537,-0.0115061551332473,-0.0003492772229947,0.0012808641185984,0.006628674454987,0.0106285335496068,0.0002285852970089,0.0229714531451463,-0.0041336468420922,-0.007179710548371,-0.0132203185930848,-0.0045803450047969,0.0028758770786225,0.0052764290012419,-0.0002281679917359,0.0093585904687643,-0.0064450437203049,-0.011949504725635,-0.0017277300357818,-0.0003461264423094,-0.0470914356410503,-0.0085997954010963,0.0063531370833516,-0.0134757868945598,-0.0039379731751978,0.0067950999364256,-0.0029451204463839,0.0107077257707715,1.19,-0.3,0.99,0.01,89217,252,1.8179%,0.0015,0.7352,0.2658,0.1139,1.7456%,1.8980%,15.4073%,0.9094%,12
2,2,ABBVIE INC,Alector Initiates Phase 1 Trial Of AL003 For Treatment Of Patients With Alzheimer's Disease,1,positive,0.9,0.8,,2.0,2019-04-01,ABBV,2019-04-01 20:42:00+00:00,13721.0,00287Y10,0.002357643097639,0.0283486135303974,0.028472432996029,0.0251299686394173,0.0396138239610175,0.0163816734222874,-0.0161053655801989,-0.1470572061805748,0.0078789051622152,0.0087620096340093,-0.0021050747160007,0.0104061458221531,-0.0092205562001113,0.0008693455085759,-0.0854269677763405,0.0020957991946488,0.0289810989052057,-0.015389047563076,-0.0203479398041963,0.0108368629589676,-0.0327576585114002,-0.0012315552448853,0.0154130710288882,0.0303582288324832,-0.0055980742909014,0.002074064919725,-0.006505062803626,-0.0059522902593016,0.0089820129796862,-0.0154302800074219,0.0138637460768222,0.0457788631319999,0.0085275508463382,-0.0157835781574249,0.0346507132053375,0.0262939594686031,0.0121358390897512,0.0189182758331298,-0.0062761944718658,0.0102631421759724,-0.0093774581328034,-0.0060478448867797,0.0089947134256362,0.0076035899110138,-0.0031225327402353,-0.0114853149279952,-0.0081858346238732,0.0015973789850249,-0.0108984541147947,0.0072561264969408,-0.0008003943366929,-0.004272358957678,0.0072405589744448,-0.0228967145085334,-0.0168937034904956,0.0088691711425781,0.0153845474123954,-0.0045995176769793,-0.0133188823238015,0.008264441974461,0.0060109626501798,0.0092341164126992,0.0629709437489509,0.015189834870398,0.0112219648435711,0.0130703477188944,-0.0004868660471402,-0.0007307012565433,-0.0021935207769274,-0.0026867806445807,-0.0058780717663466,-0.0054200841113924,0.00470652570948,0.0083826463669538,-0.0002445509890094,1.19,-0.3,0.99,0.01,13721,252,0.2358%,-0.0009,0.9255,-0.3873,-0.1977,1.5190%,1.8071%,29.3374%,-0.8057%,14
3,3,ACADIA PHARMACEUTICALS,ACADIA Pharma Promotes Elena Ridloff CFO,1,positive,0.9,0.8,,2.0,2019-04-01,ACAD,2019-04-01 13:03:00+00:00,90177.0,00422510,0.0048416820354759,0.0126019334420561,0.0137138936484886,-0.004447700129927,0.0033358081803012,-0.0544847813178492,-0.0511489698868845,-0.0644922126813362,0.0078829200938344,0.023246974345386,-0.0037105888376216,0.0287356314471043,-4.5847992069525384e-10,0.2243502053773785,0.6126126782480203,0.071942463517189,0.0033557014539837,-0.0133779132738709,0.0406779274344444,0.0162866301834583,-0.0288461279124021,0.0,-0.0132013075053691,0.0234113484621048,-0.01960782520473,-0.0233333110809326,0.0136518636718392,-0.026936000213027,-0.0173011031001806,0.0140845775604248,0.0173610933125019,0.0017064423300325,-0.0204429104924202,0.0191304571926593,0.0204777959734201,-0.0066889566369354,-0.037037082016468,-0.003496500197798,-0.0315789170563221,-0.0108695551753044,0.0146520007401704,-0.0252707339823246,-0.0333333909511566,0.0229885764420032,0.0037453146651387,-0.0037313397042453,0.0,-0.0037453146651387,-0.0112781841307878,-0.0038023681845515,0.0343512035906314,0.0,-0.0036900332197546,0.0,-0.007407400291413,0.0186566989868879,-0.0146520007401704,-0.007434937171638,0.0374531485140323,0.0,-0.028880838304758,-0.014869874343276,-0.0226415768265724,0.0115830013528466,-0.0343511141836643,-0.0079051312059164,-0.0318724811077117,0.0576131120324134,-0.0272373296320438,-0.0079999919980764,-0.0120967626571655,-0.0040816287510097,0.0450819246470928,-0.0274509545415639,-0.0040322542190551,1.19,-0.3,0.99,0.01,90177,252,0.4842%,0.0015,1.7629,2.6566,-0.1113,4.1656%,4.8325%,25.6932%,-0.6937%,6
4,4,ADOBE INC,KeyBanc Lifts Roku Price Target Amid Ongoing Momentum,1,neutral,0.8,0.2,,1.0,2019-04-01,ADBE,2019-04-01 15:08:00+00:00,75510.0,00724F10,0.0213142093271017,-0.0030128497164696,-0.0024617460166538,-0.0157254603047785,-0.0123452828374837,0.0001836643134474,-0.001139099533313,0.0608075321484367,0.0112320855259895,0.0158191431232128,0.0033886595368552,0.0261850197391051,0.0365630479826195,0.0244098352194426,0.1866677740791875,-0.0358851663768291,-0.0064515713602304,-0.0034964880906045,-0.007017608731985,0.0045431680046021,-0.0065326211042702,-0.0111280335113406,-0.0086956564337015,-0.0030959479045122,-0.0046583930961787,-0.0473218858242034,0.0043668081052601,0.1048913225531578,-0.0265616830438375,0.0126326419413089,-0.0219561140984296,0.0198979284614324,0.0080039948225021,-0.0263026691973209,-0.0158002730458974,-0.0388399809598922,0.0091594867408275,0.0122797405347228,0.0163502842187881,-0.0295796412974596,0.043315477669239,-0.0312660485506057,0.0047619128599762,-0.0221169088035821,0.0215400978922843,0.0126515431329608,0.010931858792901,-0.0061792400665581,0.0025907328817993,-0.0103359567001462,0.017232371494174,-0.0128336092457175,0.0172594096511602,-0.0272493921220302,-0.0095137581229209,0.052828162908554,0.0106437401846051,0.0055164843797683,0.025935186073184,-0.0077783106826245,0.0039196433499455,-0.0039043398573994,-0.0244977958500385,0.0,0.0135610476136207,0.0,0.0153617179021239,0.0048804483376443,0.0087421229109168,-0.0125180659815669,-0.0092637995257973,-0.0063975965604186,0.0024764356203377,0.0049407305195927,0.0285152364522218,1.19,-0.3,0.99,0.01,75510,252,2.1314%,-0.0002,1.2683,-0.2623,-1.4053,1.1197%,2.1282%,72.3203%,1.9841%,8
5,5,ADMA BIOLOGICS INC,ADMA Shares Halted Ahead Of Apr. 2 PDUFA Date For RI-002,1,neutral,0.8,0.2,,1.0,2019-04-01,ADMA,2019-04-01 20:51:00+00:00,15056.0,00089910,0.0738786831498146,0.2432431727647781,0.2579851722092656,0.2751842304128038,0.2628991707193282,0.216216111134611,0.081081055672515,-0.1179361842666205,0.1519756913185119,0.0706214767512434,0.131343313768776,0.1450151232056402,-0.0501253212736777,-0.0078533883062984,0.4465649585537969,0.0113775804638862,-0.0273639298975467,-0.0234448257833719,0.0201664883643388,0.0426733195781707,-0.0225699674338102,0.0101601546630263,-0.002743070712313,-0.0039731375873088,-0.009818953461945,-0.0065075638704001,0.000935707357712,0.0096603734418749,0.0132716139778494,0.0268046669661998,0.0222485922276973,-0.0124782444909215,0.0091096498072147,0.0122305816039443,-0.0178365632891655,-0.0383713394403457,-0.0301553960889577,-0.00439696572721,0.004100919701159,0.0097392229363322,-0.0121343927457928,-0.0141732525080442,-0.0108626252040267,-0.01647281460464,-0.0650246739387512,-0.0049174358136951,0.0391811020672321,-0.0037364338058978,-0.0023866244591772,0.0051264395006001,-0.0142808593809604,0.0272508077323436,-0.0298858731985092,0.0100381076335907,-0.067512035369873,0.0117604415863752,0.0406828522682189,0.0436300188302993,0.0083612045273184,0.0109452717006206,-0.0308398511260747,0.0220040492713451,0.0036435476504266,0.0240924581885337,0.0145020578056573,0.0009530078386887,0.0136464713141322,0.0034439167939126,-0.0315132103860378,0.0128865856677293,-0.025763401761651,0.0055501167662441,0.0006493655382655,0.0006489441148005,0.0405317768454551,1.19,-0.3,0.99,0.01,15056,252,7.3879%,0.0011,1.0917,1.3847,0.7435,4.9570%,5.1103%,5.9129%,5.9395%,11
6,6,AIR LEASE CORP,Air Lease Corporation Announces Delivery of First of Five New Boeing 787-9 Aircraft with China Southern Airlines,1,positive,0.9,0.8,,2.0,2019-04-01,AL,2019-04-01 10:35:00+00:00,12641.0,00912X30,0.0311499200761318,0.003387994132936,0.0101637671590584,0.0333145224506346,0.0333145225535942,0.0578769942343131,0.0878035201649152,0.1413091334183609,0.0097001176327466,0.0259856311263668,0.0269057601417139,0.0511015344583953,0.0189935604748996,-0.0932752229679764,0.1206610878501892,-0.0145973330363631,-0.0467709936201572,0.0174611490219831,0.0544018894433975,0.0073242313228547,-0.0075941383838653,0.0017909575253725,0.0089387791231274,-0.0041881785728037,-0.0554836690425872,0.0354512706398963,0.0077737551182508,-0.0462826155126094,0.0342453606426715,-0.0006655092001892,-0.0153180481866002,0.0057490724138915,-0.0134498868137598,-0.0240286272019147,-0.0237471722066402,0.0186013393104076,0.0003511932736728,0.0094786221161484,-0.0010432543931528,0.0156657565385103,0.0207369830459356,-0.0080590918660163,0.0981718897819519,-0.0043156412430107,-0.0224457737058401,-0.026128290221095,-0.0050406726077198,-0.0191207416355609,0.0163278821855783,-0.0008196596172638,0.0008203320321626,-0.0106557626277208,0.0521955527365207,0.0209449101239442,0.0055529940873384,-0.0633532926440239,-0.0501146614551544,-0.0312069207429885,-0.0145933385938406,0.0041538658551871,-0.0001798259327188,0.0348983369767665,0.0083434656262397,0.0198241956532001,-0.0432725064456462,0.0431095845997333,-0.0254065040498971,0.0679527223110199,-0.0411717258393764,0.0392057262361049,0.0460559129714965,-0.0207650549709796,0.0274234879761934,0.014121601358056,-0.0058148014359176,1.19,-0.3,0.99,0.01,12641,252,3.1150%,-0.0007,1.3771,0.6094,0.5016,1.1604%,1.7826%,57.6270%,1.1881%,17
7,7,ALLY FINANCIAL INC,Ally Reports $1.25B Buyback,1,positive,0.9,0.8,,2.0,2019-04-01,ALLY,2019-04-01 20:16:00+00:00,14558.0,02005N10,0.030192794278264,0.0070621739141643,0.0151836268722991,0.0165960886075113,0.0233050797734719,0.0402542161676666,0.0423001685721642,0.0671590770112438,0.0076979133300483,0.0204157096640973,0.0354049175670017,0.0544687417700804,0.017771178071086,0.0338472958010367,0.209323833828251,0.4551723003387451,-0.1090046986937523,0.15159572660923,-0.0392609871923923,0.0024039011914283,-0.0503597222268581,-0.0328283123672008,0.0365535542368888,-0.0125944465398788,0.0306122153997421,0.0668316781520843,0.1183295175433159,-0.0207469668239355,-0.0487288199365139,-0.0289531499147415,0.0275229085236787,0.0267856884747743,0.004347822163254,-0.0346320010721683,-0.0358744040131568,0.0162789989262819,-0.0160182379186153,-0.0325582176446914,-0.086538441479206,0.0552632324397563,-0.0399003289639949,-0.0285714026540517,-0.0133689707145094,0.0460704155266284,-0.033678725361824,0.0616622045636177,-0.0505050607025623,0.0026595718227326,-0.0397878251969814,0.027624350041151,0.0134408473968505,-0.0318302102386951,-0.0219178516417741,-0.0784313678741455,-0.0273555964231491,0.0187499821186065,0.036809854209423,-0.0917160287499427,-0.0065146517008543,0.0327869318425655,0.0,0.0952380746603012,-0.0608695745468139,0.0,0.0246913339942693,-0.0512047708034515,-0.0031745999585837,0.0222929716110229,-0.0186915714293718,-0.0190476756542921,0.0194175355136394,-0.0285714752972126,0.0294118151068687,0.060317400842905,-0.047904148697853,1.19,-0.3,0.99,0.01,14558,252,3.0193%,0.0004,1.2274,0.2825,0.8162,0.9572%,1.4848%,58.4393%,0.8412%,4
8,8,ALTAIR ENGINEERING INC,"Altair Acquires Cambridge Collaborative's SEAM Software, Terms Not Disclosed",1,neutral,0.8,0.2,,1.0,2019-04-01,ALTR,2019-04-01 12:04:00+00:00,17034.0,02136910,0.0331430956721305,0.0378649085760116,0.0223508360538566,-0.0060478460994796,-0.0252432064288903,-0.0439126544727744,-0.0965027135022206,0.0370759906522484,-0.0173517819494007,-0.010749737671487,-0.0144577548139634,0.0171318809957572,-0.0566375963920455,0.0775761616733621,0.375560583430145,0.0121096586808562,-0.0122795775532722,0.0188077222555875,-0.0051626726053655,0.0201289914548397,0.006782716140151,-0.0012248385464772,0.0044457041658461,0.0036630877293646,0.0022810450755059,0.0075861020013689,-0.01385342143476,0.006871348246932,-0.0007583113620057,0.0056154611520469,-0.0083006797358393,-0.0112615721300244,-0.0200092811137437,-0.0408355370163917,0.0057311034761369,0.0083035193383693,-0.0011303034843876,0.0071128131821751,-0.0001604866993147,-0.0054583423770964,0.0209846533834934,-0.05043476074934,-0.0397935919463634,0.0039882669225335,0.0348877273499965,0.0189501456916332,-0.0011520687257871,-0.0253748092800378,0.0055790026672184,0.0055481144227087,0.028088953346014,0.0108960503712296,0.0135135157033801,0.0015872773947194,0.0080824429169297,0.0026725069619715,0.0032926136627793,0.0026566961314529,0.0049875262193381,-0.0162841659039259,0.013400575146079,0.0007778943981975,0.0006218081107363,0.003417641390115,0.0030965255573391,-0.0050934068858623,-0.0051194825209677,-0.0102915335446596,0.0056719803251326,0.0017232773825526,0.0247106365859508,0.0047314590774476,-0.0066839195787906,-0.0099403811618685,0.0114304218441247,1.19,-0.3,0.99,0.01,17034,252,3.3143%,0.0002,1.2294,0.3803,-0.8882,2.1434%,2.6868%,36.3624%,2.9118%,9
9,9,AON PLC NEW,"Barclays Maintains Equal-Weight on Aon, Raises Price Target to $155",1,neutral,0.8,0.5,,1.0,2019-04-01,AON,2019-04-01 13:29:00+00:00,61735.0,G0403H10,0.016051584854722,-0.0017297223675996,-0.0040359601935147,-0.0051891670979119,-0.0037477464807006,0.0145295450414115,0.0290872666384511,0.0975196676442045,0.009044149890542,0.016192411689764,0.0175250510056752,0.026396485436702,0.0041176299680738,0.0063671857225,0.1881217204070577,0.0050251130014657,-0.005333328153938,-0.0021783020347356,0.0119227385148406,-0.0082940235733985,-0.0063620842993259,0.0013472215505316,-0.0144635150209069,0.0035836673341691,-0.0035708704963326,0.0039249719120562,-0.0018698046915233,-0.0088555933907628,0.0051546259783208,0.0037607045378535,-0.0020436435006558,0.0051195062696933,0.0,-0.0050933808088302,0.0117120267823338,-0.0074906782247126,-0.0017152397194877,0.0051546259783208,-0.006837632972747,0.0034423540346324,-0.0051457844674587,0.0034482891205698,-0.0017182523151859,0.004819321911782,6.161801138659939e-05,-0.0042066238820552,-0.0006536518922075,0.0017212098464369,0.0027491382788866,0.0030157417058944,0.0024600417818874,0.001700751716271,-0.0071419058367609,0.0,0.0047977855429053,-0.0006821438437327,0.0,-0.0040955268777906,0.001370767946355,0.001365497126244,-0.0054647745564579,-0.0017182523151859,3.479844508547103e-06,-0.0017246180213987,0.0148275969550013,0.0275229178369045,0.012235477566719,-0.0133943101391196,-0.0052947239018976,-0.0006690936279483,0.010326431132853,-0.0092318067327141,-0.0133111355826258,-0.0131702907383441,-0.0051094479858875,1.19,-0.3,0.99,0.01,61735,252,1.6052%,0.0008,0.7955,-0.2917,0.4306,1.0065%,1.2491%,35.0677%,0.1422%,10
