custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num,date,permno,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3,ret,exret,b_mkt,mkt-rf,smb,hml,rf,exret_hat,exret_1,exret_2,exret_3,exret_4,exret_5,exret_6,exret_7,exret_8,exret_9,exret_10
0,ASTRAZENECA PLC,"Fasenra Approved in the US for Self-administration in a New Pre-filled Auto-injector, the Fasenra Pen",1,positive,0.9,0.8,,133,11,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BANK OF AMERICA CORP,"Morgan Stanley Maintains Overweight on Bank of America, Lowers Price Target to $31",1,neutral,0.8,0.2,,124,11,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,BIG LOTS INC,Big Lots Option Alert: Oct 18 $22.5 Calls Sweep (5) near the Ask: 620 @ $0.398 vs 640 OI; Ref=$21.24,1,neutral,0.7,0.3,,140,11,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BIG LOTS INC,Big Lots Option Alert: Oct 18 $22.5 Calls Sweep (18) near the Ask: 600 @ $0.4 vs 640 OI; Ref=$21.2,1,neutral,0.7,0.5,,140,11,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,BANK OF NEW YORK MELLON CORP,"Morgan Stanley Maintains Underweight on Bank of New York Mellon, Lowers Price Target to $40",1,negative,0.9,0.8,,132,11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,BURLINGTON STORES INC,Canada Goose Holdings Get Small Spike As Traders Circulate Unconfirmed Chatter Indicating Burlington Stores Has Approached The Company With An M&A Offer,1,positive,0.8,0.6,,135,11,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,FIRST BUSEY CORP,"B. Riley Maintains Neutral on First Busey, Lowers Price Target to $27",1,negative,0.8,0.7,,124,11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,BLACKSTONE INC,Jon Najarian Sees Unusual Options Activity In Blackstone And Luckin Coffee,1,neutral,0.7,0.2,,115,11,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,C F INDUSTRIES HOLDINGS INC,"Stifel Nicolaus Maintains Hold on CF Industries Holdings, Lowers Price Target to $46",1,negative,0.8,0.7,,129,11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,CHEGG INC,"BMO Capital Maintains Outperform on Chegg, Lowers Price Target to $35",1,positive,0.8,0.5,,117,11,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10,COHERUS BIOSCIENCES INC,Coherus Biosciences shares are trading higher. Not seeing any news to justify price action.,1,neutral,0.8,0.2,,126,11,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11,CHARTER COMMUNICATIONS INC NEW,Charter Communications shares are trading higher after KeyBanc upgraded the stock from Sector Weight to Overweight and announced a price target of $515 per share.,1,positive,0.9,0.8,,139,11,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
