custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num,date,permno,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3,ret,exret,b_mkt,mkt-rf,smb,hml,rf,exret_hat,exret_1,exret_2,exret_3,exret_4,exret_5,exret_6,exret_7,exret_8,exret_9,exret_10
3239,ASTRAZENECA PLC,"Fasenra Approved in the US for Self-administration in a New Pre-filled Auto-injector, the Fasenra Pen",0,increase,0.8,0.7,,141,28,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3247,BANK OF AMERICA CORP,"Morgan Stanley Maintains Overweight on Bank of America, Lowers Price Target to $31",0,uncertain,0.6,0.3,,132,29,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3255,BIG LOTS INC,Big Lots Option Alert: Oct 18 $22.5 Calls Sweep (5) near the Ask: 620 @ $0.398 vs 640 OI; Ref=$21.24,0,uncertain,0.6,0.3,,148,29,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3263,BIG LOTS INC,Big Lots Option Alert: Oct 18 $22.5 Calls Sweep (18) near the Ask: 600 @ $0.4 vs 640 OI; Ref=$21.2,0,increase,0.8,0.7,,148,28,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3271,BANK OF NEW YORK MELLON CORP,"Morgan Stanley Maintains Underweight on Bank of New York Mellon, Lowers Price Target to $40",0,decrease,0.8,0.7,,140,29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3279,BURLINGTON STORES INC,Canada Goose Holdings Get Small Spike As Traders Circulate Unconfirmed Chatter Indicating Burlington Stores Has Approached The Company With An M&A Offer,0,uncertain,0.7,0.5,,143,29,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3287,FIRST BUSEY CORP,"B. Riley Maintains Neutral on First Busey, Lowers Price Target to $27",0,decrease,0.8,0.7,,132,29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3295,BLACKSTONE INC,Jon Najarian Sees Unusual Options Activity In Blackstone And Luckin Coffee,0,uncertain,0.6,0.3,,123,29,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3303,C F INDUSTRIES HOLDINGS INC,"Stifel Nicolaus Maintains Hold on CF Industries Holdings, Lowers Price Target to $46",0,decrease,0.8,0.7,,137,29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3311,CHEGG INC,"BMO Capital Maintains Outperform on Chegg, Lowers Price Target to $35",0,uncertain,0.6,0.4,,125,29,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3319,COHERUS BIOSCIENCES INC,Coherus Biosciences shares are trading higher. Not seeing any news to justify price action.,0,uncertain,0.7,0.3,,134,29,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3327,CHARTER COMMUNICATIONS INC NEW,Charter Communications shares are trading higher after KeyBanc upgraded the stock from Sector Weight to Overweight and announced a price target of $515 per share.,0,increase,0.8,0.9,,147,28,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3335,CHARTER COMMUNICATIONS INC NEW,"KeyBanc Upgrades Charter Communications On Price Hike, Broadband Potential",0,increase,0.9,0.8,,132,28,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3343,CHARTER COMMUNICATIONS INC NEW,"Citigroup Maintains Buy on Charter Communications, Raises Price Target to $483",0,increase,0.8,0.7,,132,28,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3351,CHARTER COMMUNICATIONS INC NEW,"KeyBanc Upgrades Charter Communications to Overweight, Announces $515 Price Target",0,increase,0.9,0.8,,134,28,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3359,COMERICA INC,"B. Riley Maintains Neutral on Comerica, Lowers Price Target to $65",0,decrease,0.8,0.7,,125,29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3367,COMCAST CORP NEW,"Citigroup Maintains Buy on Comcast, Raises Price Target to $56",0,increase,0.8,0.7,,125,28,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3375,CONSOLIDATED COMMS HLDGS INC,Consolidated Communications shares are trading lower despite no company-specific news. The stock has dropped approximately 17% in the last 5 days.,0,uncertain,0.7,0.8,,147,29,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3383,CALLON PETROLEUM CO DEL,"Morgan Stanley Maintains Equal-Weight on Callon Petroleum, Lowers Price Target to $4.75",0,decrease,0.8,0.7,,137,29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3391,SALESFORCE INC,"UK's Competition And Markets Authority Says Is Considering If Salesforce, Tableau Deal Resulted In A Lessening Of Competition Within UK",0,uncertain,0.7,0.5,,134,29,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3399,C S X CORP,A Peek Into The Markets: US Stock Futures Fall; All Eyes On Jobs Data,0,uncertain,0.6,0.3,,127,29,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3407,C S X CORP,"JP Morgan Downgrades CSX to Neutral, Lowers Price Target to $76",0,decrease,0.8,0.7,,127,29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3415,CYTOSORBENTS CORP,CytoSorbents Reports Removal Of Ticagrelor Intraoperatively Results In Expected Cost Savings Of ~$5K Per Patient,0,increase,0.8,0.7,,143,28,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3423,CYTOKINETICS INC,Cytokinetics Highlights Presentation Of Added Analyses From FORTITUDE-ALS At NEALS Meeting,0,uncertain,0.6,0.3,,133,29,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3431,D B V TECHNOLOGIES S A,"DBV Technologies Shares Resume Trade, Up 12%",0,increase,0.8,0.12,,127,28,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3439,D B V TECHNOLOGIES S A,DBV Technologies To Resume Trade At 12:15 a.m. EDT,0,uncertain,0.6,0.3,,132,29,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3447,D B V TECHNOLOGIES S A,"DBV Technologies Announces FDA Acceptance Of BLA filing For Viaskin Peanut For The Treatment Of Peanut Allergy; Target Action Date Provided By FDA Is Aug. 5, 2020",0,increase,0.9,0.8,,157,28,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3455,D B V TECHNOLOGIES S A,"DBV Technologies Shares Halted, News Pending",0,uncertain,0.7,0.5,,126,29,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3463,DISH NETWORK CORP,"Citi Maintains Buy on DISH Network, Lowers Price Target to $40",0,uncertain,0.6,0.3,,128,29,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3471,DISH NETWORK CORP,Sportradar Announces Partnership With DISH to Become the Company's Official Sports Data Provider,0,increase,0.8,0.7,,129,28,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3479,DOMINOS PIZZA INC,"Wedbush Likes Domino's Pizza, Says Pressure From Third-Party Delivery Is 'Unsustainable'",0,increase,0.8,0.7,,135,28,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3487,DOMINOS PIZZA INC,UPDATE: Wedbush On Domino's Also Notes 'The health of DPZ's domestic system can withstand a near-term challenge as management executes an offensive strategy',0,increase,0.8,0.6,,146,28,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3495,DOMINOS PIZZA INC,"UPDATE: Wedbush Initiates Domino's With Outperform, Announces $280 Target As Firm Views Current Economics Of Third Party Delivery 'as unsustainable beyond the near-term from the point of view of both restaurants and third party marketplaces'",0,increase,0.8,0.7,,162,28,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3503,DOMINOS PIZZA INC,"Wedbush Initiates Coverage On Domino's Pizza with Outperform Rating, Announces $280 Price Target",0,increase,0.8,0.7,,136,28,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3511,DEVON ENERGY CORP NEW,"Morgan Stanley Maintains Equal-Weight on Devon Energy, Lowers Price Target to $27",0,decrease,0.8,0.7,,132,29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3519,ELECTRONIC ARTS INC,Electronic Arts Says Implemented Fix Related To FIFA 20 Global Series Registration Page Issue,0,uncertain,0.6,0.3,,128,29,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3527,EQUIFAX INC,6 Tips For Cancelling A Bank Account,0,uncertain,0.6,0.2,,117,29,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3535,8X8 INC NEW,8x8 shares are trading lower despite no company-specific news. The stock has dropped approximately 26% over the last month.,0,decrease,0.8,0.7,,138,29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3543,EMCOR GROUP INC,"EMCOR Reports Purchase Of Batchelor & Kimball In All-Cash Deal, No Terms Disclosed",0,uncertain,0.6,0.3,,129,29,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3551,EOG RESOURCES INC,"Morgan Stanley Maintains Equal-Weight on EOG Resources, Lowers Price Target to $95",0,decrease,0.8,0.6,,131,29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3559,EQUINIX INC,Equinix Reports Purchase Of 3 Data Centers From Axtel For $175M In Cash,0,increase,0.8,0.7,,131,28,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3567,EMBRAER S A,Boeing Shares Edge Lower; Hearing Co. Faces In-Depth EU Probe Into Its Embraer Deal,0,uncertain,0.7,0.5,,134,29,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3575,ISHARES INC,CAN Ivey PMI for Sep 48.7 vs 60.6 Prior,0,decrease,0.8,0.7,,128,29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3583,ISHARES INC,Nikkei Survey Shows A Quarter Of Japanese Companies Want To Cut China Risk,0,increase,0.8,0.6,,127,28,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3591,ISHARES TRUST,"Spain's Acting Ag Minister Says US Tariffs On Ag, Food Sectors Are 'Unacceptable'",0,uncertain,0.6,0.3,,132,29,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3599,ISHARES TRUST,'Glasgow Airport partially evacuated amid 'concerns' over cargo' -Earlier Metro Article,0,uncertain,0.6,0.3,,133,29,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3607,ISHARES TRUST,"Hearing Court Docs Show UK Gov't. Will Send A Letter To EU Asking For Brexit Extension If No Deal By Oct. 19, 2019",0,uncertain,0.6,0.3,,144,29,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3615,ISHARES TRUST,Spokesperson For UK Prime Minister Johnson Says 'We Are Ready To Talk At Any Point Including Over The Weekend',0,uncertain,0.6,0.3,,135,29,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3623,EXELIXIS INC,Exelixis shares are trading lower despite no company-specific news. The stock has dropped approximately 15% over the past month.,0,uncertain,0.7,0.6,,136,29,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
