custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num,date,permno,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3,ret,exret,b_mkt,mkt-rf,smb,hml,rf,exret_hat,exret_1,exret_2,exret_3,exret_4,exret_5,exret_6,exret_7,exret_8,exret_9,exret_10
3244,ASTRAZENECA PLC,"Fasenra Approved in the US for Self-administration in a New Pre-filled Auto-injector, the Fasenra Pen",6,positive,0.9,0.8,"the approval of fasenra for self-administration in a new pre-filled auto-injector is a positive development for astrazeneca plc, as it can potentially increase accessibility and convenience for patients.",145,78,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3252,BANK OF AMERICA CORP,"Morgan Stanley Maintains Overweight on Bank of America, Lowers Price Target to $31",6,neutral,0.7,0.2,"the news maintains an 'overweight' rating on bank of america but lowers the price target, resulting in a neutral overall impact.",136,60,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3260,BIG LOTS INC,Big Lots Option Alert: Oct 18 $22.5 Calls Sweep (5) near the Ask: 620 @ $0.398 vs 640 OI; Ref=$21.24,6,positive,0.8,0.6,"the option alert for big lots inc shows a bullish sentiment with a high number of calls being swept near the ask price, indicating potential positive expectations for the stock.",152,66,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3268,BIG LOTS INC,Big Lots Option Alert: Oct 18 $22.5 Calls Sweep (18) near the Ask: 600 @ $0.4 vs 640 OI; Ref=$21.2,6,positive,0.8,0.6,"the option alert for big lots inc shows a bullish sentiment with a large number of calls being bought near the ask price, indicating potential positive expectations for the stock.",152,66,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3276,BANK OF NEW YORK MELLON CORP,"Morgan Stanley Maintains Underweight on Bank of New York Mellon, Lowers Price Target to $40",6,negative,0.8,0.7,the news indicates a negative outlook as morgan stanley maintains an underweight rating and lowers the price target for bank of new york mellon.,144,61,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3284,BURLINGTON STORES INC,Canada Goose Holdings Get Small Spike As Traders Circulate Unconfirmed Chatter Indicating Burlington Stores Has Approached The Company With An M&A Offer,6,neutral,0.7,0.3,"the news of an m&a offer from burlington stores could have both positive and negative implications for burlington stores inc, resulting in a neutral overall impact.",147,66,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3292,FIRST BUSEY CORP,"B. Riley Maintains Neutral on First Busey, Lowers Price Target to $27",6,negative,0.8,0.7,"the news states that b. riley maintained a neutral rating on first busey but lowered the price target, indicating a potential decrease in value.",136,63,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3300,BLACKSTONE INC,Jon Najarian Sees Unusual Options Activity In Blackstone And Luckin Coffee,6,neutral,0.7,0.2,the news about unusual options activity in blackstone and luckin coffee does not inherently indicate a positive or negative impact on blackstone inc.,127,61,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3308,C F INDUSTRIES HOLDINGS INC,"Stifel Nicolaus Maintains Hold on CF Industries Holdings, Lowers Price Target to $46",6,negative,0.8,0.7,the fact that stifel nicolaus maintained a hold on cf industries holdings but lowered the price target suggests a negative outlook on the company's performance.,141,64,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3316,CHEGG INC,"BMO Capital Maintains Outperform on Chegg, Lowers Price Target to $35",6,neutral,0.7,0.2,"the news maintains an 'outperform' rating but lowers the price target, resulting in a neutral overall sentiment.",129,56,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
