custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num,date,permno,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3,ret,exret,b_mkt,mkt-rf,smb,hml,rf,exret_hat,exret_1,exret_2,exret_3,exret_4,exret_5,exret_6,exret_7,exret_8,exret_9,exret_10
3240,AGILENT TECHNOLOGIES INC,"UBS Downgrades Agilent Technologies to Neutral, Announces $82 Price Target",2,negative,0.8,0.7,,125,28,0.0,2019-10-18,87432.0,1.22033478692173,1.09963746283847,3.2184543760302997,-0.46499068848788,-1.09571197425492,-0.34583946736121,-0.4672,0.2766,1.0252,-0.49,-0.36,0.86,0.007,0.0281479999999998,0.5398,-0.5503,0.192,-0.399,-0.0242,0.271,0.2294,-0.577,-0.1614,0.6109
3248,ACME UNITED CORP,"Acme United Q3 EPS $0.3 Beats $0.28 Estimate, Sales $36.995M Beat $36.76M Estimate",2,positive,0.8,0.7,,135,28,2.0,2019-10-18,60038.0,4.87283207476139,1.24387518477284,4.82474147800824,-0.7835877127945401,-2.24441167090463,-2.6311042680136,3.1762,3.1636,0.6722,-0.49,-0.36,0.86,0.007,3.498578,4.2208,1.7435,-1.8578,-1.6244,-2.361,2.8157,-1.3995,1.0166,0.2005,0.1487
3256,A D T INC,ADT shares are trading higher after the company announced it will acquire I-View Now to help reduce false alarms and optimize priority response from emergency services.,2,positive,0.9,0.8,,132,28,2.0,2019-10-18,17223.0,-2.1680260077118803,4.33603918765339,7.31707247718891,-1.2676010839641,4.0059417778266,6.37329408670985,5.2782,5.3953,1.3026,-0.49,-0.36,0.86,0.007,5.909474,-3.6939,4.8647,-0.2731,0.2093,0.344,0.0084,1.2673,1.7968,-1.4484,-0.7068
3264,ARROWHEAD PHARMACEUTICALS INC,Arrowhead Pharmaceuticals shares are trading higher after the company discussed its developement strategy for its emerging pipiline of RNAi at its R&D conference.,2,positive,0.9,0.8,,143,28,2.0,2019-10-18,80069.0,1.52990045025944,7.23226289606038,15.38247216262285,6.05621635913848,6.565721907553169,10.97634632021424,-1.776,1.4108,1.7579,-0.49,-0.36,0.86,0.007,-0.921629,0.5581,8.4258,1.9581,-8.4604,3.149,-0.3022,2.0326,-1.2999,0.5896,1.9112
3272,AMES NATL CORP,Ames National Q3 EPS $0.44 Down From $0.48 YoY,2,negative,0.8,0.6,,125,28,0.0,2019-10-18,90470.0,1.81818176060915,-0.98181979373838,0.8664259550683799,0.14566975878551,0.3283478686057099,0.29175755245165,0.0,0.2537,0.5344,-0.49,-0.36,0.86,0.007,0.2548559999999999,1.1846,-1.6221,-1.18,-0.0889,-0.5349,1.7902,0.0189,1.276,-0.2409,-1.9259
3280,ACTIVISION BLIZZARD INC,Group Of Members Of Congress Pen Letter To Blizzard CEO Condemning Co.'s Decision To Ban Professional Hearthstone Player For Voicing Support For Hong Kong Protests,2,negative,0.9,0.8,,143,28,0.0,2019-10-18,79678.0,1.77850648760795,1.3201272892295,2.34689912727978,0.0,0.05399348447099,1.05435709558088,-1.8888,-0.7336,1.0941,-0.49,-0.36,0.86,0.007,-1.3596909999999998,1.2008,-0.9041,0.4177,0.35,-0.8545,-2.1359,-0.5935,2.4512,0.437,-1.0309
3288,ACTIVISION BLIZZARD INC,Activision Blizzard shares are trading lower despite high anticipation of the new Modern Warfare release and strength in its Call of Duty Mobile title. The company confirmed 'Modern Warfare' will have free maps and no loot boxes.,2,positive,0.8,0.7,,152,28,2.0,2019-10-18,79678.0,1.77850648760795,1.3201272892295,2.34689912727978,0.0,0.05399348447099,1.05435709558088,-1.8888,-0.7336,1.0941,-0.49,-0.36,0.86,0.007,-1.3596909999999998,1.2008,-0.9041,0.4177,0.35,-0.8545,-2.1359,-0.5935,2.4512,0.437,-1.0309
3296,AMERICAN EXPRESS CO,American Express Trades Higher On Q3 Earnings Beat,2,positive,0.9,0.8,,113,28,2.0,2019-10-18,59176.0,1.96128878742456,1.28468647423627,2.0383668607339303,1.4393959194421702,1.28412464223788,2.32837790849294,-1.9647,-1.7138,1.075,-0.49,-0.36,0.86,0.007,-1.44495,1.1979,-0.0575,-2.1205,-0.3258,1.1087,-0.3063,-0.8195,0.2744,-0.3004,0.4675
3304,AMERICAN EXPRESS CO,American Express Sees FY19 Adj. EPS $7.85-$8.35 vs $8.12 Estimate,2,negative,0.8,0.6,,126,28,0.0,2019-10-18,59176.0,1.96128878742456,1.28468647423627,2.0383668607339303,1.4393959194421702,1.28412464223788,2.32837790849294,-1.9647,-1.7138,1.075,-0.49,-0.36,0.86,0.007,-1.44495,1.1979,-0.0575,-2.1205,-0.3258,1.1087,-0.3063,-0.8195,0.2744,-0.3004,0.4675
3312,AMERICAN EXPRESS CO,"American Express Q3 EPS $2.08 Beats $2.03 Estimate, Sales $11B Beat $10.95B Estimate",2,positive,0.9,0.8,,130,28,2.0,2019-10-18,59176.0,1.96128878742456,1.28468647423627,2.0383668607339303,1.4393959194421702,1.28412464223788,2.32837790849294,-1.9647,-1.7138,1.075,-0.49,-0.36,0.86,0.007,-1.44495,1.1979,-0.0575,-2.1205,-0.3258,1.1087,-0.3063,-0.8195,0.2744,-0.3004,0.4675
