custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num,date,permno,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3,ret,exret,b_mkt,mkt-rf,smb,hml,rf,exret_hat,exret_1,exret_2,exret_3,exret_4,exret_5,exret_6,exret_7,exret_8,exret_9,exret_10
3246,ASTRAZENECA PLC,"Fasenra Approved in the US for Self-administration in a New Pre-filled Auto-injector, the Fasenra Pen",8,increase,0.8,0.7,"the approval of fasenra for self-administration in a new pre-filled auto-injector could lead to increased convenience and accessibility, potentially boosting sales and positively impacting astrazeneca plc's stock price.",158,78,2,,,,,,,,,,,,,,,,,,,,,,,,,,
3254,BANK OF AMERICA CORP,"Morgan Stanley Maintains Overweight on Bank of America, Lowers Price Target to $31",8,uncertain,0.6,0.3,"while the price target was lowered, the overall rating was maintained, leading to uncertainty in the stock price direction.",149,57,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3262,BIG LOTS INC,Big Lots Option Alert: Oct 18 $22.5 Calls Sweep (5) near the Ask: 620 @ $0.398 vs 640 OI; Ref=$21.24,8,uncertain,0.6,0.3,"the option alert indicates potential bullish sentiment, but the actual impact on the stock price is uncertain and may depend on various factors.",165,60,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3270,BIG LOTS INC,Big Lots Option Alert: Oct 18 $22.5 Calls Sweep (18) near the Ask: 600 @ $0.4 vs 640 OI; Ref=$21.2,8,increase,0.8,0.6,"the option alert for $22.5 calls sweep near the ask suggests bullish sentiment and potential buying activity, which could lead to an increase in big lots inc's stock price.",165,70,2,,,,,,,,,,,,,,,,,,,,,,,,,,
3278,BANK OF NEW YORK MELLON CORP,"Morgan Stanley Maintains Underweight on Bank of New York Mellon, Lowers Price Target to $40",8,decrease,0.8,0.6,"morgan stanley maintaining an underweight rating and lowering the price target suggests a negative outlook on bank of new york mellon, which could lead to a decrease in the stock price.",157,70,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3286,BURLINGTON STORES INC,Canada Goose Holdings Get Small Spike As Traders Circulate Unconfirmed Chatter Indicating Burlington Stores Has Approached The Company With An M&A Offer,8,uncertain,0.6,0.3,"the unconfirmed chatter about an m&a offer could potentially impact burlington stores inc's stock price, but without official confirmation, the outcome is uncertain.",160,67,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3294,FIRST BUSEY CORP,"B. Riley Maintains Neutral on First Busey, Lowers Price Target to $27",8,decrease,0.8,0.6,the lowering of the price target by b. riley may lead to decreased investor confidence and selling pressure on first busey corp's stock.,149,64,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3302,BLACKSTONE INC,Jon Najarian Sees Unusual Options Activity In Blackstone And Luckin Coffee,8,uncertain,0.6,0.3,"the impact of unusual options activity on stock price can vary, so it is uncertain how this news will specifically affect blackstone inc's stock price.",140,64,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3310,C F INDUSTRIES HOLDINGS INC,"Stifel Nicolaus Maintains Hold on CF Industries Holdings, Lowers Price Target to $46",8,decrease,0.8,0.6,"the fact that stifel nicolaus maintained a hold rating but lowered the price target suggests a negative outlook on c f industries holdings inc, leading to a potential decrease in stock price.",154,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3318,CHEGG INC,"BMO Capital Maintains Outperform on Chegg, Lowers Price Target to $35",8,uncertain,0.6,0.3,"the news maintains an outperform rating but lowers the price target, creating uncertainty in the stock price direction.",142,56,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3326,COHERUS BIOSCIENCES INC,Coherus Biosciences shares are trading higher. Not seeing any news to justify price action.,8,uncertain,0.6,0.3,"the increase in coherus biosciences shares without any news to justify it could be due to various factors, making it uncertain whether the stock price will continue to increase, decrease, or remain stable.",151,76,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3334,CHARTER COMMUNICATIONS INC NEW,Charter Communications shares are trading higher after KeyBanc upgraded the stock from Sector Weight to Overweight and announced a price target of $515 per share.,8,increase,0.8,0.7,the upgrade from sector weight to overweight and the higher price target of $515 per share are positive indicators that could lead to an increase in charter communications' stock price.,164,68,2,,,,,,,,,,,,,,,,,,,,,,,,,,
3342,CHARTER COMMUNICATIONS INC NEW,"KeyBanc Upgrades Charter Communications On Price Hike, Broadband Potential",8,increase,0.8,0.7,keybanc's upgrade on charter communications due to price hike and broadband potential is likely to attract investors and drive up the stock price.,149,61,2,,,,,,,,,,,,,,,,,,,,,,,,,,
