custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num,date,permno,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3,ret,exret,b_mkt,mkt-rf,smb,hml,rf,exret_hat,exret_1,exret_2,exret_3,exret_4,exret_5,exret_6,exret_7,exret_8,exret_9,exret_10
5268,AGILENT TECHNOLOGIES INC,Aligent shares are trading higher after the company reported better-than-expected Q4 EPS and sales results.,5,increase,0.9,0.8,,173,28,2.0,2019-11-25,87432.0,0.8596994914114475,-0.1993566284882564,3.326685830858911,1.0472537018358707,0.7641443146044535,-0.2144005163744466,1.4408,0.288,1.1222,0.92,1.32,-0.38,0.006,0.4023759999999998,0.5288,-0.3521,0.0457,0.5193,0.2991,0.3831,0.6513,-0.1826,-0.3611,1.6613
5276,AGILENT TECHNOLOGIES INC,"Agilent Sees FY20 Adj. EPS $3.38-$3.43 vs $3.44 Estimate, Sales $5.5B-$5.55B vs $5.55B Est.",5,decrease,0.8,0.5,,194,29,0.0,2019-11-25,87432.0,0.8596994914114475,-0.1993566284882564,3.326685830858911,1.0472537018358707,0.7641443146044535,-0.2144005163744466,1.4408,0.288,1.1222,0.92,1.32,-0.38,0.006,0.4023759999999998,0.5288,-0.3521,0.0457,0.5193,0.2991,0.3831,0.6513,-0.1826,-0.3611,1.6613
5284,AGILENT TECHNOLOGIES INC,"Agilent Sees Q1 Adj. EPS $0.80-$0.81 vs $0.84 Estimate, Sales $1.34B-$1.355B vs $1.38B Est.",5,decrease,0.8,0.5,,194,29,0.0,2019-11-25,87432.0,0.8596994914114475,-0.1993566284882564,3.326685830858911,1.0472537018358707,0.7641443146044535,-0.2144005163744466,1.4408,0.288,1.1222,0.92,1.32,-0.38,0.006,0.4023759999999998,0.5288,-0.3521,0.0457,0.5193,0.2991,0.3831,0.6513,-0.1826,-0.3611,1.6613
5292,AGILENT TECHNOLOGIES INC,"Agilent Technologies Q4 Adj. EPS $0.89 Beats $0.85 Estimate, Sales $1.37B Beat $1.33B Estimate",5,increase,0.9,0.8,,184,28,2.0,2019-11-25,87432.0,0.8596994914114475,-0.1993566284882564,3.326685830858911,1.0472537018358707,0.7641443146044535,-0.2144005163744466,1.4408,0.288,1.1222,0.92,1.32,-0.38,0.006,0.4023759999999998,0.5288,-0.3521,0.0457,0.5193,0.2991,0.3831,0.6513,-0.1826,-0.3611,1.6613
5300,AGILENT TECHNOLOGIES INC,Agilent Raises Qtr. Dividend From $0.164 To $0.18/Share,5,increase,0.9,0.7,,172,28,2.0,2019-11-20,87432.0,-0.2801752416417002,3.2603225799525237,3.8334210926685097,1.7320996150374413,1.3161241484047848,3.295985842332283,-0.9711,-0.7509,1.0203,-0.33,0.0,-0.45,0.006,-0.640401,-0.0775,0.8,0.288,0.5288,-0.3521,0.0457,0.5193,0.2991,0.3831,0.6513
5308,AGILENT TECHNOLOGIES INC,"Stifel Nicolaus Initiates Coverage On Agilent Technologies with Hold Rating, Announces $85 Price Target",5,uncertain,0.7,0.3,,174,29,1.0,2019-11-15,87432.0,-0.4088930319994688,1.0989018550600305,2.6705805102201996,-0.5184052512049675,-0.3763801338122485,-0.1171064711370628,1.9541,1.1431,1.0285,0.74,-0.26,-0.34,0.006,1.18701,-0.5123,1.4146,-0.7509,-0.0775,0.8,0.288,0.5288,-0.3521,0.0457,0.5193
5316,ALTISOURCE ASSET MANAGEMENT CORP,Altisource Asset Mgmt Q3 EPS $(2.25) Down From $(0.75) YoY,5,decrease,0.8,0.7,,177,29,0.0,2019-11-06,14127.0,-7.407407462596893,-17.01925800141011,-11.333331479316133,-0.0757019617594778,1.5384601262662168,-2.583028653507591,2.2727,2.1471,0.4391,-0.05,-0.72,0.23,0.006,2.2886550000000003,-7.353,-5.2497,0.2837,-4.4059,-2.5963,7.754,-4.2639,6.585,1.6833,-6.2756
5324,ATLANTIC AMERICAN CORP,"Atlantic American Q3 EPS $(0.07) Down From $0.04 YoY, Sales $47.75M Up From $45.57M YoY",5,decrease,0.8,0.6,,186,29,0.0,2019-11-12,15580.0,-14.598040282726288,-2.0724177701552327,4.2359420103373235,3.905864432454109,-4.571518212717674,-4.040818009812009,-6.6142,-6.731,0.1118,0.16,-0.12,-0.15,0.006,-6.638088000000001,-15.17,6.4992,9.0435,-10.6253,8.887,10.7509,4.901,-2.3647,-11.7301,4.4657
5332,APPLIED OPTOELECTRONICS INC,Applied Optoelectronics Amended S-3 Shows Registration For $250M Mixed Securities Offering,5,uncertain,0.7,0.5,,173,29,1.0,2019-11-20,14145.0,-0.7782094180583954,3.891056125151016,1.7509756205118745,-2.7514228597283363,-5.660375423813613,-5.963299519300169,0.2927,1.2256,1.6608,-0.33,0.0,-0.45,0.006,0.8347640000000001,-0.1591,-0.3159,-2.4704,3.0192,0.2142,1.2513,1.4089,-2.182,-1.0447,0.2234
5340,APPLIED OPTOELECTRONICS INC,"Piper Jaffray Maintains Neutral on Applied Optoelectronics, Raises Price Target to $10",5,increase,0.8,0.6,,175,28,2.0,2019-11-07,14145.0,1.7773671075701714,1.964453278117606,-4.583721148829922,3.3539287745952606,10.471694441906587,22.361550507293337,-8.7105,-9.6579,1.6789,0.38,-0.14,0.51,0.006,-9.354482,1.4667,12.1596,-4.0328,-1.8368,-3.6416,-0.934,-2.1017,-2.8616,1.2256,-0.1591
5348,APPLIED OPTOELECTRONICS INC,"Applied Optoelectronics Sees Q4 Adj. EPS $(0.23)-$(0.21) vs $(0.18) Est., Sales $46M-$49M vs $51.84M Est.",5,decrease,0.8,0.6,,198,29,0.0,2019-11-06,14145.0,-8.710508048534393,-3.15969168468917,-12.21178766140909,6.886787712574005,18.390807159495417,21.047011669517055,3.3539,4.3225,1.7138,-0.05,-0.72,0.23,0.006,3.43359,-9.6579,1.4667,12.1596,-4.0328,-1.8368,-3.6416,-0.934,-2.1017,-2.8616,1.2256
5356,APPLIED OPTOELECTRONICS INC,"Applied Optoelectronics Q3 Adj. EPS $(0.15) Beats $(0.24) Estimate, Sales $46.1M Miss $47.75M Estimate",5,uncertain,0.7,0.5,,190,29,1.0,2019-11-06,14145.0,-8.710508048534393,-3.15969168468917,-12.21178766140909,6.886787712574005,18.390807159495417,21.047011669517055,3.3539,4.3225,1.7138,-0.05,-0.72,0.23,0.006,3.43359,-9.6579,1.4667,12.1596,-4.0328,-1.8368,-3.6416,-0.934,-2.1017,-2.8616,1.2256
5364,APPLIED OPTOELECTRONICS INC,"Rosenblatt Upgrades Applied Optoelectronics to Buy, Announces $13 Price Target",5,increase,0.9,0.8,,174,28,2.0,2019-11-05,14145.0,3.3539287745952606,2.912620764170737,-9.532214949321505,10.762807726860046,13.247871191546023,13.247871191546023,6.8868,6.2137,1.6717,-0.03,0.24,0.45,0.006,6.930950999999999,4.3225,-9.6579,1.4667,12.1596,-4.0328,-1.8368,-3.6416,-0.934,-2.1017,-2.8616
5372,ADVANCE AUTO PARTS INC,"Nomura Maintains Neutral on Advance Auto Parts, Lowers Price Target to $160",5,decrease,0.9,0.7,,167,29,0.0,2019-11-13,89217.0,-1.1035439558327198,1.9926872289394384,0.126117296471695,-7.510963082313538,-6.726401054713849,-7.7622873336220755,1.5627,1.8194,0.6697,0.01,-0.22,-0.82,0.006,1.550003,-1.0677,3.3482,0.7908,-0.9542,0.1744,-1.977,-0.5124,0.0322,-1.2269,0.7484
5380,ADVANCE AUTO PARTS INC,Advance Auto Parts shares are trading lower despite the company reporting better-than-expected Q3 EPS and sales results. The company also announced a $700 million buyback.,5,uncertain,0.7,0.5,,182,29,1.0,2019-11-12,89217.0,1.5627017244696615,3.740230670525646,0.608426281426544,0.8482757024466991,-0.2717340991799988,-0.5185560760751273,-7.511,-7.5643,0.6813,0.16,-0.12,-0.15,0.006,-7.626008000000001,1.8194,-1.0677,3.3482,0.7908,-0.9542,0.1744,-1.977,-0.5124,0.0322,-1.2269
5388,ADVANCE AUTO PARTS INC,"Advance Auto Parts Reports Q3 Earnings Beat, Reaffirms Guidance",5,increase,0.8,0.6,,164,28,2.0,2019-11-12,89217.0,1.5627017244696615,3.740230670525646,0.608426281426544,0.8482757024466991,-0.2717340991799988,-0.5185560760751273,-7.511,-7.5643,0.6813,0.16,-0.12,-0.15,0.006,-7.626008000000001,1.8194,-1.0677,3.3482,0.7908,-0.9542,0.1744,-1.977,-0.5124,0.0322,-1.2269
