custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num,date,permno,ret,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3
4566,AGILENT TECHNOLOGIES INC,"Barclays Maintains Overweight on Agilent Technologies, Raises Price Target to $83",4,positive,0.9,0.8,,133,28,2.0,2019-02-21,87432.0,-0.8528490550816059,0.6804452277719975,1.9899898452078848,1.078449058118336,1.3415904715657234,0.3320491474997356,1.999481920855972
4574,AGILENT TECHNOLOGIES INC,"UPDATE: Agilent Raises FY19 Adj. EPS Guidance From $3-$3.05 To $3.03-$3.07 vs $3.05 Estimate, Sales From $5.13B-$5.17B To $5.15B-$5.19B vs $5.17B Est.",4,positive,0.8,0.6,,179,28,2.0,2019-02-20,87432.0,1.341590471565723,-0.8528490550816059,1.0947054928977185,0.2418564363653397,-0.9961767122149467,0.649182084304134,0.3495102319333698
4582,AGILENT TECHNOLOGIES INC,"Agilent Sees Q2 Adj. EPS $0.70-$0.72 vs $0.72 Estimate, Sales $1.255B-$1.27B vs $1.27B Est.; Raises FY19 Guidance",4,neutral,0.7,0.2,,162,28,1.0,2019-02-20,87432.0,1.341590471565723,-0.8528490550816059,1.0947054928977185,0.2418564363653397,-0.9961767122149467,0.649182084304134,0.3495102319333698
4590,AGILENT TECHNOLOGIES INC,"Agilent Technologies Q1 EPS $0.76 Beats $0.73 Estimate, Sales $1.284B Beat $1.27B Estimate",4,positive,0.9,0.8,,145,28,2.0,2019-02-20,87432.0,1.341590471565723,-0.8528490550816059,1.0947054928977185,0.2418564363653397,-0.9961767122149467,0.649182084304134,0.3495102319333698
4598,AGILENT TECHNOLOGIES INC,"Deutsche Bank Maintains Buy on Agilent Technologies, Raises Price Target to $85",4,positive,0.9,0.8,,132,28,2.0,2019-02-12,87432.0,1.301258988678455,0.2335543045774102,1.9333045938849436,3.049174078366357,0.3693915205076337,0.995619267155079,-0.2883371180045224
4606,ALTISOURCE ASSET MANAGEMENT CORP,Peabody Declares Supplemental Cash Dividend Of $1.85/Share To Augment $1.5B Buyback,4,positive,0.9,0.8,,144,28,2.0,2019-02-27,14127.0,-7.09562823176384,3.0659807845950127,-1.4508592772488282,-2.408971762834422,0.8205120451748371,1.3402074090333782,12.342856635278476
4614,ALTISOURCE ASSET MANAGEMENT CORP,"Altisource Asset Management Q4 EPS $(2.69) Down From $(1.15) YoY, Sales $4.02M Down From $4.08M YoY",4,negative,0.8,0.7,,155,28,0.0,2019-02-27,14127.0,-7.09562823176384,3.0659807845950127,-1.4508592772488282,-2.408971762834422,0.8205120451748371,1.3402074090333782,12.342856635278476
4622,APPLIED OPTOELECTRONICS INC,"UPDATE: DA Davidson Downgrades Applied Optoelectronics As Firm Notes 'With inventory levels growing at data center customers, visibility to overall revenue growth is muted",4,negative,0.9,0.8,,148,28,0.0,2019-02-22,14145.0,5.616436153650284,8.981843292713165,-14.137486050359716,-16.47211395062338,-0.0684413127601146,-2.2103141956109407,-2.860940454444516
4630,APPLIED OPTOELECTRONICS INC,Needham Downgrades Applied Optoelectronics to Hold,4,negative,0.8,0.7,,128,28,0.0,2019-02-22,14145.0,5.616436153650284,8.981843292713165,-14.137486050359716,-16.47211395062338,-0.0684413127601146,-2.2103141956109407,-2.860940454444516
4638,APPLIED OPTOELECTRONICS INC,"DA Davidson: Near-Term Applied Optoelectronics Outlook Blurred By Inventory Congestion, China Weakness",4,negative,0.8,0.9,,139,28,0.0,2019-02-22,14145.0,5.616436153650284,8.981843292713165,-14.137486050359716,-16.47211395062338,-0.0684413127601146,-2.2103141956109407,-2.860940454444516
4646,APPLIED OPTOELECTRONICS INC,"DA Davidson Downgrades Applied Optoelectronics to Neutral, Lowers Price Target to $16",4,negative,0.8,0.9,,136,28,0.0,2019-02-22,14145.0,5.616436153650284,8.981843292713165,-14.137486050359716,-16.47211395062338,-0.0684413127601146,-2.2103141956109407,-2.860940454444516
4654,APPLIED OPTOELECTRONICS INC,Applied Optoelectronics Sees Q1 Sales $50M-$55M vs $64.6M Estimate,4,negative,0.8,0.9,,140,28,0.0,2019-02-21,14145.0,-0.0684413127601146,5.616436153650284,-7.534249374776758,-10.890411866420624,-2.1433398127555847,-2.7944116737178226,-0.7472866813012402
4662,APPLIED OPTOELECTRONICS INC,"Applied Optoelectronics Q4 EPS $(0.02) Beats $(0.04) Estimate, Sales $58.9M Miss $60.28M Estimate",4,neutral,0.7,0.3,,151,28,1.0,2019-02-21,14145.0,-0.0684413127601146,5.616436153650284,-7.534249374776758,-10.890411866420624,-2.1433398127555847,-2.7944116737178226,-0.7472866813012402
