Unnamed: 0,custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,headline type num,date,ticker,datetime_utc,permno,cusip,ret,ret_f1,ret_f2,ret_f3,ret_f4,ret_f5,ret_f6,ret_f7,ret_f8,ret_f9,ret_f10,date1,date2,date3,date4,date5,date6,date7,date8,date9,date10,Mkt-RF,SMB,HML,RF,Mkt-RF_1,SMB_1,HML_1,RF_1,date_1,Mkt-RF_2,SMB_2,HML_2,RF_2,date_2,Mkt-RF_3,SMB_3,HML_3,RF_3,date_3,Mkt-RF_4,SMB_4,HML_4,RF_4,date_4,Mkt-RF_5,SMB_5,HML_5,RF_5,date_5,Mkt-RF_6,SMB_6,HML_6,RF_6,date_6,Mkt-RF_7,SMB_7,HML_7,RF_7,date_7,Mkt-RF_8,SMB_8,HML_8,RF_8,date_8,Mkt-RF_9,SMB_9,HML_9,RF_9,date_9,Mkt-RF_10,SMB_10,HML_10,RF_10,date_10,index,b_mkt,b_smb,b_hml,er_CAPM,ar_CAPM,er_CAPM_1,ar_CAPM_1,er_CAPM_2,ar_CAPM_2,er_CAPM_3,ar_CAPM_3,er_CAPM_4,ar_CAPM_4,er_CAPM_5,ar_CAPM_5,er_CAPM_6,ar_CAPM_6,er_CAPM_7,ar_CAPM_7,er_CAPM_8,ar_CAPM_8,er_CAPM_9,ar_CAPM_9,er_CAPM_10,ar_CAPM_10,CAPM_CAR_1,CAPM_CAR_2,CAPM_CAR_3,CAPM_CAR_5,CAPM_CAR_10
5069,5069,AGILENT TECHNOLOGIES INC,"Bank of America Maintains Buy on Agilent Technologies, Inc. Common Stock, Lowers Price Target to $82",4,uncertain,0.6,0.3,,1.0,2019-05-15,A,2019-05-15 13:13:00+00:00,87432.0,00846U10,-0.1101171225309372,0.0460056699812412,0.0097170080989599,0.001181828440167,0.0035412998404353,0.0144513631239533,-0.0004969153669662,0.0064633642323315,0.0013173362240195,-0.0067423093132674,-0.0049669379368424,2019-05-16,2019-05-17,2019-05-20,2019-05-21,2019-05-22,2019-05-23,2019-05-24,2019-05-28,2019-05-29,2019-05-30,0.58,0.05,-0.96,0.009,0.91,-0.4,-0.32,0.009,2019-05-16,-0.73,-0.8,0.29,0.009,2019-05-17,-0.65,-0.23,0.72,0.009,2019-05-20,0.9,0.43,-0.35,0.009,2019-05-21,-0.4,-0.52,-0.6,0.009,2019-05-22,-1.37,-0.69,-0.28,0.009,2019-05-23,0.23,0.5,0.31,0.009,2019-05-24,-0.78,0.29,-0.63,0.009,2019-05-28,-0.71,-0.29,0.41,0.009,2019-05-29,0.14,-0.28,-0.76,0.009,2019-05-30,668001.0,1.0341,-0.015,-0.3283,0.6087779999999999,-0.7188951225309371,0.950031,-0.9040253300187588,-0.745893,0.75561000809896,-0.663165,0.664346828440167,0.93969,-0.9361487001595646,-0.40464,0.4190913631239533,-1.4077170000000003,1.407220084633034,0.246843,-0.2403796357676685,-0.797598,0.7989153362240196,-0.7252109999999999,0.7184686906867325,0.153774,-0.1587409379368424,-1.622920452549696,-0.1484153219197989,1.4199568365391269,0.1472894914045557,2.9445749009632283
5077,5077,AGILENT TECHNOLOGIES INC,Agilent Technologies shares are trading lower after the company reported worse-than-expected Q2 EPS and sales results; the company also announced weak Q3 sales guidance.,4,decrease,0.8,0.9,,0.0,2019-05-15,A,2019-05-15 13:06:00+00:00,87432.0,00846U10,-0.1101171225309372,0.0460056699812412,0.0097170080989599,0.001181828440167,0.0035412998404353,0.0144513631239533,-0.0004969153669662,0.0064633642323315,0.0013173362240195,-0.0067423093132674,-0.0049669379368424,2019-05-16,2019-05-17,2019-05-20,2019-05-21,2019-05-22,2019-05-23,2019-05-24,2019-05-28,2019-05-29,2019-05-30,0.58,0.05,-0.96,0.009,0.91,-0.4,-0.32,0.009,2019-05-16,-0.73,-0.8,0.29,0.009,2019-05-17,-0.65,-0.23,0.72,0.009,2019-05-20,0.9,0.43,-0.35,0.009,2019-05-21,-0.4,-0.52,-0.6,0.009,2019-05-22,-1.37,-0.69,-0.28,0.009,2019-05-23,0.23,0.5,0.31,0.009,2019-05-24,-0.78,0.29,-0.63,0.009,2019-05-28,-0.71,-0.29,0.41,0.009,2019-05-29,0.14,-0.28,-0.76,0.009,2019-05-30,668001.0,1.0341,-0.015,-0.3283,0.6087779999999999,-0.7188951225309371,0.950031,-0.9040253300187588,-0.745893,0.75561000809896,-0.663165,0.664346828440167,0.93969,-0.9361487001595646,-0.40464,0.4190913631239533,-1.4077170000000003,1.407220084633034,0.246843,-0.2403796357676685,-0.797598,0.7989153362240196,-0.7252109999999999,0.7184686906867325,0.153774,-0.1587409379368424,-1.622920452549696,-0.1484153219197989,1.4199568365391269,0.1472894914045557,2.9445749009632283
5085,5085,AGILENT TECHNOLOGIES INC,"Deutsche Bank Maintains Buy on Agilent Technologies, Inc. Common Stock, Lowers Price Target to $85",4,uncertain,0.6,0.3,,1.0,2019-05-15,A,2019-05-15 12:39:00+00:00,87432.0,00846U10,-0.1101171225309372,0.0460056699812412,0.0097170080989599,0.001181828440167,0.0035412998404353,0.0144513631239533,-0.0004969153669662,0.0064633642323315,0.0013173362240195,-0.0067423093132674,-0.0049669379368424,2019-05-16,2019-05-17,2019-05-20,2019-05-21,2019-05-22,2019-05-23,2019-05-24,2019-05-28,2019-05-29,2019-05-30,0.58,0.05,-0.96,0.009,0.91,-0.4,-0.32,0.009,2019-05-16,-0.73,-0.8,0.29,0.009,2019-05-17,-0.65,-0.23,0.72,0.009,2019-05-20,0.9,0.43,-0.35,0.009,2019-05-21,-0.4,-0.52,-0.6,0.009,2019-05-22,-1.37,-0.69,-0.28,0.009,2019-05-23,0.23,0.5,0.31,0.009,2019-05-24,-0.78,0.29,-0.63,0.009,2019-05-28,-0.71,-0.29,0.41,0.009,2019-05-29,0.14,-0.28,-0.76,0.009,2019-05-30,668001.0,1.0341,-0.015,-0.3283,0.6087779999999999,-0.7188951225309371,0.950031,-0.9040253300187588,-0.745893,0.75561000809896,-0.663165,0.664346828440167,0.93969,-0.9361487001595646,-0.40464,0.4190913631239533,-1.4077170000000003,1.407220084633034,0.246843,-0.2403796357676685,-0.797598,0.7989153362240196,-0.7252109999999999,0.7184686906867325,0.153774,-0.1587409379368424,-1.622920452549696,-0.1484153219197989,1.4199568365391269,0.1472894914045557,2.9445749009632283
5093,5093,AGILENT TECHNOLOGIES INC,"Barclays Maintains Overweight on Agilent Technologies, Inc. Common Stock, Lowers Price Target to $86",4,uncertain,0.6,0.3,,1.0,2019-05-15,A,2019-05-15 12:28:00+00:00,87432.0,00846U10,-0.1101171225309372,0.0460056699812412,0.0097170080989599,0.001181828440167,0.0035412998404353,0.0144513631239533,-0.0004969153669662,0.0064633642323315,0.0013173362240195,-0.0067423093132674,-0.0049669379368424,2019-05-16,2019-05-17,2019-05-20,2019-05-21,2019-05-22,2019-05-23,2019-05-24,2019-05-28,2019-05-29,2019-05-30,0.58,0.05,-0.96,0.009,0.91,-0.4,-0.32,0.009,2019-05-16,-0.73,-0.8,0.29,0.009,2019-05-17,-0.65,-0.23,0.72,0.009,2019-05-20,0.9,0.43,-0.35,0.009,2019-05-21,-0.4,-0.52,-0.6,0.009,2019-05-22,-1.37,-0.69,-0.28,0.009,2019-05-23,0.23,0.5,0.31,0.009,2019-05-24,-0.78,0.29,-0.63,0.009,2019-05-28,-0.71,-0.29,0.41,0.009,2019-05-29,0.14,-0.28,-0.76,0.009,2019-05-30,668001.0,1.0341,-0.015,-0.3283,0.6087779999999999,-0.7188951225309371,0.950031,-0.9040253300187588,-0.745893,0.75561000809896,-0.663165,0.664346828440167,0.93969,-0.9361487001595646,-0.40464,0.4190913631239533,-1.4077170000000003,1.407220084633034,0.246843,-0.2403796357676685,-0.797598,0.7989153362240196,-0.7252109999999999,0.7184686906867325,0.153774,-0.1587409379368424,-1.622920452549696,-0.1484153219197989,1.4199568365391269,0.1472894914045557,2.9445749009632283
5101,5101,AMERISOURCEBERGEN CORP,Aurora Cannabis shares are trading lower after the company reported a larger-than-expected decline in Q3 EPS and EBITDA.,4,uncertain,0.6,0.4,,1.0,2019-05-15,ABC,2019-05-15 13:20:00+00:00,81540.0,03073E10,0.0152562018483877,-0.0060610957443714,0.0056102322414517,0.0020213453099131,0.0009683106909506,-0.0089480094611644,0.0103302150964736,-0.00120764458552,-0.001692721969448,0.0130803612992167,0.0020722255576401,2019-05-16,2019-05-17,2019-05-20,2019-05-21,2019-05-22,2019-05-23,2019-05-24,2019-05-28,2019-05-29,2019-05-30,0.58,0.05,-0.96,0.009,0.91,-0.4,-0.32,0.009,2019-05-16,-0.73,-0.8,0.29,0.009,2019-05-17,-0.65,-0.23,0.72,0.009,2019-05-20,0.9,0.43,-0.35,0.009,2019-05-21,-0.4,-0.52,-0.6,0.009,2019-05-22,-1.37,-0.69,-0.28,0.009,2019-05-23,0.23,0.5,0.31,0.009,2019-05-24,-0.78,0.29,-0.63,0.009,2019-05-28,-0.71,-0.29,0.41,0.009,2019-05-29,0.14,-0.28,-0.76,0.009,2019-05-30,667387.0,0.8703,0.1066,0.2879,0.513774,-0.4985177981516122,0.800973,-0.8070340957443715,-0.626319,0.6319292322414517,-0.5566949999999999,0.5587163453099131,0.79227,-0.7913016893090494,-0.33912,0.3301719905388355,-1.1833110000000002,1.193641215096474,0.209169,-0.21037664458552,-0.669834,0.668141278030552,-0.6089129999999999,0.6219933612992167,0.130842,-0.1287697744423598,-1.3055518938959838,-0.1751048635029197,1.190645577551365,0.0975866465396991,2.474801425937198
5109,5109,ARBOR REALTY TRUST INC,Arbor Realty Trust Reports 8M Share Common Stock Offering,4,uncertain,0.6,0.3,,1.0,2019-05-15,ABR,2019-05-15 21:55:00+00:00,90102.0,03892310,0.0197119209915399,0.0129870632663369,-0.046153862029314,0.045698944479227,-0.0231362860649824,0.0078947292640805,0.0,-0.0182767454534769,-0.0132978595793247,0.0269541516900062,-0.0734908059239387,2019-05-16,2019-05-17,2019-05-20,2019-05-21,2019-05-22,2019-05-23,2019-05-24,2019-05-28,2019-05-29,2019-05-30,0.58,0.05,-0.96,0.009,0.91,-0.4,-0.32,0.009,2019-05-16,-0.73,-0.8,0.29,0.009,2019-05-17,-0.65,-0.23,0.72,0.009,2019-05-20,0.9,0.43,-0.35,0.009,2019-05-21,-0.4,-0.52,-0.6,0.009,2019-05-22,-1.37,-0.69,-0.28,0.009,2019-05-23,0.23,0.5,0.31,0.009,2019-05-24,-0.78,0.29,-0.63,0.009,2019-05-28,-0.71,-0.29,0.41,0.009,2019-05-29,0.14,-0.28,-0.76,0.009,2019-05-30,668566.0,0.5167,0.4166,0.2019,0.308686,-0.28897407900846,0.4791970000000001,-0.4662099367336632,-0.368191,0.3220371379706859,-0.326855,0.3725539444792271,0.47403,-0.4971662860649825,-0.19768,0.2055747292640805,-0.6988790000000001,0.6988790000000001,0.127841,-0.1461177454534769,-0.394026,0.3807281404206753,-0.357857,0.3848111516900062,0.081338,-0.1548288059239387,-0.7551840157421232,-0.1441727987629772,0.6945910824499131,0.0809623876783252,1.3690464699973464
5117,5117,ACASTI PHARMA INC,"Acasti Pharma Reports Notices Of Allowance For Added Composition, Use Patents In Mexico, Chile, Israel",4,increase,0.8,0.7,,2.0,2019-05-15,ACST,2019-05-15 12:09:00+00:00,13750.0,00430K87,0.0493827424943447,0.0233420189470052,-0.0597393736243248,0.0465922616422176,-0.0272258929908275,0.0503025688230991,-0.0133237605914473,0.0346715599298477,0.0070546334609389,0.0136602912098169,-0.0152038885280489,2019-05-16,2019-05-17,2019-05-20,2019-05-21,2019-05-22,2019-05-23,2019-05-24,2019-05-28,2019-05-29,2019-05-30,0.58,0.05,-0.96,0.009,0.91,-0.4,-0.32,0.009,2019-05-16,-0.73,-0.8,0.29,0.009,2019-05-17,-0.65,-0.23,0.72,0.009,2019-05-20,0.9,0.43,-0.35,0.009,2019-05-21,-0.4,-0.52,-0.6,0.009,2019-05-22,-1.37,-0.69,-0.28,0.009,2019-05-23,0.23,0.5,0.31,0.009,2019-05-24,-0.78,0.29,-0.63,0.009,2019-05-28,-0.71,-0.29,0.41,0.009,2019-05-29,0.14,-0.28,-0.76,0.009,2019-05-30,663366.0,1.0013,-0.1652,-1.0222,0.589754,-0.5403712575056553,0.920183,-0.8968409810529948,-0.7219490000000001,0.6622096263756753,-0.6418450000000001,0.6884372616422177,0.91017,-0.9373958929908276,-0.39152,0.4418225688230991,-1.3627810000000002,1.3494572394085529,0.239299,-0.2046274400701523,-0.7720140000000001,0.779068633460939,-0.701923,0.7155832912098169,0.149182,-0.164385888528049,-1.43721223855865,-0.2346313546773195,1.350646888017893,0.1928639374744892,2.9169184043042065
5125,5125,AGREE REALTY CORP,Agree Realty Reports Purchase Of Wawa's Flagship Store In Philadelphia's Center City For $15M,4,increase,0.8,0.7,,2.0,2019-05-15,ADC,2019-05-15 12:39:00+00:00,80412.0,00849210,0.0038547390140593,0.0147163281217217,-0.0119297849014401,-0.0037878749426454,0.0061786668375134,0.0302314311265945,0.0263640880584716,0.0102747166529297,-0.0375856906175613,-0.0029863831587135,0.0299538988620042,2019-05-16,2019-05-17,2019-05-20,2019-05-21,2019-05-22,2019-05-23,2019-05-24,2019-05-28,2019-05-29,2019-05-30,0.58,0.05,-0.96,0.009,0.91,-0.4,-0.32,0.009,2019-05-16,-0.73,-0.8,0.29,0.009,2019-05-17,-0.65,-0.23,0.72,0.009,2019-05-20,0.9,0.43,-0.35,0.009,2019-05-21,-0.4,-0.52,-0.6,0.009,2019-05-22,-1.37,-0.69,-0.28,0.009,2019-05-23,0.23,0.5,0.31,0.009,2019-05-24,-0.78,0.29,-0.63,0.009,2019-05-28,-0.71,-0.29,0.41,0.009,2019-05-29,0.14,-0.28,-0.76,0.009,2019-05-30,667296.0,0.1522,0.2155,-0.2807,0.0972759999999999,-0.0934212609859406,0.147502,-0.1327856718782782,-0.102106,0.0901762150985598,-0.08993,0.0861421250573545,0.14598,-0.1398013331624865,-0.05188,0.0821114311265945,-0.199514,0.2258780880584717,0.044006,-0.0337312833470702,-0.109716,0.0721303093824386,-0.099062,0.0960756168412864,0.030308,-0.0003541011379957,-0.2262069328642189,-0.0426094567797184,0.1763183401559144,0.0284522230214625,0.4421100609237254
5133,5133,ARCHER DANIELS MIDLAND CO,"Archer Daniels Midland CEO Highlights Belief US, China Will Reach Deal To End Trade War But Will Always Have Conflict",4,uncertain,0.7,0.3,,1.0,2019-05-15,ADM,2019-05-15 18:41:00+00:00,10516.0,03948310,0.0031824007164686,-0.0242966823279857,0.0091742714866995,0.0,0.0064935316331684,-0.0193548519164323,0.0,0.0105263059958815,0.0234375409781932,0.0101781068369746,0.0314860865473747,2019-05-16,2019-05-17,2019-05-20,2019-05-21,2019-05-22,2019-05-23,2019-05-24,2019-05-28,2019-05-29,2019-05-30,0.58,0.05,-0.96,0.009,0.91,-0.4,-0.32,0.009,2019-05-16,-0.73,-0.8,0.29,0.009,2019-05-17,-0.65,-0.23,0.72,0.009,2019-05-20,0.9,0.43,-0.35,0.009,2019-05-21,-0.4,-0.52,-0.6,0.009,2019-05-22,-1.37,-0.69,-0.28,0.009,2019-05-23,0.23,0.5,0.31,0.009,2019-05-24,-0.78,0.29,-0.63,0.009,2019-05-28,-0.71,-0.29,0.41,0.009,2019-05-29,0.14,-0.28,-0.76,0.009,2019-05-30,662634.0,0.7534,0.0513,0.3283,0.445972,-0.4427895992835313,0.694594,-0.7188906823279858,-0.540982,0.5501562714866995,-0.4807099999999999,0.4807099999999999,0.68706,-0.6805664683668315,-0.29236,0.2730051480835676,-1.0231580000000002,1.0231580000000002,0.182282,-0.1717556940041184,-0.5786519999999999,0.6020895409781932,-0.5259139999999999,0.5360921068369745,0.114476,-0.0829899134526252,-1.161680281611517,-0.1687344108412862,1.0308662714866994,0.073148679716736,2.179599188441992
5141,5141,ADMA BIOLOGICS INC,ADMA Biologics shares are trading lower after the company proposed a $45 million common stock offering.,4,decrease,0.8,0.7,,0.0,2019-05-15,ADMA,2019-05-15 20:48:00+00:00,15056.0,00089910,0.0113635715097188,-0.0301553960889577,-0.00439696572721,0.004100919701159,0.0097392229363322,-0.0121343927457928,-0.0141732525080442,-0.0108626252040267,-0.01647281460464,-0.0650246739387512,-0.0049174358136951,2019-05-16,2019-05-17,2019-05-20,2019-05-21,2019-05-22,2019-05-23,2019-05-24,2019-05-28,2019-05-29,2019-05-30,0.58,0.05,-0.96,0.009,0.91,-0.4,-0.32,0.009,2019-05-16,-0.73,-0.8,0.29,0.009,2019-05-17,-0.65,-0.23,0.72,0.009,2019-05-20,0.9,0.43,-0.35,0.009,2019-05-21,-0.4,-0.52,-0.6,0.009,2019-05-22,-1.37,-0.69,-0.28,0.009,2019-05-23,0.23,0.5,0.31,0.009,2019-05-24,-0.78,0.29,-0.63,0.009,2019-05-28,-0.71,-0.29,0.41,0.009,2019-05-29,0.14,-0.28,-0.76,0.009,2019-05-30,664110.0,0.945,1.591,0.4337,0.5570999999999999,-0.545736428490281,0.86895,-0.8991053960889578,-0.68085,0.6764530342727899,-0.60525,0.609350919701159,0.8594999999999999,-0.8497607770636677,-0.369,0.3568656072542071,-1.2856500000000002,1.271476747491956,0.22635,-0.2372126252040267,-0.7281,0.71162718539536,-0.6619499999999999,0.5969253260612487,0.1413,-0.1462174358136952,-1.444841824579239,-0.2226523618161678,1.2858039539739488,0.1164557498916983,2.5534648051850497
