custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,headline type num,date,ticker,datetime_utc,permno,cusip,ret,ret_fd1,ret_fd2,ret_fd3,ret_fd5,ret_fd10,ret_fd30,ret_fd60,ret_ld1,ret_ld2,ret_ld3,ret_ld5,ret_ld10,ret_ld30,ret_ld60,ret_f1,ret_f2,ret_f3,ret_f4,ret_f5,ret_f6,ret_f7,ret_f8,ret_f9,ret_f10,ret_f11,ret_f12,ret_f13,ret_f14,ret_f15,ret_f16,ret_f17,ret_f18,ret_f19,ret_f20,ret_f21,ret_f22,ret_f23,ret_f24,ret_f25,ret_f26,ret_f27,ret_f28,ret_f29,ret_f30,ret_f31,ret_f32,ret_f33,ret_f34,ret_f35,ret_f36,ret_f37,ret_f38,ret_f39,ret_f40,ret_f41,ret_f42,ret_f43,ret_f44,ret_f45,ret_f46,ret_f47,ret_f48,ret_f49,ret_f50,ret_f51,ret_f52,ret_f53,ret_f54,ret_f55,ret_f56,ret_f57,ret_f58,ret_f59,ret_f60,Mkt-RF,SMB,HML,RF,PERMNO,n,RET,alpha,b_mkt,b_smb,b_hml,ivol,tvol,R2,exret,headline_word_count
0,AGILENT TECHNOLOGIES INC,"Cowen & Co. Maintains Outperform on Agilent Technologies, Raises Price Target to $90",1,increase,0.8,0.2,,2,2019-03-26,A,2019-03-26 11:52:00+00:00,87432.0,00846U10,0.0142103238031268,-0.0204587914049625,-0.0117793497999135,-0.0033478523558225,0.0080986150008344,0.0115773728319779,-0.0481829417000914,-0.0890585327270829,0.0067096948623657,-0.0302439418704452,-0.017301055840651,-0.0179079218731724,0.0027741954292102,0.0490764305691817,0.2163214908227655,0.0192636493593454,-0.000839922344312,0.00504409102723,-0.0234211403876543,0.0119913825765252,0.0012696016347035,0.0063397977501153,-0.0100797889754176,-0.003394141793251,0.0002129020140273,0.0002127755142282,-0.0010638135718181,0.0034078774042427,-0.0019104256061837,-0.0455125346779823,0.0193850025534629,-0.018579201772809,-0.0008908889722079,0.0129290679469704,-0.0143045270815491,0.0035722225438803,0.016907637938857,0.0072194668464362,0.0136836934834718,-0.0012855702079832,-0.0008582045556977,0.0027915195096284,0.0102783627808094,-0.0163204837590456,0.017129935324192,0.0010617803782224,-0.006576104555279,0.0068332199007272,0.0031812875531613,0.0016913706203922,0.0065427934750914,-0.0419375151395797,-0.0048150015063583,-0.006817711982876,-0.0017714352579787,0.0015527881914749,0.0064229699783027,0.0127641251310706,0.0006518639274872,-0.0104234432801604,0.0061443666927516,-0.0510359928011894,-0.0032176373060792,0.0002306233946001,-0.0036883319262415,0.0080980667844414,-0.0018360802205279,-0.0052886488847434,0.0092464527115225,0.0151168080046773,0.0313628017902374,-0.0019689379259943,0.0070144608616828,0.0237266030162572,-0.0140335923060774,0.76,0.17,0.46,0.009,87432,252,1.4210%,0.0003,1.0274,-0.067,-0.4049,1.1744%,1.6673%,50.3827%,0.8358%,13
1,A E C O M,"Aecom Awarded Nationwide Nasa Environmental Remediation Services Contract; The Firm-Fixed-Price, Indefinite-Delivery/Indefinite-Quantity Contract Has A Performance Period From February 2019 Through February 2024, With A Maximum Combined Value Of $300 Mln",1,increase,0.8,0.5,,2,2019-03-26,ACM,2019-03-26 17:10:00+00:00,91975.0,00766T10,0.0016966795083135,-0.0125339031219482,-0.0003387607654209,0.0050812882673236,0.0335365763366124,0.0447154359077537,0.1429539683983764,0.2442411573374745,0.0037465498317033,-0.0202792750055805,-0.0183211564947638,-0.0337705138183792,-0.0299539124698752,0.0232638931958804,0.1175577728375862,-0.0020148211624473,0.0181696135550737,0.0079312594607472,-0.0053173759952187,0.0083528235554695,0.0178926102817058,-0.0198567286133766,-0.0079707661643624,0.0040173730812966,-0.0113371172919869,-0.0067453240044415,0.0040746666491031,0.0297599285840988,0.0160919465124607,-0.0009696407942101,-0.0012940474553033,0.0035632879007607,0.0019367777276784,0.0057989172637462,0.000960944511462,0.0105599975213408,0.0104496488347649,-0.0028204373084008,0.0025141397491097,0.0,-0.0078369909897446,-0.0069510051980614,0.0044543235562741,0.0104529596865177,0.0031348082702606,-0.0059375166893005,0.0066017289645969,0.0043722484260797,-0.0105721438303589,-0.0166561529040336,0.0006391354836523,0.0009581822669133,0.0006381766870617,0.0035076115746051,-0.0057196822017431,-0.0118248909711837,-0.0126131754368543,0.0009826000314205,-0.0467932038009166,0.0127017116174101,0.0044067511335015,-0.00641237385571,-0.0047554788179695,-0.0204777643084526,-0.0090592410415411,-0.0007032509893178,-0.0073891975916922,0.0024814463686198,-0.0017680743476375,-0.0035423443187028,-0.0067543061450123,0.0032211935613304,-0.0024973812978714,0.0168097727000713,0.0,0.76,0.17,0.46,0.009,91975,252,0.1697%,-0.0005,1.1473,0.6905,0.6015,1.1364%,1.6154%,50.5118%,-1.1372%,30
10,BRAINSTORM CELL THERAPEUTICS INC,BrainStorm Announces Grant of Additional New European Patent for NurOwn,1,increase,0.7,0.5,,2,2019-03-26,BCLI,2019-03-26 10:34:00+00:00,14925.0,10501E20,0.0,0.0164318531751632,3.1536373512608407e-10,0.0187793246889285,0.0070421915945015,-0.0399061176111802,-0.0539906119056564,-0.0985916199593716,0.0364963710308074,0.0544555114124909,0.0623441355729974,0.0570719617514159,0.0730479089998998,0.1181103148298075,0.3107693005921026,0.0136821819469332,-0.0002367587439948,0.0052107390947639,0.0063619338907301,-0.0004682851431425,-0.0215506721287965,0.0019152027089148,-0.0066905324347317,0.0033677986357361,-0.0023974701762199,0.0026436098851263,-0.0093480199575424,-0.0009678421192802,0.0062968833371996,0.0024067941121757,0.0033613296691328,-0.0349365659058094,-0.0235556829720735,0.0068562836386263,-0.001513275434263,-0.0030310414731502,0.0146946543827652,0.0079900054261088,0.0076790037564933,0.0103244390338659,-0.0029196820687502,0.0165934339165687,-0.0033857168164104,-0.0024265584070235,0.0068109650164842,0.0060401065275073,0.0002402050013188,0.0105641921982169,-0.0038013744633644,-0.0023848908022046,-0.0217548087239265,-0.0146627202630043,0.012648862786591,0.0004897536709904,-0.0061199511401355,0.0150246461853385,-0.0067944377660751,0.0122159784659743,0.0038619320839643,0.0055301645770668,0.0047824191860854,-0.0002380327496211,0.019281156361103,-0.0044371467083692,-0.0011728650424629,0.0058713010512292,0.0130748897790908,-0.0018436971586197,0.0,0.0122373299673199,-0.0095803374424576,0.0066789709962904,0.0025166005361825,-0.0059333252720534,0.0034434734843671,0.76,0.17,0.46,0.009,14925,252,0.0000%,0.0013,0.2258,0.5837,-0.0802,2.7608%,2.7948%,2.4170%,-0.2309%,10
100,ALTRIA GROUP INC,Cronos Group Reports 250% Revenue Growth In Q4,1,decrease,0.7,0.5,,0,2019-03-26,MO,2019-03-26 15:02:00+00:00,13901.0,02209S10,0.0084880553185939,-0.0128002725541591,-0.0057863933235837,0.0070138790975304,-0.0059617777467081,-0.0336664608463546,-0.0889005745230153,-0.1049419845682487,0.0112661141902208,0.0075357782014142,0.0294151272845595,0.0010298945153179,0.024085232832302,0.1744269437807848,0.1843694342975377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,0.17,0.46,0.009,13901,252,0.8488%,0.0,0.4894,-0.3251,0.2535,1.5087%,1.5844%,9.3252%,0.4025%,8
1000,BIOGEN INC,"Biogen, Eisai To Discontinue Phase 3 ENGAGE, EMERGE Trials Of Aducanumab In Alzheimer's",1,decrease,0.9,0.8,,0,2019-03-21,BIIB,2019-03-21 11:00:00+00:00,76841.0,09062X10,-0.2923047840595245,-0.0448254495859146,-0.0291784655731052,0.0265779191445625,0.0261812506016727,0.0359660961390455,0.0189526986524324,0.0215972922812677,-0.009791244752705,-0.0155230173667744,-0.0281322918222706,9.358180140806029e-05,0.0082397559988298,-0.0486661219839855,0.0966716004175176,-0.0943026095628738,0.0086768232285976,-0.0150537798181176,0.015283859334886,-0.0150537798181176,0.0589519813656806,0.0391752906143665,0.001587271108292,-0.0080000301823019,-0.0161290168762207,0.0163934268057346,-0.012096744030714,0.0102040814235806,0.0262626111507415,0.0059054968878626,-0.0176124796271324,-0.0099601596593856,-0.0321932062506675,0.0041580200195312,-0.0082815261557698,0.0396659225225448,0.0200803223997354,0.0157480165362358,-0.0077518937177956,-0.0058593600988388,-0.0176817588508129,-0.035999983549118,-0.0248962808400392,0.010638297535479,-0.0021052309311926,0.0063290977850556,0.0083856964483857,-0.0103950109332799,-0.0546218194067478,0.0377777963876724,0.008565261028707,0.0021231910213828,0.0084745278581976,-0.0084033133462071,0.0127118322998285,0.0041841166093945,-0.020833333954215,-0.0127659253776073,-0.0086207222193479,0.0043478426523506,-0.0043290206231176,-0.0239130109548568,0.0244988519698381,-0.0086956853047013,-0.0350876860320568,0.0477272383868694,-0.0151843158528208,0.0022026095539331,0.0,-0.0175824016332626,0.0178970750421285,-0.0043956213630735,-0.0088299717754125,0.006681497208774,-0.0044247955083847,1.11,0.3,-1.23,0.009,76841,252,-29.2305%,-0.0006,0.9358,0.144,0.1221,2.7147%,2.8774%,10.9876%,-30.6328%,13
1001,BRIDGELINE DIGITAL INC,"Bridgeline Digital Reports Purchase Of OrchestraCMS Assets From Stantive Technologies Group, No Terms Disclosed",1,uncertain,0.6,0.3,,1,2019-03-21,BLIN,2019-03-21 13:59:00+00:00,92091.0,10807Q70,-0.0264133773744106,0.0229883211743504,0.0685464618853308,0.1182463488851066,-0.0515614620052494,-0.0598447608520881,-0.2752107058357627,-0.2710690493422087,0.0271299719629769,-0.0335124193503841,-0.0475704071167149,-0.0440943919352008,-0.0153453778870408,-0.2408170026565758,-0.3419142308925778,-0.0815534144639968,-0.0105708250775933,0.0299145635217428,0.0124481013044714,0.0122951287776231,-0.0040485984645783,-0.0142276575788855,0.01237110234797,0.0549898333847522,-0.0308880023658275,-0.0019920773338526,0.0039920313283801,-0.0059641995467245,0.0,-0.0140000153332948,0.0020284440834075,-0.0242915134876966,0.0124481013044714,0.02459017932415,-0.0040000150911509,-0.0140562402084469,-0.0020366287790238,-0.0163265150040388,-0.0269709378480911,0.0106609808281064,-0.0084388507530093,-0.010638297535479,-0.0129031930118799,0.0196077935397625,-0.0641025677323341,0.0045662275515496,-0.0181818008422851,-0.0138889420777559,0.0422535948455333,0.0180179998278617,-0.0176990982145071,0.0112612610682845,-0.0111358566209673,-0.0067568253725767,-0.0022675392683595,0.0113636367022991,-0.0044943992979824,0.0406320393085479,0.03036879748106,0.0568421222269535,0.0099601596593856,-0.0177515093237161,-0.016064241528511,0.0,-0.0081632966175675,0.0041152420453727,-0.0286884773522615,0.0,-0.0295358970761299,-0.0456521399319171,-0.0273348689079284,-0.0046838587149977,0.0141176115721464,0.0116009283810854,-0.0160549767315387,1.11,0.3,-1.23,0.009,92091,252,-2.6413%,-0.0063,0.1951,0.1957,-0.0498,8.2808%,8.2847%,0.0927%,-3.0131%,14
1002,BIO PATH HOLDINGS INC,"Bio-Path Holdings shares are continuing lower on no apparent news. Shares of Bio-Path fell 24% in the previous 5 sessions, but are up 843% over the past month.",1,decrease,0.7,0.2,,0,2019-03-21,BPTH,2019-03-21 13:00:00+00:00,14536.0,09057N30,-0.1404651403427124,0.189393937587738,0.0416666894685207,0.0795455196626553,-0.004329001392419,0.0032468278777184,-0.0882034244127946,-0.2402597282448912,-0.1468254178762436,-0.2263404291963505,-0.2687074667023904,-0.307568414382143,0.7886854364603593,8.72850636527464,4.890412073253734,-0.0125874336808919,0.0179414134472608,-0.0074211433529853,0.0359813310205936,0.0063148122280836,0.0008964795270003,0.0138826454058289,-0.0022084468510001,-0.0101814763620495,0.0165473576635122,0.0206775721162557,0.0060344561934471,0.0158525668084621,-0.0067482013255357,0.0072186873294413,0.0037942728959023,0.006299857981503,-0.0041735591366887,-0.0075440192595124,-0.0097128180786967,-0.0068230209872126,0.0072991913184523,0.0,0.0017050689784809,-0.0085106706246733,0.018025754019618,0.0,-0.0092748450115323,0.0140425497666001,0.0176248457282781,0.005773170851171,0.0094301542267203,-0.0105605842545628,-0.0234567783772945,-0.0101137701421976,0.0051085925661027,0.0004235590167809,0.0012700583320111,-0.0363635830581188,0.001755112200044,0.00613225530833,0.0069656008854508,-0.0151317976415157,0.0008778994670137,-0.0021929491776973,0.0004395704891066,0.011423559859395,0.031711533665657,0.0134736709296703,0.0116327665746212,-0.0180698372423648,0.0125470198690891,-0.0012391069903969,0.0020677931606769,0.0061906571500003,0.0221493411809206,0.0128410793840885,0.0301109440624713,0.0176922716200351,0.0030235007870942,1.11,0.3,-1.23,0.009,14536,252,-14.0465%,0.0111,-0.9173,-1.7075,-1.7223,23.1102%,23.1438%,0.2894%,-14.8490%,28
1003,CONAGRA BRANDS INC,Conagra Brands shares are trading higher after the company reported better-than-expected Q3 EPS and said it expects 2019 EPS of $2.03 to $2.08 versus the $2.05 analyst estimate.,1,increase,0.8,0.5,,2,2019-03-21,CAG,2019-03-21 12:17:00+00:00,56274.0,20588710,0.1275109201669693,0.0243997313082218,0.0596437237446196,0.0503486121734717,0.0743609645469334,0.0762974917054806,0.1704125075620579,0.144282000101424,0.0039456444792449,-0.0073688805705575,-0.0082286933308762,-0.00607644476757,0.0004368840628103,0.0366681564399258,-0.0474670387734897,0.0057817883789539,-0.0004997911746613,-0.021380428224802,0.0072824801318347,-0.0166159011423587,-0.0088998125866055,-0.0026027713902294,-0.014352798461914,-0.0037066293880343,0.0128886681050062,0.009707435965538,0.0214369427412748,-0.0053422255441546,-0.0074168057180941,-0.0282144080847501,-0.0232003182172775,0.02809445746243,0.0113531434908509,-0.030283248052001,-0.0212680287659168,0.0143034094944596,0.0056948903948068,0.010786073282361,-0.0092037143185734,0.0010770305525511,0.0154653247445821,-0.0033108196221292,-0.0022589131258428,-0.0177120026201009,-0.014506503008306,-0.0015132839325815,0.024800157174468,-0.0346866659820079,0.0165737438946962,-0.0065761851146817,-0.0035857416223734,-0.009688539430499,-0.0058701019734144,0.000984109356068,0.0175561811774969,-0.0102139115333557,-0.0064147133380174,-0.00056141638197,0.0044937464408576,0.0068502430804073,-0.0108303083106875,0.0070185293443501,0.0197937805205583,-0.0035538836382329,0.006035593803972,-0.0125442901626229,0.0006904591573402,-0.0002760352217592,0.0074534290470182,-0.0043841581791639,0.0077061401680111,0.0010923692025244,0.0081845056265592,-0.0066297585144639,-0.0049033043906092,1.11,0.3,-1.23,0.009,56274,252,12.7511%,-0.0012,0.5657,0.1928,0.0636,2.0346%,2.1183%,7.7516%,12.3206%,28
1004,CONAGRA BRANDS INC,"ConAgra Sees FY19 Adj. EPS $2.03-$2.08 vs $2.05 Estimate, Organic Net Sales Growth 1-2% Year Over Year",1,increase,0.7,0.2,,2,2019-03-21,CAG,2019-03-21 11:31:00+00:00,56274.0,20588710,0.1275109201669693,0.0243997313082218,0.0596437237446196,0.0503486121734717,0.0743609645469334,0.0762974917054806,0.1704125075620579,0.144282000101424,0.0039456444792449,-0.0073688805705575,-0.0082286933308762,-0.00607644476757,0.0004368840628103,0.0366681564399258,-0.0474670387734897,0.0349194034934043,0.0043785749003291,0.0137197040021419,-0.0035415985621511,0.0088855624198913,-0.0046552936546504,0.0010112732416018,0.0018941013840958,0.0027728916611522,-0.0064101875759661,0.0141681851819157,-0.0126375695690512,0.0082371542230248,0.0057817883789539,-0.0004997911746613,-0.021380428224802,0.0072824801318347,-0.0166159011423587,-0.0088998125866055,-0.0026027713902294,-0.014352798461914,-0.0037066293880343,0.0128886681050062,0.009707435965538,0.0214369427412748,-0.0053422255441546,-0.0074168057180941,-0.0282144080847501,-0.0232003182172775,0.02809445746243,0.0113531434908509,-0.030283248052001,-0.0212680287659168,0.0143034094944596,0.0056948903948068,0.010786073282361,-0.0092037143185734,0.0010770305525511,0.0154653247445821,-0.0033108196221292,-0.0022589131258428,-0.0177120026201009,-0.014506503008306,-0.0015132839325815,0.024800157174468,-0.0346866659820079,0.0165737438946962,-0.0065761851146817,-0.0035857416223734,-0.009688539430499,-0.0058701019734144,0.000984109356068,0.0175561811774969,-0.0102139115333557,-0.0064147133380174,-0.00056141638197,0.0044937464408576,0.0068502430804073,-0.0108303083106875,0.0070185293443501,1.11,0.3,-1.23,0.009,56274,252,12.7511%,-0.0012,0.5657,0.1928,0.0636,2.0346%,2.1183%,7.7516%,12.3206%,17
1005,CONAGRA BRANDS INC,"ConAgra Foods Q3 EPS $0.51 Beats $0.49 Estimate, Sales $2.707B Miss $2.78B Estimate",1,increase,0.7,0.2,,2,2019-03-21,CAG,2019-03-21 11:29:00+00:00,56274.0,20588710,0.1275109201669693,0.0243997313082218,0.0596437237446196,0.0503486121734717,0.0743609645469334,0.0762974917054806,0.1704125075620579,0.144282000101424,0.0039456444792449,-0.0073688805705575,-0.0082286933308762,-0.00607644476757,0.0004368840628103,0.0366681564399258,-0.0474670387734897,0.0349194034934043,0.0043785749003291,0.0137197040021419,-0.0035415985621511,0.0088855624198913,-0.0046552936546504,0.0010112732416018,0.0018941013840958,0.0027728916611522,-0.0064101875759661,0.0141681851819157,-0.0126375695690512,0.0082371542230248,0.0057817883789539,-0.0004997911746613,-0.021380428224802,0.0072824801318347,-0.0166159011423587,-0.0088998125866055,-0.0026027713902294,-0.014352798461914,-0.0037066293880343,0.0128886681050062,0.009707435965538,0.0214369427412748,-0.0053422255441546,-0.0074168057180941,-0.0282144080847501,-0.0232003182172775,0.02809445746243,0.0113531434908509,-0.030283248052001,-0.0212680287659168,0.0143034094944596,0.0056948903948068,0.010786073282361,-0.0092037143185734,0.0010770305525511,0.0154653247445821,-0.0033108196221292,-0.0022589131258428,-0.0177120026201009,-0.014506503008306,-0.0015132839325815,0.024800157174468,-0.0346866659820079,0.0165737438946962,-0.0065761851146817,-0.0035857416223734,-0.009688539430499,-0.0058701019734144,0.000984109356068,0.0175561811774969,-0.0102139115333557,-0.0064147133380174,-0.00056141638197,0.0044937464408576,0.0068502430804073,-0.0108303083106875,0.0070185293443501,1.11,0.3,-1.23,0.009,56274,252,12.7511%,-0.0012,0.5657,0.1928,0.0636,2.0346%,2.1183%,7.7516%,12.3206%,13
