"headline","headline.type","magnitude","confidence","custom_id","company_name","prompt_type","explanation","input_tokens","output_tokens","headline.type.num","date","permno","ret","ret_fd1","ret_fd5","ret_fd10","ret_ld1","ret_ld2","ret_ld3"
"'New NIO ET Preview Electric Car Revealed In Shanghai' -Inside EVs","uncertain",0.1,0.3,31909,"BIO RAD LABORATORIES INC",4,NA,139,34,1,"2019-04-16",61516,-1.72784384340048,-3.1880360096693,-2.54113706134746,-1.44639596162636,-0.580173265188932,0.248375426377656,-0.279589055380192
"13F From Loeb's Third Point Shows New Stakes In Blackknight, Colfax, Chemours, Cut Stakes In Constellation Brands, PayPal","decrease",0.6,0.75,6709,"CONSTELLATION BRANDS INC",4,NA,152,34,0,"2019-05-15",69796,-0.165585323702544,0.882968679070473,-0.0097586880337896,-8.63457301622521,2.12374627590179,1.03331496518597,1.70389928328583
"420 Investor Alan Brochstein On Cannabis Strength, Tells Benzinga, 'The Whole Market Is Bouncing On The Organigram Reaction To Negative News.', Notes 'Organigram Sold Off After Missing On Revenue And Profitability Estimates But Reversed Very Quickly","uncertain",0.3,0.6,11771,"CONSTELLATION BRANDS INC",4,NA,170,34,1,"2019-07-15",69796,-0.50601689144969,-0.357516226358712,1.29915992762291,0.206457272717286,0.976378750056028,-0.592652648316438,0.787726112193288
"5 Cannabis And CBD Stocks That Aren't Blowing Smoke","increase",0.6,0.75,21006,"CONSTELLATION BRANDS INC",4,NA,131,33,2,"2019-03-08",69796,-0.864946842193604,1.28768235445023,2.56332775832526,2.00974565669407,0.951464474201202,0.101509663235921,-1.75233276443905
"A Preview Of Molson Coors Brewing's Q2 Earnings","uncertain",0.3,0.6,31803,"MOLSON COORS BEVERAGE CO",4,NA,136,34,1,"2019-07-30",59248,0.72553507052362,-5.14756962656975,-10.0667598558266,-9.20589951887715,-0.141370971687138,-0.282336077913847,-0.247137163577238
"After Resilient Q3, Positive Tone As Fed Speakers Awaited, LEN Earnings Tomorrow","increase",0.6,0.75,23042,"LENNAR CORP",4,NA,136,33,2,"2019-10-01",52708,-0.232761423103511,3.76884154975414,6.13782877098901,7.19669482643059,2.06505339592695,0.503866808747833,0.521953020949839
"Analyst: Constellation Worth Buying Despite Political, ESG Risks","increase",0.6,0.75,11329,"CONSTELLATION BRANDS INC",4,NA,133,33,2,"2019-01-07",69796,2.10058819502592,1.30496192723513,-5.44321348965716,-3.16835145143171,3.10642868280411,1.57278821867803,3.60650877975248
"Analyst: Constellation's Wine Sale Will Likely Be Dilutive For 3 Years","decrease",0.6,0.8,17557,"CONSTELLATION BRANDS INC",4,NA,139,34,0,"2019-04-04",69796,6.54460117220879,0.966312922537327,-0.146251641715378,3.83912578502661,1.68637633323669,1.18250246220464,2.48673963136987
"Analysts Continue To Like Constellation Brands","increase",0.6,0.8,20745,"CONSTELLATION BRANDS INC",4,NA,129,33,2,"2019-01-17",69796,0.300222495570779,2.36342810094357,4.0159655842551,8.34996220297213,-0.40490492247045,-0.609222743295557,0.420826684636277
"Analysts Think Constellation's Beer Bash Will Keep The Party Going","increase",0.7,0.8,4298,"CONSTELLATION BRANDS INC",4,NA,134,33,2,"2019-10-04",69796,-0.267676846124232,-2.58077830076218,-0.340664632423415,1.69298987283157,-6.05928674340248,-7.23461566838555,-6.28136056463522
