"","headline","headline.type","magnitude","confidence","custom_id","company_name","prompt_type","explanation","input_tokens","output_tokens","headline.type.num","date","permno","ret","ret_fd1","ret_fd5","ret_fd10","ret_ld1","ret_ld2","ret_ld3"
"1","'New NIO ET Preview Electric Car Revealed In Shanghai' -Inside EVs","neutral",0.2,0.6,31909,"BIO RAD LABORATORIES INC",4,NA,133,28,1,"2019-04-16",61516,-1.72784384340048,-3.1880360096693,-2.54113706134746,-1.44639596162636,-0.580173265188932,0.248375426377656,-0.279589055380192
"2","13F From Loeb's Third Point Shows New Stakes In Blackknight, Colfax, Chemours, Cut Stakes In Constellation Brands, PayPal","negative",0.7,0.8,6709,"CONSTELLATION BRANDS INC",4,NA,146,28,0,"2019-05-15",69796,-0.165585323702544,0.882968679070473,-0.0097586880337896,-8.63457301622521,2.12374627590179,1.03331496518597,1.70389928328583
"3","420 Investor Alan Brochstein On Cannabis Strength, Tells Benzinga, 'The Whole Market Is Bouncing On The Organigram Reaction To Negative News.', Notes 'Organigram Sold Off After Missing On Revenue And Profitability Estimates But Reversed Very Quickly","positive",0.6,0.8,11771,"CONSTELLATION BRANDS INC",4,NA,164,28,2,"2019-07-15",69796,-0.50601689144969,-0.357516226358712,1.29915992762291,0.206457272717286,0.976378750056028,-0.592652648316438,0.787726112193288
"4","A Preview Of Molson Coors Brewing's Q2 Earnings","neutral",0.2,0.7,31803,"MOLSON COORS BEVERAGE CO",4,NA,131,28,1,"2019-07-30",59248,0.72553507052362,-5.14756962656975,-10.0667598558266,-9.20589951887715,-0.141370971687138,-0.282336077913847,-0.247137163577238
"5","Analyst: Constellation Worth Buying Despite Political, ESG Risks","positive",0.6,0.8,11329,"CONSTELLATION BRANDS INC",4,NA,128,28,2,"2019-01-07",69796,2.10058819502592,1.30496192723513,-5.44321348965716,-3.16835145143171,3.10642868280411,1.57278821867803,3.60650877975248
"6","Analyst: Constellation's Wine Sale Will Likely Be Dilutive For 3 Years","negative",0.8,0.8,17557,"CONSTELLATION BRANDS INC",4,NA,131,28,0,"2019-04-04",69796,6.54460117220879,0.966312922537327,-0.146251641715378,3.83912578502661,1.68637633323669,1.18250246220464,2.48673963136987
"7","Analysts Continue To Like Constellation Brands","positive",0.8,0.9,20745,"CONSTELLATION BRANDS INC",4,NA,122,28,2,"2019-01-17",69796,0.300222495570779,2.36342810094357,4.0159655842551,8.34996220297213,-0.40490492247045,-0.609222743295557,0.420826684636277
"8","Analysts Like Lennar Q3 Print, Say Homebuilder Well Positioned For Growth","positive",0.8,0.9,9434,"LENNAR CORP",4,NA,129,28,2,"2019-10-03",52708,1.19335632771254,1.67493317276239,0.581097550531995,4.40950444615211,3.76884154975414,3.52730771742491,5.66520190115534
"9","Analysts Say Homebuilder Environment Still Looks Good For Lennar","positive",0.8,0.9,9217,"LENNAR CORP",4,NA,125,28,2,"2019-06-26",52708,-1.38946902006865,1.8506858497858,3.51209680537723,0.272041706273307,-6.20501600205898,-6.09541856769823,-8.55300295285841
"10","Analysts Think Constellation's Beer Bash Will Keep The Party Going","positive",0.8,0.9,4298,"CONSTELLATION BRANDS INC",4,NA,127,28,2,"2019-10-04",69796,-0.267676846124232,-2.58077830076218,-0.340664632423415,1.69298987283157,-6.05928674340248,-7.23461566838555,-6.28136056463522
