headline,date,ticker,datetime_utc,company_name,permno,cusip,ret,ret_fd1,ret_fd2,ret_fd3,ret_fd5,ret_fd10,ret_fd30,ret_fd60,ret_ld1,ret_ld2,ret_ld3,ret_ld5,ret_ld10,ret_ld30,ret_ld60,Mkt-RF,SMB,HML,RF,PERMNO,n,RET,alpha,b_mkt,b_smb,b_hml,ivol,tvol,R2,exret,headline_word_count
"Atlantic American Q4 EPS $0.01 Down From $0.12 YoY, Sales $49.2M Up From $48.825M YoY",2019-04-01,AAME,2019-04-01 18:04:00+00:00,ATLANTIC AMERICAN CORP,15580.0,04820910,0.02470586821436882,-0.00880214385688316,-0.00880214385688316,0.014160038826649846,-0.035591250369759964,-0.10843490299856817,-0.054400612220247946,-0.06597937049782843,0.01190475095063448,-0.015444000376846567,-0.0039062457595335776,-0.03773590146012351,-0.12671237291689308,-0.06593409252415494,0.02409636887550759,1.19,-0.3,0.99,0.01,15580,252,2.4706%,0.0,-0.1112,0.8294,-0.3259,4.6029%,4.6315%,1.2316%,3.2171%,15
"Citigroup Maintains Neutral on Advance Auto Parts, Lowers Price Target to $182",2019-04-01,AAP,2019-04-01 12:22:00+00:00,ADVANCE AUTO PARTS INC,89217.0,00751Y10,0.01817865483462811,-0.0016702674329281963,-0.011173198546665541,0.0021309390797357164,0.022807067847826046,0.04492304082653198,-0.10297762261812171,-0.13615918496537938,0.010548140853643417,0.021810769877937952,0.013430762431865695,0.03451833638544577,0.10172126664280934,0.01096664536939218,0.08023378382338642,1.19,-0.3,0.99,0.01,89217,252,1.8179%,0.0015,0.7352,0.2658,0.1139,1.7456%,1.8980%,15.4073%,0.9094%,12
Alector Initiates Phase 1 Trial Of AL003 For Treatment Of Patients With Alzheimer's Disease,2019-04-01,ABBV,2019-04-01 20:42:00+00:00,ABBVIE INC,13721.0,00287Y10,0.002357643097639084,0.028348613530397415,0.028472432996029085,0.0251299686394173,0.039613823961017536,0.016381673422287468,-0.016105365580198927,-0.14705720618057483,0.007878905162215233,0.008762009634009305,-0.0021050747160007433,0.010406145822153157,-0.009220556200111307,0.0008693455085759805,-0.08542696777634051,1.19,-0.3,0.99,0.01,13721,252,0.2358%,-0.0009,0.9255,-0.3873,-0.1977,1.5190%,1.8071%,29.3374%,-0.8057%,14
ACADIA Pharma Promotes Elena Ridloff CFO,2019-04-01,ACAD,2019-04-01 13:03:00+00:00,ACADIA PHARMACEUTICALS,90177.0,00422510,0.004841682035475969,0.012601933442056179,0.013713893648488629,-0.0044477001299270125,0.003335808180301214,-0.054484781317849285,-0.051148969886884554,-0.0644922126813362,0.0078829200938344,0.02324697434538603,-0.0037105888376216534,0.028735631447104337,-4.584799206952539e-10,0.2243502053773785,0.6126126782480203,1.19,-0.3,0.99,0.01,90177,252,0.4842%,0.0015,1.7629,2.6566,-0.1113,4.1656%,4.8325%,25.6932%,-0.6937%,6
KeyBanc Lifts Roku Price Target Amid Ongoing Momentum,2019-04-01,ADBE,2019-04-01 15:08:00+00:00,ADOBE INC,75510.0,00724F10,0.02131420932710171,-0.0030128497164696455,-0.002461746016653832,-0.015725460304778505,-0.012345282837483706,0.00018366431344740697,-0.0011390995333130371,0.060807532148436705,0.011232085525989532,0.015819143123212864,0.0033886595368552985,0.026185019739105142,0.036563047982619556,0.02440983521944262,0.18666777407918755,1.19,-0.3,0.99,0.01,75510,252,2.1314%,-0.0002,1.2683,-0.2623,-1.4053,1.1197%,2.1282%,72.3203%,1.9841%,8
ADMA Shares Halted Ahead Of Apr. 2 PDUFA Date For RI-002,2019-04-01,ADMA,2019-04-01 20:51:00+00:00,ADMA BIOLOGICS INC,15056.0,00089910,0.0738786831498146,0.24324317276477814,0.25798517220926565,0.2751842304128038,0.2628991707193282,0.21621611113461103,0.081081055672515,-0.11793618426662056,0.15197569131851196,0.07062147675124342,0.13134331376877606,0.14501512320564025,-0.05012532127367775,-0.007853388306298448,0.44656495855379696,1.19,-0.3,0.99,0.01,15056,252,7.3879%,0.0011,1.0917,1.3847,0.7435,4.9570%,5.1103%,5.9129%,5.9395%,11
Air Lease Corporation Announces Delivery of First of Five New Boeing 787-9 Aircraft with China Southern Airlines,2019-04-01,AL,2019-04-01 10:35:00+00:00,AIR LEASE CORP,12641.0,00912X30,0.03114992007613182,0.003387994132936001,0.010163767159058423,0.0333145224506346,0.03331452255359424,0.05787699423431314,0.08780352016491522,0.14130913341836093,0.009700117632746696,0.02598563112636687,0.026905760141713975,0.05110153445839538,0.01899356047489964,-0.09327522296797641,0.12066108785018925,1.19,-0.3,0.99,0.01,12641,252,3.1150%,-0.0007,1.3771,0.6094,0.5016,1.1604%,1.7826%,57.6270%,1.1881%,17
Ally Reports $1.25B Buyback,2019-04-01,ALLY,2019-04-01 20:16:00+00:00,ALLY FINANCIAL INC,14558.0,02005N10,0.03019279427826405,0.007062173914164305,0.015183626872299127,0.016596088607511383,0.02330507977347196,0.04025421616766667,0.04230016857216423,0.0671590770112438,0.007697913330048323,0.020415709664097337,0.035404917567001704,0.05446874177008043,0.01777117807108608,0.033847295801036736,0.20932383382825104,1.19,-0.3,0.99,0.01,14558,252,3.0193%,0.0004,1.2274,0.2825,0.8162,0.9572%,1.4848%,58.4393%,0.8412%,4
"Altair Acquires Cambridge Collaborative's SEAM Software, Terms Not Disclosed",2019-04-01,ALTR,2019-04-01 12:04:00+00:00,ALTAIR ENGINEERING INC,17034.0,02136910,0.03314309567213058,0.03786490857601166,0.022350836053856682,-0.006047846099479615,-0.02524320642889033,-0.04391265447277448,-0.09650271350222062,0.037075990652248425,-0.01735178194940079,-0.010749737671487014,-0.014457754813963497,0.017131880995757243,-0.056637596392045575,0.07757616167336212,0.375560583430145,1.19,-0.3,0.99,0.01,17034,252,3.3143%,0.0002,1.2294,0.3803,-0.8882,2.1434%,2.6868%,36.3624%,2.9118%,9
"Barclays Maintains Equal-Weight on Aon, Raises Price Target to $155",2019-04-01,AON,2019-04-01 13:29:00+00:00,AON PLC NEW,61735.0,G0403H10,0.01605158485472202,-0.0017297223675996065,-0.004035960193514709,-0.005189167097911951,-0.003747746480700642,0.014529545041411573,0.02908726663845118,0.0975196676442045,0.00904414989054203,0.01619241168976404,0.017525051005675252,0.026396485436702033,0.004117629968073855,0.006367185722500057,0.18812172040705777,1.19,-0.3,0.99,0.01,61735,252,1.6052%,0.0008,0.7955,-0.2917,0.4306,1.0065%,1.2491%,35.0677%,0.1422%,10
Amazon Moves Into 737 Freighter Operations Under Lease With Atlas Air,2019-04-01,ATSG,2019-04-01 15:21:00+00:00,AIR TRANSPORT SERVICES GROUP INC,90716.0,00922R10,0.01561824791133404,-0.03588210791349411,-0.042716787427705794,-0.023921377365035856,-0.02648436187719827,-0.0025629850584077962,-0.05510461295486413,-0.019649681703293287,0.04535147547721863,0.0482037052303268,0.06861379593921746,0.08931944415212567,0.14392058004474317,-0.046338471519285274,0.02308027219555453,1.19,-0.3,0.99,0.01,90716,252,1.5618%,0.0,0.9352,0.8256,0.0587,2.0869%,2.3486%,21.0432%,0.6269%,11
AstraZeneca shares are trading higher after the FDA granted Breakthrough Therapy Designation for the company's Zelumetinib and the stock was upgraded from Market Perform to Outperform by Cowen.,2019-04-01,AZN,2019-04-01 10:54:00+00:00,ASTRAZENECA PLC,79363.0,04635310,0.0207766555249691,0.007753808982670307,-0.004361529124285335,-0.017930740606842632,-0.009934573247430967,-0.03537676501848297,-0.08359585205478681,-0.007269186967440833,-0.05932990461587906,-0.05205161024179927,-0.05845361994239495,-0.05071612741087206,-0.04892961991140965,0.034360331597751426,0.09401393084060317,1.19,-0.3,0.99,0.01,79363,252,2.0777%,0.0006,0.4075,-0.0601,-0.1063,1.2869%,1.3599%,10.4474%,1.7264%,28
"Cowen & Co. Upgrades AstraZeneca to Outperform, Raises Price Target to $48",2019-04-01,AZN,2019-04-01 10:19:00+00:00,ASTRAZENECA PLC,79363.0,04635310,0.0207766555249691,0.007753808982670307,-0.004361529124285335,-0.017930740606842632,-0.009934573247430967,-0.03537676501848297,-0.08359585205478681,-0.007269186967440833,-0.05932990461587906,-0.05205161024179927,-0.05845361994239495,-0.05071612741087206,-0.04892961991140965,0.034360331597751426,0.09401393084060317,1.19,-0.3,0.99,0.01,79363,252,2.0777%,0.0006,0.4075,-0.0601,-0.1063,1.2869%,1.3599%,10.4474%,1.7264%,12
"Citigroup Maintains Buy on AutoZone, Raises Price Target to $1.206K",2019-04-01,AZO,2019-04-01 12:20:00+00:00,AUTOZONE INC,76605.0,05333210,0.005458311177790165,0.011915995739400387,0.015363616018914117,0.01066317812561901,0.02217136772547712,0.03387362186650256,-0.0387584593311906,0.05524858725650339,0.01885254494845867,0.020853252340427453,0.02688231114321682,0.04366787371463743,0.06431935793859411,0.13167429689954036,0.22140065486606364,1.19,-0.3,0.99,0.01,76605,252,0.5458%,0.0019,0.3019,0.2594,0.0771,1.5594%,1.5941%,4.3007%,0.1647%,10
This Analyst Loves Alibaba's 'Super App',2019-04-01,BABA,2019-04-01 16:31:00+00:00,ALIBABA GROUP HOLDING LTD,14888.0,01609W10,-0.008550274185836315,0.00469902204349637,-0.014207484956500704,0.0009951240623591318,0.03101332656919742,0.012051566853918061,-0.03344576048855341,-0.06578580508125353,0.02655714564025402,0.030616270502478837,0.024539506256914034,0.0351185904952509,0.008178128868129964,0.08356094755369625,0.3346744795223542,1.19,-0.3,0.99,0.01,14888,252,-0.8550%,-0.0008,1.1734,0.2281,-0.8654,1.5423%,2.1736%,49.6491%,-1.3803%,6
BBVA shares are trading higher after analysts at Deutsche Bank upgraded the company's stock from Hold to Buy.,2019-04-01,BBVA,2019-04-01 15:15:00+00:00,BANCO BILBAO VIZCAYA ARGENTARIA,75381.0,05946K10,0.04537517577409744,0.003338974667713046,0.018363962904741404,0.03338903107607538,0.04008938693835229,0.06759585682672098,-0.0218002507479631,-0.045868412933540714,0.007029870059341192,-0.00865055177381946,-0.01036268451181932,-0.017152642652304984,-0.057565773843263224,0.0017482926324638992,0.07909606130685432,1.19,-0.3,0.99,0.01,75381,252,4.5375%,-0.0006,1.0853,0.2559,0.9781,1.5935%,1.8857%,28.5936%,2.4077%,18
Deutsche Bank Earlier Upgraded BBVA to Buy,2019-04-01,BBVA,2019-04-01 15:14:00+00:00,BANCO BILBAO VIZCAYA ARGENTARIA,75381.0,05946K10,0.04537517577409744,0.003338974667713046,0.018363962904741404,0.03338903107607538,0.04008938693835229,0.06759585682672098,-0.0218002507479631,-0.045868412933540714,0.007029870059341192,-0.00865055177381946,-0.01036268451181932,-0.017152642652304984,-0.057565773843263224,0.0017482926324638992,0.07909606130685432,1.19,-0.3,0.99,0.01,75381,252,4.5375%,-0.0006,1.0853,0.2559,0.9781,1.5935%,1.8857%,28.5936%,2.4077%,7
