,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,headline type num
0,ATLANTIC AMERICAN CORP,"Atlantic American Q4 EPS $0.01 Down From $0.12 YoY, Sales $49.2M Up From $48.825M YoY",1,negative,0.8,0.7,,0
1,ADVANCE AUTO PARTS INC,"Citigroup Maintains Neutral on Advance Auto Parts, Lowers Price Target to $182",1,negative,0.8,0.7,,0
2,ABBVIE INC,Alector Initiates Phase 1 Trial Of AL003 For Treatment Of Patients With Alzheimer's Disease,1,positive,0.9,0.8,,2
3,ACADIA PHARMACEUTICALS,ACADIA Pharma Promotes Elena Ridloff CFO,1,positive,0.9,0.8,,2
4,ADOBE INC,KeyBanc Lifts Roku Price Target Amid Ongoing Momentum,1,neutral,0.8,0.2,,1
5,ADMA BIOLOGICS INC,ADMA Shares Halted Ahead Of Apr. 2 PDUFA Date For RI-002,1,neutral,0.8,0.2,,1
6,AIR LEASE CORP,Air Lease Corporation Announces Delivery of First of Five New Boeing 787-9 Aircraft with China Southern Airlines,1,positive,0.9,0.8,,2
7,ALLY FINANCIAL INC,Ally Reports $1.25B Buyback,1,positive,0.9,0.8,,2
8,ALTAIR ENGINEERING INC,"Altair Acquires Cambridge Collaborative's SEAM Software, Terms Not Disclosed",1,neutral,0.8,0.2,,1
9,AON PLC NEW,"Barclays Maintains Equal-Weight on Aon, Raises Price Target to $155",1,neutral,0.8,0.5,,1
10,AIR TRANSPORT SERVICES GROUP INC,Amazon Moves Into 737 Freighter Operations Under Lease With Atlas Air,1,negative,0.9,0.8,,0
11,ASTRAZENECA PLC,AstraZeneca shares are trading higher after the FDA granted Breakthrough Therapy Designation for the company's Zelumetinib and the stock was upgraded from Market Perform to Outperform by Cowen.,1,positive,0.9,0.8,,2
12,ASTRAZENECA PLC,"Cowen & Co. Upgrades AstraZeneca to Outperform, Raises Price Target to $48",1,positive,0.9,0.8,,2
13,AUTOZONE INC,"Citigroup Maintains Buy on AutoZone, Raises Price Target to $1.206K",1,positive,0.9,0.8,,2
14,ALIBABA GROUP HOLDING LTD,This Analyst Loves Alibaba's 'Super App',1,positive,0.9,0.8,,2
15,BANCO BILBAO VIZCAYA ARGENTARIA,BBVA shares are trading higher after analysts at Deutsche Bank upgraded the company's stock from Hold to Buy.,1,positive,0.9,0.8,,2
16,BANCO BILBAO VIZCAYA ARGENTARIA,Deutsche Bank Earlier Upgraded BBVA to Buy,1,positive,0.9,0.8,,2
17,PEABODY ENERGY CORP NEW,"Deutsche Bank Initiates Coverage On Peabody Energy with Buy Rating, Announces $33 Price Target",1,positive,0.9,0.8,,2
18,CACI INTERNATIONAL INC,CACI International Wins a $71M US Army Contract to Provide Sensor Systems,1,positive,0.9,0.8,,2
19,CAL MAINE FOODS INC,"Cal-Maine Foods Q3 EPS $0.82 Beats $0.42 Estimate, Sales $383.992M Beat $370.76M Estimate",1,positive,0.9,0.8,,2
20,CATERPILLAR INC,China Strength Appears To Give Markets An Early Boost Despite Weak Retail Sales Data,1,neutral,0.7,0.2,,1
21,COMCAST CORP NEW,"Disney's 'Dumbo' Flies Off With Weekend Box Office, But Not Quite As High As Expected",1,negative,0.8,0.6,,0
22,GLOBAL CORD BLOOD CORP,"Global Cord Blood to Increase its Processing Fee from RMB 3,000 to RMB 9,800",1,negative,0.9,0.8,,0
23,COMPASS DIVERSIFIED HOLDINGS,Compass Diversified Holdings Promotes Pat Maciariello COO,1,positive,0.9,0.8,,2
24,CIRRUS LOGIC INC,Cirrus Logic shares are trading lower following a report Cirrus is not a supplier for Apple's AirPods 2.,1,negative,0.8,0.7,,0
25,CATALENT INC,Catalent Announces the First Patient Has Been Dosed in its Phase 1 Clinical Trial of its B-Cell Lymphona Treatment,1,positive,0.9,0.8,,2
