headline,date,ticker,datetime_utc,company_name,permno,cusip,ret,ret_fd1,ret_fd2,ret_fd3,ret_fd5,ret_fd10,ret_fd30,ret_fd60,ret_ld1,ret_ld2,ret_ld3,ret_ld5,ret_ld10,ret_ld30,ret_ld60,Mkt-RF,SMB,HML,RF,PERMNO,n,RET,alpha,b_mkt,b_smb,b_hml,ivol,tvol,R2,exret,headline_word_count
Aligent shares are trading higher after the company reported better-than-expected Q4 EPS and sales results.,2019-11-25,A,2019-11-25 21:09:00+00:00,AGILENT TECHNOLOGIES INC,87432.0,00846U10,0.01440848503261805,0.008596994914114475,0.010216791595470953,0.006354280016614089,-0.001993566284882453,0.03326685830858911,0.08964638692198146,0.005116728006149263,0.010472537018358707,0.007641443146044535,-0.002144005163744689,0.010989018550600305,0.03235912601704394,0.05073040496237291,0.12148989000613875,0.92,1.32,-0.38,0.006,87432,252,1.4408%,-0.0001,1.1228,0.0355,-0.1209,1.1916%,1.6436%,47.4409%,0.2921%,15
"Agilent Sees FY20 Adj. EPS $3.38-$3.43 vs $3.44 Estimate, Sales $5.5B-$5.55B vs $5.55B Est.",2019-11-25,A,2019-11-25 21:08:00+00:00,AGILENT TECHNOLOGIES INC,87432.0,00846U10,0.01440848503261805,0.008596994914114475,0.010216791595470953,0.006354280016614089,-0.001993566284882453,0.03326685830858911,0.08964638692198146,0.005116728006149263,0.010472537018358707,0.007641443146044535,-0.002144005163744689,0.010989018550600305,0.03235912601704394,0.05073040496237291,0.12148989000613875,0.92,1.32,-0.38,0.006,87432,252,1.4408%,-0.0001,1.1228,0.0355,-0.1209,1.1916%,1.6436%,47.4409%,0.2921%,14
"Agilent Sees Q1 Adj. EPS $0.80-$0.81 vs $0.84 Estimate, Sales $1.34B-$1.355B vs $1.38B Est.",2019-11-25,A,2019-11-25 21:08:00+00:00,AGILENT TECHNOLOGIES INC,87432.0,00846U10,0.01440848503261805,0.008596994914114475,0.010216791595470953,0.006354280016614089,-0.001993566284882453,0.03326685830858911,0.08964638692198146,0.005116728006149263,0.010472537018358707,0.007641443146044535,-0.002144005163744689,0.010989018550600305,0.03235912601704394,0.05073040496237291,0.12148989000613875,0.92,1.32,-0.38,0.006,87432,252,1.4408%,-0.0001,1.1228,0.0355,-0.1209,1.1916%,1.6436%,47.4409%,0.2921%,14
"Agilent Technologies Q4 Adj. EPS $0.89 Beats $0.85 Estimate, Sales $1.37B Beat $1.33B Estimate",2019-11-25,A,2019-11-25 21:08:00+00:00,AGILENT TECHNOLOGIES INC,87432.0,00846U10,0.01440848503261805,0.008596994914114475,0.010216791595470953,0.006354280016614089,-0.001993566284882453,0.03326685830858911,0.08964638692198146,0.005116728006149263,0.010472537018358707,0.007641443146044535,-0.002144005163744689,0.010989018550600305,0.03235912601704394,0.05073040496237291,0.12148989000613875,0.92,1.32,-0.38,0.006,87432,252,1.4408%,-0.0001,1.1228,0.0355,-0.1209,1.1916%,1.6436%,47.4409%,0.2921%,14
"ACADIA Pharmaceuticals shares are trading lower after the company announced results from the ADVANCE trial of Pimavanserin. In the study, pimavanserin did not separate from placebo on the key secondary endpoint.",2019-11-25,ACAD,2019-11-25 21:10:00+00:00,ACADIA PHARMACEUTICALS,90177.0,00422510,0.01444342546164989,-0.007537621539085992,-0.01591286342889442,-0.051716864675400376,-0.05904522064547024,-0.03151166319586085,-0.04574952469495175,-0.11536847373846038,-0.00946764089167118,0.01926830956456005,0.005768007262486385,0.02125820848764226,0.10490497930983866,0.1618953969358743,0.6554149735567623,0.92,1.32,-0.38,0.006,90177,252,1.4443%,0.0056,1.2844,3.3374,0.6178,4.8567%,5.3844%,18.6390%,-3.9781%,31
ACADIA Pharma Reports Top-Line Results From ADVANCE Trial Of Pimavanserin As Treatment For Negative Symptoms Of Schizophrenia; Will Initiate Second Pivotal Study In H1'20,2019-11-25,ACAD,2019-11-25 21:06:00+00:00,ACADIA PHARMACEUTICALS,90177.0,00422510,0.01444342546164989,-0.007537621539085992,-0.01591286342889442,-0.051716864675400376,-0.05904522064547024,-0.03151166319586085,-0.04574952469495175,-0.11536847373846038,-0.00946764089167118,0.01926830956456005,0.005768007262486385,0.02125820848764226,0.10490497930983866,0.1618953969358743,0.6554149735567623,0.92,1.32,-0.38,0.006,90177,252,1.4443%,0.0056,1.2844,3.3374,0.6178,4.8567%,5.3844%,18.6390%,-3.9781%,24
"ACADIA Pharmaceuticals Announces Pimavanserin Demonstrated Statistically Significant Improvement In Primary Endpoint, Did Not Separate From Placebo On Key Secondary Endpoint",2019-11-25,ACAD,2019-11-25 21:05:00+00:00,ACADIA PHARMACEUTICALS,90177.0,00422510,0.01444342546164989,-0.007537621539085992,-0.01591286342889442,-0.051716864675400376,-0.05904522064547024,-0.03151166319586085,-0.04574952469495175,-0.11536847373846038,-0.00946764089167118,0.01926830956456005,0.005768007262486385,0.02125820848764226,0.10490497930983866,0.1618953969358743,0.6554149735567623,0.92,1.32,-0.38,0.006,90177,252,1.4443%,0.0056,1.2844,3.3374,0.6178,4.8567%,5.3844%,18.6390%,-3.9781%,20
Maxim Group Downgrades Adamis Pharmaceuticals to Hold,2019-11-25,ADMP,2019-11-25 17:54:00+00:00,ADAMIS PHARMACEUTICALS CORP,82163.0,00547W30,-0.5096031427383423,-0.061336833983659744,0.0033985915028575953,-0.056967146018006565,-0.06797215681880442,-0.14711118574607818,0.27043212421882257,-0.012785241641101508,0.17757003009319305,0.16666661477436517,0.320754712685283,0.4521148086660358,0.24752475821098407,1.3337654283986193,0.35483866727002744,0.92,1.32,-0.38,0.006,82163,252,-50.9603%,-0.004,0.6738,-0.1079,0.0955,6.2386%,6.2719%,1.0598%,-53.0968%,7
Adamis Pharmaceuticals shares are trading lower after the company reported it received a complete response letter from the FDA for its ZIMHI. The FDA stated it cannot approve the ZIMHI in its present form and provided suggested needed for resubmission.,2019-11-25,ADMP,2019-11-25 13:47:00+00:00,ADAMIS PHARMACEUTICALS CORP,82163.0,00547W30,-0.5096031427383423,-0.061336833983659744,0.0033985915028575953,-0.056967146018006565,-0.06797215681880442,-0.14711118574607818,0.27043212421882257,-0.012785241641101508,0.17757003009319305,0.16666661477436517,0.320754712685283,0.4521148086660358,0.24752475821098407,1.3337654283986193,0.35483866727002744,0.92,1.32,-0.38,0.006,82163,252,-50.9603%,-0.004,0.6738,-0.1079,0.0955,6.2386%,6.2719%,1.0598%,-53.0968%,40
Adamas Pharma Receives Complete Response Letter From FDA Related To ZIMHI,2019-11-25,ADMP,2019-11-25 13:02:00+00:00,ADAMIS PHARMACEUTICALS CORP,82163.0,00547W30,-0.5096031427383423,-0.061336833983659744,0.0033985915028575953,-0.056967146018006565,-0.06797215681880442,-0.14711118574607818,0.27043212421882257,-0.012785241641101508,0.17757003009319305,0.16666661477436517,0.320754712685283,0.4521148086660358,0.24752475821098407,1.3337654283986193,0.35483866727002744,0.92,1.32,-0.38,0.006,82163,252,-50.9603%,-0.004,0.6738,-0.1079,0.0955,6.2386%,6.2719%,1.0598%,-53.0968%,11
