headline,date,ticker,datetime_utc,company_name,permno,cusip,ret,ret_fd1,ret_fd2,ret_fd3,ret_fd5,ret_fd10,ret_fd30,ret_fd60,ret_ld1,ret_ld2,ret_ld3,ret_ld5,ret_ld10,ret_ld30,ret_ld60,Mkt-RF,SMB,HML,RF,PERMNO,n,RET,alpha,b_mkt,b_smb,b_hml,ivol,tvol,R2,exret,headline_word_count
"UBS Downgrades Agilent Technologies to Neutral, Announces $82 Price Target",2019-10-18,A,2019-10-18 11:57:00+00:00,AGILENT TECHNOLOGIES INC,87432.0,00846U10,-0.004671629518270493,0.012203347869217396,0.0016092627442254592,0.005498238425602819,0.010996374628384542,0.03218454376030322,0.07751104676284126,0.1909332155745369,-0.004649906884878874,-0.010957119742549204,-0.0034583946736123083,0.012432407654690447,0.014214098833079225,0.02122336921566137,0.07905053910131277,-0.49,-0.36,0.86,0.007,87432,252,-0.4672%,0.0003,1.0256,0.1462,-0.2219,1.3605%,1.7933%,42.4432%,0.2750%,10
"Acme United Q3 EPS $0.3 Beats $0.28 Estimate, Sales $36.995M Beat $36.76M Estimate",2019-10-18,ACU,2019-10-18 13:02:00+00:00,ACME UNITED CORP,60038.0,00481610,0.03176170215010643,0.04872832074761391,0.06904721138318637,0.05297639673896315,0.012438751847728247,0.04824741478008221,0.09710090990970688,0.21246469971402027,-0.007835877127945423,-0.022444116709046336,-0.026311042680135954,-0.03057025735374652,-0.03649400065707753,-0.022443388754732063,-0.06785666595383943,-0.49,-0.36,0.86,0.007,60038,252,3.1762%,0.0004,0.6729,0.0612,0.452,3.1398%,3.2190%,4.8607%,3.1612%,13
ADT shares are trading higher after the company announced it will acquire I-View Now to help reduce false alarms and optimize priority response from emergency services.,2019-10-18,ADT,2019-10-18 18:33:00+00:00,A D T INC,17223.0,00090Q10,0.05278172343969345,-0.021680260077118763,0.033875337936484895,0.03658536247694788,0.043360391876533955,0.07317072477188913,0.20325203209941223,-0.05718061273507469,-0.012676010839641205,0.04005941777826605,0.06373294086709835,0.09360380835707494,0.12520067834802506,0.32778794470912986,0.14643152113321367,-0.49,-0.36,0.86,0.007,17223,252,5.2782%,0.0008,1.3046,1.1677,1.1651,2.3440%,2.8656%,33.0944%,5.3893%,26
Arrowhead Pharmaceuticals shares are trading higher after the company discussed its developement strategy for its emerging pipiline of RNAi at its R&D conference.,2019-10-18,ARWR,2019-10-18 14:15:00+00:00,ARROWHEAD PHARMACEUTICALS INC,80069.0,04280A10,-0.01775950193405151,0.015299004502594471,0.08414458321719143,0.1029207452801657,0.07232262896060337,0.15382472162622807,0.7616133776707741,0.583588310085762,0.06056216359138489,0.06565721907553179,0.10976346320214247,0.1437499531638451,0.2232619757343235,0.14949743116202407,0.2521381733042669,-0.49,-0.36,0.86,0.007,80069,252,-1.7760%,0.0046,1.7549,2.1589,-1.7993,2.7781%,4.0228%,52.3087%,1.4164%,23
Ames National Q3 EPS $0.44 Down From $0.48 YoY,2019-10-18,ATLO,2019-10-18 20:19:00+00:00,AMES NATL CORP,90470.0,03100110,0.0,0.0181818176060915,0.0047272420479711474,-0.0054545312826989045,-0.00981819793738381,0.00866425955068384,0.016733544673749545,-0.001239008170274336,0.0014566975878551602,0.003283478686057162,0.002917575524516547,-0.0003635120250341517,-0.010435440261076012,0.029576976097161145,0.011362361031963308,-0.49,-0.36,0.86,0.007,90470,252,0.0000%,0.0005,0.5349,0.8004,0.3432,1.4063%,1.6044%,23.1682%,0.2514%,9
Group Of Members Of Congress Pen Letter To Blizzard CEO Condemning Co.'s Decision To Ban Professional Hearthstone Player For Voicing Support For Hong Kong Protests,2019-10-18,ATVI,2019-10-18 18:30:00+00:00,ACTIVISION BLIZZARD INC,79678.0,00507V10,-0.01888827607035637,0.01778506487607956,-0.00036671143381872273,0.004767112800700746,0.013201272892295002,0.023468991272797668,-0.005683925021194969,0.09350932112056465,0.0,0.0005399348447099328,0.010543570955808823,0.03538837013604823,0.02811171739830165,0.018504918256323277,0.18629960715524607,-0.49,-0.36,0.86,0.007,79678,252,-1.8888%,-0.0015,1.0937,0.1674,-0.6648,2.2670%,2.6523%,26.9432%,-0.7328%,25
Activision Blizzard shares are trading lower despite high anticipation of the new Modern Warfare release and strength in its Call of Duty Mobile title. The company confirmed 'Modern Warfare' will have free maps and no loot boxes.,2019-10-18,ATVI,2019-10-18 15:24:00+00:00,ACTIVISION BLIZZARD INC,79678.0,00507V10,-0.01888827607035637,0.01778506487607956,-0.00036671143381872273,0.004767112800700746,0.013201272892295002,0.023468991272797668,-0.005683925021194969,0.09350932112056465,0.0,0.0005399348447099328,0.010543570955808823,0.03538837013604823,0.02811171739830165,0.018504918256323277,0.18629960715524607,-0.49,-0.36,0.86,0.007,79678,252,-1.8888%,-0.0015,1.0937,0.1674,-0.6648,2.2670%,2.6523%,26.9432%,-0.7328%,37
American Express Trades Higher On Q3 Earnings Beat,2019-10-18,AXP,2019-10-18 11:45:00+00:00,AMERICAN EXPRESS CO,59176.0,02581610,-0.01964732445776463,0.019612887874245644,0.01584445327191708,-0.0023124729421087897,0.012846864742362518,0.02038366860733909,0.004282289863524635,0.11565236090978037,0.014393959194421768,0.012841246422378827,0.0232837790849294,0.03547210795930478,0.058196313788942744,-0.009239871062941551,-0.06561136199587736,-0.49,-0.36,0.86,0.007,59176,252,-1.9647%,0.0002,1.0753,-0.3615,0.1453,0.7388%,1.3254%,68.9307%,-1.7143%,8
American Express Sees FY19 Adj. EPS $7.85-$8.35 vs $8.12 Estimate,2019-10-18,AXP,2019-10-18 11:31:00+00:00,AMERICAN EXPRESS CO,59176.0,02581610,-0.01964732445776463,0.019612887874245644,0.01584445327191708,-0.0023124729421087897,0.012846864742362518,0.02038366860733909,0.004282289863524635,0.11565236090978037,0.014393959194421768,0.012841246422378827,0.0232837790849294,0.03547210795930478,0.058196313788942744,-0.009239871062941551,-0.06561136199587736,-0.49,-0.36,0.86,0.007,59176,252,-1.9647%,0.0002,1.0753,-0.3615,0.1453,0.7388%,1.3254%,68.9307%,-1.7143%,10
"American Express Q3 EPS $2.08 Beats $2.03 Estimate, Sales $11B Beat $10.95B Estimate",2019-10-18,AXP,2019-10-18 11:29:00+00:00,AMERICAN EXPRESS CO,59176.0,02581610,-0.01964732445776463,0.019612887874245644,0.01584445327191708,-0.0023124729421087897,0.012846864742362518,0.02038366860733909,0.004282289863524635,0.11565236090978037,0.014393959194421768,0.012841246422378827,0.0232837790849294,0.03547210795930478,0.058196313788942744,-0.009239871062941551,-0.06561136199587736,-0.49,-0.36,0.86,0.007,59176,252,-1.9647%,0.0002,1.0753,-0.3615,0.1453,0.7388%,1.3254%,68.9307%,-1.7143%,13
"JMP Securities Maintains Market Outperform on Acuity Brands, Lowers Price Target to $160",2019-10-18,AYI,2019-10-18 11:51:00+00:00,ACUITY BRANDS INC,89216.0,00508Y10,-0.002191531239077449,0.007565283682197332,0.020662173477618673,0.035385980258684446,0.016025391269139933,0.024892196493884633,0.06296264561443254,-0.013503659602812523,0.0005678631132468581,-0.01154123415790731,0.010570271201541415,0.027493111440135776,0.026637806433015276,-0.011382794421617493,-0.08759341290484968,-0.49,-0.36,0.86,0.007,89216,252,-0.2192%,0.0001,1.3187,0.3549,0.5658,1.6403%,2.1690%,42.8057%,0.0603%,13
"Alibaba shares trading lower with broader US, Chinese stock markets. The company's Pictures unit is expecting to reporting a net loss between RMB370 million and RMB400 million during the second half of 2019.",2019-10-18,BABA,2019-10-18 15:24:00+00:00,ALIBABA GROUP HOLDING LTD,14888.0,01609W10,-0.04365281760692596,0.02595636062324047,0.004493551306685939,0.004670922436253555,0.03062728252504221,0.043339451829139675,0.16070473660453066,0.33069231865501925,-0.0015243282541632652,0.00889961116658422,0.033243760991198856,0.06491237614322332,0.04348602125551726,-0.011679870360664424,-0.010186331354756106,-0.49,-0.36,0.86,0.007,14888,252,-4.3653%,0.0005,1.2863,0.5056,-0.3835,1.5462%,2.1898%,50.1411%,-3.2566%,33
Alibaba Shares Down 2.4% For Session; Hearing Co.'s Pictures Unit Expecting 2H'19 Net Loss RMB370M-RMB400M,2019-10-18,BABA,2019-10-18 14:16:00+00:00,ALIBABA GROUP HOLDING LTD,14888.0,01609W10,-0.04365281760692596,0.02595636062324047,0.004493551306685939,0.004670922436253555,0.03062728252504221,0.043339451829139675,0.16070473660453066,0.33069231865501925,-0.0015243282541632652,0.00889961116658422,0.033243760991198856,0.06491237614322332,0.04348602125551726,-0.011679870360664424,-0.010186331354756106,-0.49,-0.36,0.86,0.007,14888,252,-4.3653%,0.0005,1.2863,0.5056,-0.3835,1.5462%,2.1898%,50.1411%,-3.2566%,15
BCB Bancorp Q3 EPS $0.3 Up From $0.27 YoY,2019-10-18,BCBP,2019-10-18 20:16:00+00:00,B C B BANCORP INC,91015.0,05529810,-0.003086416749283671,0.00619194470345974,0.00619194470345974,0.0038699839064069153,-0.00154802269848886,0.006191945131423182,0.024052070774253087,0.06316788556328912,0.00309597235172987,0.004651195516570894,-0.0023094482088711343,0.004651195380088735,0.031026282024181784,0.03431766424082494,0.00912072471634473,-0.49,-0.36,0.86,0.007,91015,252,-0.3086%,0.0006,0.7096,0.7992,0.7621,1.2276%,1.5632%,38.3295%,-0.3423%,9
Bank of New York Mellon shares are trading higher after Credit Suisse raised the price target of the stock from $46 to $48.,2019-10-18,BK,2019-10-18 18:20:00+00:00,BANK OF NEW YORK MELLON CORP,49656.0,06405810,0.02163134515285492,0.007278297562152147,0.017644447015207287,0.030657242174932042,0.029775052253072865,0.047093363716627534,0.09083329663629369,0.1254699203774825,-0.0013500801287590347,0.0004508668791829429,0.01070373966731486,0.02022990907322031,0.045958066636204054,0.036431605181958426,-0.05161291123231826,-0.49,-0.36,0.86,0.007,49656,252,2.1631%,-0.0001,0.9208,0.0698,0.8897,1.1481%,1.5275%,43.5042%,1.8868%,23
