"topic","topicfe","top1_target","top3_target","top5_target","top3_source","corr_feat"
"Agriculture and farmers",1,0.494252873563218,0.71264367816092,0.816091954022989,0.791164658634538,0.668739409871723
"Anti-growth economy",2,0,0.307692307692308,0.461538461538462,0.719449225473322,0.614592014209404
"Anti-imperialism",3,0,0,0,0.047619047619048,0.353801918367453
"Centralization",4,0.25,0.653846153846154,0.711538461538462,0.681759379042691,0.620835899043501
"Civic mindedness",5,0.046511627906977,0.232558139534884,0.348837209302326,0.453731343283582,0.481666875971171
"Constitutionalism",6,0.012345679012346,0.098765432098765,0.172839506172839,0.587096774193548,0.499351885182729
"Controlled economy",7,0,0.444444444444444,0.555555555555556,0.5,0.613087070369397
"Corporatism/mixed economy",8,0,0,0,0.111111111111111,0.551339259253997
"Culture",9,0.465116279069767,0.697674418604651,0.790697674418605,0.785140562248996,0.651169151758756
"Democracy",10,0.449180327868852,0.747540983606557,0.855737704918033,0.725146198830409,0.498922191122341
"Economic goals",11,0,0,0,0.192307692307692,0.551654743058208
"Economic growth",12,0.403846153846154,0.673076923076923,0.836538461538462,0.692588092345079,0.661041082919684
"Economic orthodoxy",13,0.330882352941176,0.566176470588235,0.727941176470588,0.715789473684211,0.634008822455532
"Economic planning",14,0,0,0,0.272108843537415,0.325596513108773
"Education",15,0.745762711864407,0.909604519774011,0.954802259887006,0.905338470005504,0.731551657238419
"Environmental protection",16,0.522222222222222,0.755555555555556,0.866666666666667,0.88031914893617,0.653364902764344
"Equality",17,0.261261261261261,0.711711711711712,0.882882882882883,0.7886925795053,0.612828781585792
"European Union",18,NA,NA,NA,0.774691358024691,0.345372710957452
"Foreign special relationships",19,0,0,0,0.546583850931677,0.481999005193777
"Free market economy",20,0.095890410958904,0.232876712328767,0.397260273972603,0.48711943793911,0.445239650304269
"Freedom and human rights",21,0.064102564102564,0.371794871794872,0.564102564102564,0.642857142857143,0.59181130506577
"Governmental and administrative efficiency",22,0.267015706806283,0.680628272251309,0.795811518324607,0.754098360655738,0.519474758621447
"Incentives",23,0.234042553191489,0.446808510638298,0.638297872340426,0.75258918296893,0.587880068307078
"Internationalism",24,0.486486486486487,0.675675675675676,0.783783783783784,0.795144157814871,0.57021959152827
"Keynesian demand management",25,0,0,0,0.153846153846154,0.323857022261692
"Labour groups",26,0.382978723404255,0.680851063829787,0.765957446808511,0.823008849557522,0.650894224761526
"Law and order",27,0.715189873417722,0.892405063291139,0.943037974683544,0.878625954198473,0.735588469914873
"Market regulation",28,0.298245614035088,0.552631578947368,0.719298245614035,0.678403755868545,0.603899178985709
"Marxist analysis",29,NA,NA,NA,0.204545454545455,0.290303557293339
"Middle class and professional groups",30,0,0,0,0.463414634146341,0.266019628036167
"Military",31,0.553191489361702,0.808510638297872,0.914893617021277,0.80448717948718,0.661407515758519
"Multiculturalism",32,0.398058252427184,0.631067961165049,0.70873786407767,0.704387990762125,0.611456434158262
"National way of life",33,0.262295081967213,0.688524590163934,0.786885245901639,0.622496147919877,0.571127454506355
"Nationalisation",34,0.34375,0.53125,0.65625,0.614130434782609,0.518539132516857
"No topic",35,0.010416666666667,0.046875,0.119791666666667,0.199134199134199,0.30765762301701
"Non-economic demographic groups",36,0.378378378378378,0.675675675675676,0.837837837837838,0.631195335276968,0.48020763175697
"Peace",37,0,0,0.5,0.539130434782609,0.877330181865752
"Political authority",38,0.570322580645161,0.830967741935484,0.895483870967742,0.720472440944882,0.50526003978489
"Political corruption",39,0.06,0.18,0.34,0.508021390374332,0.487430170408061
"Protectionism",40,0.254237288135593,0.440677966101695,0.559322033898305,0.629032258064516,0.566944166189871
"Technology and infrastructure",41,0.398230088495575,0.628318584070796,0.787610619469027,0.900557620817844,0.653283173929889
"Traditional morality",42,0.194029850746269,0.388059701492537,0.522388059701492,0.701357466063348,0.500997886609392
"Underprivileged minority groups",43,0.5,0.8,0.9,0.533163265306122,0.529648107854744
"Welfare state expansion",44,0.684782608695652,0.896739130434783,0.948369565217391,0.94,0.697111711590785
